date,open,high,low,close,volume,dividend,split
2010-12-20,7.31,7.36,7.17,7.27,3213,0,1
2010-12-21,7.27,7.56,7.27,7.50,7330,0,1
2010-12-22,7.53,7.56,7.30,7.43,5143,0,1
2010-12-23,7.37,7.52,7.35,7.46,3001,0,1
2010-12-27,7.43,7.51,7.31,7.45,3114,0,1
2010-12-28,7.44,7.49,7.31,7.35,5303,0,1
2010-12-29,7.36,7.53,7.33,7.39,4788,0,1
2010-12-30,7.46,7.62,7.40,7.46,8732,0,1
2011-01-03,7.60,7.64,7.51,7.56,5675,0,1
2011-01-04,7.61,7.66,7.48,7.55,8338,0,1
2011-01-05,7.52,7.60,7.42,7.44,7468,0,1
2011-01-06,7.44,7.50,7.34,7.43,11101,0,1
2011-01-07,7.43,7.51,7.32,7.35,4756,0,1
2011-01-10,7.35,7.43,7.33,7.38,6539,0,1
2011-01-11,7.42,7.45,7.33,7.36,6010,0,1
2011-01-12,7.27,7.30,7.12,7.16,15583,0,1
2011-01-13,7.18,7.19,7.04,7.05,8566,0,1
2011-01-14,7.07,7.15,6.88,6.92,9535,0,1
2011-01-17,6.93,7.08,6.89,7.04,4863,0,1
2011-01-18,7.05,7.07,6.76,6.81,15912,0,1
2011-01-19,6.82,6.83,6.68,6.78,9535,0,1
2011-01-20,6.76,6.89,6.70,6.74,11819,0,1
2011-01-21,6.77,6.82,6.57,6.59,10421,0,1
2011-01-24,6.62,6.77,6.59,6.77,6204,0,1
2011-01-26,6.78,6.92,6.78,6.91,8976,0,1
2011-01-27,6.92,6.97,6.85,6.90,10652,0,1
2011-01-28,6.86,6.91,6.52,6.70,9654,0,1
2011-01-31,6.72,6.77,6.59,6.61,8231,0,1
2011-02-01,6.60,6.64,6.47,6.56,11521,0,1
2011-02-02,6.59,6.69,6.50,6.61,7509,0,1
2011-02-03,6.61,6.63,6.45,6.54,6048,0,1
2011-02-04,6.50,6.57,6.40,6.43,5971,0,1
2011-02-07,6.45,6.52,6.40,6.47,4884,0,1
2011-02-08,6.45,6.57,6.45,6.51,9083,0,1
2011-02-09,6.52,6.59,6.29,6.35,7228,0,1
2011-02-10,6.35,6.38,6.23,6.25,11361,0,1
2011-02-11,6.26,6.51,6.22,6.47,10585,0,1
2011-02-14,6.53,6.59,6.40,6.47,7812,0,1
2011-02-15,6.47,6.62,6.44,6.57,4940,0,1
2011-02-16,6.56,6.75,6.53,6.70,7457,0,1
2011-02-17,6.71,6.77,6.63,6.73,5831,0,1
2011-02-18,6.69,6.87,6.65,6.82,5716,0,1
2011-02-21,6.79,6.84,6.69,6.79,4341,0,1
2011-02-22,6.73,6.79,6.59,6.65,9186,0,1
2011-02-23,6.64,6.67,6.45,6.47,9625,0,1
2011-02-24,6.47,6.52,6.40,6.40,4147,0,1
2011-02-25,6.47,6.49,6.37,6.44,4832,0,1
2011-02-28,6.40,6.58,6.40,6.53,8030,0,1
2011-03-01,6.57,6.71,6.56,6.68,8973,0,1
2011-03-02,6.63,6.93,6.62,6.93,13091,0,1
2011-03-03,6.97,6.99,6.71,6.77,14097,0,1
2011-03-04,6.79,6.86,6.63,6.71,11034,0,1
2011-03-09,6.70,6.75,6.63,6.67,3254,0,1
2011-03-10,6.63,6.75,6.58,6.71,6927,0,1
2011-03-11,6.73,6.83,6.63,6.83,5468,0,1
2011-03-14,6.78,6.83,6.71,6.76,7067,0,1
2011-03-15,6.72,6.73,6.59,6.73,7350,0,1
2011-03-16,6.76,6.76,6.54,6.59,9614,0,1
2011-03-17,6.62,6.68,6.52,6.58,6273,0,1
2011-03-18,6.60,6.66,6.58,6.66,5706,0,1
2011-03-21,6.68,6.73,6.65,6.69,4801,0,1
2011-03-22,6.69,6.75,6.64,6.74,5155,0,1
2011-03-23,6.70,6.78,6.66,6.78,4944,0,1
2011-03-24,6.75,6.81,6.66,6.71,6238,0,1
2011-03-25,6.73,6.76,6.68,6.69,3323,0,1
2011-03-28,6.67,6.69,6.56,6.57,6604,0,1
2011-03-29,6.59,6.69,6.56,6.62,6250,0,1
2011-03-30,6.62,6.80,6.62,6.80,8137,0,1
2011-03-31,6.80,6.81,6.74,6.80,9868,0,1
2011-04-01,6.81,7.01,6.81,7.01,6601,0,1
2011-04-04,7.01,7.04,6.88,6.90,7008,0,1
2011-04-05,6.92,7.00,6.92,7.00,5748,0,1
2011-04-06,7.00,7.00,6.90,6.93,3744,0,1
2011-04-07,6.93,6.96,6.80,6.89,5852,0,1
2011-04-08,6.89,6.89,6.76,6.86,3994,0,1
2011-04-11,6.86,6.90,6.79,6.87,2847,0,1
2011-04-12,6.81,6.83,6.73,6.77,5985,0,1
2011-04-13,6.84,6.86,6.74,6.74,6498,0,1
2011-04-14,6.75,6.96,6.71,6.96,6596,0,1
2011-04-15,6.96,6.99,6.92,6.96,9030,0,1
2011-04-18,6.94,7.04,6.86,7.04,5729,0,1
2011-04-19,7.05,7.23,7.05,7.21,10126,0,1
2011-04-20,7.23,7.29,7.14,7.20,7955,0,1
2011-04-25,7.20,7.34,7.19,7.30,6616,0,1
2011-04-26,7.31,7.43,7.28,7.41,6535,0,1
2011-04-27,7.40,7.46,7.36,7.46,7481,0,1
2011-04-28,7.43,7.55,7.36,7.44,13791,0,1
2011-04-29,7.34,7.54,7.23,7.50,10309,0,1
2011-05-02,7.46,7.65,7.46,7.61,12225,0,1
2011-05-03,7.56,7.66,7.45,7.46,7252,0,1
2011-05-04,7.46,7.50,7.42,7.44,8338,0,1
2011-05-05,7.36,7.78,7.36,7.67,13752,0,1
2011-05-06,7.77,7.81,7.65,7.77,9634,0,1
2011-05-09,7.77,7.89,7.64,7.64,7804,0,1
2011-05-10,7.63,7.69,7.57,7.61,4824,0,1
2011-05-11,7.62,7.66,7.52,7.53,8246,0,1
2011-05-12,7.51,7.56,7.45,7.52,7442,0,1
2011-05-13,7.53,7.62,7.45,7.45,8558,0,1
2011-05-16,7.46,7.52,7.39,7.39,4367,0,1
2011-05-17,7.39,7.52,7.39,7.51,5125,0,1
2011-05-18,7.53,7.56,7.41,7.41,5601,0,1
2011-05-19,7.47,7.47,7.38,7.39,6119,0,1
2011-05-20,7.38,7.46,7.36,7.38,4686,0,1
2011-05-23,7.34,7.43,7.28,7.38,4608,0,1
2011-05-24,7.41,7.41,7.32,7.37,4417,0,1
2011-05-25,7.38,7.47,7.32,7.37,6249,0,1
2011-05-26,7.36,7.45,7.31,7.33,4732,0,1
2011-05-27,7.30,7.47,7.30,7.37,4301,0,1
2011-05-30,7.38,7.41,7.30,7.31,1596,0,1
2011-05-31,7.33,7.39,7.27,7.30,7392,0,1
2011-06-01,7.28,7.34,7.24,7.24,6051,0,1
2011-06-02,7.27,7.31,7.21,7.22,5540,0,1
2011-06-03,7.21,7.43,7.16,7.38,6835,0,1
2011-06-06,7.38,7.45,7.29,7.33,6698,0,1
2011-06-07,7.34,7.43,7.28,7.35,7027,0,1
2011-06-08,7.34,7.48,7.31,7.47,7528,0,1
2011-06-09,7.49,7.60,7.47,7.54,6341,0,1
2011-06-10,7.55,7.58,7.41,7.41,6125,0,1
2011-06-13,7.49,7.49,7.31,7.31,3851,0,1
2011-06-14,7.39,7.47,7.31,7.46,4625,0,1
2011-06-15,7.37,7.46,7.37,7.38,5240,0,1
2011-06-16,7.34,7.45,7.28,7.34,5785,0,1
2011-06-17,7.38,7.41,7.26,7.29,5484,0,1
2011-06-20,7.27,7.49,7.27,7.44,4555,0,1
2011-06-21,7.45,7.62,7.45,7.53,4996,0,1
2011-06-22,7.53,7.65,7.49,7.49,6594,0,1
2011-06-24,7.55,7.59,7.45,7.50,4682,0,1
2011-06-27,7.51,7.65,7.47,7.57,5087,0,1
2011-06-28,7.57,7.69,7.57,7.60,4460,0,1
2011-06-29,7.66,7.77,7.61,7.71,7319,0,1
2011-06-30,7.78,7.78,7.66,7.69,6292,0,1
2011-07-01,7.75,7.85,7.61,7.84,5588,0,1
2011-07-04,7.84,7.89,7.78,7.82,2158,0,1
2011-07-05,7.78,7.93,7.75,7.89,6392,0,1
2011-07-06,7.87,7.98,7.83,7.86,7348,0,1
2011-07-07,7.97,7.97,7.76,7.76,6468,0,1
2011-07-08,7.76,7.80,7.63,7.64,10674,0,1
2011-07-11,7.61,7.64,7.44,7.52,6871,0,1
2011-07-12,7.53,7.59,7.40,7.40,6099,0,1
2011-07-13,7.48,7.51,7.34,7.43,9472,0,1
2011-07-14,7.49,7.52,7.38,7.45,8213,0,1
2011-07-15,7.54,7.54,7.28,7.28,7683,0,1
2011-07-18,7.27,7.37,7.22,7.36,4867,0,1
2011-07-19,7.36,7.50,7.33,7.45,5222,0,1
2011-07-20,7.54,7.58,7.37,7.37,4936,0,1
2011-07-21,7.40,7.43,7.28,7.33,7658,0,1
2011-07-22,7.31,7.41,7.31,7.36,4814,0,1
2011-07-25,7.30,7.36,7.19,7.20,5026,0,1
2011-07-26,7.17,7.17,7.00,7.09,12467,0,1
2011-07-27,7.05,7.08,6.93,6.95,10008,0,1
2011-07-28,6.95,7.10,6.92,7.08,11164,0,1
2011-07-29,7.07,7.07,6.88,6.92,8867,0,1
