date,open,high,low,close,volume,dividend,split
2017-04-11,21.80,22.97,21.76,22.39,13060,0,1
2017-04-12,22.44,22.98,22.29,22.95,1745,0,1
2017-04-13,22.96,23.00,22.54,22.98,549,0,1
2017-04-17,22.99,22.99,22.61,22.84,249,0,1
2017-04-18,22.81,24.78,22.59,23.90,1125,0,1
2017-04-19,23.99,24.33,23.89,23.91,442,0,1
2017-04-20,24.10,24.38,23.50,23.85,740,0,1
2017-04-24,24.09,24.41,23.69,24.19,383,0,1
2017-04-25,24.19,24.24,23.92,24.09,285,0,1
2017-04-26,24.01,24.38,23.70,23.93,443,0,1
2017-04-27,23.60,23.84,23.23,23.72,221,0,1
2017-04-28,23.72,24.08,23.70,23.95,131,0,1
2017-05-02,23.99,25.69,23.96,25.39,871,0,1
2017-05-03,25.42,25.90,25.00,25.49,206,0,1
2017-05-04,25.42,26.48,25.39,26.25,232,0,1
2017-05-05,26.98,26.98,26.19,26.59,133,0,1
2017-05-08,26.60,27.43,25.63,25.99,312,0,1
2017-05-09,26.46,26.49,25.60,25.79,200,0,1
2017-05-10,25.81,26.38,25.63,25.68,444,0,1
2017-05-11,25.59,25.67,24.87,25.24,233,0,1
2017-05-12,25.78,25.78,24.89,25.24,155,0,1
2017-05-15,26.68,26.68,25.35,25.67,1205,0,1
2017-05-16,25.88,26.29,25.69,26.29,768,0,1
2017-05-17,26.33,26.89,25.99,26.49,1085,0,1
2017-05-18,22.99,24.13,21.75,22.71,829,0,1
2017-05-19,23.60,23.94,22.99,22.99,547,0,1
2017-05-22,23.11,23.11,21.71,22.19,1301,0,1
2017-05-23,22.22,22.61,21.79,22.03,614,0,1
2017-05-24,22.09,24.71,22.09,23.94,892,0,1
2017-05-25,24.11,25.63,24.11,25.10,1087,0,1
2017-05-26,25.32,25.52,25.01,25.20,461,0,1
2017-05-29,25.21,25.21,24.80,24.80,69,0,1
2017-05-30,24.80,25.32,24.80,24.84,1842,0,1
2017-05-31,24.99,25.12,23.58,23.58,254,0,1
2017-06-01,24.19,24.27,22.99,22.99,191,0,1
2017-06-02,23.39,23.66,22.72,23.15,135,0,1
2017-06-05,22.65,23.67,22.65,23.59,406,0,1
2017-06-06,24.29,24.29,23.00,23.46,342,0,1
2017-06-07,23.99,23.99,23.35,23.56,415,0,1
2017-06-08,23.56,23.56,22.79,22.89,208,0,1
2017-06-09,23.18,23.24,22.84,23.14,148,0,1
2017-06-12,23.23,23.30,22.69,22.69,259,0,1
2017-06-13,22.79,23.71,22.29,23.34,266,0,1
2017-06-14,23.34,23.55,22.70,22.89,191,0,1
2017-06-16,22.64,22.99,22.52,22.56,74,0,1
2017-06-19,22.41,22.69,22.36,22.59,244,0,1
2017-06-20,22.59,23.39,22.47,22.94,123,0,1
2017-06-21,22.97,23.28,22.77,22.99,475,0,1
2017-06-22,23.20,23.20,22.74,22.79,61,0,1
2017-06-23,22.85,23.62,22.82,23.30,157,0,1
2017-06-26,23.55,23.55,23.17,23.34,253,0,1
2017-06-27,23.26,23.51,23.20,23.24,333,0,1
2017-06-28,23.25,23.46,22.86,23.07,265,0,1
2017-06-29,23.06,23.34,22.79,23.12,576,0,1
2017-06-30,22.89,23.44,22.89,23.44,158,0,1
2017-07-03,23.44,23.75,23.37,23.75,333,0,1
2017-07-04,23.69,23.91,23.63,23.91,23,0,1
2017-07-05,23.64,24.26,23.61,24.26,320,0,1
2017-07-06,24.04,24.40,23.79,24.16,266,0,1
2017-07-07,24.25,25.36,24.09,25.02,546,0,1
2017-07-10,25.03,25.65,24.99,25.29,132,0,1
2017-07-11,25.45,25.45,24.82,24.95,103,0,1
2017-07-12,25.46,25.46,24.80,24.95,113,0,1
2017-07-13,25.28,25.44,25.08,25.08,124,0,1
2017-07-14,25.10,25.41,24.99,25.20,147,0,1
2017-07-17,25.19,25.98,25.00,25.86,394,0,1
2017-07-18,25.97,26.36,25.79,26.07,370,0,1
2017-07-19,26.13,26.74,26.13,26.49,178,0,1
2017-07-20,26.53,26.53,25.69,25.99,251,0,1
2017-07-21,25.97,26.24,25.34,26.24,94,0,1
2017-07-24,26.26,26.44,26.05,26.32,624,0,1
2017-07-25,26.32,26.64,26.29,26.52,160,0,1
2017-07-26,26.52,26.73,26.24,26.69,286,0,1
2017-07-27,26.71,26.77,26.16,26.59,349,0,1
2017-07-28,26.44,26.74,25.61,26.60,202,0,1
2017-07-31,26.59,27.73,26.39,27.29,237,0,1
2017-08-01,27.29,27.71,26.69,27.19,231,0,1
2017-08-02,26.99,27.49,26.76,27.41,658,0,1
2017-08-03,27.22,28.03,27.15,28.03,509,0,1
2017-08-04,28.07,28.35,27.49,27.79,1453,0,1
2017-08-07,27.89,28.07,27.52,27.61,101,0,1
2017-08-08,27.71,28.22,27.56,27.69,199,0,1
2017-08-09,27.60,28.14,26.99,27.99,307,0,1
2017-08-10,27.72,27.74,26.75,27.48,224,0,1
2017-08-11,27.48,27.48,26.14,26.99,475,0,1
2017-08-14,27.19,27.95,27.03,27.49,272,0,1
2017-08-15,27.69,27.89,27.10,27.20,148,0,1
2017-08-16,27.16,27.48,26.88,27.39,152,0,1
2017-08-17,27.20,27.20,26.37,26.59,176,0,1
2017-08-18,26.74,27.34,25.92,26.69,193,0,1
2017-08-21,26.69,26.74,26.16,26.19,128,0,1
2017-08-22,26.39,26.77,25.99,26.69,188,0,1
