date,open,high,low,close,volume,dividend,split
2011-01-04,9.16,9.24,9.01,9.18,11216,0,1
2011-01-05,8.99,9.06,8.90,8.96,16710,0,1
2011-01-06,9.01,9.10,8.83,9.10,14087,0,1
2011-01-07,9.05,9.12,8.87,8.88,13466,0,1
2011-01-10,8.80,8.92,8.77,8.92,8755,0,1
2011-01-11,8.95,8.98,8.58,8.61,22405,0,1
2011-01-12,8.68,8.75,8.59,8.64,17819,0,1
2011-01-13,8.65,8.66,8.34,8.37,20277,0,1
2011-01-14,8.38,8.51,8.34,8.47,14673,0,1
2011-01-17,8.47,8.58,8.41,8.51,8594,0,1
2011-01-18,8.55,8.60,8.34,8.35,14126,0,1
2011-01-19,8.39,8.40,8.17,8.23,12182,0,1
2011-01-20,8.23,8.25,8.11,8.17,19356,0,1
2011-01-21,8.23,8.36,8.19,8.19,21559,0,1
2011-01-24,8.21,8.35,8.14,8.35,7634,0,1
2011-01-26,8.30,8.38,8.22,8.31,9734,0,1
2011-01-27,8.30,8.38,8.17,8.23,13579,0,1
2011-01-28,8.24,8.26,7.93,8.12,15639,0,1
2011-01-31,8.13,8.22,7.86,7.96,14979,0,1
2011-02-01,7.99,8.14,7.97,8.12,12010,0,1
2011-02-02,8.12,8.26,8.08,8.10,11844,0,1
2011-02-03,8.11,8.12,7.94,8.01,7932,0,1
2011-02-04,7.98,8.02,7.64,7.70,17507,0,1
2011-02-07,7.77,7.77,7.46,7.52,20086,0,1
2011-02-08,7.51,7.67,7.45,7.65,20888,0,1
2011-02-09,7.66,8.12,7.56,7.93,38111,0,1
2011-02-10,7.86,8.06,7.77,7.94,15835,0,1
2011-02-11,7.92,8.17,7.84,8.11,9646,0,1
2011-02-14,8.08,8.25,8.05,8.21,8933,0,1
2011-02-15,8.15,8.15,7.75,7.82,23912,0,1
2011-02-16,7.85,7.99,7.69,7.97,19605,0,1
2011-02-17,7.97,8.17,7.84,8.13,15101,0,1
2011-02-18,8.11,8.27,7.99,7.99,19217,0,1
2011-02-21,7.99,7.99,7.73,7.78,8956,0,1
2011-02-22,7.73,7.73,7.50,7.54,22787,0,1
2011-02-23,7.56,7.80,7.52,7.58,17548,0,1
2011-02-24,7.61,7.74,7.58,7.69,15050,0,1
2011-02-25,7.74,7.80,7.59,7.74,11081,0,1
2011-02-28,7.78,7.81,7.61,7.75,18853,0,1
2011-03-01,7.78,7.78,7.58,7.58,9317,0,1
2011-03-02,7.59,7.78,7.58,7.78,21453,0,1
2011-03-03,7.80,8.05,7.80,7.95,12230,0,1
2011-03-04,7.98,8.05,7.86,7.90,9732,0,1
2011-03-09,7.88,8.04,7.84,7.92,10651,0,1
2011-03-10,7.87,7.90,7.67,7.73,8550,0,1
2011-03-11,7.68,7.80,7.43,7.61,17940,0,1
2011-03-14,7.58,7.72,7.56,7.69,9334,0,1
2011-03-15,7.48,7.73,7.47,7.67,12167,0,1
2011-03-16,7.72,7.78,7.63,7.69,11139,0,1
2011-03-17,7.76,7.78,7.64,7.72,7913,0,1
2011-03-18,7.76,7.96,7.74,7.91,11885,0,1
2011-03-21,7.97,7.98,7.74,7.75,22365,0,1
2011-03-22,7.74,7.80,7.65,7.67,16795,0,1
2011-03-23,7.65,7.71,7.61,7.67,15170,0,1
2011-03-24,7.64,7.71,7.61,7.63,10683,0,1
2011-03-25,7.63,7.71,7.63,7.64,7390,0,1
2011-03-28,7.67,7.67,7.61,7.61,5683,0,1
2011-03-29,7.62,7.86,7.61,7.86,13830,0,1
2011-03-30,7.88,8.18,7.87,8.13,19706,0,1
2011-03-31,8.15,8.18,8.06,8.12,12335,0,1
