date,open,high,low,close,volume,dividend,split
2010-12-14,17.25,17.37,17.12,17.28,3409,0,1
2010-12-15,17.16,17.30,17.09,17.22,3432,0,1
2010-12-16,17.22,17.38,16.97,17.05,4713,0,1
2010-12-17,16.94,17.16,16.84,16.98,2836,0,1
2010-12-20,17.01,17.04,16.64,16.66,5488,0,1
2010-12-21,16.78,17.10,16.69,16.94,3999,0,1
2010-12-22,16.91,17.15,16.79,17.14,4636,0,1
2010-12-23,17.15,17.53,17.07,17.35,3777,0,1
2010-12-27,17.27,17.35,17.11,17.24,2410,0,1
2010-12-28,17.23,17.29,16.93,17.21,2207,0,1
2010-12-29,17.18,17.44,17.07,17.32,2521,0,1
2010-12-30,17.41,17.56,17.29,17.56,4189,0,1
2011-01-03,17.60,17.77,17.54,17.55,3313,0,1
2011-01-04,17.60,17.77,17.40,17.62,3513,0,1
2011-01-05,17.55,17.93,17.50,17.87,4114,0,1
2011-01-06,17.80,17.96,17.60,17.72,4457,0,1
2011-01-07,17.63,17.71,17.16,17.30,3653,0,1
2011-01-10,17.11,17.32,17.00,17.32,3920,0,1
2011-01-11,17.44,17.59,17.40,17.53,3450,0,1
2011-01-12,17.69,17.88,17.64,17.84,3046,0,1
2011-01-13,17.88,17.88,17.60,17.66,3206,0,1
2011-01-14,17.56,17.75,17.42,17.75,3863,0,1
2011-01-17,17.62,17.66,17.41,17.55,2435,0,1
2011-01-18,17.64,17.65,17.46,17.63,3120,0,1
2011-01-19,17.60,17.70,17.27,17.38,3534,0,1
2011-01-20,17.26,17.26,17.02,17.26,8344,0,1
2011-01-21,17.21,17.37,17.12,17.18,4431,0,1
2011-01-24,17.20,17.40,17.19,17.34,3074,0,1
2011-01-26,17.32,17.58,17.24,17.32,5505,0,1
2011-01-27,17.39,17.46,16.87,17.32,8341,0,1
2011-01-28,17.32,17.36,16.55,16.97,8495,0,1
2011-01-31,17.04,17.11,16.59,16.63,7081,0,1
2011-02-01,16.75,16.94,16.64,16.71,4619,0,1
2011-02-02,16.77,16.90,16.51,16.53,3422,0,1
2011-02-03,16.58,16.62,16.35,16.35,5375,0,1
2011-02-04,16.32,16.40,15.66,15.70,10015,0,1
2011-02-07,15.84,15.87,15.65,15.80,5160,0,1
2011-02-08,15.78,16.49,15.76,16.09,9453,0,1
2011-02-09,16.06,16.15,15.61,15.69,6352,0,1
2011-02-10,15.72,15.93,15.68,15.78,6648,0,1
2011-02-11,15.79,16.59,15.73,16.53,7941,0,1
2011-02-14,16.41,16.71,16.34,16.64,5496,0,1
2011-02-15,16.54,17.10,16.36,16.99,8724,0,1
2011-02-16,17.04,17.66,16.97,17.56,11213,0,1
2011-02-17,17.77,17.88,17.27,17.45,9599,0,1
2011-02-18,17.32,17.45,17.16,17.40,5348,0,1
2011-02-21,17.32,17.37,17.07,17.13,3107,0,1
2011-02-22,17.01,17.09,16.45,16.58,9576,0,1
2011-02-23,16.57,16.67,16.25,16.61,6758,0,1
2011-02-24,16.78,16.92,16.43,16.55,5875,0,1
2011-02-25,16.72,16.80,16.24,16.48,8047,0,1
2011-02-28,16.52,16.84,16.39,16.81,6744,0,1
2011-03-01,16.84,16.89,16.33,16.36,5953,0,1
2011-03-02,16.36,16.83,16.27,16.49,4739,0,1
2011-03-03,16.61,16.81,16.54,16.69,5748,0,1
