date,open,high,low,close,volume,dividend,split
2011-01-04,5.96,6.06,5.90,6.06,199,0,1
2011-01-05,5.96,6.22,5.96,6.22,536,0,1
2011-01-06,6.15,6.21,5.97,6.21,514,0,1
2011-01-07,6.15,6.24,6.13,6.21,171,0,1
2011-01-10,6.22,6.28,6.11,6.28,107,0,1
2011-01-11,6.24,6.35,6.17,6.23,488,0,1
2011-01-12,6.30,6.31,6.16,6.24,182,0,1
2011-01-13,6.29,6.33,6.12,6.24,183,0,1
2011-01-14,6.29,6.29,6.17,6.24,14,0,1
2011-01-17,6.15,6.17,6.14,6.14,24,0,1
2011-01-18,6.23,6.25,6.14,6.14,127,0,1
2011-01-19,6.39,6.44,6.25,6.36,474,0,1
2011-01-20,6.29,6.29,6.15,6.24,506,0,1
2011-01-21,6.24,6.38,6.21,6.29,288,0,1
2011-01-24,6.30,6.33,6.18,6.29,697,0,1
2011-01-26,6.29,6.29,6.16,6.24,108,0,1
2011-01-27,6.30,6.30,5.99,6.13,699,0,1
2011-01-28,6.10,6.10,5.74,5.88,443,0,1
2011-01-31,6.04,6.04,5.70,5.84,276,0,1
2011-02-01,5.86,6.01,5.83,5.97,320,0,1
2011-02-02,6.04,6.06,5.81,5.89,267,0,1
2011-02-03,5.97,5.98,5.81,5.89,204,0,1
2011-02-04,5.91,5.92,5.66,5.82,323,0,1
2011-02-07,5.78,5.80,5.64,5.80,325,0,1
2011-02-08,5.88,5.96,5.64,5.89,382,0,1
2011-02-09,5.89,5.89,5.73,5.79,64,0,1
2011-02-10,5.76,5.83,5.71,5.75,195,0,1
2011-02-11,5.78,5.88,5.65,5.65,330,0,1
2011-02-14,5.66,5.84,5.65,5.79,68,0,1
2011-02-15,5.81,5.81,5.66,5.66,44,0,1
2011-02-16,5.83,5.83,5.72,5.80,47,0,1
2011-02-17,5.80,5.89,5.71,5.78,187,0,1
2011-02-18,5.78,5.89,5.78,5.88,37,0,1
2011-02-21,5.88,5.95,5.75,5.76,11,0,1
2011-02-22,5.74,5.93,5.73,5.74,41,0,1
2011-02-23,5.81,5.81,5.45,5.45,344,0,1
2011-02-24,5.48,5.57,5.24,5.44,957,0,1
2011-02-25,5.48,5.59,5.44,5.59,285,0,1
2011-02-28,5.53,5.74,5.51,5.74,321,0,1
2011-03-01,5.82,5.84,5.71,5.75,288,0,1
2011-03-02,5.81,5.83,5.68,5.74,263,0,1
2011-03-03,5.80,5.80,5.66,5.70,65,0,1
2011-03-04,5.77,5.82,5.53,5.78,130,0,1
2011-03-09,5.84,5.84,5.69,5.83,106,0,1
2011-03-10,5.83,5.83,5.69,5.81,215,0,1
2011-03-11,5.77,5.95,5.73,5.95,546,0,1
2011-03-14,5.94,5.99,5.81,5.90,378,0,1
2011-03-15,5.85,5.89,5.68,5.89,762,0,1
2011-03-16,5.91,5.99,5.81,5.86,164,0,1
2011-03-17,5.97,5.97,5.70,5.88,217,0,1
2011-03-18,5.92,5.95,5.86,5.92,178,0,1
2011-03-21,5.95,5.96,5.80,5.94,156,0,1
2011-03-22,5.94,5.95,5.81,5.82,196,0,1
2011-03-23,5.78,5.88,5.71,5.71,111,0,1
2011-03-24,5.74,5.80,5.64,5.79,152,0,1
2011-03-25,5.77,5.84,5.76,5.80,81,0,1
2011-03-28,5.82,5.83,5.73,5.77,45,0,1
2011-03-29,5.80,5.83,5.73,5.83,24,0,1
2011-03-30,5.74,5.92,5.74,5.82,43,0,1
2011-03-31,5.86,6.01,5.82,5.82,263,0,1
2011-04-01,5.90,6.09,5.82,6.09,250,0,1
2011-04-04,5.93,6.10,5.93,6.10,174,0,1
2011-04-05,6.09,6.20,5.95,6.15,905,0,1
2011-04-06,6.06,6.19,6.04,6.13,198,0,1
2011-04-07,6.12,6.18,6.08,6.13,148,0,1
2011-04-08,6.17,6.18,6.08,6.13,87,0,1
2011-04-11,6.18,6.18,6.09,6.16,34,0,1
2011-04-12,6.15,6.15,6.06,6.11,55,0,1
2011-04-13,6.15,6.15,5.95,6.03,191,0,1
2011-04-14,6.07,6.13,5.97,5.97,221,0,1
2011-04-15,6.06,6.06,5.97,5.97,105,0,1
2011-04-18,5.94,5.97,5.82,5.82,242,0,1
2011-04-19,5.98,6.09,5.89,6.07,95,0,1
2011-04-20,6.12,6.41,6.03,6.41,194,0,1
2011-04-25,6.42,6.42,6.18,6.31,99,0,1
2011-04-26,6.27,6.28,6.15,6.28,238,0,1
2011-04-27,6.27,6.27,6.15,6.26,83,0,1
2011-04-28,6.27,6.27,6.04,6.04,241,0,1
2011-04-29,6.08,6.09,5.99,6.03,356,0,1
2011-05-02,6.12,6.12,5.97,6.02,125,0,1
2011-05-03,6.01,6.02,5.86,5.91,65,0,1
2011-05-04,6.04,6.11,5.86,5.86,192,0,1
2011-05-05,5.94,5.94,5.73,5.80,252,0,1
2011-05-06,5.86,5.91,5.82,5.86,377,0,1
2011-05-09,5.86,5.90,5.82,5.85,159,0,1
2011-05-10,5.87,5.87,5.74,5.77,227,0,1
2011-05-11,5.82,5.82,5.70,5.73,485,0,1
2011-05-12,5.66,5.75,5.57,5.62,254,0,1
2011-05-13,5.64,5.64,5.42,5.48,233,0,1
2011-05-16,5.51,5.57,5.47,5.47,95,0,1
2011-05-17,5.47,5.50,5.39,5.49,231,0,1
2011-05-18,5.50,5.50,5.17,5.27,447,0,1
2011-05-19,5.29,5.29,5.17,5.17,513,0,1
2011-05-20,5.19,5.23,5.15,5.22,170,0,1
2011-05-23,5.22,5.22,5.11,5.15,131,0,1
2011-05-24,5.22,5.23,5.01,5.13,367,0,1
2011-05-25,5.14,5.15,4.94,4.94,260,0,1
2011-05-26,5.02,5.02,4.85,4.86,431,0,1
2011-05-27,4.90,4.96,4.78,4.81,330,0,1
2011-05-30,4.84,4.84,4.77,4.79,183,0,1
2011-05-31,4.81,4.93,4.79,4.87,345,0,1
2011-06-01,4.90,4.90,4.77,4.78,245,0,1
2011-06-02,4.81,4.82,4.59,4.72,317,0,1
2011-06-03,4.70,4.81,4.63,4.78,534,0,1
2011-06-06,4.86,4.90,4.76,4.87,381,0,1
2011-06-07,4.90,4.99,4.85,4.91,455,0,1
2011-06-08,4.96,4.99,4.73,4.79,484,0,1
2011-06-09,4.76,4.83,4.70,4.81,61,0,1
2011-06-10,4.72,4.78,4.68,4.78,159,0,1
2011-06-13,4.78,4.88,4.76,4.85,157,0,1
2011-06-14,4.90,4.99,4.83,4.84,287,0,1
2011-06-15,4.82,4.91,4.81,4.87,140,0,1
2011-06-16,4.89,4.89,4.81,4.83,83,0,1
2011-06-17,4.79,4.81,4.74,4.74,83,0,1
2011-06-20,4.86,4.86,4.64,4.67,285,0,1
2011-06-21,4.69,4.72,4.51,4.51,322,0,1
2011-06-22,4.60,4.60,4.37,4.39,843,0,1
2011-06-24,4.41,4.44,4.35,4.41,289,0,1
2011-06-27,4.46,4.46,4.35,4.40,562,0,1
2011-06-28,4.43,4.47,4.37,4.42,180,0,1
2011-06-29,4.42,4.46,4.38,4.38,116,0,1
2011-06-30,4.38,4.42,4.38,4.41,114,0,1
2011-07-01,4.46,4.58,4.37,4.54,166,0,1
2011-07-04,4.59,4.72,4.53,4.65,229,0,1
2011-07-05,4.61,4.70,4.55,4.59,160,0,1
2011-07-06,4.60,4.73,4.59,4.64,158,0,1
2011-07-07,4.71,4.78,4.67,4.74,130,0,1
2011-07-08,4.73,4.73,4.58,4.69,227,0,1
2011-07-11,4.72,4.72,4.55,4.60,131,0,1
2011-07-12,4.56,4.68,4.54,4.59,234,0,1
2011-07-13,4.69,4.72,4.62,4.72,142,0,1
2011-07-14,4.73,4.76,4.64,4.72,210,0,1
2011-07-15,4.72,4.99,4.71,4.99,361,0,1
2011-07-18,4.99,5.05,4.83,4.95,205,0,1
2011-07-19,5.00,5.00,4.79,4.91,595,0,1
2011-07-20,4.91,4.95,4.80,4.82,189,0,1
2011-07-21,4.82,4.88,4.81,4.83,333,0,1
2011-07-22,4.91,5.21,4.78,5.15,362,0,1
2011-07-25,5.14,5.31,4.97,5.23,521,0,1
2011-07-26,5.28,5.30,5.07,5.13,133,0,1
2011-07-27,5.16,5.16,4.68,4.91,531,0,1
2011-07-28,4.91,4.91,4.74,4.86,91,0,1
2011-07-29,4.79,4.96,4.79,4.96,225,0,1
2011-08-01,5.00,5.40,4.91,5.15,438,0,1
2011-08-02,5.27,5.27,4.94,5.06,373,0,1
2011-08-03,5.06,5.13,4.90,4.96,519,0,1
2011-08-04,4.87,4.94,4.64,4.69,556,0,1
2011-08-05,4.69,5.02,4.56,4.62,328,0,1
2011-08-08,4.55,4.56,4.10,4.31,508,0,1
2011-08-09,4.42,4.60,4.12,4.51,368,0,1
2011-08-10,4.42,4.49,4.27,4.49,242,0,1
