date,open,high,low,close,volume,dividend,split
2017-02-16,15.77,15.77,15.34,15.34,7,0,1
2017-02-17,15.77,15.77,15.77,15.77,5,0,1
2017-02-20,15.95,15.95,15.95,15.95,1,0,1
2017-02-21,15.95,15.95,15.95,15.95,1,0,1
2017-02-22,15.95,15.95,15.95,15.95,1,0,1
2017-02-23,15.95,15.95,15.95,15.95,1,0,1
2017-02-24,15.95,15.95,15.95,15.95,1,0,1
2017-03-01,15.95,15.95,15.73,15.73,4,0,1
2017-03-02,16.65,16.65,16.21,16.43,1,0,1
2017-03-03,16.65,16.65,16.21,16.43,1,0,1
2017-03-06,16.48,17.09,16.21,16.83,5,0,1
2017-03-07,15.86,16.65,15.86,16.11,3,0,1
2017-03-08,15.97,16.65,15.65,16.21,4,0,1
2017-03-09,15.69,16.65,15.45,16.64,1,0,1
2017-03-10,15.86,16.63,15.77,16.38,6,0,1
2017-03-13,16.13,16.13,16.13,16.13,0,0,1
2017-03-14,16.47,16.65,16.21,16.29,0,0,1
2017-03-15,16.21,16.37,16.21,16.37,1,0,1
2017-03-16,16.21,16.64,16.21,16.30,0,0,1
2017-03-17,16.21,16.56,16.21,16.30,1,0,1
2017-03-20,16.04,16.04,15.34,15.34,2,0,1
2017-03-21,15.34,15.34,14.91,14.91,2,0,1
2017-03-22,15.60,16.30,15.60,16.29,155,0,1
2017-03-23,15.93,16.27,15.69,15.69,3,0,1
2017-03-24,15.70,16.03,15.63,15.65,11,0,1
2017-03-27,15.69,15.69,15.60,15.60,0,0,1
2017-03-28,15.73,16.39,15.73,16.39,15,0,1
2017-03-29,16.46,16.65,16.33,16.47,21,0,1
2017-03-30,16.43,16.69,16.21,16.56,87,0,1
2017-03-31,16.46,16.71,16.46,16.65,97,0,1
2017-04-03,16.56,16.87,16.39,16.87,26,0,1
2017-04-04,16.56,17.43,16.56,17.43,6,0,1
2017-04-05,16.85,17.39,16.85,17.16,4,0,1
2017-04-06,16.70,16.79,16.21,16.21,18,0,1
2017-04-07,16.55,16.69,16.52,16.69,2,0,1
2017-04-10,16.40,16.87,16.38,16.64,4,0,1
2017-04-11,16.65,16.65,16.23,16.41,2,0,1
2017-04-12,16.21,16.73,16.21,16.73,6,0,1
2017-04-13,16.31,16.31,15.86,16.13,9886,0,1
2017-04-17,15.26,16.30,15.26,16.13,1002,0,1
2017-04-18,16.13,16.13,15.69,15.77,751,0,1
2017-04-19,15.43,16.13,14.90,15.33,1778,0,1
2017-04-20,14.97,15.73,14.97,15.34,639,0,1
2017-04-24,15.78,15.78,15.60,15.60,2000,0,1
2017-04-25,15.77,15.77,15.77,15.77,0,0,1
2017-04-26,15.77,15.77,15.77,15.77,0,0,1
2017-04-27,15.77,16.04,15.51,16.04,12,0,1
2017-04-28,15.77,16.04,15.51,16.04,12,0,1
2017-05-02,15.77,16.04,15.51,16.04,12,0,1
2017-05-03,16.30,16.65,15.99,16.65,1510,0,1
2017-05-04,16.38,16.38,15.95,16.25,1511,0,1
2017-05-05,16.21,16.30,16.04,16.30,2,0,1
2017-05-08,15.77,16.30,15.77,16.30,0,0,1
2017-05-09,16.30,16.43,16.06,16.43,5,0,1
2017-05-10,16.43,16.96,16.43,16.43,1550,0,1
2017-05-11,16.43,16.64,16.43,16.64,2,0,1
2017-05-12,16.65,16.65,15.92,16.65,0,0,1
2017-05-15,16.48,16.48,16.48,16.48,0,0,1
2017-05-16,16.48,16.48,16.48,16.48,0,0,1
2017-05-17,16.30,16.48,16.13,16.48,11,0,1
