date,open,high,low,close,volume,dividend,split
2017-12-15,12.64,13.22,12.51,13.12,49278,0,1
2017-12-18,13.25,13.35,12.89,13.17,7464,0,1
2017-12-19,13.17,13.33,12.88,13.08,4742,0,1
2017-12-20,13.09,13.53,13.09,13.41,4956,0,1
2017-12-21,13.39,14.13,13.39,13.62,15236,0,1
2017-12-22,13.58,13.94,13.49,13.70,2934,0,1
2017-12-26,13.71,13.86,13.32,13.71,1084,0,1
2017-12-27,13.70,13.74,13.64,13.74,553,0,1
2017-12-28,13.74,14.03,13.67,14.03,1838,0,1
2018-01-02,13.94,14.31,13.74,14.13,3689,0,1
2018-01-03,14.05,14.31,13.99,14.19,7242,0,1
2018-01-04,14.15,14.30,14.03,14.11,1458,0,1
2018-01-05,14.09,14.35,14.01,14.35,3257,0,1
2018-01-08,14.29,14.32,14.05,14.27,3398,0,1
2018-01-09,14.27,14.27,14.08,14.27,3093,0,1
2018-01-10,14.25,14.31,13.99,14.15,5538,0,1
2018-01-11,14.19,14.26,14.02,14.07,1076,0,1
2018-01-12,13.94,14.14,13.59,14.00,2609,0,1
2018-01-15,14.17,14.41,14.03,14.41,608,0,1
2018-01-16,14.46,14.64,14.31,14.42,4828,0,1
2018-01-17,14.42,14.56,14.20,14.56,3530,0,1
2018-01-18,14.56,14.68,14.42,14.68,1925,0,1
2018-01-19,14.60,14.68,14.47,14.68,1528,0,1
2018-01-22,14.60,14.68,14.44,14.46,981,0,1
2018-01-23,14.76,14.92,14.65,14.79,4985,0,1
2018-01-24,14.89,16.16,14.85,15.67,3397,0,1
2018-01-26,15.83,16.24,15.69,16.12,6020,0,1
2018-01-29,16.08,16.57,15.95,16.49,8861,0,1
2018-01-30,16.54,16.73,16.37,16.49,3436,0,1
2018-01-31,16.63,17.32,16.61,17.23,7566,0,1
2018-02-01,17.47,18.05,17.47,17.76,2905,0,1
2018-02-02,17.56,17.74,17.44,17.62,1789,0,1
2018-02-05,17.57,17.57,16.95,16.95,2430,0,1
2018-02-06,16.57,17.11,16.27,17.05,1824,0,1
2018-02-07,17.06,17.43,16.67,17.00,2391,0,1
2018-02-08,17.07,17.47,16.97,17.47,4325,0,1
2018-02-09,17.45,17.45,16.90,16.98,4318,0,1
2018-02-14,17.38,17.95,17.00,17.76,2739,0,1
2018-02-15,17.80,18.35,17.80,18.16,4821,0,1
2018-02-16,18.07,18.44,18.07,18.32,2047,0,1
2018-02-19,18.41,18.46,18.15,18.37,622,0,1
2018-02-20,18.29,18.44,17.96,18.43,3916,0,1
2018-02-21,18.31,18.46,18.25,18.37,2284,0,1
2018-02-22,18.37,18.55,18.29,18.46,3044,0,1
2018-02-23,18.56,18.71,18.13,18.35,1368,0,1
2018-02-26,18.46,18.87,18.30,18.51,1839,0,1
2018-02-27,18.46,18.96,18.31,18.90,1883,0,1
2018-02-28,18.96,19.16,18.53,18.53,1606,0,1
2018-03-01,18.62,18.96,18.33,18.96,2299,0,1
2018-03-02,18.62,18.75,18.33,18.67,968,0,1
2018-03-05,18.67,18.92,18.62,18.88,854,0,1
2018-03-06,18.89,19.02,18.62,18.86,1270,0,1
2018-03-07,18.88,19.04,18.20,18.71,2576,0,1
2018-03-08,18.71,18.91,18.24,18.24,4401,0,1
2018-03-09,18.24,18.49,17.98,18.41,4633,0,1
2018-03-12,18.71,18.83,18.51,18.62,3619,0,1
2018-03-13,18.72,18.92,18.65,18.83,3913,0,1
2018-03-14,19.55,19.89,18.88,18.98,12642,0,1
2018-03-15,19.04,19.43,18.67,19.21,3858,0,1
2018-03-16,19.29,19.29,18.56,18.95,4757,0,1
2018-03-19,18.87,18.90,18.67,18.90,1818,0,1
2018-03-20,18.86,18.88,18.70,18.81,694,0,1
2018-03-21,18.75,19.42,18.62,19.42,4175,0,1
2018-03-22,19.34,19.67,19.19,19.63,1364,0,1
2018-03-23,19.44,19.70,19.07,19.46,963,0,1
2018-03-26,19.66,20.59,19.55,20.31,2467,0,1
2018-03-27,20.46,20.49,19.33,19.89,2459,0,1
2018-03-28,19.93,20.05,19.15,19.20,2062,0,1
2018-03-29,19.41,19.60,19.14,19.37,4687,0,1
2018-04-02,19.37,19.57,18.75,18.75,1067,0,1
2018-04-03,18.94,19.03,18.66,18.84,1279,0,1
2018-04-04,18.51,18.84,18.09,18.70,2380,0,1
2018-04-05,19.29,19.50,18.88,19.02,4289,0,1
2018-04-06,19.02,19.63,18.80,19.48,1673,0,1
2018-04-09,19.71,20.05,19.47,19.63,2609,0,1
2018-04-10,19.88,20.13,19.66,19.71,2783,0,1
2018-04-11,19.63,19.78,19.41,19.65,2503,0,1
2018-04-12,19.69,19.69,19.34,19.55,3943,0,1
2018-04-13,19.58,19.70,19.23,19.46,2560,0,1
2018-04-16,19.46,19.46,18.62,18.71,3922,0,1
2018-04-17,18.87,18.87,18.30,18.49,3482,0,1
2018-04-18,18.61,19.17,18.61,18.86,3248,0,1
2018-04-19,18.99,19.51,18.81,19.29,4197,0,1
2018-04-20,19.25,19.64,19.07,19.07,1677,0,1
2018-04-23,19.03,19.34,18.88,19.08,861,0,1
2018-04-24,19.21,19.45,18.54,18.71,3790,0,1
2018-04-25,18.71,18.86,18.21,18.36,3153,0,1
2018-04-26,18.39,18.94,18.36,18.86,8824,0,1
2018-04-27,18.94,19.46,18.83,19.37,5697,0,1
2018-04-30,19.46,19.67,19.19,19.60,2127,0,1
2018-05-02,19.53,20.01,19.41,19.72,3070,0,1
2018-05-03,19.72,19.89,18.88,19.09,4358,0,1
2018-05-04,19.19,19.20,18.29,18.67,7089,0,1
2018-05-07,18.95,18.95,18.15,18.61,3351,0,1
2018-05-08,18.69,18.78,17.65,17.89,8018,0,1
2018-05-09,17.97,18.22,17.33,18.18,8896,0,1
2018-05-10,18.23,18.73,18.11,18.20,9371,0,1
2018-05-11,18.26,18.36,17.58,18.09,2268,0,1
2018-05-14,18.18,18.43,17.52,17.84,3698,0,1
2018-05-15,17.84,18.26,17.72,18.14,7352,0,1
2018-05-16,18.35,18.42,17.77,18.18,2791,0,1
2018-05-17,18.09,18.17,17.08,17.24,2631,0,1
2018-05-18,17.07,17.07,16.37,16.75,5249,0,1
2018-05-21,16.92,17.17,16.29,16.68,2255,0,1
2018-05-22,16.73,16.98,16.48,16.92,4995,0,1
2018-05-23,16.92,16.98,16.57,16.77,3872,0,1
2018-05-24,15.36,16.43,15.23,16.15,4526,0,1
2018-05-25,16.30,16.81,15.63,15.92,5860,0,1
2018-05-28,15.52,15.52,14.08,14.08,5367,0,1
2018-05-29,14.61,15.41,14.53,15.07,6924,0,1
2018-05-30,15.23,16.17,14.76,15.53,41196,0,1
2018-06-01,15.95,16.50,13.75,14.51,11490,0,1
2018-06-04,15.06,15.62,14.83,15.54,6517,0,1
2018-06-05,15.41,15.68,15.02,15.29,8950,0,1
2018-06-06,15.22,16.25,15.22,16.07,5911,0,1
2018-06-07,15.58,15.74,14.52,15.33,7574,0,1
2018-06-08,15.32,15.65,14.53,14.83,2704,0,1
2018-06-11,15.10,15.11,14.30,14.63,3495,0,1
2018-06-12,14.84,14.88,14.58,14.73,1589,0,1
2018-06-13,14.65,14.77,13.94,14.42,2274,0,1
2018-06-14,14.59,14.59,14.12,14.25,2028,0,1
2018-06-15,14.30,14.49,14.02,14.13,2788,0,1
