date,open,high,low,close,volume,dividend,split
2009-10-09,6.01,6.06,5.87,5.87,1410,0,1
2009-10-13,5.90,6.03,5.78,5.95,1486,0,1
2009-10-14,5.98,6.41,5.98,6.41,2997,0,1
2009-10-15,6.38,6.41,6.24,6.31,2101,0,1
2009-10-16,6.29,6.41,6.15,6.15,817,0,1
2009-10-19,6.24,6.41,6.23,6.37,1458,0,1
2009-10-20,6.15,6.20,5.87,5.98,1742,0,1
2009-10-21,5.96,6.17,5.96,6.12,1630,0,1
2009-10-22,6.15,6.20,5.87,5.93,811,0,1
2009-10-23,6.01,6.05,5.64,5.77,2132,0,1
2009-10-26,5.76,5.80,5.62,5.71,1497,0,1
2009-10-27,5.67,5.71,5.51,5.53,935,0,1
2009-10-28,5.43,5.50,5.05,5.27,4080,0,1
2009-10-29,5.31,5.65,5.31,5.60,1960,0,1
2009-10-30,5.64,5.81,5.23,5.28,1132,0,1
2009-11-03,5.46,5.46,5.22,5.25,2399,0,1
2009-11-04,5.34,5.36,5.20,5.27,2031,0,1
2009-11-05,5.34,5.81,5.34,5.81,1967,0,1
2009-11-06,5.78,5.84,5.60,5.75,2185,0,1
2009-11-09,5.84,6.11,5.75,6.10,1112,0,1
2009-11-10,6.00,6.09,5.88,5.88,1381,0,1
2009-11-11,5.94,5.97,5.83,5.87,1073,0,1
2009-11-12,5.79,6.29,5.79,6.01,2861,0,1
2009-11-13,6.12,6.26,5.97,6.23,1635,0,1
2009-11-16,6.28,6.84,6.19,6.84,2362,0,1
2009-11-17,6.72,6.82,6.46,6.46,1166,0,1
2009-11-18,6.66,6.66,6.47,6.60,2600,0,1
2009-11-19,6.55,6.68,6.44,6.68,1096,0,1
2009-11-23,6.69,6.71,6.44,6.63,2279,0,1
2009-11-24,6.52,6.63,6.52,6.61,936,0,1
2009-11-25,6.58,6.66,6.47,6.63,2864,0,1
2009-11-26,6.55,6.65,6.52,6.63,1529,0,1
2009-11-27,6.47,6.70,6.38,6.70,2746,0,1
2009-11-30,6.67,6.84,6.48,6.70,20178,0,1
2009-12-01,6.75,6.84,6.55,6.55,3334,0,1
2009-12-02,6.62,6.73,6.62,6.63,2441,0,1
2009-12-03,6.62,6.68,6.43,6.55,789,0,1
2009-12-04,6.54,6.67,6.27,6.27,757,0,1
2009-12-07,6.31,6.44,6.19,6.29,1842,0,1
2009-12-08,6.30,6.52,6.08,6.13,2871,0,1
2009-12-09,6.25,6.25,5.90,6.01,3801,0,1
2009-12-10,6.12,6.21,6.10,6.15,2322,0,1
2009-12-11,6.23,6.24,6.10,6.18,865,0,1
2009-12-14,6.23,6.37,6.23,6.26,1264,0,1
2009-12-15,6.34,6.36,6.21,6.31,1974,0,1
2009-12-16,6.28,6.45,6.24,6.38,2117,0,1
2009-12-17,6.20,6.36,6.04,6.12,6555,0,1
2009-12-18,6.07,6.12,6.03,6.03,1888,0,1
2009-12-21,6.10,6.20,6.06,6.08,1369,0,1
2009-12-22,6.16,6.24,6.01,6.09,2515,0,1
2009-12-23,6.11,6.12,5.94,5.98,1190,0,1
2009-12-28,6.10,6.10,5.87,5.87,1187,0,1
2009-12-29,5.92,6.08,5.88,6.03,1349,0,1
2009-12-30,6.06,6.06,5.97,6.01,1631,0,1
2010-01-04,6.06,6.17,6.03,6.03,2589,0,1
2010-01-05,6.07,6.16,6.05,6.15,2806,0,1
2010-01-06,6.16,6.44,6.16,6.43,2693,0,1
2010-01-07,6.41,6.46,6.29,6.34,1378,0,1
2010-01-08,6.43,6.47,6.24,6.29,990,0,1
2010-01-11,6.40,6.42,6.12,6.18,2042,0,1
2010-01-12,6.13,6.15,6.05,6.11,722,0,1
2010-01-13,6.13,6.22,6.05,6.10,3722,0,1
2010-01-14,6.14,6.14,5.80,5.80,5784,0,1
2010-01-15,5.85,5.92,5.81,5.87,5338,0,1
2010-01-18,5.88,5.91,5.84,5.87,2013,0,1
2010-01-19,6.02,6.13,5.87,5.90,6785,0,1
2010-01-20,5.98,6.20,5.89,6.17,64355,0,1
2010-01-21,6.19,6.28,5.88,5.98,6412,0,1
2010-01-22,5.91,6.16,5.88,6.09,2251,0,1
2010-01-26,6.04,6.15,5.97,5.99,2880,0,1
2010-01-27,5.92,6.07,5.85,5.85,5417,0,1
2010-01-28,5.86,5.94,5.71,5.75,4806,0,1
2010-01-29,5.75,5.91,5.65,5.73,4153,0,1
2010-02-01,5.78,5.78,5.65,5.69,4383,0,1
2010-02-02,5.75,5.94,5.67,5.84,3033,0,1
2010-02-03,5.87,6.09,5.84,6.06,3857,0,1
2010-02-04,5.94,5.95,5.67,5.85,4430,0,1
2010-02-05,5.73,5.85,5.53,5.79,1557,0,1
2010-02-08,5.84,5.98,5.78,5.95,828,0,1
2010-02-09,6.00,6.15,5.93,6.15,3333,0,1
2010-02-10,6.19,6.22,6.04,6.21,1173,0,1
2010-02-11,6.14,6.32,6.14,6.32,444,0,1
2010-02-12,6.20,6.23,6.15,6.23,1874,0,1
2010-02-17,6.29,6.36,6.29,6.36,2295,0,1
2010-02-18,6.30,6.35,6.29,6.35,2020,0,1
2010-02-19,6.27,6.38,6.24,6.35,2661,0,1
2010-02-22,6.31,6.33,6.25,6.32,2188,0,1
2010-02-23,6.32,6.32,6.10,6.27,1009,0,1
2010-02-24,6.27,6.27,6.13,6.20,922,0,1
2010-02-25,6.12,6.34,6.05,6.34,1781,0,1
2010-02-26,6.29,6.62,6.12,6.56,3409,0,1
2010-03-01,6.51,6.51,6.43,6.48,1259,0,1
2010-03-02,6.45,6.61,6.43,6.48,1826,0,1
2010-03-03,6.46,6.56,6.36,6.38,1818,0,1
