date,open,high,low,close,volume,dividend,split
2010-07-27,27.89,28.63,27.72,27.94,1774,0,1
2010-07-28,27.66,28.09,27.09,27.58,432,0,1
2010-07-29,27.60,27.84,27.13,27.39,705,0,1
2010-07-30,27.20,28.83,27.20,28.83,926,0,1
2010-08-02,29.00,29.15,28.15,28.18,685,0,1
2010-08-03,28.15,28.25,27.60,27.64,313,0,1
2010-08-04,27.87,28.15,27.45,27.70,481,0,1
2010-08-05,27.57,28.43,27.48,28.15,369,0,1
2010-08-06,27.38,27.69,25.76,26.09,2990,0,1
2010-08-09,26.27,26.27,24.91,25.07,2314,0,1
2010-08-10,24.78,25.83,24.64,25.50,1527,0,1
2010-08-11,25.10,25.32,24.95,24.99,550,0,1
2010-08-12,24.85,25.48,24.74,24.99,555,0,1
2010-08-13,25.04,25.25,24.53,24.86,688,0,1
2010-08-16,24.65,24.89,24.58,24.81,486,0,1
2010-08-17,24.99,25.16,24.84,24.99,530,0,1
2010-08-18,24.99,24.99,24.61,24.63,741,0,1
2010-08-19,24.80,25.54,24.24,25.17,1454,0,1
2010-08-20,25.28,25.59,25.03,25.41,679,0,1
2010-08-23,25.41,25.75,24.48,24.73,911,0,1
2010-08-24,24.39,24.80,24.32,24.73,502,0,1
2010-08-25,24.49,24.81,24.44,24.69,471,0,1
2010-08-26,24.78,24.86,23.88,24.05,962,0,1
2010-08-27,24.11,24.47,23.62,24.31,895,0,1
2010-08-30,24.31,24.31,23.75,23.81,422,0,1
2010-08-31,23.88,24.14,23.77,23.88,1389,0,1
2010-09-01,24.22,25.12,23.97,25.02,1753,0,1
2010-09-02,24.84,25.13,24.31,24.87,506,0,1
2010-09-03,24.98,25.11,24.16,24.72,597,0,1
2010-09-06,24.47,24.73,24.46,24.48,201,0,1
2010-09-08,24.27,24.59,24.18,24.18,600,0,1
2010-09-09,24.35,24.95,24.26,24.70,1219,0,1
2010-09-10,24.82,24.98,24.48,24.61,419,0,1
2010-09-13,24.95,24.97,24.60,24.73,694,0,1
2010-09-14,24.74,25.30,24.68,25.11,954,0,1
2010-09-15,25.04,25.25,24.72,25.17,641,0,1
2010-09-16,25.15,26.18,24.95,26.10,1983,0,1
2010-09-17,26.20,26.90,25.72,26.78,1715,0,1
2010-09-20,26.87,27.29,26.39,27.01,1107,0,1
2010-09-21,27.02,27.28,26.53,27.20,1162,0,1
2010-09-22,26.95,27.80,26.01,27.63,1482,0,1
2010-09-23,27.39,28.36,27.16,27.16,1553,0,1
2010-09-24,27.29,27.95,26.56,26.95,1019,0,1
2010-09-27,26.82,26.94,26.44,26.74,599,0,1
2010-09-28,26.74,27.19,26.62,27.12,362,0,1
2010-09-29,26.93,27.21,26.61,27.21,523,0,1
2010-09-30,27.20,27.25,26.32,26.70,1728,0,1
2010-10-01,26.94,26.95,26.21,26.78,886,0,1
2010-10-04,26.85,26.87,26.55,26.78,475,0,1
2010-10-05,26.78,27.12,26.77,27.03,1134,0,1
2010-10-06,27.14,27.28,26.79,26.93,932,0,1
2010-10-07,27.11,27.11,26.38,26.77,566,0,1
2010-10-08,26.55,26.78,26.40,26.61,503,0,1
2010-10-11,26.60,26.77,26.35,26.44,467,0,1
2010-10-13,26.68,26.68,25.84,26.17,1163,0,1
2010-10-14,26.17,26.17,25.72,25.93,684,0,1
2010-10-15,25.96,26.18,25.80,25.80,481,0,1
2010-10-18,26.09,26.10,25.69,26.00,439,0,1
2010-10-19,25.74,25.94,24.98,24.98,820,0,1
2010-10-20,25.02,25.70,24.90,25.46,785,0,1
2010-10-21,25.35,25.76,24.74,25.17,634,0,1
2010-10-22,25.31,25.37,24.56,25.07,421,0,1
2010-10-25,25.33,25.45,25.12,25.33,260,0,1
2010-10-26,25.17,25.70,24.90,25.63,334,0,1
2010-10-27,25.58,26.05,25.42,26.05,294,0,1
2010-10-28,26.29,26.29,25.73,26.12,350,0,1
2010-10-29,26.13,26.52,25.94,26.52,554,0,1
2010-11-01,26.52,27.06,26.52,27.04,635,0,1
2010-11-03,27.06,27.06,26.36,26.44,769,0,1
2010-11-04,26.70,26.80,26.02,26.75,603,0,1
2010-11-05,25.80,28.10,25.76,28.02,1297,0,1
2010-11-08,28.15,28.15,27.07,27.07,644,0,1
2010-11-09,27.39,27.60,26.05,26.23,541,0,1
2010-11-10,26.35,26.54,25.76,26.54,437,0,1
2010-11-11,26.34,27.69,25.95,27.42,833,0,1
2010-11-12,27.21,27.28,26.58,26.71,331,0,1
2010-11-16,27.19,27.19,26.04,26.53,803,0,1
2010-11-17,26.44,27.74,26.34,27.63,618,0,1
2010-11-18,27.76,27.95,27.38,27.72,541,0,1
