date,open,high,low,close,volume,dividend,split
2010-12-30,4.42,4.50,4.39,4.43,3539,0,1
2011-01-03,4.50,4.53,4.45,4.48,3999,0,1
2011-01-04,4.47,4.48,4.32,4.38,7320,0,1
2011-01-05,4.35,4.38,4.34,4.35,5388,0,1
2011-01-06,4.36,4.37,4.29,4.32,8235,0,1
2011-01-07,4.32,4.32,4.25,4.28,8677,0,1
2011-01-10,4.28,4.35,4.27,4.34,3390,0,1
2011-01-11,4.35,4.37,4.26,4.27,6569,0,1
2011-01-12,4.30,4.31,4.26,4.27,5924,0,1
2011-01-13,4.28,4.30,4.20,4.21,5475,0,1
2011-01-14,4.23,4.31,4.20,4.26,8023,0,1
2011-01-17,4.26,4.27,4.23,4.23,2660,0,1
2011-01-18,4.24,4.29,4.21,4.27,4457,0,1
2011-01-19,4.28,4.30,4.21,4.26,8921,0,1
2011-01-20,4.24,4.31,4.19,4.22,8898,0,1
2011-01-21,4.23,4.23,4.10,4.11,7228,0,1
2011-01-24,4.12,4.20,4.05,4.19,16204,0,1
2011-01-26,4.19,4.30,4.18,4.27,11659,0,1
2011-01-27,4.26,4.27,4.18,4.25,3994,0,1
2011-01-28,4.25,4.25,4.04,4.12,7508,0,1
2011-01-31,4.14,4.14,4.00,4.08,8105,0,1
2011-02-01,4.05,4.11,4.01,4.04,5100,0,1
2011-02-02,4.01,4.01,3.84,3.85,10960,0,1
2011-02-03,3.86,3.95,3.70,3.74,17477,0,1
2011-02-04,3.73,3.85,3.63,3.85,14708,0,1
2011-02-07,3.87,3.96,3.77,3.93,7214,0,1
2011-02-08,3.93,4.01,3.79,3.79,7582,0,1
2011-02-09,3.82,3.83,3.63,3.64,10291,0,1
2011-02-10,3.69,3.84,3.67,3.77,20875,0,1
2011-02-11,3.77,3.98,3.75,3.81,8532,0,1
2011-02-14,3.82,3.86,3.74,3.83,7788,0,1
2011-02-15,3.83,3.89,3.79,3.84,3995,0,1
2011-02-16,3.87,3.99,3.85,3.95,9643,0,1
2011-02-17,3.97,4.29,3.95,4.23,21747,0,1
2011-02-18,4.22,4.42,4.20,4.37,11664,0,1
2011-02-21,4.33,4.37,4.30,4.33,5534,0,1
2011-02-22,4.31,4.52,4.23,4.38,13766,0,1
2011-02-23,4.39,4.52,4.35,4.43,8474,0,1
2011-02-24,4.41,4.52,4.37,4.50,5986,0,1
2011-02-25,4.50,4.51,4.35,4.40,7687,0,1
2011-02-28,4.39,4.45,4.24,4.33,6464,0,1
2011-03-01,4.33,4.36,4.16,4.16,5029,0,1
2011-03-02,4.21,4.34,4.16,4.31,3793,0,1
2011-03-03,4.32,4.41,4.28,4.39,3729,0,1
2011-03-04,4.37,4.41,4.33,4.41,2597,0,1
2011-03-09,4.42,4.59,4.40,4.55,5041,0,1
2011-03-10,4.54,4.67,4.52,4.58,9177,0,1
2011-03-11,4.60,4.73,4.58,4.64,7996,0,1
2011-03-14,4.65,4.81,4.59,4.76,5845,0,1
2011-03-15,4.65,4.79,4.57,4.79,10432,0,1
2011-03-16,4.77,4.79,4.54,4.56,7653,0,1
2011-03-17,4.61,4.66,4.56,4.61,3416,0,1
2011-03-18,4.64,4.77,4.63,4.63,6746,0,1
2011-03-21,4.70,4.75,4.57,4.62,3807,0,1
2011-03-22,4.60,4.80,4.60,4.75,5388,0,1
2011-03-23,4.72,4.75,4.67,4.69,5185,0,1
2011-03-24,4.71,4.80,4.69,4.77,5080,0,1
2011-03-25,4.77,4.86,4.68,4.82,5070,0,1
2011-03-28,4.80,4.83,4.70,4.70,4217,0,1
2011-03-29,4.73,4.80,4.60,4.62,3704,0,1
2011-03-30,4.64,4.74,4.64,4.74,5275,0,1
2011-03-31,4.71,4.82,4.70,4.77,4939,0,1
2011-04-01,4.75,4.94,4.75,4.92,7657,0,1
2011-04-04,4.94,5.07,4.94,4.98,8830,0,1
2011-04-05,4.99,5.06,4.91,4.93,6306,0,1
2011-04-06,4.94,4.96,4.67,4.68,9190,0,1
2011-04-07,4.71,4.85,4.70,4.82,7969,0,1
2011-04-08,4.79,4.86,4.68,4.76,5057,0,1
2011-04-11,4.77,4.83,4.70,4.70,5525,0,1
2011-04-12,4.70,4.77,4.66,4.70,5496,0,1
2011-04-13,4.73,4.77,4.68,4.72,4568,0,1
2011-04-14,4.70,4.80,4.67,4.67,4828,0,1
2011-04-15,4.70,4.72,4.67,4.68,4074,0,1
2011-04-18,4.70,4.79,4.56,4.75,4511,0,1
2011-04-19,4.75,4.89,4.69,4.75,6035,0,1
2011-04-20,4.83,4.85,4.65,4.70,5418,0,1
2011-04-25,4.68,4.74,4.64,4.68,5097,0,1
2011-04-26,4.68,4.80,4.67,4.78,6598,0,1
2011-04-27,4.76,4.81,4.74,4.80,3749,0,1
2011-04-28,4.74,5.13,4.73,5.06,17028,0,1
2011-04-29,5.05,5.28,5.00,5.01,15805,0,1
2011-05-02,5.15,5.25,5.05,5.13,10375,0,1
2011-05-03,5.12,5.12,4.92,4.99,7091,0,1
2011-05-04,5.00,5.12,4.94,4.99,7160,0,1
2011-05-05,5.38,5.55,5.29,5.55,22244,0,1
2011-05-06,5.55,5.71,5.46,5.70,7178,0,1
2011-05-09,5.65,5.70,5.50,5.61,6977,0,1
2011-05-10,5.60,5.66,5.46,5.48,5416,0,1
2011-05-11,5.47,5.56,5.39,5.44,5679,0,1
2011-05-12,5.41,5.51,5.37,5.39,7750,0,1
2011-05-13,5.44,5.44,5.29,5.32,5481,0,1
2011-05-16,5.32,5.37,5.25,5.28,5283,0,1
2011-05-17,5.31,5.41,5.26,5.37,5096,0,1
2011-05-18,5.41,5.47,5.27,5.27,4583,0,1
2011-05-19,5.36,5.44,5.25,5.25,4887,0,1
2011-05-20,5.27,5.33,5.15,5.17,4983,0,1
2011-05-23,5.15,5.22,5.15,5.17,5266,0,1
2011-05-24,5.25,5.39,5.23,5.39,6263,0,1
2011-05-25,5.41,5.53,5.36,5.50,6671,0,1
2011-05-26,5.54,5.56,5.29,5.41,7740,0,1
2011-05-27,5.42,5.48,5.32,5.41,6194,0,1
2011-05-30,5.39,5.40,5.33,5.38,1346,0,1
2011-05-31,5.38,5.48,5.36,5.42,7623,0,1
2011-06-01,5.39,5.53,5.39,5.44,6653,0,1
2011-06-02,5.44,5.57,5.44,5.51,6641,0,1
2011-06-03,5.50,5.57,5.45,5.51,3342,0,1
2011-06-06,5.53,5.53,5.42,5.48,3231,0,1
2011-06-07,5.51,5.55,5.41,5.46,4815,0,1
2011-06-08,5.41,5.44,5.37,5.38,3651,0,1
2011-06-09,5.40,5.50,5.35,5.49,4434,0,1
2011-06-10,5.48,5.50,5.44,5.49,6015,0,1
2011-06-13,5.49,5.53,5.41,5.44,4268,0,1
2011-06-14,5.47,5.50,5.41,5.47,5939,0,1
2011-06-15,5.40,5.50,5.40,5.45,8500,0,1
2011-06-16,5.45,5.48,5.32,5.35,7801,0,1
2011-06-17,5.29,5.35,5.17,5.24,9909,0,1
2011-06-20,5.19,5.27,5.19,5.25,5004,0,1
2011-06-21,5.25,5.27,5.24,5.26,6915,0,1
2011-06-22,5.26,5.35,5.24,5.24,5910,0,1
2011-06-24,5.33,5.33,5.25,5.28,6682,0,1
2011-06-27,5.32,5.33,5.23,5.23,4028,0,1
2011-06-28,5.24,5.24,5.19,5.23,3755,0,1
2011-06-29,5.24,5.28,5.15,5.28,5584,0,1
2011-06-30,5.31,5.38,5.26,5.38,4630,0,1
2011-07-01,5.37,5.49,5.31,5.41,4853,0,1
2011-07-04,5.39,5.45,5.32,5.42,2893,0,1
2011-07-05,5.41,5.43,5.27,5.38,4705,0,1
