date,open,high,low,close,volume,dividend,split
2011-01-04,5.49,5.53,5.43,5.50,3010,0,1
2011-01-05,5.50,5.54,5.45,5.54,2755,0,1
2011-01-06,5.57,5.57,5.49,5.51,2706,0,1
2011-01-07,5.54,5.65,5.50,5.65,2154,0,1
2011-01-10,5.61,5.66,5.52,5.54,4000,0,1
2011-01-11,5.58,5.63,5.52,5.62,2101,0,1
2011-01-12,5.60,5.78,5.59,5.78,2567,0,1
2011-01-13,5.77,5.90,5.76,5.87,3837,0,1
2011-01-14,5.86,5.94,5.86,5.93,3549,0,1
2011-01-17,5.90,5.97,5.82,5.96,1842,0,1
2011-01-18,5.97,5.97,5.80,5.80,2038,0,1
2011-01-19,5.83,5.86,5.70,5.77,1380,0,1
2011-01-20,5.74,5.80,5.60,5.62,2569,0,1
2011-01-21,5.63,5.66,5.49,5.50,3783,0,1
2011-01-24,5.54,5.59,5.50,5.52,2326,0,1
2011-01-26,5.55,5.66,5.50,5.56,2931,0,1
2011-01-27,5.56,5.64,5.53,5.54,2470,0,1
2011-01-28,5.56,5.56,5.41,5.44,2566,0,1
2011-01-31,5.48,5.54,5.41,5.48,3026,0,1
2011-02-01,5.50,5.53,5.42,5.44,2338,0,1
2011-02-02,5.44,5.52,5.40,5.40,2792,0,1
2011-02-03,5.41,5.43,5.36,5.40,1301,0,1
2011-02-04,5.39,5.44,5.25,5.25,2538,0,1
2011-02-07,5.34,5.39,5.26,5.36,1019,0,1
2011-02-08,5.35,5.37,5.27,5.30,2944,0,1
2011-02-09,5.27,5.32,5.24,5.24,2295,0,1
2011-02-10,5.27,5.30,5.24,5.24,1842,0,1
2011-02-11,5.26,5.30,5.16,5.22,3096,0,1
2011-02-14,5.19,5.24,5.17,5.21,2041,0,1
2011-02-15,5.22,5.29,5.19,5.23,1978,0,1
2011-02-16,5.27,5.40,5.25,5.40,3434,0,1
2011-02-17,5.40,5.44,5.35,5.39,2032,0,1
2011-02-18,5.39,5.46,5.35,5.45,2434,0,1
2011-02-21,5.44,5.55,5.42,5.53,2246,0,1
2011-02-22,5.47,5.52,5.42,5.52,3287,0,1
2011-02-23,5.48,5.53,5.39,5.40,3047,0,1
2011-02-24,5.40,5.42,5.36,5.36,2384,0,1
2011-02-25,5.39,5.46,5.32,5.38,2913,0,1
2011-02-28,5.35,5.54,5.35,5.53,3948,0,1
2011-03-01,5.55,5.61,5.50,5.50,3124,0,1
2011-03-02,5.53,5.62,5.50,5.60,2448,0,1
2011-03-03,5.61,5.71,5.57,5.71,2296,0,1
2011-03-04,5.70,5.78,5.63,5.78,1810,0,1
2011-03-09,5.78,5.85,5.74,5.80,2013,0,1
2011-03-10,5.80,5.88,5.76,5.81,4285,0,1
2011-03-11,5.83,5.95,5.77,5.94,3398,0,1
2011-03-14,5.89,5.96,5.81,5.96,2410,0,1
2011-03-15,5.79,5.91,5.79,5.87,3546,0,1
2011-03-16,5.86,5.94,5.66,5.71,2958,0,1
2011-03-17,5.72,5.82,5.70,5.80,2165,0,1
2011-03-18,5.84,5.90,5.74,5.74,3235,0,1
2011-03-21,5.83,5.87,5.75,5.80,1928,0,1
2011-03-22,5.77,5.89,5.73,5.88,2197,0,1
2011-03-23,5.84,5.92,5.80,5.90,2307,0,1
2011-03-24,5.92,5.98,5.85,5.98,2627,0,1
2011-03-25,5.97,6.06,5.90,6.00,2905,0,1
2011-03-28,6.00,6.05,5.94,6.02,2193,0,1
2011-03-29,6.01,6.23,6.00,6.15,4546,0,1
2011-03-30,6.13,6.20,6.08,6.18,3310,0,1
2011-03-31,6.20,6.24,6.11,6.24,3577,0,1
2011-04-01,6.18,6.47,6.18,6.47,3652,0,1
2011-04-04,6.48,6.59,6.40,6.41,3954,0,1
2011-04-05,6.38,6.61,6.38,6.55,2834,0,1
2011-04-06,6.54,6.56,6.46,6.46,2291,0,1
2011-04-07,6.45,6.48,6.40,6.42,2828,0,1
2011-04-08,6.44,6.45,6.25,6.32,2424,0,1
2011-04-11,6.37,6.37,6.20,6.21,2739,0,1
2011-04-12,6.22,6.26,6.15,6.17,2543,0,1
2011-04-13,6.19,6.28,6.17,6.21,4940,0,1
2011-04-14,6.24,6.29,6.18,6.18,2947,0,1
2011-04-15,6.18,6.26,6.12,6.12,3871,0,1
2011-04-18,6.12,6.25,6.08,6.21,3531,0,1
2011-04-19,6.24,6.36,6.20,6.31,2679,0,1
2011-04-20,6.39,6.39,6.14,6.24,3330,0,1
