date,open,high,low,close,volume,dividend,split
2009-11-23,1.95,1.95,1.88,1.88,1984,0,1
2009-11-24,1.89,1.89,1.87,1.87,305,0,1
2009-11-25,1.85,1.87,1.79,1.84,1255,0,1
2009-11-26,1.84,1.84,1.81,1.82,127,0,1
2009-11-27,1.79,1.84,1.74,1.83,950,0,1
2009-11-30,1.84,1.86,1.79,1.84,1403,0,1
2009-12-01,1.86,1.86,1.79,1.83,962,0,1
2009-12-02,1.83,1.88,1.83,1.84,252,0,1
2009-12-03,1.89,1.89,1.87,1.87,147,0,1
2009-12-04,1.85,1.90,1.83,1.85,685,0,1
2009-12-07,1.85,1.85,1.78,1.79,8808,0,1
2009-12-08,1.79,1.81,1.71,1.71,1521,0,1
2009-12-09,1.75,1.75,1.66,1.68,1666,0,1
2009-12-10,1.70,1.74,1.67,1.68,798,0,1
2009-12-11,1.73,1.73,1.65,1.66,1369,0,1
2009-12-14,1.67,1.68,1.66,1.66,601,0,1
2009-12-15,1.68,1.69,1.66,1.68,1517,0,1
2009-12-16,1.69,1.76,1.67,1.67,1992,0,1
2009-12-17,1.70,1.72,1.67,1.68,1967,0,1
2009-12-18,1.72,1.77,1.71,1.77,4601,0,1
2009-12-21,1.80,1.81,1.76,1.80,1155,0,1
2009-12-22,1.80,1.85,1.80,1.82,2112,0,1
2009-12-23,1.85,1.87,1.83,1.86,1099,0,1
2009-12-28,1.87,1.87,1.79,1.85,495,0,1
2009-12-29,1.82,1.88,1.81,1.83,1405,0,1
2009-12-30,1.85,1.85,1.78,1.85,1161,0,1
2010-01-04,1.85,1.89,1.84,1.89,739,0,1
2010-01-05,1.89,1.92,1.85,1.92,261,0,1
2010-01-06,1.86,2.00,1.86,1.96,1497,0,1
2010-01-07,2.00,2.00,1.95,1.97,1453,0,1
2010-01-08,2.00,2.03,1.95,1.99,1447,0,1
2010-01-11,1.99,2.02,1.94,1.94,485,0,1
2010-01-12,1.95,2.00,1.94,2.00,416,0,1
2010-01-13,2.00,2.07,1.99,2.06,1088,0,1
2010-01-14,2.09,2.09,2.03,2.04,423,0,1
2010-01-15,2.03,2.05,2.02,2.04,408,0,1
2010-01-18,2.04,2.04,1.99,2.04,50,0,1
2010-01-19,2.00,2.05,2.00,2.05,236,0,1
2010-01-20,2.02,2.04,1.98,2.04,297,0,1
2010-01-21,2.05,2.05,1.95,2.00,338,0,1
2010-01-22,2.00,2.06,2.00,2.04,1277,0,1
2010-01-26,2.04,2.05,1.96,2.05,500,0,1
2010-01-27,2.02,2.03,1.98,2.01,424,0,1
