date,open,high,low,close,volume,dividend,split
2017-07-20,14.34,14.42,13.77,14.29,34489,0,1
2017-07-21,14.43,14.46,14.26,14.39,4515,0,1
2017-07-24,14.43,14.58,14.39,14.53,4833,0,1
2017-07-25,14.49,14.77,14.40,14.77,5926,0,1
2017-07-26,14.82,14.83,14.48,14.48,9220,0,1
2017-07-27,14.56,14.62,14.43,14.52,2439,0,1
2017-07-28,14.52,14.56,14.34,14.39,2768,0,1
2017-07-31,14.39,14.66,14.33,14.52,5118,0,1
2017-08-01,14.59,14.76,14.49,14.63,2329,0,1
2017-08-02,14.63,14.70,14.53,14.64,1489,0,1
2017-08-03,14.61,14.69,14.48,14.63,2652,0,1
2017-08-04,14.63,14.67,14.14,14.14,7918,0,1
2017-08-07,14.29,14.32,13.84,14.10,3439,0,1
2017-08-08,14.10,14.18,13.91,14.02,2644,0,1
2017-08-09,14.05,14.06,13.68,13.85,3586,0,1
2017-08-10,13.86,13.93,13.52,13.90,3139,0,1
2017-08-11,14.03,14.61,14.03,14.57,6112,0,1
2017-08-14,14.62,14.62,14.42,14.48,2167,0,1
2017-08-15,14.46,14.56,14.32,14.54,1441,0,1
2017-08-16,14.54,14.55,14.30,14.46,1747,0,1
2017-08-17,14.46,14.46,14.24,14.28,5984,0,1
2017-08-18,14.37,14.39,14.13,14.19,1360,0,1
2017-08-21,14.19,14.23,13.73,13.95,1474,0,1
2017-08-22,14.05,14.20,13.86,13.86,2691,0,1
2017-08-23,13.97,14.34,13.85,14.29,1056,0,1
2017-08-24,14.29,14.76,14.29,14.76,2184,0,1
2017-08-25,14.72,14.84,14.48,14.79,1834,0,1
2017-08-28,15.22,15.67,15.15,15.42,8039,0,1
2017-08-29,15.42,16.05,15.35,15.76,6850,0,1
2017-08-30,15.82,16.06,15.35,15.35,5597,0,1
2017-08-31,14.96,15.20,14.73,15.15,9121,0,1
2017-09-01,15.30,15.53,15.15,15.18,3249,0,1
2017-09-04,15.22,15.62,15.22,15.44,1843,0,1
2017-09-05,15.56,15.67,15.32,15.42,3744,0,1
2017-09-06,15.60,15.60,15.15,15.49,1988,0,1
2017-09-08,15.39,15.67,15.31,15.57,2589,0,1
2017-09-11,15.67,16.18,15.58,16.02,5689,0,1
2017-09-12,15.84,16.14,15.73,15.92,1326,0,1
2017-09-13,15.93,16.01,15.75,15.81,1180,0,1
2017-09-14,15.81,15.96,15.57,15.78,804,0,1
2017-09-15,15.73,15.97,15.63,15.97,3090,0,1
2017-09-18,16.01,16.11,15.59,16.11,3483,0,1
2017-09-19,16.16,16.38,15.74,16.23,4705,0,1
2017-09-20,16.25,16.34,15.95,16.26,2388,0,1
2017-09-21,16.30,16.30,15.83,16.28,1408,0,1
2017-09-22,16.24,16.28,15.55,15.72,8837,0,1
2017-09-25,15.89,15.89,15.06,15.38,2944,0,1
2017-09-26,15.40,15.66,15.25,15.44,5143,0,1
2017-09-27,15.63,15.63,15.15,15.25,753,0,1
2017-09-28,15.26,15.35,14.73,15.11,2144,0,1
2017-09-29,15.11,15.25,14.74,14.88,1929,0,1
2017-10-02,14.88,14.88,14.58,14.58,2059,0,1
2017-10-03,14.60,14.85,14.43,14.74,3692,0,1
2017-10-04,14.82,15.10,14.75,15.06,1581,0,1
2017-10-05,15.12,15.63,15.12,15.36,2847,0,1
2017-10-06,15.36,15.50,15.21,15.44,3011,0,1
2017-10-09,15.34,15.46,15.25,15.39,4946,0,1
2017-10-10,15.39,15.61,15.36,15.52,3667,0,1
2017-10-11,15.51,15.62,15.25,15.35,877,0,1
2017-10-13,15.43,15.76,15.36,15.45,3139,0,1
2017-10-16,15.53,15.70,15.08,15.13,1823,0,1
2017-10-17,15.20,15.34,14.89,14.93,1353,0,1
2017-10-18,15.09,15.73,14.96,15.63,5377,0,1
2017-10-19,15.58,15.73,15.22,15.58,2790,0,1
2017-10-20,15.58,15.92,15.54,15.69,1370,0,1
2017-10-23,15.69,15.82,15.27,15.50,2520,0,1
2017-10-24,15.50,15.65,15.33,15.48,886,0,1
2017-10-25,15.48,15.78,15.36,15.57,1122,0,1
2017-10-26,15.67,15.73,15.36,15.37,1085,0,1
2017-10-27,15.39,15.73,15.17,15.55,1335,0,1
2017-10-30,15.55,15.55,15.18,15.23,1697,0,1
2017-10-31,15.33,15.80,15.11,15.42,1855,0,1
2017-11-01,15.43,15.61,15.30,15.48,1532,0,1
2017-11-03,15.39,16.06,15.39,15.67,2754,0,1
2017-11-06,15.59,15.73,15.45,15.45,1725,0,1
2017-11-07,15.41,15.59,15.12,15.15,3695,0,1
2017-11-08,15.22,15.47,15.11,15.36,1189,0,1
2017-11-09,15.35,15.35,14.50,14.63,4478,0,1
2017-11-10,14.64,14.82,14.16,14.19,2507,0,1
2017-11-13,14.28,14.35,13.72,13.91,8650,0,1
2017-11-14,14.17,14.27,13.86,13.91,10380,0,1
2017-11-16,14.00,14.25,13.93,14.15,5115,0,1
2017-11-17,14.21,14.34,14.02,14.10,4863,0,1
2017-11-21,14.16,14.34,14.00,14.21,7986,0,1
2017-11-22,14.29,14.39,14.15,14.34,5913,0,1
2017-11-23,14.41,14.66,14.21,14.50,4950,0,1
2017-11-24,14.50,14.74,14.12,14.49,1921,0,1
2017-11-27,14.54,15.15,14.30,15.15,8006,0,1
2017-11-28,15.07,15.70,15.07,15.56,11424,0,1
2017-11-29,15.53,15.70,14.97,15.06,11693,0,1
2017-11-30,15.13,15.24,14.41,14.57,47233,0,1
2017-12-01,14.57,14.93,14.19,14.45,3133,0,1
2017-12-04,14.52,14.91,14.44,14.84,2523,0,1
2017-12-05,14.73,15.07,14.53,14.82,1440,0,1
2017-12-06,14.67,15.02,14.65,15.02,4593,0,1
2017-12-07,14.92,15.15,14.60,15.06,1862,0,1
2017-12-08,15.16,15.22,14.83,14.88,1308,0,1
2017-12-11,15.03,15.40,14.70,15.14,1253,0,1
2017-12-12,14.95,15.24,14.81,15.02,475,0,1
2017-12-13,15.02,15.21,14.67,14.67,2024,0,1
2017-12-14,14.65,14.86,14.43,14.54,2662,0,1
2017-12-15,14.46,14.81,14.46,14.72,2349,0,1
2017-12-18,14.77,14.95,14.49,14.55,2091,0,1
2017-12-19,14.60,14.72,14.08,14.10,2494,0,1
2017-12-20,14.24,14.29,13.96,14.10,2061,0,1
2017-12-21,14.15,14.18,13.89,14.00,3102,0,1
2017-12-22,14.05,14.18,13.92,14.14,1235,0,1
2017-12-26,14.08,14.39,14.08,14.19,618,0,1
2017-12-27,14.21,14.49,14.21,14.43,1560,0,1
2017-12-28,14.39,14.63,14.38,14.63,2043,0,1
2018-01-02,14.58,14.93,14.51,14.86,1956,0,1
2018-01-03,14.86,14.96,14.65,14.76,1422,0,1
2018-01-04,14.78,14.87,14.49,14.49,1223,0,1
2018-01-05,14.50,14.52,14.29,14.39,1747,0,1
2018-01-08,14.42,14.48,14.01,14.01,1959,0,1
2018-01-09,14.08,14.21,13.88,13.88,5387,0,1
2018-01-10,13.98,14.06,13.45,13.62,5695,0,1
2018-01-11,13.69,13.90,13.33,13.73,4976,0,1
2018-01-12,13.73,14.11,13.54,14.03,2438,0,1
2018-01-15,14.03,14.07,13.92,13.94,1965,0,1
2018-01-16,14.00,14.04,13.84,13.92,1309,0,1
2018-01-17,13.98,14.34,13.94,14.34,4525,0,1
2018-01-18,14.35,14.39,14.11,14.11,2090,0,1
2018-01-19,14.23,14.23,14.00,14.23,7802,0,1
2018-01-22,14.17,14.52,14.13,14.51,4015,0,1
2018-01-23,14.76,14.87,14.41,14.53,9706,0,1
2018-01-24,14.60,14.89,14.41,14.89,8662,0,1
2018-01-26,14.87,15.65,14.62,15.43,7069,0,1
2018-01-29,15.35,15.54,15.09,15.36,11192,0,1
2018-01-30,15.35,15.38,15.06,15.21,2335,0,1
2018-01-31,15.26,15.53,15.26,15.44,4941,0,1
2018-02-01,15.36,15.82,15.36,15.74,2593,0,1
2018-02-02,15.67,15.67,14.99,15.08,3341,0,1
2018-02-05,15.02,15.25,14.77,14.80,3192,0,1
2018-02-06,14.66,15.01,14.24,14.83,2211,0,1
2018-02-07,14.77,15.15,14.58,14.66,4682,0,1
2018-02-08,14.66,14.72,14.10,14.25,2393,0,1
2018-02-09,14.31,14.31,13.76,13.99,1348,0,1
2018-02-14,13.99,14.32,13.91,14.21,2458,0,1
2018-02-15,14.34,14.48,14.07,14.21,4035,0,1
2018-02-16,14.33,14.35,14.07,14.35,1682,0,1
2018-02-19,14.39,14.43,14.16,14.29,662,0,1
2018-02-20,14.28,14.28,13.84,13.87,5627,0,1
2018-02-21,13.91,14.06,13.71,13.75,4117,0,1
2018-02-22,13.75,13.90,13.62,13.71,3721,0,1
2018-02-23,13.78,14.19,13.74,14.19,1562,0,1
2018-02-26,14.25,14.25,13.76,13.94,2348,0,1
2018-02-27,13.95,14.07,13.68,13.92,2573,0,1
2018-02-28,14.34,14.54,13.92,14.24,8616,0,1
2018-03-01,14.26,14.37,13.95,14.29,2797,0,1
2018-03-02,14.25,14.58,13.95,14.38,2008,0,1
2018-03-05,14.39,14.85,14.32,14.76,4565,0,1
2018-03-06,14.82,14.90,14.44,14.72,2003,0,1
2018-03-07,14.71,14.87,14.40,14.60,2963,0,1
2018-03-08,14.54,14.65,14.23,14.32,2999,0,1
2018-03-09,14.39,14.67,14.29,14.49,2470,0,1
2018-03-12,14.65,14.92,14.50,14.74,1519,0,1
2018-03-13,14.82,14.82,14.29,14.29,1195,0,1
2018-03-14,14.34,14.35,13.86,14.21,1344,0,1
2018-03-15,14.29,14.55,14.22,14.33,1589,0,1
2018-03-16,14.33,14.58,14.18,14.42,2340,0,1
2018-03-19,14.33,14.55,14.25,14.53,1263,0,1
2018-03-20,14.49,14.49,14.22,14.31,810,0,1
2018-03-21,14.31,14.37,14.11,14.11,1364,0,1
2018-03-22,14.11,14.41,14.11,14.32,947,0,1
2018-03-23,14.29,14.42,14.29,14.42,1647,0,1
2018-03-26,14.43,14.61,14.30,14.55,1597,0,1
2018-03-27,14.58,14.67,14.09,14.09,2011,0,1
2018-03-28,14.15,14.30,13.94,14.17,1030,0,1
2018-03-29,14.29,14.48,14.17,14.39,916,0,1
2018-04-02,14.45,14.52,14.12,14.12,3195,0,1
2018-04-03,14.18,14.31,13.87,14.17,4315,0,1
2018-04-04,13.99,14.18,13.95,14.09,654,0,1
2018-04-05,14.20,14.29,13.91,13.95,4355,0,1
2018-04-06,13.95,14.02,13.71,13.86,1477,0,1
2018-04-09,14.01,14.01,13.71,13.75,1256,0,1
2018-04-10,13.76,13.94,13.73,13.81,1393,0,1
2018-04-11,13.97,14.05,13.58,13.65,3290,0,1
2018-04-12,13.72,13.83,13.47,13.49,2746,0,1
2018-04-13,13.49,13.81,13.45,13.76,1904,0,1
2018-04-16,13.83,13.91,13.45,13.53,1284,0,1
2018-04-17,13.55,13.67,13.47,13.54,1866,0,1
2018-04-18,13.65,13.75,13.48,13.57,2806,0,1
2018-04-19,13.62,13.81,13.49,13.80,2864,0,1
2018-04-20,13.71,13.98,13.63,13.89,2567,0,1
2018-04-23,13.75,14.26,13.75,14.10,1393,0,1
2018-04-24,13.99,14.65,13.98,14.53,6976,0,1
2018-04-25,14.43,14.69,14.40,14.63,6784,0,1
2018-04-26,14.63,14.82,14.32,14.34,5640,0,1
2018-04-27,14.35,14.72,14.23,14.39,3135,0,1
2018-04-30,14.52,14.61,14.37,14.48,656,0,1
2018-05-02,14.55,14.57,14.16,14.19,930,0,1
2018-05-03,14.20,14.24,14.03,14.10,752,0,1
2018-05-04,14.11,14.31,13.99,14.04,1019,0,1
2018-05-07,14.13,14.63,14.11,14.11,1009,0,1
2018-05-08,14.21,14.46,14.10,14.35,1040,0,1
2018-05-09,14.41,15.19,14.23,15.19,4587,0,1
2018-05-10,15.11,15.57,14.90,15.57,3244,0,1
2018-05-11,15.46,15.58,15.39,15.53,1451,0,1
2018-05-14,15.37,15.71,15.35,15.67,2047,0,1
2018-05-15,15.43,15.81,14.88,15.00,2845,0,1
2018-05-16,14.85,15.58,14.75,15.53,1277,0,1
2018-05-17,15.38,15.67,15.03,15.08,2152,0,1
2018-05-18,15.05,15.05,14.55,14.63,2223,0,1
2018-05-21,14.74,14.83,14.46,14.61,893,0,1
2018-05-22,14.52,15.05,14.47,14.77,618,0,1
2018-05-23,14.75,14.94,14.50,14.64,1341,0,1
2018-05-24,14.48,15.27,14.37,14.88,2356,0,1
2018-05-25,14.91,15.33,14.56,14.89,2740,0,1
2018-05-28,14.84,14.84,14.18,14.42,800,0,1
2018-05-29,14.57,15.20,14.48,14.78,1640,0,1
2018-05-30,14.78,15.60,14.63,15.39,4088,0,1
2018-06-01,15.38,15.63,14.78,15.45,2104,0,1
2018-06-04,15.42,15.82,15.19,15.77,1774,0,1
2018-06-05,15.70,15.87,15.28,15.51,746,0,1
2018-06-06,15.49,15.51,14.66,14.94,1251,0,1
2018-06-07,15.09,15.50,14.48,15.24,4381,0,1
2018-06-08,15.11,15.23,14.52,14.83,3299,0,1
2018-06-11,14.79,14.94,14.17,14.85,2616,0,1
2018-06-12,14.93,15.19,14.64,15.05,3250,0,1
2018-06-13,15.04,15.85,14.77,15.42,4617,0,1
2018-06-14,15.45,15.80,15.29,15.52,2749,0,1
2018-06-15,15.49,15.53,14.84,14.84,3149,0,1
2018-06-18,14.89,14.89,14.30,14.34,2095,0,1
