date,open,high,low,close,volume,dividend,split
2010-06-04,13.44,13.47,13.14,13.28,718,0,1
2010-06-07,13.18,13.30,12.91,13.08,890,0,1
2010-06-08,13.08,13.61,13.05,13.61,895,0,1
2010-06-09,13.68,13.74,13.31,13.44,864,0,1
2010-06-10,13.44,13.80,13.44,13.74,1156,0,1
2010-06-11,13.82,14.15,13.62,13.84,1638,0,1
2010-06-14,13.86,14.07,13.72,13.91,1074,0,1
2010-06-15,13.94,14.54,13.86,14.42,1400,0,1
2010-06-16,14.39,15.00,14.28,15.00,2406,0,1
2010-06-17,15.01,15.07,14.68,15.05,1617,0,1
2010-06-18,14.94,15.08,14.84,14.98,1060,0,1
2010-06-21,15.10,15.16,14.83,14.96,1462,0,1
2010-06-22,14.87,15.21,14.77,14.98,1615,0,1
2010-06-23,15.01,15.16,14.78,14.92,656,0,1
2010-06-24,14.84,15.14,14.56,15.07,793,0,1
2010-06-25,15.09,15.13,14.79,15.04,655,0,1
2010-06-28,15.04,15.14,15.02,15.11,776,0,1
2010-06-29,14.91,15.04,14.39,14.97,1595,0,1
2010-06-30,14.79,15.29,14.70,15.03,1332,0,1
2010-07-01,14.90,15.78,14.88,15.17,2383,0,1
2010-07-02,15.19,15.31,14.98,15.21,800,0,1
2010-07-05,15.31,15.31,15.05,15.17,1256,0,1
2010-07-06,15.25,15.52,15.25,15.39,2370,0,1
2010-07-07,15.38,15.67,15.38,15.51,857,0,1
2010-07-08,15.51,16.04,15.39,16.04,1540,0,1
2010-07-12,15.95,16.37,15.68,16.04,864,0,1
2010-07-13,16.04,16.22,15.71,16.07,1520,0,1
2010-07-14,16.08,16.08,15.64,16.03,1030,0,1
2010-07-15,16.04,16.07,15.66,15.97,905,0,1
2010-07-16,15.83,15.94,15.51,15.57,464,0,1
2010-07-19,15.75,16.04,15.45,15.84,433,0,1
2010-07-20,15.93,15.97,15.73,15.81,642,0,1
2010-07-21,15.95,16.03,15.67,15.74,1015,0,1
2010-07-22,15.97,16.01,15.74,15.74,1427,0,1
2010-07-23,15.78,15.97,15.62,15.77,770,0,1
2010-07-26,15.78,16.03,15.59,15.67,1026,0,1
2010-07-27,15.91,16.48,15.86,16.44,1529,0,1
2010-07-28,16.50,16.92,16.39,16.48,2277,0,1
2010-07-29,16.64,16.92,16.51,16.57,996,0,1
2010-07-30,16.27,16.97,16.24,16.64,1115,0,1
2010-08-02,17.03,17.35,16.76,16.94,1648,0,1
2010-08-03,16.80,16.98,16.39,16.43,816,0,1
2010-08-04,16.60,16.60,15.94,16.30,1174,0,1
2010-08-05,16.20,17.15,16.10,16.94,995,0,1
2010-08-06,16.88,17.15,16.43,16.64,1591,0,1
2010-08-09,16.67,16.77,16.25,16.45,1033,0,1
2010-08-10,16.23,16.81,16.15,16.74,659,0,1
2010-08-11,16.47,16.90,16.26,16.64,1020,0,1
2010-08-12,16.51,16.88,16.30,16.71,714,0,1
2010-08-13,16.88,16.88,16.17,16.28,1154,0,1
2010-08-16,16.30,16.30,15.86,16.20,976,0,1
2010-08-17,16.30,16.47,16.13,16.13,1179,0,1
2010-08-18,15.75,16.10,15.52,16.01,2648,0,1
