date,open,high,low,close,volume,dividend,split
2010-05-07,18.12,18.25,17.38,17.73,5886,0,1
2010-05-10,18.68,18.95,18.43,18.56,5489,0,1
2010-05-11,18.34,18.76,18.25,18.31,3779,0,1
2010-05-12,18.40,18.59,18.25,18.30,3674,0,1
2010-05-13,18.37,18.45,17.94,18.02,2626,0,1
2010-05-14,17.87,18.00,17.33,17.49,3950,0,1
2010-05-17,17.46,17.46,16.67,16.86,5069,0,1
2010-05-18,17.11,17.19,16.22,16.25,5880,0,1
2010-05-19,16.07,16.22,15.71,16.19,5743,0,1
2010-05-20,15.88,15.97,15.41,15.55,7559,0,1
2010-05-21,15.57,16.49,15.45,16.49,6004,0,1
2010-05-24,16.50,16.71,16.24,16.24,4165,0,1
2010-05-25,15.56,16.22,15.48,16.19,4277,0,1
2010-05-26,16.44,16.65,16.22,16.22,3985,0,1
2010-05-27,16.65,17.18,16.60,17.10,4201,0,1
2010-05-28,17.13,17.34,16.88,17.10,4887,0,1
2010-05-31,17.34,17.49,17.02,17.38,2254,0,1
2010-06-01,17.13,17.23,16.78,16.91,3516,0,1
2010-06-02,16.85,17.31,16.85,17.13,2276,0,1
2010-06-04,16.87,16.91,16.28,16.29,3857,0,1
2010-06-07,16.40,16.46,15.74,15.94,3639,0,1
2010-06-08,16.04,16.17,15.76,16.02,3002,0,1
2010-06-09,16.19,16.45,15.96,16.01,2611,0,1
2010-06-10,16.17,16.85,16.17,16.72,2838,0,1
2010-06-11,16.65,17.11,16.55,17.00,2950,0,1
2010-06-14,17.20,17.39,16.92,17.00,3019,0,1
2010-06-15,17.10,17.18,16.93,17.09,2337,0,1
2010-06-16,17.00,17.28,16.94,17.12,3148,0,1
2010-06-17,17.15,17.32,16.70,16.91,3952,0,1
2010-06-18,16.93,16.94,16.57,16.73,2879,0,1
2010-06-21,17.16,17.31,16.95,16.95,3194,0,1
2010-06-22,16.95,17.36,16.95,17.09,2669,0,1
2010-06-23,17.21,17.28,16.88,17.24,2562,0,1
2010-06-24,17.18,17.62,16.95,17.25,7118,0,1
2010-06-25,17.28,17.47,17.06,17.38,2949,0,1
2010-06-28,17.42,17.68,17.33,17.35,3413,0,1
2010-06-29,17.12,17.13,16.25,16.50,8016,0,1
2010-06-30,16.57,16.93,16.38,16.38,7113,0,1
2010-07-01,16.39,16.78,16.13,16.63,3926,0,1
2010-07-02,16.75,16.84,16.47,16.66,2055,0,1
2010-07-05,16.76,16.81,16.56,16.66,1071,0,1
2010-07-06,17.09,17.30,16.75,16.91,3268,0,1
2010-07-07,16.94,17.36,16.79,17.27,2629,0,1
2010-07-08,17.34,17.46,17.07,17.34,3091,0,1
2010-07-12,17.37,17.51,16.92,17.06,3004,0,1
2010-07-13,17.24,17.34,16.97,17.03,4188,0,1
