date,open,high,low,close,volume,dividend,split
2014-01-02,13.55,13.82,13.29,13.82,251,0,1
2014-01-03,13.80,14.04,13.80,14.04,278,0,1
2014-01-06,14.08,14.21,13.86,14.13,981,0,1
2014-01-07,14.14,14.21,14.00,14.13,826,0,1
2014-01-08,14.01,14.10,13.84,13.95,121,0,1
2014-01-09,13.86,14.17,13.83,13.99,86,0,1
2014-01-10,13.99,14.12,13.84,14.07,60,0,1
2014-01-13,14.12,14.12,13.84,13.95,64,0,1
2014-01-14,14.07,14.07,13.69,13.77,153,0,1
2014-01-15,13.99,14.13,13.78,13.86,407,0,1
2014-01-16,13.86,13.99,13.40,13.55,89,0,1
2014-01-17,13.69,13.69,13.09,13.16,132,0,1
2014-01-20,13.12,13.24,12.83,13.24,26,0,1
2014-01-21,13.63,13.63,13.00,13.05,276,0,1
2014-01-22,13.04,13.23,13.04,13.16,46,0,1
2014-01-23,13.07,13.21,12.98,13.13,24,0,1
2014-01-24,13.13,13.13,12.94,13.02,238,0,1
2014-01-27,12.64,12.89,12.64,12.89,47,0,1
2014-01-28,13.04,13.05,12.60,12.63,1283,0,1
2014-01-29,12.63,12.63,12.12,12.27,81,0,1
2014-01-30,12.53,12.63,12.01,12.32,17,0,1
2014-01-31,12.41,12.58,12.06,12.58,140,0,1
2014-02-03,12.57,12.57,12.02,12.09,4,0,1
2014-02-04,12.09,12.37,12.02,12.27,29,0,1
2014-02-05,12.53,12.93,12.13,12.36,331,0,1
2014-02-06,12.44,12.58,12.19,12.36,244,0,1
2014-02-07,12.34,12.34,11.92,12.23,497,0,1
2014-02-10,12.18,12.18,11.57,11.66,499,0,1
2014-02-11,11.78,11.78,11.61,11.70,167,0,1
2014-02-12,11.67,11.82,11.56,11.66,1534,0,1
2014-02-13,11.57,12.10,11.46,12.10,494,0,1
2014-02-14,12.01,12.07,11.83,12.02,429,0,1
2014-02-17,12.02,12.16,11.84,11.99,94,0,1
2014-02-18,12.01,12.03,11.37,11.37,189,0,1
2014-02-19,11.42,11.42,10.87,10.96,300,0,1
2014-02-20,10.96,11.05,10.58,10.71,285,0,1
2014-02-21,10.75,11.03,10.60,10.86,175,0,1
2014-02-24,10.77,10.98,10.69,10.86,135,0,1
2014-02-25,10.96,11.04,10.73,11.02,98,0,1
2014-02-26,10.97,11.57,10.87,11.52,161,0,1
2014-02-27,11.62,12.58,11.45,12.58,3188,0,1
2014-02-28,12.78,13.24,12.26,12.64,155,0,1
2014-03-05,12.54,12.71,12.30,12.71,38,0,1
2014-03-06,12.86,13.23,12.69,13.23,75,0,1
2014-03-07,13.22,13.51,13.13,13.21,62,0,1
2014-03-10,13.31,13.31,12.56,12.93,103,0,1
2014-03-11,12.93,12.93,12.57,12.63,89,0,1
2014-03-12,12.54,12.54,12.23,12.32,545,0,1
2014-03-13,12.38,12.78,12.18,12.41,37,0,1
2014-03-14,12.26,12.54,12.08,12.54,102,0,1
2014-03-17,12.62,12.62,12.26,12.48,202,0,1
2014-03-18,12.41,12.53,12.27,12.49,479,0,1
2014-03-19,12.44,12.61,12.39,12.61,272,0,1
2014-03-20,12.56,12.56,12.34,12.36,750,0,1
2014-03-21,12.33,12.54,12.29,12.54,1009,0,1
2014-03-24,12.53,12.53,12.34,12.36,156,0,1
2014-03-25,12.31,12.51,12.27,12.51,245,0,1
2014-03-26,12.55,12.57,12.32,12.49,290,0,1
2014-03-27,12.44,13.02,12.22,13.02,1050,0,1
2014-03-28,13.10,13.50,12.80,13.42,749,0,1
2014-03-31,13.41,13.47,13.27,13.39,197,0,1
2014-04-01,13.38,13.38,13.11,13.33,287,0,1
2014-04-02,13.24,13.60,13.20,13.55,280,0,1
2014-04-03,13.55,14.04,13.49,14.01,310,0,1
2014-04-04,14.13,14.30,13.69,13.86,464,0,1
2014-04-07,13.97,14.11,13.93,14.11,210,0,1
2014-04-08,14.11,14.13,13.69,14.13,222,0,1
2014-04-09,14.04,14.17,13.89,14.13,342,0,1
2014-04-10,14.07,14.39,13.93,14.39,464,0,1
2014-04-11,14.32,14.67,14.13,14.67,284,0,1
2014-04-14,14.61,15.28,14.52,15.23,890,0,1
2014-04-15,15.19,15.45,14.91,15.23,969,0,1
2014-04-16,15.19,15.80,15.08,15.67,1750,0,1
2014-04-17,15.67,15.67,14.95,15.44,508,0,1
2014-04-22,15.54,15.80,15.13,15.28,297,0,1
2014-04-23,15.41,15.45,14.95,15.04,685,0,1
2014-04-24,15.10,15.19,14.75,14.83,710,0,1
2014-04-25,14.90,14.92,14.45,14.56,458,0,1
2014-04-28,14.56,14.73,14.27,14.42,352,0,1
2014-04-29,14.44,14.88,14.19,14.54,364,0,1
2014-04-30,14.50,15.00,14.29,14.47,349,0,1
2014-05-02,14.47,14.63,14.37,14.50,304,0,1
2014-05-05,14.50,14.62,14.36,14.45,292,0,1
2014-05-06,14.38,14.38,13.97,13.97,393,0,1
2014-05-07,14.10,14.18,13.61,13.96,737,0,1
2014-05-08,13.96,14.00,13.55,13.65,174,0,1
2014-05-09,13.67,13.67,13.25,13.48,512,0,1
2014-05-12,13.49,13.79,13.11,13.30,234,0,1
2014-05-13,13.31,13.69,13.14,13.64,209,0,1
2014-05-14,13.71,13.84,13.62,13.64,163,0,1
2014-05-15,13.47,13.72,13.47,13.60,44,0,1
2014-05-16,13.56,13.56,13.24,13.48,132,0,1
2014-05-19,13.52,13.53,13.22,13.45,85,0,1
2014-05-20,13.57,13.57,13.34,13.43,32,0,1
2014-05-21,13.63,13.63,13.46,13.50,8,0,1
2014-05-22,13.52,13.82,13.42,13.56,160,0,1
2014-05-23,13.63,13.72,13.32,13.34,118,0,1
2014-05-26,13.43,13.50,12.95,13.18,155,0,1
2014-05-27,13.20,13.20,12.72,12.94,534,0,1
2014-05-28,12.93,12.93,12.51,12.63,289,0,1
2014-05-29,12.67,12.86,12.41,12.86,179,0,1
2014-05-30,12.82,12.99,12.67,12.72,450,0,1
2014-06-02,12.71,12.71,12.45,12.59,238,0,1
2014-06-03,12.65,12.73,12.45,12.68,236,0,1
2014-06-04,12.67,12.67,12.49,12.54,115,0,1
2014-06-05,12.59,12.84,12.50,12.56,306,0,1
2014-06-06,12.84,13.04,12.64,12.77,258,0,1
2014-06-09,12.86,12.93,12.75,12.83,133,0,1
2014-06-10,12.81,12.81,12.54,12.66,588,0,1
2014-06-11,12.70,12.89,12.69,12.86,652,0,1
2014-06-13,12.90,13.06,12.67,12.73,112,0,1
2014-06-16,12.78,12.78,12.59,12.67,634,0,1
2014-06-17,12.75,12.97,12.63,12.78,31,0,1
2014-06-18,12.86,12.87,12.63,12.78,52,0,1
2014-06-20,12.91,12.91,12.43,12.45,2281,0,1
2014-06-23,12.45,12.60,12.45,12.46,44,0,1
2014-06-24,12.49,12.54,12.40,12.45,97,0,1
2014-06-25,12.50,12.63,12.13,12.20,115,0,1
2014-06-26,12.25,12.25,11.95,12.14,473,0,1
2014-06-27,12.16,12.16,11.74,11.74,450,0,1
2014-06-30,11.78,11.95,11.51,11.95,204,0,1
2014-07-01,11.94,11.94,11.55,11.65,239,0,1
2014-07-02,11.71,11.85,11.57,11.79,125,0,1
2014-07-03,11.81,11.81,11.56,11.70,114,0,1
2014-07-04,11.74,11.96,11.65,11.96,16,0,1
2014-07-07,11.90,11.90,11.63,11.83,70,0,1
2014-07-08,11.86,11.86,11.38,11.52,154,0,1
2014-07-10,11.56,11.57,11.41,11.49,51,0,1
2014-07-11,11.47,11.75,11.24,11.47,298,0,1
2014-07-14,11.51,12.18,11.32,11.92,238,0,1
2014-07-15,11.92,12.16,11.82,12.09,87,0,1
2014-07-16,12.05,12.45,11.83,12.19,195,0,1
2014-07-17,12.13,12.63,12.13,12.63,446,0,1
2014-07-18,12.77,13.07,12.74,13.07,183,0,1
2014-07-21,13.07,13.07,12.69,12.90,327,0,1
2014-07-22,12.90,12.90,12.72,12.76,77,0,1
2014-07-23,12.76,12.76,12.49,12.56,65,0,1
2014-07-24,12.59,12.79,12.55,12.62,111,0,1
2014-07-25,12.67,12.90,12.54,12.90,30,0,1
2014-07-28,13.04,13.10,12.60,12.72,116,0,1
2014-07-29,12.89,12.89,12.45,12.57,166,0,1
2014-07-30,12.55,12.88,12.54,12.88,54,0,1
2014-07-31,12.71,12.81,12.52,12.81,84,0,1
2014-08-01,12.93,12.93,12.53,12.63,50,0,1
2014-08-04,12.74,12.89,12.41,12.72,133,0,1
2014-08-05,12.83,13.06,12.65,12.90,426,0,1
2014-08-06,13.12,13.25,12.77,12.89,93,0,1
2014-08-07,13.06,13.06,12.82,12.95,30,0,1
2014-08-08,12.91,13.07,12.83,13.07,22,0,1
2014-08-11,13.00,13.00,12.67,12.67,521,0,1
2014-08-12,12.76,12.76,12.11,12.59,673,0,1
2014-08-13,12.62,12.62,12.02,12.02,1855,0,1
2014-08-14,12.02,12.10,11.70,11.89,857,0,1
2014-08-15,11.95,12.27,11.79,12.10,188,0,1
2014-08-18,12.11,12.30,11.93,12.30,111,0,1
2014-08-19,12.35,12.63,12.23,12.59,925,0,1
2014-08-20,12.87,13.03,12.52,12.96,155,0,1
2014-08-21,12.97,13.51,12.94,13.34,190,0,1
2014-08-22,13.24,13.56,13.22,13.56,112,0,1
2014-08-25,13.66,13.66,13.32,13.57,169,0,1
2014-08-26,13.56,13.88,13.39,13.79,276,0,1
2014-08-27,13.79,14.20,13.73,14.12,95,0,1
2014-08-28,14.07,14.10,13.88,14.01,64,0,1
2014-08-29,14.05,14.22,13.97,14.22,108,0,1
2014-09-01,14.22,14.39,14.05,14.23,515,0,1
2014-09-02,14.22,14.49,14.10,14.41,567,0,1
2014-09-03,14.41,14.60,14.40,14.54,283,0,1
2014-09-04,14.53,14.65,14.40,14.65,227,0,1
2014-09-05,14.59,14.85,14.40,14.85,362,0,1
2014-09-08,14.89,14.99,14.55,14.99,240,0,1
2014-09-09,14.97,14.97,14.47,14.82,242,0,1
2014-09-10,14.72,14.72,14.42,14.59,137,0,1
2014-09-11,14.64,14.87,14.38,14.87,180,0,1
2014-09-12,14.85,14.85,14.24,14.49,263,0,1
2014-09-15,14.60,14.64,14.27,14.46,93,0,1
2014-09-16,14.49,14.54,14.36,14.50,151,0,1
2014-09-17,14.74,14.74,14.35,14.41,156,0,1
2014-09-18,14.45,14.45,14.05,14.14,304,0,1
2014-09-19,14.23,14.23,13.83,14.10,209,0,1
2014-09-22,14.24,14.39,13.40,13.95,235,0,1
2014-09-23,13.95,14.23,13.79,14.09,52,0,1
2014-09-24,14.12,14.14,13.74,14.14,87,0,1
2014-09-25,14.10,14.10,13.81,13.81,222,0,1
2014-09-26,13.89,14.14,13.77,14.14,141,0,1
2014-09-29,13.92,14.05,13.80,14.05,154,0,1
2014-09-30,14.07,14.07,13.80,13.88,384,0,1
2014-10-01,13.88,13.91,13.27,13.91,114,0,1
2014-10-02,13.89,13.89,13.40,13.57,235,0,1
2014-10-03,13.75,14.23,13.60,13.80,405,0,1
2014-10-06,14.24,14.70,13.77,14.05,256,0,1
2014-10-07,14.34,14.47,14.05,14.36,114,0,1
2014-10-08,14.67,14.75,14.36,14.41,17,0,1
2014-10-09,14.75,14.75,14.44,14.62,44,0,1
2014-10-10,14.62,14.62,14.09,14.36,144,0,1
2014-10-13,14.48,14.48,14.09,14.37,175,0,1
2014-10-14,14.42,14.68,14.29,14.45,346,0,1
2014-10-15,14.41,14.76,14.20,14.23,154,0,1
2014-10-16,14.12,14.23,13.73,14.23,226,0,1
2014-10-17,14.49,14.49,14.03,14.26,238,0,1
2014-10-20,14.24,14.24,13.98,14.04,160,0,1
2014-10-21,14.00,14.08,13.50,13.88,385,0,1
2014-10-22,13.97,13.97,13.35,13.35,263,0,1
2014-10-23,13.41,13.50,13.07,13.14,184,0,1
2014-10-24,13.30,13.82,13.01,13.34,182,0,1
2014-10-27,13.32,13.32,12.46,13.25,130,0,1
2014-10-28,13.43,13.56,12.99,13.11,238,0,1
2014-10-29,13.11,13.11,12.50,12.50,264,0,1
2014-10-30,12.54,13.26,12.54,13.23,164,0,1
2014-10-31,13.51,13.83,12.94,13.26,272,0,1
2014-11-03,13.28,13.34,12.99,13.23,65,0,1
2014-11-04,13.44,13.64,13.11,13.52,161,0,1
2014-11-05,13.40,13.92,13.39,13.49,189,0,1
2014-11-06,13.35,13.46,13.08,13.12,174,0,1
2014-11-07,13.23,13.44,13.06,13.43,90,0,1
2014-11-10,13.43,13.43,13.15,13.25,66,0,1
2014-11-11,13.24,13.24,12.85,12.89,174,0,1
2014-11-12,12.94,13.32,12.78,13.32,128,0,1
2014-11-13,13.31,13.31,12.97,12.97,66,0,1
2014-11-14,12.86,13.02,12.73,12.73,83,0,1
2014-11-17,12.63,12.87,12.52,12.72,53,0,1
2014-11-18,12.82,12.99,12.54,12.99,120,0,1
2014-11-19,12.94,12.94,12.67,12.90,200,0,1
2014-11-21,13.07,13.79,12.73,13.79,103,0,1
2014-11-24,13.89,13.96,13.62,13.96,67,0,1
2014-11-25,13.90,13.90,13.63,13.79,124,0,1
2014-11-26,13.92,13.96,13.58,13.79,146,0,1
2014-11-27,13.96,13.96,13.68,13.68,137,0,1
2014-11-28,14.04,14.04,13.43,13.79,201,0,1
2014-12-01,13.78,13.78,13.47,13.52,311,0,1
2014-12-02,13.66,13.77,13.30,13.40,100,0,1
2014-12-03,13.55,13.55,13.22,13.34,140,0,1
2014-12-04,13.48,13.68,13.26,13.59,113,0,1
2014-12-05,13.61,13.96,13.53,13.96,55,0,1
2014-12-08,13.87,14.23,13.80,14.23,76,0,1
