date,open,high,low,close,volume,dividend,split
2010-12-16,13.66,13.66,12.90,13.04,5562,0,1
2010-12-17,13.06,13.29,12.83,13.23,3390,0,1
2010-12-20,13.30,13.36,12.68,12.71,2808,0,1
2010-12-21,12.81,13.70,12.78,13.57,4421,0,1
2010-12-22,13.49,13.92,13.40,13.90,2822,0,1
2010-12-23,13.77,13.94,13.68,13.87,1085,0,1
2010-12-27,13.64,13.83,13.62,13.71,605,0,1
2010-12-28,13.83,14.20,13.79,14.04,1472,0,1
2010-12-29,14.18,14.67,14.10,14.60,2504,0,1
2010-12-30,14.56,14.97,14.32,14.97,3423,0,1
2011-01-03,15.01,15.34,14.32,14.80,3020,0,1
2011-01-04,14.84,14.96,14.33,14.64,2393,0,1
2011-01-05,14.45,14.95,14.37,14.73,2095,0,1
2011-01-06,14.69,14.76,14.24,14.24,3511,0,1
2011-01-07,14.15,14.44,13.97,13.97,2780,0,1
2011-01-10,13.88,14.19,13.84,13.92,2103,0,1
2011-01-11,14.07,14.27,14.00,14.00,2434,0,1
2011-01-12,14.15,14.48,13.97,14.40,2686,0,1
2011-01-13,14.39,14.56,13.86,13.91,3248,0,1
2011-01-14,13.84,14.13,13.71,13.97,2011,0,1
2011-01-17,14.01,14.25,13.75,13.79,1955,0,1
2011-01-18,13.91,14.22,13.79,14.22,3013,0,1
2011-01-19,14.23,14.30,13.88,14.14,2457,0,1
2011-01-20,14.03,14.16,13.94,14.15,1783,0,1
2011-01-21,14.19,14.26,13.75,13.80,2063,0,1
2011-01-24,13.81,14.11,13.74,14.11,1632,0,1
2011-01-26,13.99,14.16,13.41,13.64,3198,0,1
2011-01-27,13.66,13.76,12.97,13.19,5708,0,1
2011-01-28,13.23,13.30,12.66,12.66,3152,0,1
2011-01-31,12.78,12.90,12.44,12.62,2534,0,1
2011-02-01,12.78,13.10,12.66,13.09,4100,0,1
2011-02-02,13.05,13.19,12.40,12.44,4425,0,1
2011-02-03,12.54,12.79,12.42,12.54,4076,0,1
2011-02-04,12.62,12.66,12.00,12.07,2996,0,1
2011-02-07,12.20,12.25,11.90,12.16,3271,0,1
2011-02-08,12.10,12.64,12.05,12.57,3408,0,1
2011-02-09,12.45,12.53,11.99,12.16,2758,0,1
2011-02-10,12.15,12.23,11.88,11.92,2935,0,1
2011-02-11,11.99,12.74,11.92,12.73,7393,0,1
2011-02-14,12.68,13.26,12.48,13.12,4789,0,1
2011-02-15,12.98,13.15,12.71,12.84,2632,0,1
2011-02-16,12.97,13.04,12.42,12.64,6927,0,1
2011-02-17,12.71,12.71,12.36,12.47,3547,0,1
2011-02-18,12.38,12.76,12.37,12.65,3810,0,1
2011-02-21,12.62,12.64,12.12,12.16,3456,0,1
2011-02-22,12.06,12.06,11.51,11.51,9249,0,1
2011-02-23,11.65,11.75,11.27,11.58,9586,0,1
2011-02-24,11.58,11.90,11.40,11.90,6720,0,1
2011-02-25,11.98,12.03,11.58,11.65,7898,0,1
2011-02-28,11.77,11.77,10.89,11.34,7627,0,1
2011-03-01,11.38,11.40,10.80,10.80,7885,0,1
