date,open,high,low,close,volume,dividend,split
2010-05-03,6.22,6.41,6.14,6.37,631,0,1
2010-05-04,6.26,6.57,6.19,6.32,1793,0,1
2010-05-05,6.32,6.32,6.19,6.25,878,0,1
2010-05-06,6.31,6.31,5.76,6.24,1895,0,1
2010-05-07,6.22,6.22,5.86,6.08,748,0,1
2010-05-10,6.26,6.30,6.03,6.12,570,0,1
2010-05-11,6.12,6.14,5.81,5.90,2404,0,1
2010-05-12,5.97,6.06,5.93,6.06,1643,0,1
2010-05-13,6.11,6.15,6.03,6.12,478,0,1
2010-05-14,6.11,6.12,5.84,5.99,813,0,1
2010-05-17,6.08,6.15,5.85,5.91,391,0,1
2010-05-18,6.02,6.02,5.81,5.86,523,0,1
2010-05-19,5.80,5.96,5.61,5.77,826,0,1
2010-05-20,5.74,5.74,5.33,5.47,1273,0,1
2010-05-21,5.50,5.61,5.36,5.61,2098,0,1
2010-05-24,5.77,5.77,5.36,5.48,1333,0,1
2010-05-25,5.26,5.41,5.26,5.35,846,0,1
2010-05-26,5.41,5.67,5.39,5.47,1643,0,1
2010-05-27,5.61,5.76,5.48,5.76,1472,0,1
2010-05-28,5.77,5.92,5.56,5.92,423,0,1
2010-05-31,5.95,6.12,5.70,6.12,323,0,1
2010-06-01,5.98,6.08,5.86,6.03,477,0,1
2010-06-02,6.05,6.08,5.92,6.05,280,0,1
2010-06-04,5.90,6.07,5.64,5.89,1123,0,1
2010-06-07,5.78,5.92,5.78,5.92,158,0,1
2010-06-08,5.95,5.95,5.63,5.80,1544,0,1
2010-06-09,5.80,5.96,5.76,5.96,319,0,1
2010-06-10,5.94,6.17,5.94,6.17,499,0,1
2010-06-11,6.01,6.14,6.01,6.12,226,0,1
2010-06-14,6.12,6.12,5.91,5.99,501,0,1
2010-06-15,5.96,6.05,5.86,6.04,569,0,1
2010-06-16,5.97,6.15,5.94,6.15,853,0,1
2010-06-17,6.17,6.27,6.12,6.27,948,0,1
2010-06-18,6.25,6.51,6.19,6.41,2270,0,1
2010-06-21,6.44,6.51,6.24,6.38,1246,0,1
2010-06-22,6.38,6.41,6.23,6.38,429,0,1
2010-06-23,6.27,6.30,6.13,6.15,393,0,1
2010-06-24,6.15,6.22,5.97,6.12,434,0,1
2010-06-25,6.03,6.32,6.03,6.32,262,0,1
2010-06-28,6.25,6.42,6.19,6.38,754,0,1
2010-06-29,6.15,6.50,6.08,6.44,1613,0,1
2010-06-30,6.40,6.43,6.28,6.43,1484,0,1
2010-07-01,6.36,6.44,6.23,6.25,667,0,1
2010-07-02,6.28,6.31,6.15,6.28,731,0,1
2010-07-05,6.35,6.35,6.15,6.22,551,0,1
2010-07-06,6.33,6.43,5.94,6.18,1587,0,1
2010-07-07,6.25,6.34,6.16,6.29,1218,0,1
2010-07-08,6.32,6.50,6.32,6.41,2122,0,1
2010-07-12,6.41,6.48,6.23,6.35,639,0,1
2010-07-13,6.44,6.51,6.33,6.51,1208,0,1
2010-07-14,6.44,6.44,6.32,6.44,979,0,1
2010-07-15,6.39,6.48,6.34,6.41,891,0,1
2010-07-16,6.38,6.43,6.33,6.35,353,0,1
2010-07-19,6.43,6.48,6.38,6.41,829,0,1
2010-07-20,6.43,6.50,6.35,6.35,1678,0,1
2010-07-21,6.44,6.68,6.35,6.38,1940,0,1
2010-07-22,6.50,6.50,6.32,6.41,1435,0,1
2010-07-23,6.42,6.43,6.33,6.42,562,0,1
2010-07-26,6.42,6.50,6.37,6.41,601,0,1
2010-07-27,6.41,6.64,6.41,6.61,2564,0,1
2010-07-28,6.70,6.76,6.61,6.74,1074,0,1
2010-07-29,6.77,6.81,6.61,6.76,779,0,1
2010-07-30,6.70,6.99,6.61,6.92,522,0,1
