date,open,high,low,close,volume,dividend,split
2010-12-21,12.01,12.06,11.90,12.06,542,0,1
2010-12-22,12.01,12.06,11.83,11.86,655,0,1
2010-12-23,11.93,11.93,11.74,11.83,398,0,1
2010-12-27,11.83,11.89,11.76,11.76,417,0,1
2010-12-28,11.81,11.89,11.73,11.85,355,0,1
2010-12-29,11.85,12.05,11.85,11.96,376,0,1
2010-12-30,11.98,12.25,11.98,12.25,761,0,1
2011-01-03,12.41,12.41,11.85,11.96,919,0,1
2011-01-04,11.96,12.05,11.74,11.81,966,0,1
2011-01-05,11.78,12.06,11.72,12.01,917,0,1
2011-01-06,12.18,12.23,11.94,12.16,586,0,1
2011-01-07,12.10,12.23,11.98,12.21,266,0,1
2011-01-10,12.22,12.23,12.05,12.18,618,0,1
2011-01-11,12.16,12.36,12.10,12.25,500,0,1
2011-01-12,12.35,12.35,12.17,12.34,464,0,1
2011-01-13,12.30,12.43,12.23,12.23,410,0,1
2011-01-14,12.31,12.35,12.12,12.21,291,0,1
2011-01-17,12.20,12.30,12.12,12.12,229,0,1
2011-01-18,12.12,12.27,12.02,12.07,421,0,1
2011-01-19,12.12,12.14,11.97,12.05,280,0,1
2011-01-20,12.06,12.36,12.03,12.12,814,0,1
2011-01-21,12.23,12.25,12.10,12.16,294,0,1
2011-01-24,12.18,12.23,12.10,12.13,176,0,1
2011-01-26,12.18,12.32,11.89,11.90,707,0,1
2011-01-27,11.92,12.05,11.74,11.76,474,0,1
2011-01-28,11.77,11.91,11.43,11.43,484,0,1
2011-01-31,11.56,11.73,11.43,11.52,464,0,1
2011-02-01,11.64,11.94,11.56,11.85,422,0,1
2011-02-02,11.92,11.92,11.63,11.65,346,0,1
2011-02-03,11.65,11.77,11.49,11.49,199,0,1
2011-02-04,11.43,11.60,11.37,11.47,246,0,1
2011-02-07,11.59,11.69,11.40,11.49,2508,0,1
2011-02-08,11.50,11.73,11.46,11.49,563,0,1
2011-02-09,11.54,11.59,11.22,11.24,712,0,1
2011-02-10,11.24,11.38,11.09,11.11,595,0,1
2011-02-11,11.18,11.23,10.98,11.14,318,0,1
2011-02-14,11.20,11.30,11.09,11.09,404,0,1
2011-02-15,11.11,11.20,10.94,10.97,653,0,1
2011-02-16,11.14,11.45,10.97,11.24,518,0,1
2011-02-17,11.28,11.47,11.15,11.15,414,0,1
2011-02-18,11.24,11.47,11.23,11.40,756,0,1
2011-02-21,11.60,11.60,11.24,11.49,512,0,1
2011-02-22,11.44,11.88,11.41,11.69,1336,0,1
2011-02-23,11.67,11.89,11.54,11.54,736,0,1
2011-02-24,11.52,11.79,11.52,11.54,313,0,1
2011-02-25,11.72,11.72,11.49,11.56,500,0,1
2011-02-28,11.73,11.73,11.57,11.60,263,0,1
2011-03-01,11.67,11.78,11.66,11.69,409,0,1
2011-03-02,11.69,11.82,11.67,11.74,466,0,1
2011-03-03,11.82,11.85,11.69,11.81,247,0,1
2011-03-04,11.84,11.87,11.74,11.78,565,0,1
2011-03-09,12.01,12.02,11.77,11.77,466,0,1
2011-03-10,11.79,11.82,11.24,11.60,1679,0,1
2011-03-11,11.52,11.90,11.50,11.60,242,0,1
2011-03-14,11.65,11.83,11.36,11.81,457,0,1
2011-03-15,11.61,11.82,11.49,11.74,698,0,1
2011-03-16,11.69,11.76,11.36,11.43,869,0,1
2011-03-17,11.41,11.56,11.18,11.29,359,0,1
2011-03-18,11.27,11.36,11.18,11.23,425,0,1
2011-03-21,11.29,11.36,11.17,11.25,366,0,1
2011-03-22,11.33,11.60,11.20,11.60,695,0,1
2011-03-23,11.52,11.77,11.52,11.77,374,0,1
2011-03-24,11.78,11.82,11.61,11.74,463,0,1
2011-03-25,11.71,11.87,11.68,11.81,204,0,1
2011-03-28,11.86,11.94,11.73,11.89,391,0,1
2011-03-29,11.93,11.96,11.77,11.87,226,0,1
2011-03-30,11.89,12.40,11.89,12.21,922,0,1
2011-03-31,12.33,12.71,12.15,12.32,1668,0,1
2011-04-01,12.32,12.51,12.27,12.45,303,0,1
2011-04-04,12.45,12.73,12.41,12.41,242,0,1
2011-04-05,12.54,12.77,12.45,12.61,399,0,1
2011-04-06,12.61,12.75,12.50,12.65,341,0,1
2011-04-07,12.72,12.72,12.50,12.53,528,0,1
2011-04-08,12.54,12.63,12.31,12.41,250,0,1
2011-04-11,12.43,12.56,12.26,12.27,246,0,1
2011-04-12,12.30,12.50,12.21,12.43,492,0,1
2011-04-13,12.50,12.62,12.28,12.59,460,0,1
2011-04-14,12.65,12.65,12.41,12.41,465,0,1
2011-04-15,12.45,12.56,12.25,12.34,459,0,1
2011-04-18,12.34,12.62,12.34,12.59,474,0,1
2011-04-19,12.62,12.68,12.49,12.50,197,0,1
2011-04-20,12.59,12.75,12.43,12.43,561,0,1
2011-04-25,12.43,12.68,12.41,12.56,299,0,1
2011-04-26,12.60,12.80,12.45,12.56,452,0,1
2011-04-27,12.56,12.65,12.45,12.60,421,0,1
2011-04-28,12.57,12.64,12.29,12.45,485,0,1
2011-04-29,12.30,12.66,12.28,12.30,699,0,1
2011-05-02,12.48,12.71,12.25,12.39,293,0,1
2011-05-03,12.37,12.44,12.16,12.25,347,0,1
2011-05-04,12.27,12.38,12.00,12.00,368,0,1
2011-05-05,12.03,12.33,12.03,12.30,452,0,1
2011-05-06,12.36,12.48,12.27,12.39,377,0,1
2011-05-09,12.31,12.46,12.31,12.39,332,0,1
2011-05-10,12.39,12.48,12.30,12.36,221,0,1
2011-05-11,12.39,12.42,12.23,12.34,424,0,1
2011-05-12,12.32,12.44,12.09,12.09,313,0,1
2011-05-13,12.16,12.36,12.03,12.23,417,0,1
2011-05-16,12.21,12.69,12.03,12.25,894,0,1
2011-05-17,12.34,12.60,12.26,12.30,371,0,1
2011-05-18,12.38,12.53,12.20,12.32,422,0,1
2011-05-19,12.40,12.55,12.26,12.30,586,0,1
2011-05-20,12.32,12.39,12.27,12.37,242,0,1
2011-05-23,12.35,12.39,12.23,12.39,315,0,1
2011-05-24,12.45,12.48,12.26,12.39,826,0,1
2011-05-25,12.47,12.47,12.27,12.35,505,0,1
2011-05-26,12.41,12.41,12.19,12.34,314,0,1
2011-05-27,12.31,12.39,12.17,12.29,474,0,1
2011-05-30,12.32,12.32,12.16,12.21,140,0,1
2011-05-31,12.21,12.27,12.05,12.05,675,0,1
2011-06-01,12.04,12.23,11.94,12.18,488,0,1
2011-06-02,12.21,12.35,12.11,12.20,306,0,1
2011-06-03,12.21,12.34,12.12,12.12,303,0,1
2011-06-06,12.14,12.23,12.08,12.18,258,0,1
2011-06-07,12.21,12.25,11.98,12.00,250,0,1
2011-06-08,12.01,12.07,11.90,12.00,227,0,1
2011-06-09,12.01,12.01,11.72,11.94,900,0,1
2011-06-10,11.94,11.94,11.76,11.82,481,0,1
2011-06-13,11.86,11.86,11.62,11.62,528,0,1
2011-06-14,11.64,11.70,11.46,11.51,563,0,1
2011-06-15,11.60,11.78,11.46,11.73,1009,0,1
2011-06-16,11.73,12.02,11.64,11.94,892,0,1
2011-06-17,11.96,12.03,11.77,11.85,677,0,1
2011-06-20,11.79,12.11,11.76,12.11,300,0,1
2011-06-21,12.02,12.27,12.01,12.16,510,0,1
2011-06-22,12.03,12.21,11.85,11.85,476,0,1
2011-06-24,11.89,12.38,11.87,12.30,921,0,1
2011-06-27,12.29,12.39,12.24,12.30,596,0,1
2011-06-28,12.35,12.40,12.19,12.29,363,0,1
2011-06-29,12.29,12.39,12.15,12.23,497,0,1
2011-06-30,12.36,12.39,12.21,12.39,447,0,1
2011-07-01,12.41,12.45,12.03,12.03,1111,0,1
2011-07-04,12.05,12.20,12.02,12.07,328,0,1
2011-07-05,12.07,12.30,12.07,12.30,441,0,1
2011-07-06,12.29,12.31,12.12,12.25,615,0,1
2011-07-07,12.26,12.37,12.17,12.28,629,0,1
2011-07-08,12.26,12.31,12.02,12.28,592,0,1
2011-07-11,12.16,12.24,12.01,12.14,449,0,1
2011-07-12,12.07,12.16,11.96,11.96,453,0,1
2011-07-13,12.01,12.27,11.87,12.00,433,0,1
2011-07-14,12.00,12.12,11.91,12.12,442,0,1
2011-07-15,12.11,12.16,11.76,11.76,1240,0,1
2011-07-18,11.73,11.98,11.71,11.86,222,0,1
2011-07-19,11.86,11.98,11.81,11.81,285,0,1
2011-07-20,11.78,11.86,11.62,11.62,312,0,1
2011-07-21,11.66,11.79,11.48,11.48,343,0,1
2011-07-22,11.61,11.80,11.50,11.80,497,0,1
2011-07-25,11.78,11.82,11.47,11.51,489,0,1
2011-07-26,11.57,11.83,11.50,11.81,1013,0,1
2011-07-27,11.80,11.81,11.56,11.67,333,0,1
2011-07-28,11.70,11.89,11.67,11.78,440,0,1
2011-07-29,11.71,11.93,11.62,11.77,573,0,1
2011-08-01,11.94,12.11,11.83,12.11,559,0,1
2011-08-02,12.11,12.11,11.76,11.76,354,0,1
2011-08-03,11.77,11.82,11.53,11.82,506,0,1
2011-08-04,11.80,11.87,11.42,11.64,1056,0,1
2011-08-05,11.67,11.86,11.38,11.86,1062,0,1
2011-08-08,11.61,11.61,10.81,11.17,514,0,1
2011-08-09,11.17,11.48,11.03,11.22,720,0,1
2011-08-10,11.26,11.53,11.03,11.53,871,0,1
2011-08-11,11.58,11.67,11.40,11.57,996,0,1
2011-08-12,11.49,11.55,11.35,11.35,992,0,1
2011-08-15,11.49,11.63,11.40,11.60,581,0,1
2011-08-16,11.60,11.66,11.37,11.44,1839,0,1
2011-08-17,11.47,11.72,11.43,11.67,466,0,1
2011-08-18,11.59,11.63,11.44,11.59,380,0,1
2011-08-19,11.58,11.61,11.49,11.49,2379,0,1
2011-08-22,11.49,11.58,11.32,11.53,521,0,1
2011-08-23,11.52,11.52,11.39,11.44,269,0,1
2011-08-24,11.41,11.50,11.32,11.38,314,0,1
2011-08-25,11.43,11.47,11.29,11.40,198,0,1
2011-08-26,11.39,11.59,11.29,11.49,241,0,1
2011-08-29,11.51,11.86,11.51,11.72,438,0,1
2011-08-30,11.76,11.86,11.60,11.72,656,0,1
2011-08-31,11.81,12.00,11.81,11.86,1069,0,1
2011-09-01,11.92,12.27,11.92,12.07,1704,0,1
2011-09-02,12.01,12.22,12.01,12.16,505,0,1
2011-09-05,11.98,12.14,11.86,12.03,341,0,1
2011-09-06,12.12,12.33,11.89,12.33,450,0,1
2011-09-08,12.38,12.61,12.26,12.42,419,0,1
2011-09-09,12.25,12.37,12.12,12.33,409,0,1
2011-09-12,12.06,12.39,12.06,12.35,432,0,1
2011-09-13,12.39,12.39,12.14,12.33,457,0,1
2011-09-14,12.33,12.43,12.19,12.42,413,0,1
2011-09-15,12.40,12.59,12.29,12.29,299,0,1
2011-09-16,12.15,12.56,12.15,12.45,528,0,1
2011-09-19,12.59,12.59,12.23,12.31,397,0,1
2011-09-20,12.28,12.76,12.27,12.75,661,0,1
2011-09-21,12.80,13.08,12.71,12.90,414,0,1
2011-09-22,12.42,12.59,12.20,12.30,568,0,1
2011-09-23,12.15,12.41,12.14,12.21,353,0,1
2011-09-26,12.21,12.30,12.09,12.22,248,0,1
2011-09-27,12.40,12.49,12.22,12.42,748,0,1
2011-09-28,12.35,12.49,12.23,12.28,559,0,1
2011-09-29,12.28,12.33,12.15,12.19,1287,0,1
2011-09-30,12.15,12.39,12.12,12.24,684,0,1
2011-10-03,12.23,12.57,12.06,12.53,543,0,1
2011-10-04,12.62,12.62,11.95,12.05,856,0,1
2011-10-05,12.10,12.26,11.91,12.05,602,0,1
2011-10-06,12.21,12.28,11.93,11.96,470,0,1
2011-10-07,12.05,12.11,11.76,11.96,297,0,1
2011-10-10,12.01,12.19,11.98,12.12,262,0,1
2011-10-11,12.12,12.42,12.12,12.42,594,0,1
2011-10-13,12.58,12.75,12.36,12.75,810,0,1
2011-10-14,12.75,12.78,12.62,12.73,341,0,1
2011-10-17,12.48,12.78,12.48,12.78,214,0,1
2011-10-18,12.69,13.03,12.66,13.03,395,0,1
2011-10-19,13.00,13.03,12.61,12.71,559,0,1
2011-10-20,12.67,12.82,12.61,12.74,271,0,1
2011-10-21,12.67,12.89,12.62,12.75,453,0,1
2011-10-24,12.82,12.89,12.57,12.71,452,0,1
2011-10-25,12.72,12.82,12.43,12.54,611,0,1
2011-10-26,12.54,12.95,12.54,12.95,533,0,1
2011-10-27,13.13,13.13,12.45,12.52,918,0,1
2011-10-28,12.52,12.87,12.47,12.78,412,0,1
2011-10-31,12.57,13.12,12.57,12.89,429,0,1
2011-11-01,12.67,13.03,12.59,12.85,613,0,1
2011-11-03,12.85,13.27,12.76,13.20,596,0,1
2011-11-04,13.20,13.31,12.82,13.31,409,0,1
2011-11-07,13.20,13.38,13.20,13.23,247,0,1
2011-11-08,13.44,13.44,12.99,13.31,598,0,1
2011-11-09,13.23,13.41,12.95,13.00,702,0,1
2011-11-10,13.23,13.23,13.02,13.04,234,0,1
2011-11-11,13.10,13.18,12.94,13.13,322,0,1
2011-11-14,13.01,13.14,12.80,13.12,314,0,1
2011-11-16,13.03,13.28,12.94,13.19,595,0,1
2011-11-17,13.07,13.32,13.06,13.30,440,0,1
2011-11-18,13.34,13.34,13.11,13.23,309,0,1
2011-11-21,13.27,13.37,13.15,13.37,503,0,1
2011-11-22,13.45,13.51,13.30,13.44,361,0,1
2011-11-23,13.34,13.48,13.26,13.31,535,0,1
2011-11-24,13.36,13.44,13.22,13.31,669,0,1
2011-11-25,13.37,13.50,13.29,13.43,445,0,1
2011-11-28,13.44,13.51,13.31,13.31,653,0,1
2011-11-29,13.41,13.44,13.31,13.38,372,0,1
2011-11-30,13.45,13.64,13.42,13.42,640,0,1
2011-12-01,13.55,13.66,13.35,13.38,789,0,1
2011-12-02,13.60,13.68,13.10,13.23,542,0,1
2011-12-05,13.19,13.47,13.15,13.43,406,0,1
2011-12-06,13.45,13.64,13.37,13.60,515,0,1
2011-12-07,13.49,13.79,13.49,13.64,588,0,1
2011-12-08,13.70,14.10,13.62,14.10,998,0,1
2011-12-09,14.05,14.22,13.82,13.88,672,0,1
2011-12-12,13.83,13.98,13.79,13.79,445,0,1
2011-12-13,13.83,14.02,13.58,13.70,612,0,1
2011-12-14,13.74,14.00,13.74,13.97,560,0,1
2011-12-15,14.26,14.26,13.90,13.91,447,0,1
2011-12-16,13.92,14.22,13.92,14.14,822,0,1
2011-12-19,14.26,14.41,14.14,14.31,388,0,1
2011-12-20,14.33,14.69,14.33,14.58,571,0,1
2011-12-21,14.60,14.65,14.36,14.41,473,0,1
2011-12-22,14.49,14.61,14.46,14.57,545,0,1
2011-12-23,14.66,14.76,14.40,14.60,279,0,1
2011-12-26,14.49,14.79,14.49,14.60,178,0,1
2011-12-27,14.68,14.81,14.60,14.69,335,0,1
2011-12-28,14.62,14.69,14.43,14.51,328,0,1
2011-12-29,14.64,14.64,14.21,14.24,571,0,1
2012-01-02,14.29,14.53,14.19,14.26,217,0,1
2012-01-03,14.36,14.46,14.07,14.12,704,0,1
2012-01-04,13.95,14.33,13.95,14.29,340,0,1
2012-01-05,14.29,14.58,14.19,14.51,332,0,1
