date,open,high,low,close,volume,dividend,split
2010-07-30,16.20,16.53,16.09,16.47,896,0,1
2010-08-02,16.61,16.62,16.47,16.60,497,0,1
2010-08-03,16.53,16.56,16.40,16.40,455,0,1
2010-08-04,16.44,16.62,16.25,16.42,778,0,1
2010-08-05,16.27,16.55,16.27,16.55,335,0,1
2010-08-06,16.39,16.62,16.39,16.62,448,0,1
2010-08-09,16.63,16.71,16.34,16.47,384,0,1
2010-08-10,16.42,16.60,16.31,16.40,765,0,1
2010-08-11,16.39,16.39,16.00,16.11,750,0,1
2010-08-12,16.02,16.11,15.91,16.05,489,0,1
2010-08-13,16.01,16.26,15.82,15.95,681,0,1
2010-08-16,16.01,16.19,15.96,16.04,735,0,1
2010-08-17,16.15,16.20,15.98,16.11,711,0,1
2010-08-18,16.17,16.17,15.95,16.16,1166,0,1
2010-08-19,16.08,16.14,15.82,15.86,693,0,1
2010-08-20,15.90,16.24,15.77,16.06,451,0,1
2010-08-23,16.08,16.19,15.86,15.90,503,0,1
2010-08-24,15.85,16.10,15.72,16.03,679,0,1
2010-08-25,15.97,16.02,15.79,15.80,748,0,1
2010-08-26,15.82,15.98,15.54,15.54,786,0,1
2010-08-27,15.61,16.03,15.49,15.70,766,0,1
2010-08-30,15.81,15.88,15.39,15.47,594,0,1
2010-08-31,15.41,15.75,15.39,15.44,868,0,1
2010-09-01,15.54,15.72,15.48,15.64,1043,0,1
2010-09-02,15.58,15.66,15.47,15.59,335,0,1
2010-09-03,15.71,15.72,15.40,15.46,392,0,1
2010-09-06,15.50,15.61,15.22,15.30,240,0,1
2010-09-08,15.50,15.59,15.19,15.37,906,0,1
2010-09-09,15.30,15.38,15.17,15.17,653,0,1
2010-09-10,15.27,15.57,15.17,15.57,685,0,1
2010-09-13,15.72,15.80,15.57,15.77,704,0,1
2010-09-14,15.72,15.79,15.50,15.50,716,0,1
2010-09-15,15.47,15.71,15.33,15.71,1243,0,1
2010-09-16,15.68,15.68,15.55,15.59,301,0,1
2010-09-17,15.60,15.60,15.41,15.41,568,0,1
2010-09-20,15.57,15.67,15.41,15.60,754,0,1
2010-09-21,15.61,15.71,15.44,15.68,408,0,1
2010-09-22,15.58,15.86,15.42,15.72,1311,0,1
2010-09-23,15.55,15.75,15.54,15.58,1227,0,1
2010-09-24,15.65,15.78,15.56,15.69,1407,0,1
2010-09-27,15.75,15.79,15.65,15.67,735,0,1
2010-09-28,15.70,15.72,15.54,15.54,533,0,1
2010-09-29,15.59,15.65,15.41,15.41,1047,0,1
2010-09-30,15.54,15.61,15.48,15.58,931,0,1
2010-10-01,15.58,15.67,15.43,15.67,1018,0,1
2010-10-04,15.62,16.10,15.61,16.08,980,0,1
2010-10-05,16.13,16.59,16.13,16.51,1260,0,1
2010-10-06,16.51,16.69,16.35,16.69,1813,0,1
2010-10-07,16.62,16.69,16.37,16.45,774,0,1
2010-10-08,16.34,16.68,16.34,16.58,580,0,1
2010-10-11,16.62,16.78,16.47,16.76,445,0,1
2010-10-13,17.05,17.99,17.02,17.79,2824,0,1
2010-10-14,17.73,18.35,17.64,18.03,2154,0,1
2010-10-15,17.99,18.87,17.99,18.82,1826,0,1
2010-10-18,18.71,18.71,17.49,17.63,1867,0,1
2010-10-19,17.40,17.49,16.90,17.49,2423,0,1
2010-10-20,17.71,17.94,17.54,17.85,1508,0,1
2010-10-21,17.78,17.78,17.09,17.15,1874,0,1
2010-10-22,17.20,17.31,16.98,16.98,775,0,1
2010-10-25,17.12,17.29,16.76,16.76,1222,0,1
2010-10-26,16.68,17.67,16.65,17.66,1574,0,1
2010-10-27,17.34,17.49,17.05,17.28,1217,0,1
2010-10-28,17.56,17.56,16.83,16.84,839,0,1
2010-10-29,16.98,17.14,16.79,16.91,1418,0,1
2010-11-01,17.05,17.49,16.86,17.37,805,0,1
2010-11-03,17.33,17.39,17.05,17.20,855,0,1
2010-11-04,17.34,17.52,17.15,17.41,1132,0,1
2010-11-05,17.41,17.44,16.98,17.05,591,0,1
2010-11-08,17.05,17.20,16.77,17.12,656,0,1
2010-11-09,17.27,17.27,16.68,16.84,1402,0,1
2010-11-10,16.81,16.91,16.58,16.62,986,0,1
2010-11-11,16.61,16.62,16.32,16.32,908,0,1
2010-11-12,16.35,16.37,16.09,16.24,800,0,1
2010-11-16,16.33,16.50,16.09,16.26,1714,0,1
2010-11-17,16.32,16.46,16.08,16.18,744,0,1
2010-11-18,16.47,16.47,16.11,16.29,1279,0,1
2010-11-19,16.25,16.50,16.17,16.25,881,0,1
2010-11-22,16.26,16.47,15.93,16.13,802,0,1
2010-11-23,15.94,16.14,15.77,15.97,917,0,1
2010-11-24,16.11,16.26,15.97,16.15,646,0,1
2010-11-25,16.12,16.21,16.04,16.04,200,0,1
2010-11-26,16.04,16.20,15.75,15.97,1135,0,1
2010-11-29,15.81,15.97,15.67,15.85,944,0,1
2010-11-30,15.88,16.35,15.62,16.25,1226,0,1
2010-12-01,16.55,16.65,16.15,16.46,682,0,1
2010-12-02,16.47,16.76,16.47,16.59,440,0,1
2010-12-03,16.57,17.16,16.47,17.16,663,0,1
2010-12-06,17.09,17.18,16.76,16.93,464,0,1
2010-12-07,17.10,17.10,16.54,16.62,448,0,1
2010-12-08,16.60,16.74,16.40,16.47,992,0,1
2010-12-09,16.45,16.66,16.15,16.15,960,0,1
2010-12-10,16.22,16.50,16.22,16.47,526,0,1
2010-12-13,16.62,16.74,16.40,16.48,599,0,1
2010-12-14,16.55,16.55,16.19,16.27,558,0,1
2010-12-15,16.28,16.33,15.89,15.98,1140,0,1
2010-12-16,15.98,16.22,15.91,15.94,716,0,1
2010-12-17,15.93,16.00,15.72,15.86,910,0,1
2010-12-20,16.03,16.03,15.75,16.02,1602,0,1
2010-12-21,16.01,16.19,15.93,15.93,753,0,1
2010-12-22,15.94,16.00,15.65,15.80,946,0,1
2010-12-23,15.80,15.90,15.71,15.77,646,0,1
2010-12-27,15.77,15.88,15.72,15.72,250,0,1
2010-12-28,15.74,15.77,15.60,15.75,815,0,1
2010-12-29,15.82,16.13,15.70,15.90,851,0,1
2010-12-30,16.01,16.19,15.92,16.07,1032,0,1
2011-01-03,16.26,16.40,16.19,16.39,985,0,1
2011-01-04,16.62,16.84,16.47,16.79,1433,0,1
2011-01-05,16.80,17.30,16.73,17.25,1750,0,1
2011-01-06,17.20,17.30,16.76,16.76,2453,0,1
2011-01-07,16.84,16.88,16.49,16.66,790,0,1
2011-01-10,16.68,16.74,16.40,16.51,862,0,1
2011-01-11,16.51,16.56,16.27,16.37,1488,0,1
2011-01-12,16.47,16.52,16.34,16.43,1483,0,1
2011-01-13,16.55,16.71,16.50,16.62,1782,0,1
2011-01-14,16.55,17.12,16.52,16.90,1458,0,1
2011-01-17,16.97,16.97,16.63,16.86,1072,0,1
2011-01-18,16.77,16.83,16.61,16.71,1244,0,1
2011-01-19,16.71,16.81,16.30,16.37,1136,0,1
2011-01-20,16.34,16.47,16.19,16.25,1541,0,1
2011-01-21,16.25,16.36,16.12,16.26,660,0,1
2011-01-24,16.27,16.36,16.16,16.27,665,0,1
2011-01-26,16.21,16.47,16.05,16.05,1223,0,1
2011-01-27,16.15,16.29,15.94,16.00,1538,0,1
2011-01-28,16.06,16.19,15.83,16.07,1025,0,1
2011-01-31,16.05,16.23,15.99,16.19,1018,0,1
2011-02-01,16.29,16.36,16.10,16.23,1749,0,1
2011-02-02,16.26,16.26,16.08,16.19,1250,0,1
2011-02-03,16.18,16.33,16.08,16.26,1372,0,1
2011-02-04,16.23,16.30,16.14,16.26,1287,0,1
2011-02-07,16.32,16.37,16.21,16.36,917,0,1
2011-02-08,16.37,16.45,16.30,16.39,1611,0,1
2011-02-09,16.38,16.39,16.23,16.36,1636,0,1
2011-02-10,16.29,16.36,16.21,16.26,832,0,1
2011-02-11,16.26,16.41,16.24,16.31,1475,0,1
2011-02-14,16.41,16.41,16.24,16.26,930,0,1
2011-02-15,16.26,16.39,16.19,16.29,859,0,1
2011-02-16,16.41,16.62,16.23,16.47,1533,0,1
2011-02-17,16.57,16.67,16.38,16.54,1077,0,1
2011-02-18,16.58,16.81,16.35,16.77,1798,0,1
2011-02-21,16.74,16.74,16.42,16.69,770,0,1
2011-02-22,16.66,16.92,16.57,16.71,1193,0,1
2011-02-23,16.71,16.90,16.50,16.73,1252,0,1
2011-02-24,16.73,16.94,16.70,16.73,1075,0,1
2011-02-25,16.91,16.91,16.47,16.63,1490,0,1
2011-02-28,16.77,16.99,16.52,16.99,1516,0,1
2011-03-01,16.98,17.06,16.73,16.73,1567,0,1
2011-03-02,16.71,16.98,16.48,16.95,1174,0,1
2011-03-03,16.84,17.17,16.84,17.13,2002,0,1
2011-03-04,16.99,17.31,16.94,17.31,1208,0,1
2011-03-09,17.34,17.58,17.08,17.56,589,0,1
2011-03-10,17.52,17.53,17.18,17.18,1258,0,1
