date,open,high,low,close,volume,dividend,split
2010-07-20,1.73,1.73,1.68,1.71,554,0,1
2010-07-21,1.71,1.73,1.70,1.70,590,0,1
2010-07-22,1.72,1.72,1.70,1.72,966,0,1
2010-07-23,1.72,1.72,1.70,1.72,1946,0,1
2010-07-26,1.72,1.74,1.72,1.74,900,0,1
2010-07-27,1.74,1.74,1.72,1.74,502,0,1
2010-07-28,1.74,1.74,1.71,1.71,862,0,1
2010-07-29,1.73,1.73,1.70,1.73,387,0,1
2010-07-30,1.72,1.74,1.71,1.73,605,0,1
2010-08-02,1.74,1.75,1.73,1.75,1604,0,1
2010-08-03,1.74,1.81,1.74,1.79,4573,0,1
2010-08-04,1.81,1.81,1.77,1.81,1350,0,1
2010-08-05,1.80,1.83,1.78,1.83,1913,0,1
2010-08-06,1.80,1.84,1.79,1.84,422,0,1
2010-08-09,1.84,1.84,1.80,1.81,638,0,1
2010-08-10,1.80,1.83,1.76,1.83,993,0,1
2010-08-11,1.79,1.82,1.79,1.82,1165,0,1
2010-08-12,1.82,1.82,1.79,1.81,213,0,1
2010-08-13,1.81,1.82,1.78,1.78,1985,0,1
2010-08-16,1.77,1.85,1.77,1.85,9043,0,1
2010-08-17,1.86,1.86,1.82,1.84,1365,0,1
2010-08-18,1.85,1.88,1.84,1.88,922,0,1
2010-08-19,1.88,1.88,1.86,1.87,2424,0,1
2010-08-20,1.87,1.88,1.86,1.88,602,0,1
2010-08-23,1.88,1.89,1.83,1.87,1109,0,1
2010-08-24,1.85,1.89,1.85,1.88,523,0,1
2010-08-25,1.70,1.71,1.57,1.62,2720,0,1
2010-08-26,1.66,1.76,1.63,1.74,3260,0,1
2010-08-27,1.70,1.74,1.70,1.74,4255,0,1
2010-08-30,1.71,1.71,1.68,1.70,2464,0,1
2010-08-31,1.68,1.73,1.64,1.66,2243,0,1
2010-09-01,1.66,1.72,1.64,1.71,1168,0,1
2010-09-02,1.71,1.78,1.71,1.78,1248,0,1
2010-09-03,1.74,1.79,1.74,1.78,3806,0,1
2010-09-06,1.78,1.79,1.74,1.76,241,0,1
2010-09-08,1.75,1.78,1.68,1.69,3869,0,1
2010-09-09,1.68,1.68,1.60,1.64,2658,0,1
2010-09-10,1.62,1.63,1.61,1.62,868,0,1
2010-09-13,1.64,1.67,1.58,1.60,1248,0,1
2010-09-14,1.59,1.61,1.58,1.58,1162,0,1
2010-09-15,1.58,1.61,1.58,1.58,388,0,1
2010-09-16,1.58,1.61,1.58,1.60,1089,0,1
2010-09-17,1.60,1.63,1.57,1.57,2589,0,1
2010-09-20,1.58,1.58,1.56,1.57,724,0,1
2010-09-21,1.56,1.56,1.54,1.55,1029,0,1
2010-09-22,1.55,1.56,1.52,1.53,855,0,1
2010-09-23,1.53,1.54,1.52,1.53,1301,0,1
2010-09-24,1.53,1.56,1.49,1.54,5003,0,1
2010-09-27,1.53,1.55,1.51,1.54,3282,0,1
2010-09-28,1.54,1.54,1.51,1.54,2758,0,1
2010-09-29,1.52,1.52,1.49,1.50,2049,0,1
2010-09-30,1.50,1.54,1.49,1.53,444,0,1
2010-10-01,1.53,1.60,1.52,1.59,3195,0,1
2010-10-04,1.58,1.58,1.53,1.56,488,0,1
2010-10-05,1.59,1.60,1.57,1.59,3844,0,1
2010-10-06,1.62,1.62,1.58,1.61,2460,0,1
2010-10-07,1.61,1.63,1.59,1.63,1420,0,1
2010-10-08,1.63,1.64,1.61,1.63,1403,0,1
2010-10-11,1.63,1.64,1.63,1.64,450,0,1
2010-10-13,1.64,1.66,1.63,1.64,978,0,1
2010-10-14,1.62,1.67,1.61,1.67,2025,0,1
2010-10-15,1.66,1.67,1.64,1.66,3916,0,1
2010-10-18,1.66,1.67,1.65,1.65,3046,0,1
2010-10-19,1.66,1.67,1.60,1.67,7306,0,1
2010-10-20,1.67,1.70,1.63,1.65,3448,0,1
2010-10-21,1.65,1.77,1.65,1.76,1261,0,1
2010-10-22,1.76,1.76,1.73,1.74,5320,0,1
2010-10-25,1.74,1.74,1.70,1.74,938,0,1
2010-10-26,1.73,1.74,1.71,1.73,468,0,1
2010-10-27,1.74,1.74,1.72,1.74,125,0,1
2010-10-28,1.74,1.76,1.74,1.76,434,0,1
2010-10-29,1.76,1.76,1.73,1.75,518,0,1
2010-11-01,1.76,1.78,1.73,1.78,2311,0,1
2010-11-03,1.73,1.79,1.73,1.77,3120,0,1
2010-11-04,1.79,1.83,1.78,1.81,2034,0,1
2010-11-05,1.83,1.83,1.78,1.80,780,0,1
2010-11-08,1.82,1.83,1.77,1.80,4119,0,1
2010-11-09,1.79,1.79,1.73,1.76,253,0,1
2010-11-10,1.77,1.77,1.69,1.70,625,0,1
2010-11-11,1.68,1.73,1.66,1.73,330,0,1
2010-11-12,1.69,1.74,1.65,1.74,294,0,1
2010-11-16,1.74,1.74,1.71,1.74,898,0,1
2010-11-17,1.74,1.74,1.71,1.71,599,0,1
2010-11-18,1.74,1.75,1.72,1.75,491,0,1
2010-11-19,1.74,1.75,1.72,1.75,591,0,1
2010-11-22,1.75,1.77,1.73,1.76,455,0,1
2010-11-23,1.73,1.76,1.72,1.76,734,0,1
2010-11-24,1.76,1.82,1.75,1.82,412,0,1
2010-11-25,1.82,1.82,1.77,1.77,181,0,1
2010-11-26,1.77,1.79,1.75,1.77,58,0,1
2010-11-29,1.77,1.77,1.74,1.74,85,0,1
2010-11-30,1.74,1.80,1.71,1.80,606,0,1
2010-12-01,1.79,1.81,1.77,1.81,451,0,1
2010-12-02,1.80,1.80,1.75,1.76,205,0,1
2010-12-03,1.77,1.77,1.73,1.73,879,0,1
2010-12-06,1.76,1.76,1.71,1.75,855,0,1
2010-12-07,1.78,1.78,1.74,1.76,174,0,1
2010-12-08,1.77,1.78,1.73,1.73,133,0,1
2010-12-09,1.74,1.77,1.72,1.72,293,0,1
2010-12-10,1.77,1.77,1.73,1.76,131,0,1
2010-12-13,1.73,1.77,1.73,1.75,892,0,1
2010-12-14,1.76,1.77,1.74,1.76,815,0,1
2010-12-15,1.77,1.77,1.74,1.77,206,0,1
2010-12-16,1.77,1.77,1.74,1.76,700,0,1
2010-12-17,1.77,1.77,1.71,1.77,813,0,1
2010-12-20,1.75,1.76,1.73,1.75,126,0,1
2010-12-21,1.75,1.76,1.73,1.73,504,0,1
2010-12-22,1.77,1.77,1.70,1.70,768,0,1
2010-12-23,1.71,1.74,1.70,1.73,745,0,1
2010-12-27,1.73,1.73,1.68,1.70,1224,0,1
2010-12-28,1.70,1.71,1.68,1.70,1101,0,1
2010-12-29,1.71,1.71,1.69,1.70,835,0,1
2010-12-30,1.71,1.71,1.70,1.70,1781,0,1
2011-01-03,1.71,1.73,1.70,1.71,1104,0,1
2011-01-04,1.71,1.71,1.70,1.71,775,0,1
2011-01-05,1.71,1.71,1.68,1.71,466,0,1
2011-01-06,1.71,1.72,1.70,1.72,954,0,1
2011-01-07,1.72,1.72,1.70,1.71,382,0,1
2011-01-10,1.70,1.71,1.70,1.71,509,0,1
2011-01-11,1.71,1.73,1.70,1.71,1404,0,1
2011-01-12,1.71,1.73,1.71,1.72,1880,0,1
2011-01-13,1.72,1.74,1.71,1.71,316,0,1
2011-01-14,1.72,1.73,1.68,1.72,1015,0,1
2011-01-17,1.72,1.73,1.70,1.71,479,0,1
2011-01-18,1.71,1.76,1.71,1.76,1011,0,1
2011-01-19,1.73,1.74,1.72,1.73,611,0,1
2011-01-20,1.71,1.73,1.71,1.73,1120,0,1
2011-01-21,1.74,1.74,1.72,1.72,462,0,1
2011-01-24,1.71,1.76,1.71,1.75,1747,0,1
2011-01-26,1.75,1.75,1.72,1.75,568,0,1
2011-01-27,1.75,1.75,1.69,1.70,772,0,1
2011-01-28,1.72,1.72,1.67,1.70,2713,0,1
2011-01-31,1.72,1.75,1.68,1.73,854,0,1
2011-02-01,1.73,1.73,1.69,1.69,883,0,1
2011-02-02,1.73,1.76,1.71,1.71,1837,0,1
2011-02-03,1.71,1.77,1.70,1.72,5049,0,1
2011-02-04,1.71,1.76,1.71,1.71,534,0,1
2011-02-07,1.73,1.73,1.69,1.71,365,0,1
2011-02-08,1.74,1.75,1.71,1.75,245,0,1
2011-02-09,1.74,1.75,1.72,1.75,187,0,1
2011-02-10,1.70,1.78,1.70,1.78,930,0,1
2011-02-11,1.73,1.74,1.70,1.71,1438,0,1
2011-02-14,1.70,1.71,1.69,1.71,613,0,1
2011-02-15,1.72,1.75,1.70,1.71,588,0,1
2011-02-16,1.73,1.75,1.71,1.75,1493,0,1
2011-02-17,1.75,1.75,1.70,1.71,1348,0,1
2011-02-18,1.74,1.74,1.70,1.70,769,0,1
2011-02-21,1.69,1.72,1.67,1.72,334,0,1
2011-02-22,1.71,1.73,1.68,1.68,1335,0,1
2011-02-23,1.71,1.71,1.69,1.71,307,0,1
2011-02-24,1.71,1.74,1.71,1.73,291,0,1
2011-02-25,1.72,1.74,1.70,1.71,294,0,1
2011-02-28,1.73,1.76,1.71,1.76,726,0,1
2011-03-01,1.73,1.76,1.71,1.76,378,0,1
2011-03-02,1.74,1.76,1.72,1.72,387,0,1
2011-03-03,1.74,1.74,1.73,1.74,151,0,1
2011-03-04,1.75,1.75,1.72,1.72,117,0,1
2011-03-09,1.73,1.79,1.73,1.79,552,0,1
2011-03-10,1.77,1.79,1.73,1.73,462,0,1
2011-03-11,1.73,1.81,1.73,1.79,1196,0,1
2011-03-14,1.79,1.79,1.74,1.74,84,0,1
2011-03-15,1.74,1.77,1.73,1.77,371,0,1
2011-03-16,1.77,1.77,1.74,1.74,822,0,1
2011-03-17,1.76,1.76,1.72,1.73,388,0,1
2011-03-18,1.76,1.76,1.73,1.73,317,0,1
2011-03-21,1.72,1.75,1.72,1.73,178,0,1
2011-03-22,1.74,1.76,1.73,1.74,2019,0,1
2011-03-23,1.76,1.79,1.75,1.77,840,0,1
2011-03-24,1.77,1.79,1.77,1.78,128,0,1
2011-03-25,1.77,1.80,1.77,1.80,1277,0,1
2011-03-28,1.79,1.79,1.75,1.75,268,0,1
2011-03-29,1.76,1.79,1.75,1.76,300,0,1
2011-03-30,1.79,1.90,1.79,1.90,1820,0,1
2011-03-31,1.92,1.94,1.88,1.89,1352,0,1
2011-04-01,1.91,1.94,1.89,1.94,516,0,1
2011-04-04,1.94,1.94,1.91,1.91,572,0,1
2011-04-05,1.91,1.93,1.89,1.90,1833,0,1
2011-04-06,1.91,1.91,1.89,1.90,395,0,1
2011-04-07,1.93,1.93,1.88,1.90,904,0,1
2011-04-08,1.90,1.90,1.88,1.89,156,0,1
2011-04-11,1.89,1.94,1.89,1.94,352,0,1
2011-04-12,1.91,1.92,1.89,1.89,365,0,1
2011-04-13,1.91,1.92,1.88,1.92,809,0,1
2011-04-14,1.90,1.91,1.90,1.91,192,0,1
2011-04-15,1.91,1.92,1.90,1.92,873,0,1
2011-04-18,1.93,1.95,1.92,1.94,524,0,1
2011-04-19,1.94,1.96,1.92,1.96,1342,0,1
2011-04-20,1.96,1.99,1.96,1.99,865,0,1
2011-04-25,2.00,2.03,1.98,1.98,553,0,1
2011-04-26,2.00,2.00,1.96,1.98,1459,0,1
2011-04-27,1.98,2.00,1.98,1.98,1228,0,1
2011-04-28,1.98,2.01,1.98,1.98,897,0,1
2011-04-29,2.00,2.03,1.98,2.00,1100,0,1
2011-05-02,2.00,2.01,1.92,1.98,875,0,1
2011-05-03,1.98,1.98,1.91,1.91,349,0,1
2011-05-04,1.91,1.93,1.90,1.92,682,0,1
2011-05-05,1.98,1.99,1.95,1.97,241,0,1
2011-05-06,1.98,1.98,1.97,1.98,436,0,1
2011-05-09,1.98,1.98,1.96,1.97,1335,0,1
2011-05-10,1.98,1.98,1.93,1.96,368,0,1
2011-05-11,1.94,2.01,1.92,1.93,1778,0,1
2011-05-12,1.93,1.99,1.93,1.98,783,0,1
2011-05-13,1.98,1.98,1.95,1.97,603,0,1
2011-05-16,1.98,1.98,1.95,1.97,760,0,1
2011-05-17,1.96,1.97,1.93,1.93,962,0,1
2011-05-18,1.95,1.98,1.94,1.96,1086,0,1
2011-05-19,1.97,1.98,1.93,1.98,1200,0,1
2011-05-20,1.98,2.04,1.96,2.01,910,0,1
2011-05-23,2.07,2.07,2.00,2.01,477,0,1
2011-05-24,2.02,2.03,2.00,2.02,696,0,1
2011-05-25,2.02,2.02,1.99,1.99,359,0,1
2011-05-26,2.01,2.02,1.98,2.01,1226,0,1
2011-05-27,2.03,2.03,2.00,2.01,1154,0,1
2011-05-30,2.03,2.03,1.98,1.99,314,0,1
2011-05-31,2.00,2.01,2.00,2.01,1591,0,1
2011-06-01,2.02,2.03,1.99,2.02,2465,0,1
2011-06-02,2.02,2.03,2.01,2.02,1493,0,1
2011-06-03,2.00,2.01,2.00,2.01,668,0,1
2011-06-06,2.03,2.03,2.00,2.02,1172,0,1
2011-06-07,2.02,2.03,2.01,2.01,642,0,1
2011-06-08,2.02,2.03,2.00,2.01,583,0,1
2011-06-09,2.01,2.03,2.00,2.01,484,0,1
2011-06-10,2.01,2.04,2.00,2.01,494,0,1
2011-06-13,2.04,2.04,1.99,1.99,304,0,1
2011-06-14,2.01,2.04,2.00,2.01,806,0,1
2011-06-15,2.04,2.04,1.99,2.01,854,0,1
2011-06-16,2.03,2.03,1.99,1.99,582,0,1
2011-06-17,2.04,2.04,2.00,2.03,5316,0,1
2011-06-20,2.00,2.04,2.00,2.03,575,0,1
2011-06-21,2.03,2.03,2.01,2.01,340,0,1
2011-06-22,2.01,2.02,2.00,2.01,744,0,1
2011-06-24,2.02,2.02,2.01,2.02,600,0,1
2011-06-27,2.01,2.04,2.01,2.02,355,0,1
2011-06-28,2.04,2.04,2.01,2.03,1976,0,1
2011-06-29,2.04,2.07,2.03,2.07,964,0,1
2011-06-30,2.07,2.08,2.01,2.05,1093,0,1
2011-07-01,2.10,2.10,2.00,2.00,1614,0,1
2011-07-04,2.03,2.04,2.00,2.01,474,0,1
2011-07-05,2.01,2.04,2.01,2.02,1373,0,1
2011-07-06,2.02,2.03,1.99,2.01,754,0,1
2011-07-07,2.03,2.05,1.98,1.98,851,0,1
2011-07-08,1.99,2.04,1.94,2.04,1117,0,1
2011-07-11,2.02,2.02,1.95,2.01,821,0,1
2011-07-12,2.03,2.03,2.00,2.01,1516,0,1
2011-07-13,2.03,2.04,1.98,1.98,961,0,1
2011-07-14,1.99,2.01,1.96,1.96,357,0,1
2011-07-15,2.00,2.00,1.94,1.94,997,0,1
2011-07-18,1.94,2.00,1.89,2.00,336,0,1
2011-07-19,2.00,2.00,1.96,1.97,1520,0,1
2011-07-20,2.00,2.02,1.97,1.97,1188,0,1
2011-07-21,2.01,2.01,1.97,1.97,692,0,1
2011-07-22,2.00,2.03,1.98,2.01,1273,0,1
2011-07-25,2.01,2.01,1.97,1.98,670,0,1
2011-07-26,1.96,1.98,1.95,1.98,865,0,1
2011-07-27,1.96,1.96,1.93,1.93,772,0,1
2011-07-28,1.97,1.98,1.94,1.95,467,0,1
2011-07-29,1.95,2.00,1.94,1.98,1435,0,1
2011-08-01,1.98,2.01,1.95,1.96,456,0,1
2011-08-02,2.00,2.01,1.96,1.98,2109,0,1
2011-08-03,1.98,2.01,1.94,1.98,1226,0,1
2011-08-04,1.97,1.99,1.90,1.96,680,0,1
2011-08-05,1.93,1.95,1.90,1.91,662,0,1
2011-08-08,1.88,1.94,1.83,1.83,1669,0,1
2011-08-09,1.89,1.90,1.86,1.86,431,0,1
2011-08-10,1.89,1.92,1.84,1.86,372,0,1
2011-08-11,1.90,1.90,1.85,1.89,740,0,1
2011-08-12,1.89,1.89,1.84,1.89,387,0,1
2011-08-15,1.91,1.91,1.85,1.86,1066,0,1
2011-08-16,1.90,1.90,1.84,1.89,781,0,1
2011-08-17,1.87,1.88,1.86,1.87,6975,0,1
2011-08-18,1.86,1.88,1.84,1.86,559,0,1
2011-08-19,1.84,1.88,1.78,1.86,1758,0,1
2011-08-22,1.86,1.90,1.84,1.89,361,0,1
2011-08-23,1.85,1.87,1.83,1.83,4277,0,1
2011-08-24,1.82,1.85,1.81,1.83,456,0,1
2011-08-25,1.84,1.84,1.81,1.82,911,0,1
2011-08-26,1.83,1.83,1.80,1.81,1015,0,1
2011-08-29,1.82,1.89,1.82,1.87,498,0,1
2011-08-30,1.87,1.89,1.86,1.89,700,0,1
2011-08-31,1.89,2.04,1.89,2.04,1007,0,1
2011-09-01,2.00,2.03,1.97,2.01,1555,0,1
2011-09-02,1.98,2.07,1.91,2.07,1615,0,1
2011-09-05,2.01,2.02,1.99,2.01,411,0,1
2011-09-06,2.01,2.01,1.97,1.98,730,0,1
2011-09-08,2.00,2.01,1.98,2.01,958,0,1
2011-09-09,2.01,2.02,1.98,2.02,170,0,1
2011-09-12,1.99,2.03,1.98,2.01,221,0,1
2011-09-13,2.03,2.03,1.98,2.00,888,0,1
2011-09-14,1.98,2.01,1.98,1.99,616,0,1
2011-09-15,2.01,2.01,1.99,2.00,1623,0,1
2011-09-16,2.01,2.01,1.97,2.00,5379,0,1
2011-09-19,2.02,2.02,2.00,2.01,375,0,1
2011-09-20,2.03,2.03,1.98,1.99,1131,0,1
2011-09-21,2.00,2.01,1.99,2.01,1726,0,1
2011-09-22,1.98,2.01,1.96,2.01,278,0,1
2011-09-23,2.01,2.01,1.97,1.99,343,0,1
2011-09-26,2.01,2.01,1.96,2.00,719,0,1
2011-09-27,2.00,2.01,1.97,2.00,1691,0,1
2011-09-28,2.00,2.01,1.98,2.01,252,0,1
2011-09-29,2.00,2.00,1.97,1.98,1091,0,1
2011-09-30,1.97,2.00,1.96,2.00,358,0,1
