date,open,high,low,close,volume,dividend,split
2010-04-29,3.79,3.84,3.76,3.83,86,0,1
2010-04-30,3.90,3.90,3.83,3.88,257,0,1
2010-05-03,3.89,3.90,3.84,3.84,229,0,1
2010-05-04,3.87,3.91,3.76,3.81,299,0,1
2010-05-05,3.76,3.80,3.67,3.71,438,0,1
2010-05-06,3.74,3.75,3.49,3.52,320,0,1
2010-05-07,3.59,3.60,3.36,3.41,526,0,1
2010-05-10,3.64,3.75,3.57,3.74,484,0,1
2010-05-11,3.74,3.79,3.58,3.64,398,0,1
2010-05-12,3.72,3.78,3.72,3.77,195,0,1
2010-05-13,3.78,3.78,3.72,3.75,60,0,1
2010-05-14,3.72,3.73,3.62,3.69,189,0,1
2010-05-17,3.62,3.74,3.56,3.59,315,0,1
2010-05-18,3.64,3.69,3.56,3.57,313,0,1
2010-05-19,3.50,3.52,3.26,3.38,599,0,1
2010-05-20,3.35,3.52,3.27,3.39,667,0,1
2010-05-21,3.36,3.52,3.36,3.50,87,0,1
2010-05-24,3.41,3.56,3.38,3.55,81,0,1
2010-05-25,3.45,3.59,3.40,3.59,125,0,1
2010-05-26,3.68,3.74,3.59,3.59,242,0,1
2010-05-27,3.74,3.75,3.70,3.74,148,0,1
2010-05-28,3.74,3.76,3.71,3.74,63,0,1
2010-05-31,3.73,3.78,3.73,3.77,265,0,1
2010-06-01,3.74,3.78,3.68,3.68,270,0,1
2010-06-02,3.68,3.85,3.67,3.84,170,0,1
2010-06-04,3.78,3.88,3.74,3.82,159,0,1
2010-06-07,3.78,3.79,3.69,3.71,84,0,1
2010-06-08,3.71,3.79,3.71,3.72,173,0,1
2010-06-09,3.76,3.83,3.76,3.82,109,0,1
2010-06-10,3.83,3.90,3.83,3.90,88,0,1
2010-06-11,3.88,3.94,3.86,3.86,242,0,1
2010-06-14,3.89,3.91,3.82,3.90,102,0,1
2010-06-15,3.88,3.93,3.84,3.86,86,0,1
2010-06-16,3.86,3.90,3.82,3.85,127,0,1
2010-06-17,3.88,3.90,3.83,3.87,381,0,1
2010-06-18,3.84,3.90,3.83,3.85,98,0,1
2010-06-21,3.88,3.92,3.83,3.83,119,0,1
2010-06-22,3.83,3.92,3.83,3.92,240,0,1
2010-06-23,3.93,3.94,3.91,3.93,79,0,1
2010-06-24,3.90,3.94,3.88,3.92,128,0,1
2010-06-25,3.93,4.01,3.91,4.01,229,0,1
2010-06-28,4.02,4.06,4.00,4.06,138,0,1
2010-06-29,4.01,4.02,3.90,3.92,283,0,1
2010-06-30,3.93,3.99,3.92,3.92,104,0,1
2010-07-01,3.93,3.95,3.89,3.91,179,0,1
2010-07-02,3.93,3.97,3.91,3.97,90,0,1
2010-07-05,3.99,3.99,3.90,3.93,241,0,1
2010-07-06,3.98,3.98,3.90,3.97,166,0,1
2010-07-07,3.96,4.06,3.96,3.98,129,0,1
2010-07-08,4.00,4.02,3.95,4.02,117,0,1
2010-07-12,3.98,4.07,3.98,4.02,90,0,1
2010-07-13,4.04,4.15,4.03,4.12,369,0,1
2010-07-14,4.14,4.16,4.10,4.16,238,0,1
2010-07-15,4.16,4.26,4.14,4.25,504,0,1
