date,open,high,low,close,volume,dividend,split
2011-01-07,8.99,9.33,8.79,9.33,2190,0,1
2011-01-10,9.09,9.33,9.09,9.14,246,0,1
2011-01-11,9.29,9.29,8.98,9.04,109,0,1
2011-01-12,9.09,9.24,8.99,9.03,101,0,1
2011-01-13,9.08,9.19,9.01,9.15,756,0,1
2011-01-14,9.01,9.42,9.01,9.34,340,0,1
2011-01-17,9.42,9.42,9.11,9.33,267,0,1
2011-01-18,9.18,9.43,9.18,9.38,334,0,1
2011-01-19,9.34,9.60,9.34,9.41,464,0,1
2011-01-20,9.60,9.60,9.18,9.29,297,0,1
2011-01-21,9.43,9.43,9.15,9.20,678,0,1
2011-01-24,9.09,9.32,9.09,9.15,523,0,1
2011-01-26,9.32,9.40,9.06,9.26,835,0,1
2011-01-27,9.28,9.58,9.20,9.36,383,0,1
2011-01-28,9.19,9.33,8.86,8.90,726,0,1
2011-01-31,8.96,9.14,8.90,8.97,403,0,1
2011-02-01,9.20,9.32,8.97,8.97,248,0,1
2011-02-02,8.97,9.18,8.97,8.97,169,0,1
2011-02-03,8.76,9.04,8.41,8.90,390,0,1
2011-02-04,8.68,9.04,8.68,8.88,133,0,1
2011-02-07,8.72,9.08,8.60,8.97,1136,0,1
2011-02-08,8.97,9.01,8.72,8.89,706,0,1
2011-02-09,8.79,9.11,8.61,8.61,585,0,1
2011-02-10,8.44,8.68,8.38,8.38,849,0,1
2011-02-11,8.26,8.68,8.18,8.45,895,0,1
2011-02-14,8.45,8.61,8.42,8.52,183,0,1
2011-02-15,8.58,8.96,8.58,8.79,156,0,1
2011-02-16,8.68,9.08,8.68,9.04,638,0,1
2011-02-17,9.04,9.09,8.85,8.86,717,0,1
2011-02-18,8.81,8.97,8.50,8.90,411,0,1
2011-02-21,8.67,8.92,8.67,8.79,164,0,1
2011-02-22,8.79,8.80,8.61,8.62,806,0,1
2011-02-23,8.44,8.65,8.44,8.47,320,0,1
2011-02-24,8.31,8.47,8.31,8.38,29,0,1
2011-02-25,8.38,8.38,8.07,8.07,567,0,1
2011-02-28,8.21,8.22,7.82,7.91,620,0,1
2011-03-01,7.83,8.02,7.77,7.82,191,0,1
2011-03-02,7.91,7.94,7.71,7.72,324,0,1
2011-03-03,7.82,8.11,7.82,7.98,475,0,1
2011-03-04,8.09,8.23,7.90,8.03,1196,0,1
2011-03-09,8.07,8.40,8.07,8.40,152,0,1
2011-03-10,8.40,8.55,8.24,8.36,124,0,1
2011-03-11,8.25,8.38,8.21,8.21,95,0,1
2011-03-14,8.25,8.39,8.02,8.39,163,0,1
2011-03-15,8.25,8.39,7.96,8.29,77,0,1
2011-03-16,8.44,8.45,8.16,8.43,160,0,1
2011-03-17,8.43,8.63,8.34,8.50,105,0,1
2011-03-18,8.43,8.55,8.18,8.18,111,0,1
2011-03-21,8.25,8.46,8.24,8.35,68,0,1
2011-03-22,8.49,8.72,8.43,8.69,24,0,1
2011-03-23,8.74,8.75,8.46,8.55,108,0,1
2011-03-24,8.73,8.75,8.59,8.72,52,0,1
2011-03-25,8.75,8.85,8.65,8.65,125,0,1
2011-03-28,8.67,8.67,8.43,8.57,285,0,1
2011-03-29,8.61,8.63,8.47,8.57,333,0,1
2011-03-30,8.61,8.61,8.45,8.59,46,0,1
2011-03-31,8.60,8.87,8.60,8.70,212,0,1
2011-04-01,8.86,8.89,8.72,8.72,533,0,1
2011-04-04,8.82,8.82,8.41,8.54,332,0,1
2011-04-05,8.63,8.63,8.45,8.51,522,0,1
2011-04-06,8.53,8.54,8.48,8.48,140,0,1
2011-04-07,8.42,8.54,8.32,8.36,112,0,1
2011-04-08,8.34,8.49,8.27,8.34,721,0,1
2011-04-11,8.34,8.51,8.34,8.36,566,0,1
2011-04-12,8.34,8.36,8.14,8.14,192,0,1
2011-04-13,8.16,8.23,7.92,7.93,86,0,1
2011-04-14,8.04,8.04,7.80,7.93,184,0,1
2011-04-15,7.88,8.20,7.85,7.99,207,0,1
2011-04-18,7.99,8.11,7.68,7.68,189,0,1
2011-04-19,7.88,7.90,7.78,7.81,530,0,1
2011-04-20,7.97,8.16,7.84,8.16,1573,0,1
2011-04-25,8.12,8.30,8.05,8.20,673,0,1
2011-04-26,8.18,8.32,8.18,8.32,368,0,1
2011-04-27,8.29,8.47,8.05,8.16,432,0,1
2011-04-28,8.11,8.32,8.11,8.32,259,0,1
2011-04-29,8.41,8.41,8.25,8.41,554,0,1
2011-05-02,8.44,8.79,8.38,8.79,648,0,1
2011-05-03,8.78,8.78,8.51,8.51,148,0,1
