date,open,high,low,close,volume,dividend,split
2010-12-22,19.60,19.72,19.33,19.72,3246,0,1
2010-12-23,19.67,19.68,19.45,19.54,1852,0,1
2010-12-27,19.30,19.42,19.12,19.12,2215,0,1
2010-12-28,19.13,19.25,18.66,18.68,3302,0,1
2010-12-29,18.90,19.28,18.70,19.06,3600,0,1
2010-12-30,19.06,19.24,18.98,19.19,3586,0,1
2011-01-03,19.52,19.76,19.35,19.58,4035,0,1
2011-01-04,19.61,20.16,19.57,20.16,6778,0,1
2011-01-05,19.97,20.48,19.92,20.27,6176,0,1
2011-01-06,20.23,20.62,20.11,20.35,7418,0,1
2011-01-07,20.27,20.65,20.21,20.39,5766,0,1
2011-01-10,20.12,20.38,19.97,20.11,4299,0,1
2011-01-11,20.30,20.44,20.11,20.27,4805,0,1
2011-01-12,20.43,20.94,20.43,20.94,6031,0,1
2011-01-13,20.92,20.98,20.59,20.59,4336,0,1
2011-01-14,20.49,20.57,20.29,20.49,4305,0,1
2011-01-17,20.34,20.36,19.74,20.24,3485,0,1
2011-01-18,20.38,20.60,20.27,20.27,5222,0,1
2011-01-19,20.35,20.37,19.58,19.66,5726,0,1
2011-01-20,19.50,19.64,19.03,19.26,8737,0,1
2011-01-21,19.43,19.61,19.10,19.12,5813,0,1
2011-01-24,19.22,19.33,18.96,19.05,3949,0,1
2011-01-26,19.15,19.23,18.56,18.69,8101,0,1
2011-01-27,18.83,18.87,18.37,18.37,6921,0,1
2011-01-28,18.46,18.53,17.67,17.78,8426,0,1
2011-01-31,17.95,18.23,17.79,18.07,5847,0,1
2011-02-01,18.33,18.95,18.27,18.88,5471,0,1
2011-02-02,18.92,19.45,18.80,18.84,7655,0,1
2011-02-03,18.87,19.43,18.63,19.39,6163,0,1
2011-02-04,19.27,19.68,18.88,18.96,5949,0,1
2011-02-07,19.17,19.31,18.90,19.05,3008,0,1
2011-02-08,18.92,19.61,18.81,19.21,5423,0,1
2011-02-09,19.13,19.47,18.45,18.58,7125,0,1
2011-02-10,18.67,19.17,18.51,19.17,5879,0,1
2011-02-11,19.17,19.39,18.89,19.39,6685,0,1
2011-02-14,19.31,19.63,19.14,19.53,5197,0,1
2011-02-15,19.39,19.71,19.28,19.43,4160,0,1
2011-02-16,19.51,19.75,19.29,19.72,5778,0,1
2011-02-17,19.81,20.10,19.44,20.03,5758,0,1
2011-02-18,19.84,20.45,19.84,20.34,6021,0,1
2011-02-21,20.25,20.27,19.73,19.81,2718,0,1
2011-02-22,19.54,20.06,19.24,19.24,8635,0,1
2011-02-23,19.30,19.39,18.78,19.01,7813,0,1
2011-02-24,18.96,19.03,18.53,18.69,6894,0,1
2011-02-25,18.92,18.95,18.26,18.50,5939,0,1
2011-02-28,18.62,18.80,18.48,18.62,4506,0,1
2011-03-01,18.72,18.91,18.26,18.30,6019,0,1
2011-03-02,18.38,18.64,18.26,18.41,4707,0,1
2011-03-03,18.50,19.40,18.45,19.26,11737,0,1
2011-03-04,19.30,19.56,18.79,18.84,11034,0,1
2011-03-09,18.58,19.11,18.54,18.62,5596,0,1
2011-03-10,18.43,18.60,18.20,18.20,5459,0,1
2011-03-11,18.14,18.20,17.79,17.81,13199,0,1
2011-03-14,17.85,18.51,17.81,18.47,9284,0,1
2011-03-15,18.00,18.84,17.94,18.78,9335,0,1
2011-03-16,18.84,19.09,18.02,18.18,8102,0,1
2011-03-17,18.54,18.54,18.02,18.11,5449,0,1
2011-03-18,18.33,18.38,17.97,18.08,9554,0,1
2011-03-21,18.18,18.31,17.13,17.19,18372,0,1
2011-03-22,17.21,17.33,16.86,17.10,9748,0,1
2011-03-23,17.13,17.42,17.12,17.21,9575,0,1
2011-03-24,17.29,17.35,17.06,17.15,6020,0,1
2011-03-25,17.10,17.29,16.98,17.02,5660,0,1
2011-03-28,17.06,17.19,16.92,16.97,4329,0,1
2011-03-29,17.02,17.16,16.89,17.03,3829,0,1
2011-03-30,17.13,17.16,16.89,16.98,4526,0,1
2011-03-31,17.00,17.21,16.99,17.14,5011,0,1
2011-04-01,17.23,17.32,16.99,17.02,4383,0,1
2011-04-04,17.11,17.14,17.00,17.01,2916,0,1
2011-04-05,17.04,17.06,16.83,16.88,5838,0,1
2011-04-06,16.89,16.96,16.49,16.55,8332,0,1
2011-04-07,16.59,16.93,16.44,16.91,8705,0,1
2011-04-08,16.98,17.16,16.91,16.98,8684,0,1
2011-04-11,17.02,17.21,16.71,17.05,8242,0,1
2011-04-12,16.93,17.04,16.44,16.44,15485,0,1
2011-04-13,16.38,16.38,15.92,16.05,22557,0,1
2011-04-14,16.00,16.33,15.86,16.11,16018,0,1
2011-04-15,16.18,16.30,15.96,16.30,19720,0,1
2011-04-18,16.17,16.17,15.70,15.75,11762,0,1
2011-04-19,15.87,15.90,15.44,15.75,10853,0,1
2011-04-20,15.92,16.09,15.76,16.03,8161,0,1
2011-04-25,16.04,16.12,15.87,15.93,3754,0,1
2011-04-26,15.96,16.22,15.79,16.17,6095,0,1
2011-04-27,16.17,16.32,15.81,15.94,6937,0,1
2011-04-28,15.80,15.84,15.54,15.62,8737,0,1
2011-04-29,15.62,16.04,15.55,16.04,8081,0,1
2011-05-02,15.97,16.20,15.70,15.70,8909,0,1
2011-05-03,15.61,15.70,15.05,15.19,7706,0,1
2011-05-04,15.23,15.35,14.90,15.04,9897,0,1
2011-05-05,14.93,15.08,14.35,14.39,13545,0,1
2011-05-06,14.64,14.76,14.49,14.53,7648,0,1
2011-05-09,14.56,14.75,14.37,14.52,5432,0,1
2011-05-10,14.60,14.91,14.36,14.53,6669,0,1
2011-05-11,14.44,14.53,14.15,14.34,8783,0,1
2011-05-12,14.18,14.47,14.09,14.39,5392,0,1
2011-05-13,14.44,14.47,14.08,14.18,6205,0,1
2011-05-16,14.04,14.27,13.90,13.96,6305,0,1
2011-05-17,14.01,14.21,13.84,14.16,6298,0,1
2011-05-18,14.28,14.52,14.06,14.07,9572,0,1
2011-05-19,14.21,14.31,13.86,14.07,5526,0,1
2011-05-20,14.12,14.18,13.85,13.93,6370,0,1
2011-05-23,13.67,14.09,13.59,13.99,5227,0,1
2011-05-24,14.07,14.31,14.07,14.23,6650,0,1
2011-05-25,14.24,14.65,14.16,14.54,7549,0,1
2011-05-26,14.63,14.69,14.33,14.55,5843,0,1
2011-05-27,14.62,14.74,14.42,14.61,5121,0,1
2011-05-30,14.70,14.70,14.48,14.51,1859,0,1
2011-05-31,14.66,14.75,14.42,14.75,4877,0,1
2011-06-01,14.68,14.74,14.21,14.32,6055,0,1
2011-06-02,14.35,14.37,14.13,14.37,5759,0,1
2011-06-03,14.24,14.59,14.19,14.31,6959,0,1
2011-06-06,14.31,14.35,13.83,13.91,5873,0,1
2011-06-07,13.97,14.23,13.90,14.09,6366,0,1
2011-06-08,13.97,14.10,13.83,13.95,4591,0,1
2011-06-09,13.88,14.24,13.84,14.17,7320,0,1
2011-06-10,14.14,14.14,13.87,13.93,3711,0,1
2011-06-13,14.00,14.00,13.72,13.78,3738,0,1
2011-06-14,13.93,14.02,13.79,13.89,5284,0,1
2011-06-15,13.70,13.93,13.68,13.80,6922,0,1
2011-06-16,13.83,13.98,13.51,13.58,5473,0,1
2011-06-17,13.72,13.76,13.25,13.38,7166,0,1
2011-06-20,13.22,13.48,13.21,13.29,4360,0,1
2011-06-21,13.33,13.41,13.19,13.31,4471,0,1
2011-06-22,13.25,13.45,13.23,13.27,3811,0,1
2011-06-24,13.25,13.33,13.05,13.14,4166,0,1
2011-06-27,13.15,13.21,13.02,13.13,3977,0,1
2011-06-28,13.15,13.49,13.13,13.37,4518,0,1
2011-06-29,13.41,13.92,13.30,13.79,6408,0,1
2011-06-30,13.90,13.96,13.66,13.89,4487,0,1
2011-07-01,13.84,14.36,13.65,14.22,7736,0,1
2011-07-04,14.21,14.59,14.21,14.59,3720,0,1
2011-07-05,14.52,14.62,14.19,14.25,5643,0,1
2011-07-06,14.11,14.18,13.91,14.18,6599,0,1
2011-07-07,14.31,14.40,14.07,14.14,5921,0,1
2011-07-08,13.97,14.04,13.84,13.92,4006,0,1
2011-07-11,13.76,13.76,13.50,13.56,5232,0,1
2011-07-12,13.42,13.56,13.09,13.10,8111,0,1
2011-07-13,13.27,13.32,13.03,13.12,5239,0,1
2011-07-14,13.12,13.19,12.74,12.87,6007,0,1
2011-07-15,12.87,12.95,12.44,12.46,6187,0,1
2011-07-18,12.31,12.44,12.20,12.27,5313,0,1
2011-07-19,12.35,12.42,11.99,12.26,7379,0,1
2011-07-20,12.35,12.51,12.23,12.23,5655,0,1
2011-07-21,12.30,12.81,12.25,12.72,5313,0,1
2011-07-22,12.70,12.90,12.41,12.51,5101,0,1
2011-07-25,12.40,12.44,12.25,12.31,4423,0,1
2011-07-26,12.35,12.40,11.89,11.93,7515,0,1
2011-07-27,11.80,12.18,11.77,12.00,8270,0,1
2011-07-28,12.12,12.25,12.01,12.12,3857,0,1
2011-07-29,11.93,12.18,11.73,11.95,7617,0,1
2011-08-01,12.14,12.14,11.77,11.92,4723,0,1
2011-08-02,11.84,12.18,11.42,11.42,6034,0,1
2011-08-03,11.43,11.47,10.80,11.22,9845,0,1
2011-08-04,10.83,10.97,10.26,10.39,12700,0,1
2011-08-05,10.39,10.64,9.88,10.49,14060,0,1
2011-08-08,9.93,9.99,9.29,9.35,14196,0,1
2011-08-09,9.51,9.76,9.12,9.65,13487,0,1
2011-08-10,9.56,9.92,9.33,9.71,12989,0,1
2011-08-11,9.93,10.83,9.78,10.72,16878,0,1
2011-08-12,10.76,11.48,10.56,11.23,17516,0,1
2011-08-15,11.42,11.79,11.14,11.37,13276,0,1
