date,open,high,low,close,volume,dividend,split
2010-12-22,23.00,23.16,22.83,23.08,682,0,1
2010-12-23,22.85,23.21,22.85,22.91,294,0,1
2010-12-27,22.69,22.78,22.45,22.49,393,0,1
2010-12-28,22.53,22.59,21.86,22.05,663,0,1
2010-12-29,22.14,22.58,21.97,22.36,404,0,1
2010-12-30,22.36,22.54,22.22,22.49,1499,0,1
2011-01-03,22.95,23.17,22.66,23.04,979,0,1
2011-01-04,23.16,23.67,23.04,23.67,1525,0,1
2011-01-05,23.53,24.09,23.36,23.98,1592,0,1
2011-01-06,23.91,24.23,23.67,23.93,1559,0,1
2011-01-07,23.76,24.22,23.68,24.00,796,0,1
2011-01-10,23.70,23.94,23.52,23.71,783,0,1
2011-01-11,23.88,24.05,23.58,23.81,1539,0,1
2011-01-12,24.05,24.67,23.93,24.67,980,0,1
2011-01-13,24.61,24.74,24.21,24.21,1075,0,1
2011-01-14,24.19,24.29,23.96,24.26,614,0,1
2011-01-17,24.07,24.07,23.74,23.84,679,0,1
2011-01-18,24.17,24.26,23.82,23.82,796,0,1
2011-01-19,23.92,24.00,23.04,23.16,933,0,1
2011-01-20,22.99,23.10,22.42,22.76,867,0,1
2011-01-21,22.91,23.12,22.52,22.58,808,0,1
2011-01-24,22.69,22.91,22.27,22.45,954,0,1
2011-01-26,22.53,22.56,21.82,21.91,1028,0,1
2011-01-27,22.03,22.18,21.68,21.70,786,0,1
2011-01-28,21.85,21.88,20.87,20.98,984,0,1
2011-01-31,21.15,21.51,20.96,21.39,904,0,1
2011-02-01,21.63,22.39,21.52,22.27,1083,0,1
2011-02-02,22.33,22.90,21.83,22.21,1724,0,1
2011-02-03,22.27,22.95,21.91,22.95,1302,0,1
2011-02-04,22.80,23.17,22.22,22.42,1544,0,1
2011-02-07,22.57,22.76,22.25,22.58,1007,0,1
2011-02-08,22.36,23.17,22.17,22.77,1337,0,1
2011-02-09,22.64,23.00,21.83,21.91,1339,0,1
2011-02-10,21.96,22.61,21.84,22.46,1649,0,1
2011-02-11,22.44,22.87,22.24,22.87,1078,0,1
2011-02-14,22.69,23.08,22.51,22.95,939,0,1
2011-02-15,22.96,23.11,22.70,22.74,897,0,1
2011-02-16,22.83,23.25,22.62,23.07,1525,0,1
2011-02-17,23.21,23.50,22.76,23.50,1390,0,1
2011-02-18,23.31,23.87,23.26,23.87,1086,0,1
2011-02-21,23.75,23.76,23.04,23.04,662,0,1
2011-02-22,22.91,23.42,22.45,22.45,1344,0,1
2011-02-23,22.59,22.66,21.95,22.16,1998,0,1
2011-02-24,22.12,22.16,21.46,21.64,2327,0,1
2011-02-25,21.89,21.95,21.13,21.53,1275,0,1
2011-02-28,21.72,21.81,21.52,21.69,1073,0,1
2011-03-01,21.82,21.96,21.23,21.23,1050,0,1
2011-03-02,21.39,21.63,21.16,21.38,1196,0,1
2011-03-03,21.45,22.56,21.44,22.41,2507,0,1
2011-03-04,22.51,22.70,21.82,22.07,1193,0,1
2011-03-09,21.74,22.32,21.60,21.66,668,0,1
2011-03-10,21.48,21.63,21.19,21.31,863,0,1
2011-03-11,21.23,21.32,20.68,20.89,1972,0,1
2011-03-14,20.87,21.70,20.70,21.69,2505,0,1
2011-03-15,21.14,22.07,20.74,21.97,2708,0,1
2011-03-16,22.06,22.31,21.06,21.37,1271,0,1
2011-03-17,21.66,21.81,20.93,21.14,2187,0,1
2011-03-18,21.39,21.52,20.93,21.06,2255,0,1
2011-03-21,21.24,21.31,20.15,20.17,3614,0,1
2011-03-22,20.17,20.31,19.90,20.13,2032,0,1
2011-03-23,20.17,20.51,20.15,20.21,1508,0,1
2011-03-24,20.36,20.42,20.05,20.12,1073,0,1
2011-03-25,20.14,20.29,19.95,19.96,1534,0,1
2011-03-28,19.94,20.14,19.82,19.94,1522,0,1
2011-03-29,20.04,20.19,19.83,20.14,1075,0,1
2011-03-30,20.35,20.35,19.95,20.15,964,0,1
2011-03-31,20.13,20.55,20.13,20.52,1927,0,1
2011-04-01,20.53,20.74,20.15,20.29,1358,0,1
2011-04-04,20.26,20.46,20.13,20.21,1146,0,1
