date,open,high,low,close,volume,dividend,split
2009-12-23,24.97,25.42,24.43,25.27,2025,0,1
2009-12-28,25.37,25.51,24.80,24.88,822,0,1
2009-12-29,24.97,25.11,24.47,24.98,576,0,1
2009-12-30,24.74,25.11,24.65,25.11,1158,0,1
2010-01-04,25.32,25.42,25.09,25.32,1155,0,1
2010-01-05,25.33,25.40,24.69,25.11,1749,0,1
2010-01-06,25.03,25.55,25.03,25.40,1581,0,1
2010-01-07,25.13,25.67,24.95,25.67,1057,0,1
2010-01-08,25.98,27.15,25.90,26.91,3083,0,1
2010-01-11,27.29,27.75,26.78,26.99,1934,0,1
2010-01-12,26.49,26.58,25.42,26.48,1367,0,1
2010-01-13,26.66,26.76,26.24,26.75,1017,0,1
2010-01-14,26.77,26.81,25.80,25.81,1511,0,1
2010-01-15,25.61,26.07,24.95,25.22,1628,0,1
2010-01-18,25.71,25.72,25.29,25.52,453,0,1
2010-01-19,25.18,26.01,25.11,25.82,899,0,1
2010-01-20,25.55,25.55,24.50,25.22,1283,0,1
2010-01-21,25.08,25.10,23.41,23.62,3065,0,1
2010-01-22,23.35,23.54,22.30,22.90,2238,0,1
2010-01-26,22.67,23.58,21.96,23.34,2334,0,1
2010-01-27,23.30,23.68,22.48,22.99,1223,0,1
2010-01-28,23.54,23.54,22.59,23.05,1299,0,1
2010-01-29,23.27,23.47,22.24,22.24,1293,0,1
2010-02-01,22.46,22.62,22.02,22.06,1460,0,1
2010-02-02,22.62,23.73,22.53,23.73,1453,0,1
2010-02-03,24.01,24.43,23.07,23.30,2224,0,1
2010-02-04,23.11,23.11,21.57,22.19,1769,0,1
2010-02-05,21.41,22.88,21.08,21.90,2346,0,1
2010-02-08,22.47,22.82,21.86,22.43,1462,0,1
2010-02-09,22.79,24.13,22.79,23.73,1946,0,1
2010-02-10,24.02,24.54,23.76,23.93,2848,0,1
2010-02-11,24.17,24.50,23.95,24.21,1588,0,1
2010-02-12,23.92,24.31,23.46,24.21,1161,0,1
2010-02-17,24.45,24.70,24.39,24.39,871,0,1
2010-02-18,24.39,24.55,23.88,24.31,940,0,1
