date,open,high,low,close,volume,dividend,split
2010-12-17,18.92,19.23,18.65,19.09,1093,0,1
2010-12-20,19.09,19.09,18.34,18.91,415,0,1
2010-12-21,18.69,18.94,18.41,18.72,596,0,1
2010-12-22,18.64,18.85,18.37,18.79,1083,0,1
2010-12-23,18.58,18.59,18.33,18.58,775,0,1
2010-12-27,18.41,18.64,18.05,18.32,306,0,1
2010-12-28,18.32,18.32,18.07,18.08,432,0,1
2010-12-29,18.03,18.72,18.01,18.65,1120,0,1
2010-12-30,18.83,19.36,18.47,19.22,758,0,1
2011-01-03,19.51,20.01,19.41,19.89,794,0,1
2011-01-04,19.79,19.86,18.88,18.88,902,0,1
2011-01-05,18.94,19.12,18.53,18.89,927,0,1
2011-01-06,18.93,18.93,18.54,18.58,763,0,1
2011-01-07,18.44,18.85,18.37,18.62,558,0,1
2011-01-10,18.56,19.43,18.44,19.43,710,0,1
2011-01-11,19.36,19.53,19.13,19.29,559,0,1
2011-01-12,19.43,19.71,19.24,19.71,914,0,1
2011-01-13,19.65,19.78,19.46,19.56,506,0,1
2011-01-14,19.72,20.27,19.26,20.08,1029,0,1
2011-01-17,20.16,20.17,19.80,19.91,523,0,1
2011-01-18,19.93,19.97,19.48,19.72,1560,0,1
2011-01-19,19.71,19.91,19.58,19.75,649,0,1
2011-01-20,19.91,19.93,19.43,19.79,266,0,1
2011-01-21,19.93,20.00,19.63,20.00,481,0,1
2011-01-24,20.00,20.08,19.75,20.08,426,0,1
2011-01-26,20.14,20.15,19.60,19.65,1355,0,1
2011-01-27,19.70,19.76,18.52,18.52,1311,0,1
2011-01-28,18.52,18.65,17.90,18.09,1377,0,1
2011-01-31,18.10,18.48,18.01,18.22,911,0,1
2011-02-01,18.39,19.04,18.39,19.04,1102,0,1
2011-02-02,19.04,19.15,18.50,18.65,633,0,1
2011-02-03,18.65,18.65,17.98,18.12,495,0,1
2011-02-04,18.15,18.30,17.45,17.45,1501,0,1
2011-02-07,17.72,17.80,17.33,17.51,803,0,1
2011-02-08,17.66,17.89,17.42,17.55,991,0,1
2011-02-09,17.70,17.70,17.09,17.28,870,0,1
2011-02-10,17.28,17.62,16.94,17.23,1279,0,1
2011-02-11,17.44,18.05,16.94,17.58,572,0,1
2011-02-14,17.75,18.51,17.68,18.51,392,0,1
2011-02-15,18.51,18.75,18.01,18.58,806,0,1
2011-02-16,18.47,18.70,18.22,18.47,533,0,1
2011-02-17,18.40,18.50,18.04,18.15,470,0,1
2011-02-18,18.19,18.50,17.89,18.44,192,0,1
2011-02-21,18.50,18.61,17.69,17.94,289,0,1
2011-02-22,17.54,17.80,17.09,17.09,797,0,1
2011-02-23,17.29,17.56,16.99,17.12,1066,0,1
2011-02-24,17.26,17.44,16.74,17.44,812,0,1
2011-02-25,17.63,17.79,17.01,17.16,528,0,1
2011-02-28,17.23,17.69,17.09,17.68,626,0,1
2011-03-01,17.76,18.40,17.68,18.23,1033,0,1
2011-03-02,18.15,18.31,17.68,17.98,619,0,1
2011-03-03,17.98,18.96,17.90,18.65,596,0,1
2011-03-04,18.65,19.15,18.32,18.59,1096,0,1
2011-03-09,18.79,19.14,18.36,19.14,692,0,1
2011-03-10,18.86,19.71,18.67,19.43,998,0,1
2011-03-11,19.44,19.92,19.44,19.85,692,0,1
2011-03-14,19.85,19.87,19.31,19.58,410,0,1
2011-03-15,19.36,20.27,19.16,20.09,1288,0,1
2011-03-16,20.18,21.12,20.08,20.32,1888,0,1
2011-03-17,20.47,20.96,20.10,20.10,653,0,1
2011-03-18,20.29,20.72,20.15,20.15,711,0,1
2011-03-21,20.21,20.89,20.19,20.76,727,0,1
2011-03-22,20.93,20.96,20.59,20.93,953,0,1
2011-03-23,20.84,21.00,20.51,20.64,435,0,1
2011-03-24,20.84,21.30,20.58,21.12,1359,0,1
2011-03-25,21.24,21.41,21.11,21.36,581,0,1
2011-03-28,21.41,21.43,20.79,21.18,709,0,1
2011-03-29,21.23,21.38,21.02,21.21,351,0,1
2011-03-30,21.36,21.41,21.20,21.41,963,0,1
2011-03-31,21.41,21.43,21.22,21.36,698,0,1
2011-04-01,21.29,21.50,21.22,21.50,856,0,1
2011-04-04,21.56,21.71,21.43,21.43,991,0,1
2011-04-05,21.44,21.71,21.44,21.71,269,0,1
2011-04-06,21.67,21.93,21.36,21.36,704,0,1
