date,open,high,low,close,volume,dividend,split
2010-12-29,17.62,18.16,17.48,18.11,4339,0,1
2010-12-30,18.33,18.60,18.03,18.21,9502,0,1
2011-01-03,18.28,18.47,17.95,17.95,4557,0,1
2011-01-04,17.93,18.09,17.19,17.30,7186,0,1
2011-01-05,17.26,17.61,16.91,17.50,7748,0,1
2011-01-06,17.59,17.71,17.02,17.02,5194,0,1
2011-01-07,17.12,17.45,17.12,17.30,2911,0,1
2011-01-10,17.21,17.65,17.15,17.65,3516,0,1
2011-01-11,17.78,18.03,17.70,17.90,4902,0,1
2011-01-12,18.15,18.34,18.07,18.18,6545,0,1
2011-01-13,18.27,18.34,17.63,17.65,3068,0,1
2011-01-14,17.68,17.74,17.43,17.58,2661,0,1
2011-01-17,17.66,17.95,17.50,17.95,2004,0,1
2011-01-18,18.08,18.15,17.91,18.07,2642,0,1
2011-01-19,18.11,18.11,17.56,17.66,1996,0,1
2011-01-20,17.61,17.61,17.21,17.30,1973,0,1
2011-01-21,17.47,17.47,17.06,17.06,2211,0,1
2011-01-24,17.18,17.18,16.93,16.93,1404,0,1
2011-01-26,16.98,16.98,16.59,16.64,4826,0,1
2011-01-27,16.72,16.89,16.05,16.32,3717,0,1
2011-01-28,16.33,16.45,15.84,16.05,3005,0,1
2011-01-31,16.27,16.32,15.89,16.04,3045,0,1
2011-02-01,16.17,16.33,15.88,15.94,4471,0,1
2011-02-02,15.99,16.16,15.27,15.27,3257,0,1
2011-02-03,15.41,15.63,14.56,14.83,6482,0,1
2011-02-04,14.86,15.16,14.59,14.59,2598,0,1
2011-02-07,14.75,14.98,14.32,14.90,2867,0,1
2011-02-08,14.87,15.35,14.71,15.21,2919,0,1
2011-02-09,15.28,15.31,14.75,14.94,3338,0,1
2011-02-10,14.84,15.04,14.63,14.87,2609,0,1
2011-02-11,14.99,15.44,14.79,15.36,4082,0,1
2011-02-14,15.32,15.82,15.27,15.75,3317,0,1
2011-02-15,15.75,15.96,15.52,15.68,3191,0,1
2011-02-16,15.92,15.92,15.47,15.68,2232,0,1
2011-02-17,15.74,15.74,15.13,15.13,4458,0,1
2011-02-18,15.16,15.43,14.91,15.32,3613,0,1
2011-02-21,15.31,15.31,14.99,15.12,1181,0,1
2011-02-22,14.95,14.95,14.71,14.81,3245,0,1
2011-02-23,14.81,14.87,14.51,14.57,2650,0,1
2011-02-24,14.55,15.20,14.51,15.20,2658,0,1
2011-02-25,15.25,15.43,15.16,15.32,3268,0,1
2011-02-28,15.50,15.50,15.06,15.36,2568,0,1
2011-03-01,15.41,15.47,14.83,14.87,1545,0,1
2011-03-02,14.89,15.04,14.67,14.83,1550,0,1
2011-03-03,14.92,15.30,14.82,15.29,3217,0,1
2011-03-04,15.25,15.25,15.04,15.04,1288,0,1
2011-03-09,14.98,15.03,14.81,14.95,1188,0,1
2011-03-10,14.85,14.95,14.41,14.47,2185,0,1
2011-03-11,14.46,14.74,14.27,14.55,1763,0,1
2011-03-14,14.63,14.93,14.55,14.87,2127,0,1
2011-03-15,14.47,14.88,14.47,14.87,4015,0,1
2011-03-16,15.04,15.20,14.89,15.00,4052,0,1
2011-03-17,15.20,15.33,15.08,15.08,2290,0,1
2011-03-18,15.17,16.25,15.17,16.01,7287,0,1
2011-03-21,16.20,16.87,16.18,16.51,4368,0,1
2011-03-22,16.37,16.57,16.06,16.26,3663,0,1
2011-03-23,16.13,16.73,16.13,16.57,2485,0,1
2011-03-24,16.57,16.94,16.50,16.85,2725,0,1
2011-03-25,16.81,17.46,16.81,17.26,4258,0,1
2011-03-28,17.24,17.76,17.03,17.43,3387,0,1
2011-03-29,17.36,17.54,16.73,17.22,3256,0,1
2011-03-30,17.31,17.52,17.26,17.42,2128,0,1
2011-03-31,17.49,17.61,17.28,17.46,2249,0,1
2011-04-01,17.49,17.62,17.05,17.46,5023,0,1
2011-04-04,17.49,17.75,17.27,17.70,1861,0,1
2011-04-05,17.69,17.69,17.02,17.02,3558,0,1
2011-04-06,17.05,17.14,16.76,16.84,3495,0,1
2011-04-07,16.82,17.35,16.68,17.34,2750,0,1
2011-04-08,17.33,17.43,16.71,16.82,1966,0,1
2011-04-11,16.89,17.17,16.76,16.97,1071,0,1
2011-04-12,16.82,16.88,16.49,16.73,1515,0,1
2011-04-13,16.88,16.95,16.26,16.36,2009,0,1
2011-04-14,16.37,16.76,16.30,16.49,1468,0,1
2011-04-15,16.62,16.65,16.19,16.33,1009,0,1
2011-04-18,16.33,16.52,15.99,16.52,1855,0,1
2011-04-19,16.57,17.23,16.53,17.18,1638,0,1
2011-04-20,17.38,17.43,16.75,17.10,2626,0,1
2011-04-25,17.00,17.41,16.83,17.06,1738,0,1
2011-04-26,17.02,17.05,16.49,16.61,4652,0,1
