date,open,high,low,close,volume,dividend,split
2017-07-31,7.76,8.13,7.71,8.05,33310,0,1
2017-08-01,8.13,8.16,8.05,8.08,11410,0,1
2017-08-02,8.08,8.10,7.99,8.09,3377,0,1
2017-08-03,8.03,8.09,8.00,8.06,2025,0,1
2017-08-04,8.13,8.23,7.81,7.83,6963,0,1
2017-08-07,7.94,7.99,7.83,7.84,4884,0,1
2017-08-08,7.91,7.91,7.69,7.73,6029,0,1
2017-08-09,7.75,7.77,7.50,7.62,4650,0,1
2017-08-10,7.61,7.80,7.58,7.76,1926,0,1
2017-08-11,7.80,7.85,7.69,7.80,1115,0,1
2017-08-14,7.84,7.84,7.71,7.80,984,0,1
2017-08-15,7.84,7.84,7.78,7.80,1670,0,1
2017-08-16,7.80,7.85,7.67,7.83,3264,0,1
2017-08-17,7.83,7.84,7.75,7.76,5687,0,1
2017-08-18,7.77,7.84,7.69,7.83,7521,0,1
2017-08-21,7.83,7.88,7.65,7.86,5918,0,1
2017-08-22,7.86,7.88,7.78,7.83,1063,0,1
2017-08-23,7.83,7.83,7.68,7.71,1593,0,1
2017-08-24,7.77,7.97,7.62,7.97,11426,0,1
2017-08-25,7.94,8.19,7.90,8.19,4571,0,1
2017-08-28,8.20,8.33,8.10,8.31,5250,0,1
2017-08-29,8.29,8.45,8.13,8.29,2550,0,1
2017-08-30,8.34,8.35,8.16,8.32,1484,0,1
2017-08-31,8.26,8.33,8.21,8.24,556,0,1
2017-09-01,8.24,8.27,8.14,8.17,2351,0,1
2017-09-04,8.19,8.28,8.16,8.24,619,0,1
2017-09-05,8.24,8.38,8.22,8.32,5808,0,1
2017-09-06,8.38,8.52,8.38,8.46,2525,0,1
2017-09-08,8.56,8.73,8.51,8.65,6706,0,1
2017-09-11,8.65,8.74,8.60,8.67,2741,0,1
2017-09-12,8.67,8.78,8.65,8.65,2677,0,1
2017-09-13,8.66,8.69,8.52,8.57,1411,0,1
2017-09-14,8.53,8.68,8.53,8.56,1188,0,1
2017-09-15,8.55,8.72,8.55,8.72,2360,0,1
2017-09-18,8.74,8.82,8.60,8.65,4387,0,1
2017-09-19,8.65,8.79,8.59,8.64,515,0,1
2017-09-20,8.70,8.72,8.57,8.58,1494,0,1
2017-09-21,8.60,8.68,8.54,8.65,2058,0,1
2017-09-22,8.64,8.76,8.59,8.76,851,0,1
2017-09-25,8.77,8.81,8.57,8.61,1792,0,1
2017-09-26,8.63,8.67,8.49,8.55,1003,0,1
2017-09-27,8.57,8.61,8.41,8.43,954,0,1
2017-09-28,8.47,8.61,8.24,8.35,2556,0,1
2017-09-29,8.44,8.44,8.15,8.31,4014,0,1
2017-10-02,8.34,8.54,8.31,8.47,2250,0,1
2017-10-03,8.45,8.50,8.32,8.45,4980,0,1
2017-10-04,8.52,8.52,8.34,8.45,3386,0,1
2017-10-05,8.47,8.49,8.29,8.33,4261,0,1
2017-10-06,8.34,8.38,8.19,8.23,1668,0,1
2017-10-09,8.25,8.46,8.25,8.46,1934,0,1
2017-10-10,8.47,8.52,8.34,8.45,2499,0,1
2017-10-11,8.50,8.61,8.34,8.50,2710,0,1
2017-10-13,8.58,8.70,8.58,8.62,2028,0,1
2017-10-16,8.65,8.79,8.63,8.74,3685,0,1
2017-10-17,8.74,8.78,8.66,8.71,1565,0,1
2017-10-18,8.76,8.80,8.66,8.80,2139,0,1
2017-10-19,8.70,9.02,8.68,8.97,3303,0,1
2017-10-20,9.02,9.22,9.02,9.13,2077,0,1
2017-10-23,9.21,9.23,9.02,9.04,1670,0,1
2017-10-24,9.04,9.14,8.93,8.97,2019,0,1
2017-10-25,8.97,9.03,8.86,8.94,1923,0,1
2017-10-26,8.97,9.12,8.91,9.06,1277,0,1
2017-10-27,9.06,9.20,8.97,9.11,1284,0,1
2017-10-30,9.10,9.14,9.01,9.06,3687,0,1
2017-10-31,9.11,9.11,8.98,9.01,2107,0,1
2017-11-01,9.20,9.29,9.08,9.14,5337,0,1
2017-11-03,9.26,9.27,9.13,9.20,4630,0,1
2017-11-06,9.30,9.34,9.20,9.34,2388,0,1
2017-11-07,9.37,9.37,9.28,9.34,3150,0,1
2017-11-08,9.40,9.53,9.37,9.48,4573,0,1
2017-11-09,9.48,9.50,9.32,9.44,4560,0,1
2017-11-10,9.40,9.43,9.32,9.41,3021,0,1
2017-11-13,9.41,9.48,9.32,9.47,4913,0,1
2017-11-14,9.47,9.47,9.32,9.39,3774,0,1
2017-11-16,9.39,9.48,9.33,9.37,1944,0,1
2017-11-17,9.37,9.46,9.22,9.39,2411,0,1
2017-11-21,9.41,9.59,9.32,9.48,2414,0,1
2017-11-22,9.52,9.62,9.52,9.56,794,0,1
2017-11-23,9.57,9.61,9.49,9.51,297,0,1
2017-11-24,9.52,9.61,9.46,9.54,1148,0,1
2017-11-27,9.58,9.58,9.50,9.54,1703,0,1
2017-11-28,9.54,9.56,9.51,9.51,1114,0,1
2017-11-29,9.51,9.54,9.41,9.54,1551,0,1
2017-11-30,9.53,9.64,9.44,9.64,3183,0,1
2017-12-01,9.63,9.76,9.58,9.63,3103,0,1
2017-12-04,9.66,9.74,9.54,9.54,1852,0,1
2017-12-05,9.54,9.61,9.44,9.44,1168,0,1
2017-12-06,9.43,9.65,9.41,9.54,1144,0,1
2017-12-07,9.49,9.54,9.42,9.46,1084,0,1
2017-12-08,9.52,9.52,9.36,9.46,1405,0,1
2017-12-11,9.42,9.54,9.32,9.51,2698,0,1
2017-12-12,9.50,9.55,9.47,9.54,2505,0,1
2017-12-13,9.57,9.65,9.27,9.36,1195,0,1
2017-12-14,9.29,9.42,9.29,9.41,1921,0,1
2017-12-15,9.43,9.52,9.27,9.27,9556,0,1
2017-12-18,9.33,9.43,9.01,9.26,945,0,1
2017-12-19,9.27,9.29,9.15,9.21,645,0,1
2017-12-20,9.17,9.29,9.05,9.22,6891,0,1
2017-12-21,9.27,9.36,9.21,9.31,3437,0,1
2017-12-22,9.31,9.45,9.24,9.45,2175,0,1
2017-12-26,9.46,9.58,9.29,9.55,1738,0,1
2017-12-27,9.54,9.54,9.46,9.46,1291,0,1
2017-12-28,9.46,9.56,9.36,9.54,1994,0,1
2018-01-02,9.39,9.58,9.39,9.46,1747,0,1
2018-01-03,9.47,9.52,9.41,9.46,2439,0,1
2018-01-04,9.47,9.60,9.39,9.54,3135,0,1
2018-01-05,9.49,9.71,9.47,9.67,1085,0,1
2018-01-08,9.67,9.88,9.58,9.83,2448,0,1
2018-01-09,9.86,9.91,9.78,9.81,2886,0,1
2018-01-10,9.90,9.90,9.76,9.81,2448,0,1
2018-01-11,9.83,10.11,9.78,10.11,5301,0,1
2018-01-12,10.02,10.47,10.02,10.38,4822,0,1
2018-01-15,10.50,10.70,10.50,10.53,2382,0,1
2018-01-16,10.56,10.67,10.56,10.60,2585,0,1
2018-01-17,10.60,10.63,10.50,10.53,1937,0,1
2018-01-18,10.55,10.67,10.49,10.53,3169,0,1
2018-01-19,10.53,10.66,10.53,10.53,3973,0,1
2018-01-22,10.53,10.88,10.50,10.71,2280,0,1
2018-01-23,10.61,11.00,10.61,10.67,3289,0,1
2018-01-24,10.74,10.89,10.68,10.72,3122,0,1
2018-01-26,10.77,11.00,10.50,10.70,5782,0,1
2018-01-29,10.67,10.84,10.28,10.46,3299,0,1
2018-01-30,10.52,10.52,10.25,10.46,2463,0,1
2018-01-31,10.56,10.66,10.48,10.54,7996,0,1
2018-02-01,10.67,10.70,10.53,10.63,4681,0,1
2018-02-02,10.57,10.76,10.55,10.66,2539,0,1
2018-02-05,10.66,10.95,10.56,10.92,3786,0,1
2018-02-06,10.86,10.95,10.70,10.87,2803,0,1
2018-02-07,10.89,10.93,10.71,10.84,2479,0,1
2018-02-08,10.77,11.16,10.77,10.91,4068,0,1
2018-02-09,10.92,11.08,10.52,10.58,5100,0,1
2018-02-14,10.60,11.09,10.60,10.88,3249,0,1
2018-02-15,10.97,10.98,10.75,10.75,1982,0,1
2018-02-16,10.86,10.90,10.71,10.86,2591,0,1
2018-02-19,10.92,10.97,10.72,10.78,2037,0,1
