date,open,high,low,close,volume,dividend,split
2011-01-04,11.53,11.68,11.50,11.61,8485,0,1
2011-01-05,11.56,11.80,11.48,11.79,8122,0,1
2011-01-06,11.73,11.76,11.50,11.51,11415,0,1
2011-01-07,11.49,11.57,11.17,11.23,10207,0,1
2011-01-10,11.17,11.32,11.03,11.32,7019,0,1
2011-01-11,11.40,11.49,11.35,11.39,8143,0,1
2011-01-12,11.49,11.69,11.45,11.69,8225,0,1
2011-01-13,11.73,11.74,11.43,11.43,5825,0,1
2011-01-14,11.44,11.55,11.38,11.50,7439,0,1
2011-01-17,11.45,11.45,11.32,11.34,4589,0,1
2011-01-18,11.41,11.41,11.15,11.19,13499,0,1
2011-01-19,11.21,11.25,11.03,11.07,10475,0,1
2011-01-20,11.03,11.05,10.74,10.80,17590,0,1
2011-01-21,10.83,10.95,10.74,10.80,8880,0,1
2011-01-24,10.82,10.89,10.79,10.88,4693,0,1
2011-01-26,10.87,10.94,10.73,10.73,6739,0,1
2011-01-27,10.80,10.84,10.43,10.77,10940,0,1
2011-01-28,10.71,10.76,10.31,10.54,14202,0,1
2011-01-31,10.56,10.61,10.31,10.33,10910,0,1
2011-02-01,10.41,10.52,10.39,10.49,10100,0,1
2011-02-02,10.50,10.62,10.35,10.39,11266,0,1
2011-02-03,10.39,10.39,10.23,10.28,6992,0,1
2011-02-04,10.25,10.26,9.93,10.00,14819,0,1
2011-02-07,10.06,10.14,9.93,10.10,8649,0,1
2011-02-08,10.05,10.52,10.03,10.40,10690,0,1
2011-02-09,10.35,10.46,10.11,10.16,9336,0,1
2011-02-10,10.14,10.26,10.08,10.10,11750,0,1
2011-02-11,10.16,10.51,10.06,10.49,10716,0,1
2011-02-14,10.44,10.65,10.41,10.57,7287,0,1
2011-02-15,10.53,10.78,10.44,10.75,12084,0,1
2011-02-16,10.77,11.00,10.77,11.00,13925,0,1
2011-02-17,11.00,11.15,10.89,11.10,13959,0,1
2011-02-18,11.04,11.14,11.00,11.05,7162,0,1
2011-02-21,11.03,11.03,10.85,10.88,5080,0,1
2011-02-22,10.84,10.92,10.50,10.64,14866,0,1
2011-02-23,10.69,10.75,10.50,10.69,12811,0,1
2011-02-24,10.74,10.92,10.47,10.59,17131,0,1
2011-02-25,10.66,10.75,10.36,10.55,13877,0,1
2011-02-28,10.60,10.77,10.55,10.75,14505,0,1
2011-03-01,10.76,10.81,10.50,10.52,7448,0,1
2011-03-02,10.48,10.62,10.48,10.56,10056,0,1
2011-03-03,10.61,10.85,10.57,10.82,7396,0,1
2011-03-04,10.76,10.92,10.67,10.85,6216,0,1
2011-03-09,10.74,10.87,10.61,10.64,4298,0,1
2011-03-10,10.43,10.43,10.23,10.23,16175,0,1
2011-03-11,10.19,10.48,10.15,10.48,14588,0,1
2011-03-14,10.41,10.58,10.36,10.53,7570,0,1
2011-03-15,10.25,10.66,10.23,10.66,11194,0,1
2011-03-16,10.69,10.70,10.24,10.41,12811,0,1
2011-03-17,10.50,10.53,10.27,10.35,10493,0,1
2011-03-18,10.40,10.60,10.39,10.57,9268,0,1
2011-03-21,10.65,10.66,10.55,10.57,5194,0,1
2011-03-22,10.58,10.94,10.55,10.92,10362,0,1
2011-03-23,10.87,10.92,10.76,10.80,10782,0,1
2011-03-24,10.77,10.97,10.76,10.82,9485,0,1
