date,open,high,low,close,volume,dividend,split
2010-04-29,7.20,7.33,7.17,7.26,15709,0,1
2010-04-30,7.27,7.43,7.26,7.27,18781,0,1
2010-05-03,7.32,7.43,7.15,7.37,5388,0,1
2010-05-04,7.28,7.37,7.14,7.14,8316,0,1
2010-05-05,7.07,7.20,7.01,7.13,10656,0,1
2010-05-06,7.14,7.19,6.51,6.92,16659,0,1
2010-05-07,6.87,6.93,6.41,6.41,13101,0,1
2010-05-10,6.70,6.74,6.45,6.46,11178,0,1
2010-05-11,6.43,6.64,6.28,6.45,9493,0,1
2010-05-12,6.52,6.68,6.48,6.68,4680,0,1
2010-05-13,6.70,6.82,6.62,6.76,5522,0,1
2010-05-14,6.65,6.65,6.41,6.50,5273,0,1
2010-05-17,6.48,6.53,6.17,6.43,8300,0,1
2010-05-18,6.48,6.53,6.20,6.20,6548,0,1
2010-05-19,6.02,6.17,5.95,5.98,14073,0,1
2010-05-20,5.81,5.85,5.60,5.71,9149,0,1
2010-05-21,5.62,5.93,5.55,5.87,5584,0,1
2010-05-24,5.80,6.18,5.79,6.09,4170,0,1
2010-05-25,5.84,6.27,5.73,6.07,4607,0,1
2010-05-26,6.20,6.45,6.12,6.43,6162,0,1
2010-05-27,6.50,6.70,6.47,6.63,3770,0,1
2010-05-28,6.48,6.59,6.31,6.41,6313,0,1
2010-05-31,6.43,6.48,6.36,6.47,1993,0,1
2010-06-01,6.35,6.64,6.29,6.56,2997,0,1
2010-06-02,6.54,6.97,6.54,6.91,5389,0,1
2010-06-04,6.87,6.89,6.65,6.67,3132,0,1
2010-06-07,6.70,6.90,6.62,6.79,3442,0,1
2010-06-08,6.84,6.95,6.79,6.86,3642,0,1
2010-06-09,6.89,6.92,6.56,6.61,6139,0,1
2010-06-10,6.66,6.79,6.62,6.73,3186,0,1
2010-06-11,6.65,6.83,6.65,6.83,1488,0,1
2010-06-14,6.86,6.96,6.85,6.96,2652,0,1
2010-06-15,7.03,7.23,7.00,7.14,3037,0,1
2010-06-16,7.12,7.40,7.07,7.29,5705,0,1
2010-06-17,7.36,7.44,7.02,7.12,5415,0,1
2010-06-18,7.15,7.26,7.00,7.12,3545,0,1
2010-06-21,7.22,7.25,7.01,7.12,2577,0,1
2010-06-22,7.12,7.27,7.07,7.17,2157,0,1
2010-06-23,7.20,7.25,7.10,7.25,1930,0,1
2010-06-24,7.19,7.23,7.12,7.18,1828,0,1
2010-06-25,7.19,7.25,7.14,7.23,720,0,1
2010-06-28,7.26,7.26,7.09,7.14,1428,0,1
2010-06-29,7.04,7.04,6.74,6.82,10505,0,1
2010-06-30,6.85,6.87,6.72,6.82,3272,0,1
2010-07-01,6.87,7.11,6.74,7.05,3823,0,1
2010-07-02,7.04,7.14,6.94,7.07,2432,0,1
2010-07-05,7.11,7.12,6.80,6.90,1449,0,1
2010-07-06,7.00,7.26,6.99,7.17,4163,0,1
2010-07-07,7.19,7.34,7.15,7.15,3543,0,1
2010-07-08,7.21,7.24,7.04,7.13,2518,0,1
2010-07-12,7.13,7.20,7.03,7.19,2461,0,1
2010-07-13,7.22,7.26,7.14,7.19,2431,0,1
2010-07-14,7.17,7.38,7.14,7.32,2219,0,1
2010-07-15,7.32,7.53,7.26,7.53,3052,0,1
2010-07-16,7.50,7.56,7.09,7.14,4609,0,1
2010-07-19,7.23,7.29,7.12,7.23,2056,0,1
2010-07-20,7.20,7.24,7.14,7.19,2477,0,1
2010-07-21,7.20,7.25,7.04,7.09,2415,0,1
2010-07-22,7.18,7.35,7.15,7.29,4072,0,1
2010-07-23,7.32,7.48,7.21,7.48,3875,0,1
2010-07-26,7.45,7.66,7.42,7.63,5210,0,1
2010-07-27,7.68,7.75,7.54,7.63,4724,0,1
2010-07-28,7.58,7.65,7.43,7.54,2423,0,1
2010-07-29,7.61,7.71,7.53,7.64,1583,0,1
2010-07-30,7.54,7.88,7.54,7.68,5348,0,1
2010-08-02,7.77,7.93,7.77,7.86,3188,0,1
2010-08-03,7.85,7.90,7.61,7.61,2912,0,1
2010-08-04,7.70,7.73,7.52,7.64,3105,0,1
2010-08-05,7.57,7.64,7.43,7.49,3584,0,1
2010-08-06,7.47,7.54,7.33,7.44,3445,0,1
2010-08-09,7.44,7.49,7.29,7.39,3413,0,1
2010-08-10,7.34,7.36,7.24,7.25,3555,0,1
2010-08-11,7.24,7.45,7.21,7.37,4547,0,1
2010-08-12,7.39,7.46,7.29,7.43,3074,0,1
2010-08-13,7.53,7.59,7.34,7.50,3032,0,1
2010-08-16,7.45,7.45,7.05,7.07,6048,0,1
2010-08-17,7.13,7.15,6.71,6.89,11765,0,1
2010-08-18,6.91,6.95,6.77,6.87,7987,0,1
2010-08-19,6.87,7.03,6.72,6.76,7728,0,1
2010-08-20,6.79,6.87,6.74,6.79,3656,0,1
