date,open,high,low,close,volume,dividend,split
2010-10-08,2.40,2.45,2.40,2.43,292,0,1
2010-10-11,2.46,2.56,2.45,2.56,1535,0,1
2010-10-13,2.57,2.63,2.54,2.61,1938,0,1
2010-10-14,2.62,2.63,2.49,2.55,824,0,1
2010-10-15,2.56,2.57,2.49,2.51,142,0,1
2010-10-18,2.53,2.62,2.50,2.61,250,0,1
2010-10-19,2.54,2.55,2.47,2.50,446,0,1
2010-10-20,2.52,2.57,2.51,2.51,295,0,1
2010-10-21,2.56,2.56,2.47,2.56,381,0,1
2010-10-22,2.57,2.60,2.50,2.56,162,0,1
2010-10-25,2.56,2.56,2.47,2.52,190,0,1
2010-10-26,2.54,2.57,2.49,2.53,118,0,1
2010-10-27,2.55,2.56,2.50,2.51,160,0,1
2010-10-28,2.61,2.62,2.53,2.53,373,0,1
2010-10-29,2.58,2.58,2.46,2.51,533,0,1
2010-11-01,2.48,2.58,2.47,2.58,195,0,1
2010-11-03,2.58,2.62,2.56,2.62,218,0,1
2010-11-04,2.68,2.72,2.65,2.71,892,0,1
2010-11-05,2.71,2.74,2.67,2.71,338,0,1
2010-11-08,2.71,2.71,2.67,2.67,399,0,1
2010-11-09,2.69,2.69,2.59,2.62,251,0,1
2010-11-10,2.62,2.62,2.53,2.53,417,0,1
2010-11-11,2.57,2.61,2.53,2.58,528,0,1
2010-11-12,2.59,2.59,2.49,2.50,310,0,1
2010-11-16,2.50,2.53,2.40,2.46,474,0,1
2010-11-17,2.50,2.50,2.45,2.50,140,0,1
2010-11-18,2.51,2.54,2.50,2.51,242,0,1
2010-11-19,2.51,2.60,2.50,2.59,327,0,1
2010-11-22,2.59,2.62,2.51,2.58,569,0,1
2010-11-23,2.54,2.58,2.52,2.56,310,0,1
2010-11-24,2.58,2.68,2.58,2.68,385,0,1
2010-11-25,2.67,2.67,2.63,2.64,174,0,1
2010-11-26,2.60,2.63,2.55,2.59,208,0,1
2010-11-29,2.59,2.63,2.52,2.54,238,0,1
2010-11-30,2.54,2.62,2.53,2.61,297,0,1
2010-12-01,2.62,2.66,2.56,2.62,371,0,1
2010-12-02,2.66,2.68,2.61,2.68,329,0,1
2010-12-03,2.67,2.71,2.66,2.67,443,0,1
2010-12-06,2.68,2.68,2.62,2.67,194,0,1
2010-12-07,2.66,2.71,2.64,2.64,427,0,1
2010-12-08,2.62,2.67,2.58,2.60,129,0,1
2010-12-09,2.62,2.67,2.58,2.65,510,0,1
2010-12-10,2.65,2.67,2.61,2.64,216,0,1
2010-12-13,2.67,2.71,2.64,2.71,614,0,1
2010-12-14,2.68,2.71,2.66,2.71,360,0,1
2010-12-15,2.71,2.71,2.67,2.67,232,0,1
2010-12-16,2.70,2.70,2.60,2.66,309,0,1
2010-12-17,2.68,2.71,2.59,2.62,1177,0,1
2010-12-20,2.61,2.66,2.58,2.58,461,0,1
2010-12-21,2.59,2.64,2.59,2.63,102,0,1
2010-12-22,2.62,2.64,2.60,2.64,549,0,1
2010-12-23,2.62,2.71,2.61,2.71,664,0,1
2010-12-27,2.67,2.83,2.67,2.80,1353,0,1
2010-12-28,2.79,2.81,2.76,2.76,465,0,1
2010-12-29,2.79,2.83,2.73,2.82,514,0,1
2010-12-30,2.83,2.83,2.77,2.83,278,0,1
2011-01-03,2.80,2.83,2.79,2.79,82,0,1
2011-01-04,2.79,2.81,2.76,2.77,150,0,1
2011-01-05,2.77,2.82,2.73,2.82,196,0,1
2011-01-06,2.83,2.83,2.78,2.83,441,0,1
2011-01-07,2.81,2.84,2.79,2.79,423,0,1
2011-01-10,2.79,2.83,2.79,2.82,154,0,1
2011-01-11,2.82,2.86,2.82,2.83,653,0,1
2011-01-12,2.85,2.87,2.83,2.83,242,0,1
2011-01-13,2.84,2.84,2.76,2.77,329,0,1
2011-01-14,2.75,2.79,2.74,2.75,174,0,1
2011-01-17,2.74,2.77,2.71,2.76,289,0,1
2011-01-18,2.77,2.78,2.76,2.76,287,0,1
2011-01-19,2.78,2.79,2.75,2.76,593,0,1
2011-01-20,2.76,2.83,2.76,2.79,1410,0,1
2011-01-21,2.83,2.83,2.74,2.80,511,0,1
