date,open,high,low,close,volume,dividend,split
2011-06-01,0.46,0.47,0.46,0.47,14060,0,1
2011-06-02,0.46,0.48,0.46,0.47,13865,0,1
2011-06-03,0.47,0.48,0.47,0.48,12969,0,1
2011-06-06,0.48,0.49,0.48,0.48,10441,0,1
2011-06-07,0.48,0.48,0.47,0.48,18960,0,1
2011-06-08,0.48,0.48,0.47,0.48,10473,0,1
2011-06-09,0.48,0.50,0.48,0.49,36128,0,1
2011-06-10,0.49,0.49,0.48,0.49,14844,0,1
2011-06-13,0.49,0.51,0.49,0.50,26368,0,1
2011-06-14,0.50,0.51,0.48,0.49,19737,0,1
2011-06-15,0.49,0.49,0.48,0.49,15363,0,1
2011-06-16,0.48,0.49,0.46,0.48,19196,0,1
2011-06-17,0.48,0.48,0.46,0.48,7590,0,1
2011-06-20,0.47,0.47,0.46,0.47,7673,0,1
2011-06-21,0.46,0.48,0.46,0.48,5961,0,1
2011-06-22,0.47,0.48,0.47,0.47,10425,0,1
2011-06-24,0.47,0.48,0.46,0.47,6016,0,1
2011-06-27,0.48,0.48,0.46,0.46,9404,0,1
2011-06-28,0.46,0.47,0.46,0.47,10067,0,1
2011-06-29,0.47,0.47,0.46,0.47,9449,0,1
2011-06-30,0.47,0.47,0.46,0.47,17027,0,1
2011-07-01,0.47,0.47,0.46,0.47,19334,0,1
2011-07-04,0.47,0.47,0.46,0.47,8060,0,1
2011-07-05,0.48,0.49,0.47,0.48,40854,0,1
2011-07-06,0.48,0.48,0.48,0.48,15392,0,1
2011-07-07,0.48,0.49,0.47,0.47,10969,0,1
2011-07-08,0.47,0.47,0.46,0.47,17078,0,1
2011-07-11,0.46,0.47,0.45,0.45,18057,0,1
2011-07-12,0.45,0.46,0.44,0.46,13644,0,1
2011-07-13,0.46,0.46,0.44,0.45,15334,0,1
2011-07-14,0.45,0.45,0.43,0.43,12419,0,1
2011-07-15,0.44,0.44,0.41,0.42,12384,0,1
2011-07-18,0.42,0.42,0.40,0.40,13177,0,1
2011-07-19,0.40,0.43,0.40,0.43,19712,0,1
2011-07-20,0.43,0.43,0.41,0.41,9376,0,1
2011-07-21,0.42,0.42,0.41,0.41,8873,0,1
2011-07-22,0.41,0.43,0.41,0.43,12595,0,1
2011-07-25,0.42,0.44,0.42,0.43,9827,0,1
2011-07-26,0.43,0.45,0.42,0.45,12361,0,1
2011-07-27,0.44,0.44,0.42,0.43,11113,0,1
2011-07-28,0.43,0.43,0.41,0.41,22259,0,1
2011-07-29,0.41,0.41,0.39,0.40,16918,0,1
2011-08-01,0.40,0.41,0.39,0.40,8288,0,1
2011-08-02,0.40,0.41,0.40,0.40,9388,0,1
2011-08-03,0.40,0.41,0.37,0.39,16896,0,1
2011-08-04,0.38,0.38,0.35,0.35,14230,0,1
2011-08-05,0.35,0.36,0.32,0.34,21920,0,1
2011-08-08,0.31,0.33,0.31,0.32,12880,0,1
2011-08-09,0.32,0.33,0.30,0.32,28848,0,1
2011-08-10,0.32,0.32,0.31,0.32,27260,0,1
2011-08-11,0.32,0.36,0.32,0.36,16083,0,1
2011-08-12,0.36,0.38,0.35,0.38,15308,0,1
2011-08-15,0.37,0.39,0.37,0.39,7859,0,1
2011-08-16,0.38,0.38,0.36,0.38,8409,0,1
2011-08-17,0.38,0.39,0.38,0.38,9555,0,1
2011-08-18,0.37,0.38,0.35,0.38,9299,0,1
2011-08-19,0.37,0.38,0.37,0.37,16832,0,1
2011-08-22,0.37,0.38,0.36,0.37,7532,0,1
2011-08-23,0.37,0.37,0.36,0.37,8995,0,1
2011-08-24,0.37,0.37,0.36,0.36,9436,0,1
2011-08-25,0.37,0.37,0.35,0.35,7017,0,1
2011-08-26,0.35,0.36,0.34,0.34,12739,0,1
2011-08-29,0.35,0.35,0.34,0.35,22272,0,1
2011-08-30,0.35,0.36,0.35,0.36,16329,0,1
2011-08-31,0.36,0.37,0.36,0.37,31302,0,1
2011-09-01,0.40,0.40,0.38,0.40,47180,0,1
2011-09-02,0.40,0.42,0.39,0.41,33654,0,1
2011-09-05,0.41,0.41,0.39,0.41,17324,0,1
2011-09-06,0.40,0.42,0.39,0.42,19475,0,1
2011-09-08,0.42,0.44,0.41,0.42,21238,0,1
2011-09-09,0.42,0.42,0.40,0.42,13401,0,1
2011-09-12,0.40,0.42,0.40,0.42,14668,0,1
2011-09-13,0.42,0.43,0.41,0.41,12812,0,1
2011-09-14,0.42,0.42,0.39,0.40,26988,0,1
2011-09-15,0.41,0.42,0.40,0.40,12057,0,1
2011-09-16,0.40,0.41,0.40,0.40,30208,0,1
2011-09-19,0.40,0.40,0.39,0.40,10208,0,1
2011-09-20,0.40,0.40,0.39,0.39,14361,0,1
2011-09-21,0.39,0.40,0.38,0.38,18006,0,1
2011-09-22,0.36,0.37,0.34,0.35,21353,0,1
2011-09-23,0.35,0.36,0.34,0.35,24832,0,1
2011-09-26,0.36,0.36,0.35,0.35,15862,0,1
2011-09-27,0.36,0.36,0.35,0.36,13081,0,1
2011-09-28,0.36,0.36,0.35,0.35,11888,0,1
2011-09-29,0.35,0.36,0.35,0.35,15552,0,1
2011-09-30,0.35,0.35,0.33,0.34,30537,0,1
2011-10-03,0.34,0.34,0.32,0.32,17628,0,1
2011-10-04,0.32,0.33,0.32,0.32,14841,0,1
2011-10-05,0.33,0.34,0.32,0.33,9440,0,1
