date,open,high,low,close,volume,dividend,split
2009-10-09,16.96,18.12,16.96,18.05,721,0,1
2009-10-13,17.86,18.53,17.67,17.91,720,0,1
2009-10-14,17.88,18.54,17.76,18.25,1113,0,1
2009-10-15,18.15,19.77,18.15,19.58,1031,0,1
2009-10-16,19.38,21.02,18.77,20.54,1010,0,1
2009-10-19,20.48,21.49,20.30,21.49,391,0,1
2009-10-20,20.92,21.00,20.05,20.25,626,0,1
2009-10-21,20.35,21.11,20.25,21.11,456,0,1
2009-10-22,21.34,22.14,20.14,20.27,1038,0,1
2009-10-23,20.77,21.49,20.06,20.06,1035,0,1
2009-10-26,20.02,20.44,19.10,19.44,577,0,1
2009-10-27,20.05,21.06,19.60,19.61,1609,0,1
2009-10-28,20.07,20.07,18.67,19.21,1645,0,1
2009-10-29,19.31,20.38,18.68,19.54,1610,0,1
2009-10-30,19.86,20.22,19.02,19.25,767,0,1
2009-11-03,19.58,21.02,19.10,20.35,1030,0,1
2009-11-04,20.48,21.02,19.98,20.63,938,0,1
2009-11-05,20.68,21.88,20.65,20.96,736,0,1
2009-11-06,21.38,21.38,20.25,20.35,656,0,1
2009-11-09,20.30,20.71,19.45,19.58,1128,0,1
2009-11-10,19.48,20.15,18.78,19.39,1697,0,1
2009-11-11,19.48,19.75,18.45,18.72,3906,0,1
2009-11-12,18.15,18.29,18.15,18.15,3655,0,1
2009-11-13,18.20,18.53,18.16,18.40,2929,0,1
2009-11-16,18.54,18.74,18.46,18.58,3039,0,1
2009-11-17,18.57,18.67,18.25,18.56,1046,0,1
2009-11-18,18.53,18.74,18.34,18.48,1641,0,1
2009-11-19,18.34,18.43,17.75,18.17,1951,0,1
2009-11-23,18.32,18.57,18.14,18.38,1262,0,1
2009-11-24,18.23,18.46,17.96,18.34,1016,0,1
2009-11-25,18.47,18.52,18.34,18.52,893,0,1
2009-11-26,18.20,18.37,18.18,18.34,773,0,1
2009-11-27,18.25,19.00,17.97,18.79,1034,0,1
2009-11-30,18.82,19.58,18.31,19.58,1686,0,1
2009-12-01,19.34,19.63,19.11,19.18,1318,0,1
2009-12-02,19.34,19.39,18.70,19.10,666,0,1
2009-12-03,19.15,19.39,19.01,19.24,705,0,1
2009-12-04,19.25,19.76,19.15,19.15,691,0,1
2009-12-07,19.20,19.75,19.20,19.75,280,0,1
2009-12-08,19.57,20.10,19.26,20.05,714,0,1
2009-12-09,19.95,20.04,19.12,19.40,1223,0,1
2009-12-10,19.57,19.57,18.85,19.10,480,0,1
2009-12-11,19.23,19.34,18.63,18.77,1720,0,1
2009-12-14,18.89,19.13,18.34,18.40,708,0,1
2009-12-15,18.44,18.44,17.85,18.07,1003,0,1
2009-12-16,18.36,18.41,17.66,17.78,1654,0,1
2009-12-17,17.79,18.02,17.43,17.91,971,0,1
2009-12-18,18.15,18.28,17.63,17.67,1413,0,1
2009-12-21,17.79,17.91,17.62,17.91,573,0,1
2009-12-22,17.80,18.28,17.55,18.28,551,0,1
2009-12-23,18.05,18.30,17.69,18.02,1165,0,1
2009-12-28,17.96,18.24,17.86,18.24,513,0,1
2009-12-29,18.23,18.62,18.16,18.58,894,0,1
2009-12-30,18.88,18.88,18.23,18.74,735,0,1
2010-01-04,18.74,19.16,18.53,19.01,678,0,1
2010-01-05,19.30,20.48,19.30,20.38,1788,0,1
2010-01-06,20.46,21.41,20.46,20.92,2898,0,1
2010-01-07,20.87,22.05,20.87,21.95,2699,0,1
2010-01-08,22.34,22.79,21.57,22.39,2031,0,1
2010-01-11,22.32,22.54,21.56,21.71,1163,0,1
2010-01-12,21.56,21.56,21.00,21.56,2066,0,1
2010-01-13,21.26,21.75,20.82,21.75,1731,0,1
2010-01-14,21.66,22.15,21.42,22.00,1357,0,1
2010-01-15,22.17,22.38,21.23,22.38,1153,0,1
2010-01-18,22.05,22.60,21.61,22.51,681,0,1
2010-01-19,22.05,23.67,21.80,23.37,1427,0,1
2010-01-20,23.41,23.42,22.05,22.54,1031,0,1
2010-01-21,22.50,22.69,21.66,21.95,827,0,1
2010-01-22,22.05,22.53,21.40,21.79,804,0,1
2010-01-26,21.62,21.62,20.38,21.36,863,0,1
2010-01-27,21.35,21.64,21.07,21.64,596,0,1
2010-01-28,21.69,21.81,20.93,21.66,716,0,1
2010-01-29,21.85,22.05,21.60,22.05,445,0,1
2010-02-01,22.82,22.91,21.46,22.44,1148,0,1
2010-02-02,22.68,23.52,22.54,22.83,2036,0,1
2010-02-03,22.94,23.35,22.67,22.78,999,0,1
2010-02-04,22.83,22.95,20.66,21.96,815,0,1
2010-02-05,21.53,22.20,20.41,20.87,1026,0,1
2010-02-08,21.16,21.55,20.60,20.87,871,0,1
2010-02-09,21.17,21.50,20.93,21.50,1269,0,1
2010-02-10,21.50,22.54,21.23,21.73,804,0,1
2010-02-11,21.75,22.09,21.36,22.09,758,0,1
2010-02-12,21.57,22.05,21.09,22.05,934,0,1
2010-02-17,22.29,22.54,21.42,22.24,1067,0,1
2010-02-18,22.29,22.29,21.49,21.51,1021,0,1
2010-02-19,21.43,21.43,20.87,21.26,1517,0,1
2010-02-22,21.30,21.69,21.02,21.26,957,0,1
2010-02-23,21.13,21.38,20.48,20.68,864,0,1
2010-02-24,20.73,21.17,20.73,20.82,883,0,1
2010-02-25,20.79,20.79,20.19,20.42,757,0,1
2010-02-26,20.48,20.78,20.24,20.64,636,0,1
2010-03-01,20.55,21.41,20.33,21.41,605,0,1
2010-03-02,21.41,21.93,21.18,21.59,637,0,1
2010-03-03,21.44,22.04,21.41,21.84,626,0,1
2010-03-04,21.69,22.22,21.31,21.85,418,0,1
2010-03-05,21.85,21.94,20.60,20.96,1573,0,1
2010-03-08,21.07,21.26,20.58,20.78,552,0,1
2010-03-09,20.87,20.87,20.20,20.33,1824,0,1
2010-03-10,20.52,20.95,20.38,20.72,946,0,1
2010-03-11,20.74,20.97,20.33,20.87,414,0,1
2010-03-12,20.92,21.04,20.03,20.28,645,0,1
2010-03-15,20.38,20.76,20.38,20.52,930,0,1
2010-03-16,20.67,20.94,20.67,20.83,350,0,1
2010-03-17,20.90,21.54,20.74,20.89,1490,0,1
2010-03-18,21.03,21.56,20.74,21.31,1756,0,1
2010-03-19,21.57,21.57,20.48,20.73,1108,0,1
2010-03-22,20.59,20.63,20.14,20.30,742,0,1
2010-03-23,20.28,20.43,19.41,19.41,1896,0,1
2010-03-24,19.46,19.59,18.58,19.10,1404,0,1
2010-03-25,19.11,19.39,18.88,19.07,1245,0,1
2010-03-26,19.10,19.36,18.52,19.16,904,0,1
2010-03-29,19.26,19.74,19.21,19.59,483,0,1
2010-03-30,19.59,20.01,19.26,19.84,1218,0,1
2010-03-31,19.91,19.99,19.21,19.93,872,0,1
2010-04-01,20.04,20.27,19.51,19.84,2145,0,1
2010-04-05,19.99,20.17,19.26,19.55,701,0,1
2010-04-06,19.50,19.89,19.41,19.89,762,0,1
2010-04-07,19.87,20.10,19.80,20.09,979,0,1
2010-04-08,19.80,20.09,19.61,20.04,1041,0,1
2010-04-09,20.08,20.08,19.27,19.35,2152,0,1
2010-04-12,19.53,19.53,18.98,19.12,1001,0,1
2010-04-13,19.25,19.25,18.92,19.11,866,0,1
2010-04-14,19.33,19.40,18.97,19.34,807,0,1
2010-04-15,19.38,19.61,19.15,19.56,566,0,1
2010-04-16,19.57,19.57,18.80,19.21,1053,0,1
2010-04-19,19.27,19.27,18.64,18.81,635,0,1
