date,open,high,low,close,volume,dividend,split
2019-07-01,16.23,16.61,16.17,16.33,59343,0,1
2019-07-02,16.51,17.09,16.37,17.01,15665,0,1
2019-07-03,17.04,17.31,16.86,17.12,10841,0,1
2019-07-04,17.23,17.35,16.98,17.27,3785,0,1
2019-07-05,17.27,17.27,17.03,17.24,3336,0,1
2019-07-08,17.25,17.39,17.13,17.36,2872,0,1
2019-07-10,17.42,17.75,17.28,17.69,7661,0,1
2019-07-11,17.71,17.91,17.39,17.52,2689,0,1
2019-07-12,17.56,17.66,17.39,17.47,2351,0,1
2019-07-15,17.56,17.60,17.18,17.37,2770,0,1
2019-07-16,17.45,17.46,17.22,17.46,4221,0,1
2019-07-17,17.45,17.46,17.36,17.46,2578,0,1
2019-07-18,17.40,17.55,17.40,17.52,2732,0,1
2019-07-19,17.48,17.52,17.41,17.50,1736,0,1
2019-07-22,17.50,17.52,17.03,17.27,3546,0,1
2019-07-23,17.27,17.42,17.08,17.32,1775,0,1
2019-07-24,17.57,17.60,17.17,17.27,6799,0,1
2019-07-25,17.31,17.31,17.01,17.21,2382,0,1
2019-07-26,17.21,17.35,17.11,17.32,2587,0,1
2019-07-29,17.31,17.41,17.06,17.32,3387,0,1
2019-07-30,17.31,17.56,17.09,17.56,2394,0,1
2019-07-31,17.49,17.86,17.35,17.80,3401,0,1
2019-08-01,17.82,18.54,17.82,18.42,6532,0,1
2019-08-02,18.49,19.17,18.35,19.08,3449,0,1
2019-08-05,18.69,19.03,18.54,19.03,5213,0,1
2019-08-06,19.03,19.65,19.03,19.42,3101,0,1
2019-08-07,19.40,20.24,19.20,20.15,4156,0,1
2019-08-08,20.10,21.45,20.01,20.75,5529,0,1
2019-08-09,20.58,21.22,20.58,20.98,2487,0,1
2019-08-12,20.70,21.13,20.11,20.68,4321,0,1
2019-08-13,20.70,20.88,20.45,20.88,2045,0,1
2019-08-14,20.74,20.96,19.86,20.57,3349,0,1
2019-08-15,20.68,20.86,19.94,20.30,1768,0,1
2019-08-16,20.69,20.96,20.29,20.74,2775,0,1
2019-08-19,20.88,21.16,20.31,20.69,2737,0,1
2019-08-20,20.86,20.93,20.34,20.62,1587,0,1
2019-08-21,20.69,20.88,20.42,20.49,2791,0,1
2019-08-22,20.55,20.63,20.05,20.25,5396,0,1
2019-08-23,20.19,20.41,19.55,20.05,8429,0,1
2019-08-26,20.28,20.28,19.43,19.98,1623,0,1
2019-08-27,20.08,20.22,19.54,20.00,1569,0,1
2019-08-28,19.97,20.00,19.66,20.00,2345,0,1
2019-08-29,20.10,20.22,19.90,20.19,5799,0,1
2019-08-30,20.23,20.50,19.91,20.31,2309,0,1
2019-09-02,20.30,20.44,19.86,20.00,5215,0,1
2019-09-03,19.91,20.19,19.54,19.91,2534,0,1
2019-09-04,20.03,20.10,19.82,20.10,4812,0,1
2019-09-05,20.09,20.33,19.91,19.99,3003,0,1
2019-09-06,20.14,20.15,19.42,19.66,3436,0,1
2019-09-09,19.67,19.81,18.38,19.11,4926,0,1
2019-09-10,19.11,19.39,18.54,19.39,5311,0,1
2019-09-11,19.50,20.00,19.40,20.00,3913,0,1
2019-09-12,20.09,20.48,19.82,20.18,2384,0,1
2019-09-13,20.24,20.24,19.71,20.06,2873,0,1
2019-09-16,20.09,20.09,19.67,19.72,1576,0,1
2019-09-17,19.56,19.67,19.34,19.56,4958,0,1
2019-09-18,19.54,19.56,19.32,19.51,2854,0,1
2019-09-19,19.71,19.77,19.51,19.77,4797,0,1
2019-09-20,19.81,20.19,19.67,19.98,3211,0,1
2019-09-23,19.96,19.96,19.67,19.91,1238,0,1
2019-09-24,19.90,19.94,19.58,19.90,1790,0,1
2019-09-25,19.77,19.98,19.65,19.98,938,0,1
2019-09-26,19.93,20.10,19.74,19.98,2400,0,1
2019-09-27,19.94,20.00,19.77,19.82,1191,0,1
2019-09-30,19.80,20.19,19.65,20.07,3287,0,1
2019-10-01,20.05,20.07,19.84,19.91,893,0,1
2019-10-02,19.84,19.84,19.45,19.61,1833,0,1
2019-10-03,19.62,19.93,19.40,19.91,3753,0,1
2019-10-04,20.00,20.93,19.73,20.67,3341,0,1
2019-10-07,20.59,20.66,20.31,20.43,1678,0,1
2019-10-08,20.39,20.45,20.18,20.30,1749,0,1
2019-10-09,20.34,20.67,20.12,20.59,1266,0,1
2019-10-10,20.60,20.63,20.34,20.44,1617,0,1
2019-10-11,20.49,20.59,20.22,20.54,2047,0,1
2019-10-14,20.44,20.62,20.32,20.32,1564,0,1
2019-10-15,20.34,20.46,18.83,19.66,4993,0,1
2019-10-16,19.63,19.80,19.32,19.71,3782,0,1
