date,open,high,low,close,volume,dividend,split
2010-07-23,27.24,27.31,26.91,27.14,1869,0,1
2010-07-26,27.15,27.37,27.04,27.27,1153,0,1
2010-07-27,27.39,27.48,27.04,27.16,1892,0,1
2010-07-28,27.08,27.28,26.81,26.90,3124,0,1
2010-07-29,27.02,27.09,26.71,26.71,2404,0,1
2010-07-30,26.70,27.36,26.52,27.36,4393,0,1
2010-08-02,27.66,28.28,27.48,28.08,2935,0,1
2010-08-03,27.94,29.04,27.94,28.79,3145,0,1
2010-08-04,28.99,29.24,28.72,29.13,5643,0,1
2010-08-05,29.03,29.16,28.82,29.04,3333,0,1
2010-08-06,29.00,29.13,28.60,28.80,2731,0,1
2010-08-09,29.00,29.08,28.49,28.49,2006,0,1
2010-08-10,28.25,28.43,27.92,28.27,3616,0,1
2010-08-11,27.93,27.93,27.18,27.20,4378,0,1
2010-08-12,26.92,27.57,26.89,27.24,2966,0,1
2010-08-13,27.23,27.43,27.10,27.29,2507,0,1
2010-08-16,27.11,27.35,27.05,27.23,3077,0,1
2010-08-17,27.39,28.02,27.33,27.76,4634,0,1
2010-08-18,27.67,27.75,26.94,27.08,5023,0,1
2010-08-19,26.38,26.64,26.01,26.09,5842,0,1
2010-08-20,26.01,26.25,25.70,26.04,5419,0,1
2010-08-23,26.24,26.24,25.86,25.93,3175,0,1
2010-08-24,25.69,26.17,25.35,25.40,2879,0,1
2010-08-25,25.35,25.59,24.79,25.56,3958,0,1
2010-08-26,25.95,25.99,25.01,25.01,3962,0,1
2010-08-27,25.33,25.74,24.92,25.74,3373,0,1
2010-08-30,25.39,25.56,24.88,25.05,2581,0,1
2010-08-31,24.92,25.43,24.86,25.43,4498,0,1
2010-09-01,25.61,26.85,25.49,26.85,4855,0,1
2010-09-02,26.43,27.67,26.33,26.84,6510,0,1
2010-09-03,27.55,28.19,27.33,28.11,10232,0,1
2010-09-06,28.35,28.65,28.03,28.65,2769,0,1
2010-09-08,27.79,27.97,27.22,27.38,5255,0,1
2010-09-09,27.48,27.52,26.49,26.85,6099,0,1
2010-09-10,26.88,27.12,26.59,26.65,6961,0,1
2010-09-13,27.04,27.40,26.77,27.20,6474,0,1
2010-09-14,27.11,27.25,25.90,25.90,5803,0,1
2010-09-15,25.01,25.82,24.96,25.76,10305,0,1
2010-09-16,25.36,25.86,25.36,25.75,4714,0,1
2010-09-17,25.52,25.94,25.52,25.94,4112,0,1
2010-09-20,25.89,26.63,25.58,26.47,5059,0,1
2010-09-21,26.41,26.57,25.61,25.61,4513,0,1
2010-09-22,25.01,25.66,25.01,25.50,8011,0,1
2010-09-23,25.43,26.81,25.39,25.99,13943,0,1
2010-09-24,26.04,26.12,25.33,25.48,14878,0,1
2010-09-27,25.48,26.17,25.28,25.99,20599,0,1
2010-09-28,26.17,26.19,25.85,25.85,10423,0,1
2010-09-29,25.85,26.59,25.85,26.59,38416,0,1
2010-09-30,26.52,26.88,26.01,26.12,15382,0,1
2010-10-01,26.30,26.52,26.08,26.29,6682,0,1
2010-10-04,26.22,26.55,26.21,26.26,7247,0,1
2010-10-05,26.47,26.53,25.56,26.11,12636,0,1
2010-10-06,26.01,26.03,24.82,25.07,12726,0,1
2010-10-07,25.20,25.20,23.70,24.33,14370,0,1
2010-10-08,24.02,24.92,23.98,24.92,9191,0,1
2010-10-11,24.92,25.05,24.59,24.70,4039,0,1
