date,open,high,low,close,volume,dividend,split
2010-11-01,114.19,118.89,114.19,117.49,181,0,1
2010-11-03,118.79,120.99,117.01,119.49,401,0,1
2010-11-04,119.49,120.99,119.00,119.79,276,0,1
2010-11-05,119.79,122.19,119.79,121.99,1101,0,1
2010-11-08,121.99,121.99,119.99,119.99,191,0,1
2010-11-09,120.99,122.99,117.99,117.99,290,0,1
2010-11-10,120.99,120.99,116.10,118.49,92,0,1
2010-11-11,115.99,119.19,115.99,117.99,216,0,1
2010-11-12,117.99,118.49,116.56,116.99,68,0,1
2010-11-16,114.99,115.99,110.99,111.20,248,0,1
2010-11-17,111.20,113.69,111.20,112.99,204,0,1
2010-11-18,114.49,120.39,114.49,120.00,259,0,1
2010-11-19,117.49,120.49,117.49,119.99,290,0,1
2010-11-22,120.20,120.20,118.99,120.09,162,0,1
2010-11-23,119.99,121.99,119.49,120.99,207,0,1
2010-11-24,122.99,134.99,122.99,134.99,210,0,1
2010-11-25,137.99,137.99,132.99,134.99,116,0,1
2010-11-26,133.09,143.49,133.09,138.99,289,0,1
2010-11-29,138.99,141.79,137.09,138.49,212,0,1
2010-11-30,135.99,139.99,133.25,135.39,101,0,1
2010-12-01,138.99,139.99,134.99,139.99,196,0,1
2010-12-02,139.99,149.72,138.99,147.99,315,0,1
2010-12-03,149.89,158.99,146.50,156.15,528,0,1
2010-12-06,155.49,162.99,155.49,162.49,1106,0,1
2010-12-07,162.49,169.89,159.99,159.99,296,0,1
2010-12-08,162.49,166.79,160.99,163.99,401,0,1
2010-12-09,165.49,165.49,157.99,159.99,605,0,1
2010-12-10,161.49,161.49,152.09,152.99,417,0,1
2010-12-13,153.49,155.99,153.20,154.99,219,0,1
2010-12-14,155.49,155.49,153.19,153.99,297,0,1
2010-12-15,152.99,154.99,152.01,154.67,313,0,1
2010-12-16,154.99,155.69,154.59,155.49,145,0,1
2010-12-17,155.49,164.99,155.49,164.99,242,0,1
2010-12-20,164.99,164.99,160.99,160.99,163,0,1
2010-12-21,160.49,161.99,157.99,159.99,62,0,1
2010-12-22,159.99,161.99,156.99,157.50,164,0,1
2010-12-23,160.99,160.99,158.99,158.99,15,0,1
2010-12-27,157.99,162.99,157.99,160.99,43,0,1
2010-12-28,163.49,163.49,160.99,160.99,8,0,1
2010-12-29,162.94,162.99,158.69,158.69,17,0,1
2010-12-30,159.99,160.99,157.99,158.99,19,0,1
2011-01-03,158.99,165.49,157.99,163.99,155,0,1
2011-01-04,164.99,168.99,164.49,167.99,55,0,1
2011-01-05,167.99,167.99,162.09,162.09,85,0,1
2011-01-06,161.99,161.99,154.49,157.49,129,0,1
2011-01-07,159.99,159.99,154.99,157.99,126,0,1
2011-01-10,159.39,163.49,157.99,163.49,219,0,1
2011-01-11,165.97,166.99,161.99,165.49,330,0,1
2011-01-12,165.49,173.69,165.49,169.99,492,0,1
2011-01-13,170.99,179.99,170.99,178.09,581,0,1
2011-01-14,179.99,182.72,175.52,178.49,189,0,1
2011-01-17,180.99,181.99,176.99,181.29,71,0,1
2011-01-18,181.49,181.99,178.99,179.99,161,0,1
2011-01-19,179.09,179.09,173.00,176.49,97,0,1
2011-01-20,176.99,176.99,172.99,172.99,282,0,1
2011-01-21,172.99,172.99,170.99,170.99,82,0,1
2011-01-24,169.99,179.99,169.99,177.99,115,0,1
2011-01-26,179.99,182.49,176.50,179.49,247,0,1
2011-01-27,179.99,181.99,178.49,180.99,217,0,1
2011-01-28,181.99,183.40,177.99,182.49,608,0,1
2011-01-31,182.49,182.99,180.19,181.79,496,0,1
2011-02-01,181.99,185.99,181.49,184.49,364,0,1
2011-02-02,184.49,187.99,183.99,184.99,152,0,1
2011-02-03,184.99,184.99,180.49,182.99,157,0,1
2011-02-04,182.79,186.99,182.79,184.09,218,0,1
2011-02-07,183.99,186.99,178.39,182.49,107,0,1
2011-02-08,183.99,183.99,172.49,172.49,390,0,1
2011-02-09,173.99,177.99,164.99,166.49,276,0,1
2011-02-10,169.99,169.99,161.99,166.49,266,0,1
2011-02-11,169.99,177.49,169.99,172.99,699,0,1
2011-02-14,173.99,180.99,172.99,179.39,477,0,1
2011-02-15,178.99,179.79,175.27,177.99,564,0,1
2011-02-16,179.99,179.99,175.99,178.99,332,0,1
2011-02-17,179.49,186.99,179.39,182.99,362,0,1
2011-02-18,187.99,194.28,183.99,191.49,412,0,1
2011-02-21,190.49,196.99,190.49,195.98,164,0,1
2011-02-22,195.99,198.99,192.99,194.49,269,0,1
2011-02-23,195.99,195.99,183.59,189.99,240,0,1
2011-02-24,189.99,189.99,179.99,183.99,810,0,1
2011-02-25,174.99,179.99,170.49,179.99,1508,0,1
2011-02-28,179.99,187.49,179.09,187.49,4652,0,1
2011-03-01,184.99,188.74,182.99,185.49,477,0,1
2011-03-02,185.49,191.85,182.99,190.19,831,0,1
2011-03-03,191.99,192.49,186.99,188.99,533,0,1
2011-03-04,189.99,199.99,189.99,197.79,362,0,1
2011-03-09,197.49,206.99,197.49,202.69,174,0,1
2011-03-10,202.69,204.99,197.99,202.99,177,0,1
2011-03-11,197.99,202.89,194.99,202.79,215,0,1
2011-03-14,203.69,209.49,202.99,207.49,120,0,1
2011-03-15,203.39,205.99,198.79,204.99,246,0,1
2011-03-16,205.49,213.99,203.49,212.19,284,0,1
2011-03-17,212.99,219.99,208.49,216.99,539,0,1
2011-03-18,221.99,221.99,204.99,209.99,288,0,1
2011-03-21,213.99,213.99,198.59,198.59,320,0,1
2011-03-22,200.49,209.98,194.99,205.99,312,0,1
2011-03-23,207.99,211.59,204.99,205.99,231,0,1
2011-03-24,205.79,205.79,200.79,200.79,204,0,1
2011-03-25,200.79,203.49,198.99,198.99,121,0,1
2011-03-28,199.99,200.49,193.99,194.49,109,0,1
2011-03-29,200.29,200.29,178.50,181.49,623,0,1
2011-03-30,181.99,181.99,166.09,168.99,1047,0,1
2011-03-31,168.99,171.99,168.99,170.09,318,0,1
2011-04-01,169.99,174.69,169.99,173.99,306,0,1
2011-04-04,172.99,176.42,171.29,172.99,541,0,1
2011-04-05,169.99,174.99,168.49,170.99,400,0,1
2011-04-06,171.99,179.89,171.59,178.99,522,0,1
2011-04-07,177.99,182.39,177.49,179.99,391,0,1
2011-04-08,180.50,182.49,179.99,180.99,226,0,1
2011-04-11,180.49,182.99,179.97,179.99,201,0,1
2011-04-12,179.99,181.99,174.99,175.99,330,0,1
2011-04-13,176.99,178.49,174.99,174.99,261,0,1
2011-04-14,173.99,176.99,171.79,172.99,244,0,1
2011-04-15,174.99,174.99,170.49,171.99,286,0,1
2011-04-18,170.51,170.51,154.99,154.99,690,0,1
2011-04-19,157.99,159.99,155.49,157.99,507,0,1
2011-04-20,157.98,164.48,156.98,160.98,422,0,1
2011-04-25,164.88,164.97,148.98,155.58,337,0,1
2011-04-26,156.28,161.78,156.28,158.98,298,0,1
2011-04-27,159.98,167.97,159.98,164.98,484,0,1
2011-04-28,165.88,171.17,163.48,164.98,6067,0,1
2011-04-29,165.49,165.49,160.09,160.98,620,0,1
2011-05-02,164.88,164.98,153.58,154.98,404,0,1
2011-05-03,157.98,157.98,144.28,149.88,450,0,1
2011-05-04,149.98,150.68,141.18,144.48,443,0,1
2011-05-05,142.98,146.78,139.48,141.48,328,0,1
2011-05-06,145.68,149.98,139.98,142.98,245,0,1
2011-05-09,146.98,159.98,146.98,152.58,554,0,1
2011-05-10,153.98,156.98,149.48,150.28,343,0,1
2011-05-11,152.98,152.98,142.98,144.98,543,0,1
2011-05-12,143.48,144.98,139.98,143.48,404,0,1
2011-05-13,144.48,144.48,138.48,142.88,460,0,1
2011-05-16,142.48,142.48,138.98,141.08,113,0,1
2011-05-17,141.98,141.98,137.48,141.38,213,0,1
2011-05-18,141.68,144.98,140.98,144.48,320,0,1
2011-05-19,144.47,146.18,142.98,144.98,238,0,1
2011-05-20,146.98,147.18,144.98,145.48,196,0,1
2011-05-23,142.46,143.48,139.98,141.48,194,0,1
2011-05-24,142.98,143.47,139.98,139.98,168,0,1
2011-05-25,139.98,141.78,138.98,139.48,225,0,1
2011-05-26,139.48,153.48,139.48,148.98,703,0,1
2011-05-27,149.98,149.98,141.98,142.88,242,0,1
2011-05-30,143.48,145.97,143.08,144.18,63,0,1
2011-05-31,144.98,145.98,137.98,141.98,1908,0,1
2011-06-01,140.18,141.12,137.98,140.48,252,0,1
2011-06-02,141.46,141.46,135.18,137.48,392,0,1
2011-06-03,135.98,137.97,133.08,133.98,491,0,1
2011-06-06,134.98,134.98,130.98,132.08,645,0,1
2011-06-07,135.13,136.98,131.08,131.98,532,0,1
2011-06-08,132.48,133.38,131.48,132.08,385,0,1
2011-06-09,132.68,139.98,132.68,139.98,472,0,1
2011-06-10,140.98,140.98,134.98,134.98,668,0,1
2011-06-13,135.98,136.58,134.98,135.98,105,0,1
2011-06-14,136.98,139.78,135.53,137.98,275,0,1
2011-06-15,137.68,140.68,136.18,136.68,302,0,1
2011-06-16,137.48,138.98,132.48,136.48,330,0,1
2011-06-17,136.98,140.48,135.18,137.48,365,0,1
2011-06-20,137.48,141.38,136.98,138.83,291,0,1
2011-06-21,139.88,140.78,137.68,140.58,245,0,1
2011-06-22,139.98,141.21,139.33,139.98,370,0,1
2011-06-24,139.98,139.98,135.68,137.48,302,0,1
2011-06-27,137.48,137.48,132.98,136.98,437,0,1
2011-06-28,138.98,141.35,135.48,137.98,637,0,1
2011-06-29,138.18,139.48,136.08,138.48,413,0,1
2011-06-30,139.58,144.98,138.28,139.98,408,0,1
2011-07-01,138.98,148.48,138.98,148.48,427,0,1
2011-07-04,148.98,158.48,148.98,156.48,252,0,1
2011-07-05,154.98,160.98,154.98,157.98,477,0,1
2011-07-06,157.98,161.68,156.78,159.98,553,0,1
2011-07-07,160.48,167.17,160.48,165.68,597,0,1
2011-07-08,164.88,164.88,155.08,155.98,686,0,1
2011-07-11,152.08,160.08,152.08,159.68,260,0,1
2011-07-12,159.88,166.67,158.48,160.38,435,0,1
2011-07-13,160.98,164.48,158.98,164.48,468,0,1
2011-07-14,164.98,166.94,158.98,161.18,595,0,1
2011-07-15,161.18,161.77,157.48,157.48,244,0,1
2011-07-18,155.98,157.48,148.23,149.98,630,0,1
2011-07-19,152.98,154.78,149.48,153.48,196,0,1
2011-07-20,155.98,158.98,149.98,150.98,960,0,1
2011-07-21,150.98,159.28,150.98,154.88,982,0,1
2011-07-22,155.98,157.47,147.98,153.98,166,0,1
2011-07-25,154.78,154.98,148.98,152.88,144,0,1
2011-07-26,151.98,153.78,150.18,151.48,240,0,1
2011-07-27,149.98,150.98,143.98,144.48,307,0,1
2011-07-28,144.98,152.48,143.48,143.48,196,0,1
2011-07-29,139.98,144.88,139.98,144.58,135,0,1
2011-08-01,145.84,149.10,145.84,147.98,432,0,1
2011-08-02,148.48,149.98,142.98,143.88,190,0,1
2011-08-03,142.98,142.98,130.98,134.48,616,0,1
2011-08-04,131.48,131.48,112.08,115.98,1119,0,1
2011-08-05,118.98,122.08,106.98,111.08,724,0,1
2011-08-08,99.99,105.98,96.19,98.49,811,0,1
2011-08-09,99.99,104.98,97.99,104.98,727,0,1
2011-08-10,100.98,101.48,96.09,98.98,492,0,1
2011-08-11,99.98,108.48,98.99,107.98,441,0,1
2011-08-12,108.88,115.08,107.98,107.98,483,0,1
2011-08-15,111.98,115.98,109.53,114.98,326,0,1
2011-08-16,111.48,112.48,105.48,106.98,455,0,1
2011-08-17,107.48,110.18,103.08,103.08,837,0,1
2011-08-18,98.09,98.98,93.99,95.19,540,0,1
2011-08-19,95.48,99.48,92.99,95.29,361,0,1
2011-08-22,98.49,99.98,88.49,88.99,687,0,1
2011-08-23,90.99,90.99,87.49,88.99,935,0,1
2011-08-24,88.99,89.98,86.99,87.49,172,0,1
2011-08-25,87.99,93.09,87.39,90.79,493,0,1
2011-08-26,91.90,93.99,88.49,89.99,287,0,1
2011-08-29,92.59,97.49,92.59,97.49,510,0,1
2011-08-30,98.48,101.99,95.49,101.48,265,0,1
2011-08-31,102.48,104.88,101.48,104.88,316,0,1
2011-09-01,109.98,109.98,105.49,106.48,237,0,1
2011-09-02,105.88,105.88,102.24,102.98,300,0,1
2011-09-05,102.98,102.98,94.99,95.98,233,0,1
2011-09-06,93.49,95.89,93.49,94.99,325,0,1
2011-09-08,96.49,97.99,91.09,93.48,451,0,1
2011-09-09,92.29,93.48,86.29,89.49,619,0,1
2011-09-12,87.99,91.99,85.49,91.99,776,0,1
2011-09-13,92.19,99.84,92.19,99.49,801,0,1
2011-09-14,99.49,101.49,94.58,98.09,300,0,1
2011-09-15,98.74,100.98,95.79,99.99,456,0,1
2011-09-16,99.19,100.78,97.98,97.98,275,0,1
2011-09-19,96.98,96.98,91.49,94.70,401,0,1
2011-09-20,94.78,96.93,90.60,95.99,426,0,1
2011-09-21,95.89,98.99,90.89,91.99,562,0,1
2011-09-22,87.89,88.49,83.49,83.49,986,0,1
2011-09-23,83.49,85.99,81.82,82.49,583,0,1
2011-09-26,84.29,84.49,81.39,83.99,215,0,1
2011-09-27,86.49,86.49,83.99,84.99,653,0,1
2011-09-28,85.89,85.89,71.99,72.89,874,0,1
2011-09-29,82.29,83.79,76.03,78.49,843,0,1
2011-09-30,77.49,78.38,74.79,74.99,302,0,1
2011-10-03,71.79,73.48,68.89,70.84,356,0,1
2011-10-04,70.84,70.84,60.29,64.99,1281,0,1
2011-10-05,66.77,71.29,64.99,70.79,1582,0,1
2011-10-06,71.49,80.98,71.49,77.99,703,0,1
2011-10-07,79.98,81.99,71.79,72.49,316,0,1
