date,open,high,low,close,volume,dividend,split
2011-07-01,8.94,9.38,8.89,9.25,351,0,1
2011-07-04,9.13,9.18,9.01,9.10,358,0,1
2011-07-05,8.97,9.25,8.97,9.18,206,0,1
2011-07-06,9.26,9.26,8.97,9.01,473,0,1
2011-07-07,8.97,9.18,8.94,9.15,4,0,1
2011-07-08,9.01,9.10,8.88,9.10,72,0,1
2011-07-11,9.00,9.01,8.79,8.94,967,0,1
2011-07-12,8.70,8.84,8.51,8.51,491,0,1
2011-07-13,8.64,8.71,8.59,8.59,57,0,1
2011-07-14,8.57,8.60,8.51,8.60,607,0,1
2011-07-15,8.57,8.70,8.49,8.70,63,0,1
2011-07-18,8.64,8.64,8.43,8.62,49,0,1
2011-07-19,8.33,8.63,8.33,8.60,125,0,1
2011-07-20,8.45,8.62,8.32,8.48,638,0,1
2011-07-21,8.47,8.88,8.47,8.88,17,0,1
2011-07-22,8.88,9.10,8.88,9.10,313,0,1
2011-07-25,9.09,9.09,8.88,9.07,471,0,1
2011-07-26,9.01,9.10,8.75,9.10,11,0,1
2011-07-27,9.09,9.16,9.05,9.13,1200,0,1
2011-07-28,9.00,9.10,8.77,9.07,997,0,1
2011-07-29,9.22,9.25,8.94,8.94,326,0,1
2011-08-01,8.95,8.96,8.68,8.94,14,0,1
2011-08-02,8.68,9.23,8.64,9.09,985,0,1
2011-08-03,8.88,8.88,8.64,8.88,22,0,1
2011-08-04,8.94,8.97,8.63,8.64,737,0,1
2011-08-05,8.64,8.64,8.02,8.02,977,0,1
2011-08-08,7.82,8.02,7.28,7.40,362,0,1
2011-08-09,7.40,8.57,7.28,8.57,870,0,1
2011-08-10,8.75,8.75,7.83,8.23,2,0,1
2011-08-11,8.63,8.63,8.42,8.42,36,0,1
2011-08-12,8.33,8.42,8.11,8.42,44,0,1
2011-08-15,8.45,8.57,8.33,8.33,50,0,1
2011-08-16,8.59,8.60,8.45,8.45,960,0,1
2011-08-17,8.45,8.57,8.33,8.33,85,0,1
2011-08-18,8.04,8.11,7.96,7.96,5,0,1
2011-08-19,8.01,8.01,7.62,7.62,209,0,1
2011-08-22,7.63,7.77,7.59,7.71,94,0,1
2011-08-23,7.71,7.77,7.71,7.71,34,0,1
2011-08-24,7.71,7.75,7.71,7.75,127,0,1
2011-08-25,7.77,7.77,7.53,7.77,9,0,1
2011-08-26,7.71,7.86,7.71,7.86,24,0,1
2011-08-29,7.92,8.20,7.92,8.20,55,0,1
2011-08-30,8.40,8.64,8.39,8.64,23,0,1
2011-08-31,8.88,9.06,8.64,8.88,185,0,1
2011-09-01,9.01,9.25,8.94,9.25,223,0,1
2011-09-02,9.19,9.19,9.13,9.13,13,0,1
2011-09-05,9.25,9.25,8.64,8.94,117,0,1
2011-09-06,8.94,8.94,8.82,8.82,278,0,1
2011-09-08,8.75,9.34,8.75,9.31,203,0,1
2011-09-09,9.25,9.87,9.17,9.25,231,0,1
2011-09-12,9.23,9.31,9.01,9.25,161,0,1
2011-09-13,9.37,9.74,9.31,9.74,125,0,1
2011-09-14,9.71,9.74,9.47,9.65,580,0,1
2011-09-15,9.86,9.86,9.50,9.75,187,0,1
2011-09-16,10.02,10.49,9.76,10.49,1101,0,1
2011-09-19,10.21,10.36,9.90,9.99,418,0,1
2011-09-20,10.02,10.02,9.76,9.87,126,0,1
2011-09-21,9.87,10.02,9.68,9.68,86,0,1
2011-09-22,9.62,9.75,8.76,9.01,141,0,1
2011-09-23,9.00,9.46,8.72,9.25,210,0,1
2011-09-26,9.25,9.56,9.09,9.25,88,0,1
2011-09-27,9.87,9.87,8.96,9.01,213,0,1
2011-09-28,9.25,9.25,8.86,9.05,13,0,1
2011-09-29,9.12,9.12,8.63,8.64,372,0,1
2011-09-30,8.88,8.91,8.64,8.64,25,0,1
2011-10-03,8.65,9.07,8.64,8.64,159,0,1
2011-10-04,8.64,8.88,8.64,8.88,134,0,1
2011-10-05,8.85,8.94,8.64,8.64,217,0,1
2011-10-06,8.73,8.79,8.33,8.33,151,0,1
2011-10-07,8.33,8.64,8.21,8.64,43,0,1
2011-10-10,8.46,8.83,8.46,8.69,7,0,1
2011-10-11,8.70,8.93,8.51,8.51,53,0,1
2011-10-13,8.45,8.60,8.39,8.39,32,0,1
2011-10-14,8.47,8.47,8.33,8.33,49,0,1
2011-10-17,8.12,8.45,8.12,8.39,100,0,1
2011-10-18,8.46,8.51,8.33,8.45,60,0,1
2011-10-19,8.45,8.70,8.43,8.63,143,0,1
2011-10-20,8.64,8.79,8.57,8.60,76,0,1
2011-10-21,8.77,9.25,8.64,9.25,189,0,1
2011-10-24,9.01,9.10,8.88,8.88,60,0,1
2011-10-25,9.05,9.05,8.76,8.94,21,0,1
2011-10-26,9.06,9.06,8.64,8.81,24,0,1
2011-10-27,8.97,9.07,8.71,9.07,206,0,1
2011-10-28,9.12,9.75,9.04,9.75,118,0,1
2011-10-31,9.26,9.69,9.26,9.68,163,0,1
2011-11-01,9.56,9.59,9.44,9.47,180,0,1
2011-11-03,9.68,9.72,9.42,9.42,223,0,1
2011-11-04,9.49,9.54,8.99,9.07,158,0,1
2011-11-07,8.93,9.10,8.79,8.81,55,0,1
2011-11-08,9.07,9.09,8.89,9.09,34,0,1
2011-11-09,9.18,9.18,9.07,9.15,2,0,1
2011-11-10,9.39,9.39,9.13,9.21,1,0,1
2011-11-11,9.47,9.53,9.13,9.41,15,0,1
2011-11-14,9.55,9.55,9.07,9.07,16,0,1
2011-11-16,9.67,9.67,9.07,9.07,91,0,1
2011-11-17,9.32,9.32,9.07,9.07,37,0,1
2011-11-18,9.13,9.37,9.13,9.37,71,0,1
2011-11-21,9.23,9.25,9.07,9.19,11,0,1
2011-11-22,9.20,9.20,9.20,9.20,0,0,1
2011-11-23,9.18,9.33,9.18,9.28,4,0,1
2011-11-24,9.07,9.54,9.07,9.54,14,0,1
2011-11-25,9.53,9.56,9.25,9.25,45,0,1
2011-11-28,9.13,9.39,9.13,9.22,51,0,1
2011-11-29,9.13,9.36,9.06,9.06,27,0,1
2011-11-30,9.33,9.41,9.29,9.41,31,0,1
2011-12-01,9.56,9.56,9.41,9.56,73,0,1
2011-12-02,9.66,9.66,9.40,9.41,122,0,1
2011-12-05,9.55,9.55,9.18,9.25,44,0,1
2011-12-06,9.48,9.48,9.07,9.20,39,0,1
2011-12-07,8.96,9.16,8.96,9.16,45,0,1
2011-12-08,9.25,9.44,9.20,9.44,545,0,1
2011-12-09,9.25,9.44,9.22,9.22,37,0,1
2011-12-12,9.31,9.31,9.19,9.22,401,0,1
2011-12-13,9.16,9.32,9.13,9.32,241,0,1
2011-12-14,9.25,9.26,9.19,9.25,504,0,1
2011-12-15,9.86,9.86,9.53,9.56,159,0,1
2011-12-16,9.50,9.52,9.07,9.07,42,0,1
2011-12-19,9.31,9.36,9.12,9.33,1433,0,1
2011-12-20,9.54,9.54,9.25,9.34,460,0,1
2011-12-21,9.55,9.55,9.34,9.43,108,0,1
2011-12-22,9.52,9.52,9.27,9.38,232,0,1
2011-12-23,9.38,9.87,9.38,9.87,336,0,1
2011-12-26,9.93,10.19,9.92,9.97,13,0,1
2011-12-27,9.88,9.93,9.87,9.93,13,0,1
2011-12-28,9.99,10.00,9.87,9.95,42,0,1
2011-12-29,9.93,10.33,9.93,10.33,210,0,1
2012-01-02,10.64,10.73,10.54,10.61,108,0,1
2012-01-03,10.49,10.79,10.49,10.64,936,0,1
2012-01-04,10.49,10.71,10.49,10.58,87,0,1
2012-01-05,10.55,10.65,10.55,10.60,1682,0,1
2012-01-06,10.61,10.66,10.55,10.64,1923,0,1
2012-01-09,10.63,10.69,10.49,10.49,81,0,1
2012-01-10,10.64,10.64,10.48,10.52,520,0,1
2012-01-11,10.38,10.49,10.34,10.36,1185,0,1
2012-01-12,10.48,10.48,10.18,10.35,17,0,1
