date,open,high,low,close,volume,dividend,split
2010-12-17,2.72,2.76,2.64,2.64,5271,0,1
2010-12-20,2.66,2.69,2.60,2.65,2636,0,1
2010-12-21,2.65,2.66,2.57,2.60,3912,0,1
2010-12-22,2.66,2.69,2.58,2.62,3157,0,1
2010-12-23,2.67,2.69,2.58,2.61,2111,0,1
2010-12-27,2.63,2.72,2.58,2.61,1176,0,1
2010-12-28,2.65,2.66,2.54,2.58,1176,0,1
2010-12-29,2.59,2.59,2.50,2.52,1666,0,1
2010-12-30,2.54,2.54,2.45,2.45,2192,0,1
2011-01-03,2.47,2.60,2.46,2.55,1779,0,1
2011-01-04,2.55,2.60,2.55,2.56,1004,0,1
2011-01-05,2.56,2.56,2.50,2.54,920,0,1
2011-01-06,2.54,2.56,2.49,2.56,616,0,1
2011-01-07,2.54,2.54,2.49,2.50,546,0,1
2011-01-10,2.53,2.60,2.50,2.60,263,0,1
2011-01-11,2.59,2.60,2.53,2.54,3254,0,1
2011-01-12,2.54,2.57,2.50,2.53,510,0,1
2011-01-13,2.53,2.56,2.51,2.54,431,0,1
2011-01-14,2.51,2.54,2.48,2.50,435,0,1
2011-01-17,2.53,2.54,2.50,2.53,97,0,1
2011-01-18,2.56,2.57,2.46,2.52,5822,0,1
2011-01-19,2.51,2.54,2.46,2.48,561,0,1
2011-01-20,2.48,2.48,2.40,2.40,921,0,1
2011-01-21,2.45,2.45,2.40,2.40,6174,0,1
2011-01-24,2.43,2.48,2.36,2.38,983,0,1
2011-01-26,2.40,2.45,2.34,2.37,5184,0,1
2011-01-27,2.37,2.38,2.28,2.32,18541,0,1
2011-01-28,2.31,2.37,2.18,2.21,2113,0,1
2011-01-31,2.21,2.25,2.15,2.18,4319,0,1
2011-02-01,2.18,2.24,2.17,2.20,2148,0,1
2011-02-02,2.24,2.24,2.15,2.16,5037,0,1
2011-02-03,2.17,2.26,2.12,2.14,1345,0,1
2011-02-04,2.15,2.21,2.09,2.11,4226,0,1
2011-02-07,2.14,2.22,2.09,2.13,2282,0,1
