date,open,high,low,close,volume,dividend,split
2009-10-09,45.84,46.42,45.57,46.11,264,0,1
2009-10-13,46.25,46.35,45.40,45.40,226,0,1
2009-10-14,46.01,46.01,45.13,45.43,540,0,1
2009-10-15,45.36,46.25,45.09,46.04,436,0,1
2009-10-16,45.40,45.87,45.26,45.53,329,0,1
2009-10-19,45.57,45.91,45.23,45.60,278,0,1
2009-10-20,45.06,45.23,43.80,44.38,365,0,1
2009-10-21,44.07,44.99,43.56,43.60,387,0,1
2009-10-22,44.04,44.17,42.34,42.88,579,0,1
2009-10-23,43.46,43.97,42.78,43.02,789,0,1
2009-10-26,43.46,43.97,42.68,43.97,653,0,1
2009-10-27,44.38,44.38,43.05,43.56,588,0,1
2009-10-28,43.36,43.80,41.32,41.66,621,0,1
2009-10-29,41.96,44.55,41.73,44.28,718,0,1
2009-10-30,44.21,44.68,42.61,43.97,641,0,1
2009-11-03,44.04,46.56,43.77,46.08,1035,0,1
2009-11-04,46.25,47.78,46.15,47.61,740,0,1
2009-11-05,47.44,48.97,47.24,48.97,425,0,1
2009-11-06,48.97,49.31,46.93,48.83,547,0,1
2009-11-09,49.31,50.30,48.97,50.30,421,0,1
2009-11-10,50.26,50.50,48.32,48.63,377,0,1
2009-11-11,48.87,49.51,47.30,48.94,684,0,1
2009-11-12,48.32,49.38,47.71,48.53,386,0,1
2009-11-13,48.49,52.00,48.15,50.84,484,0,1
2009-11-16,51.45,52.54,50.60,52.54,435,0,1
2009-11-17,52.17,53.70,51.42,53.32,374,0,1
2009-11-18,52.88,53.29,51.11,52.47,639,0,1
2009-11-19,51.35,52.51,51.11,52.51,375,0,1
2009-11-23,52.71,53.46,52.03,53.08,431,0,1
2009-11-24,53.49,53.66,52.61,53.36,420,0,1
2009-11-25,53.73,56.35,53.49,55.94,504,0,1
2009-11-26,54.92,55.26,53.32,53.70,198,0,1
2009-11-27,53.70,54.21,51.93,54.04,234,0,1
2009-11-30,53.90,55.16,52.68,52.68,360,0,1
2009-12-01,53.36,53.66,52.51,53.02,1049,0,1
2009-12-02,53.46,53.93,52.57,52.98,488,0,1
2009-12-03,53.22,53.49,51.52,52.03,723,0,1
2009-12-04,51.59,53.42,51.08,52.23,385,0,1
2009-12-07,52.54,52.88,51.76,51.86,598,0,1
2009-12-08,51.42,52.51,50.64,51.35,1060,0,1
2009-12-09,51.42,52.37,50.57,50.64,303,0,1
2009-12-10,51.01,51.52,49.31,49.99,1121,0,1
2009-12-11,50.67,52.71,50.53,52.03,465,0,1
2009-12-14,52.81,53.97,52.81,53.56,348,0,1
2009-12-15,53.22,54.51,53.05,53.36,352,0,1
2009-12-16,54.00,54.34,52.34,53.05,364,0,1
2009-12-17,52.40,53.70,51.89,53.70,495,0,1
2009-12-18,53.42,55.43,52.44,55.43,394,0,1
2009-12-21,55.43,55.63,51.76,51.76,386,0,1
2009-12-22,52.85,53.56,51.49,52.10,499,0,1
2009-12-23,52.88,53.22,51.62,52.54,160,0,1
2009-12-28,53.70,54.41,53.05,54.41,204,0,1
2009-12-29,54.75,54.75,53.32,54.58,98,0,1
2009-12-30,54.24,55.43,53.80,55.43,108,0,1
2010-01-04,56.25,57.98,55.53,57.98,238,0,1
2010-01-05,58.29,62.88,58.05,61.96,454,0,1
2010-01-06,61.52,63.22,59.21,59.75,441,0,1
2010-01-07,59.85,59.85,58.02,58.93,405,0,1
2010-01-08,58.66,60.06,58.25,59.51,206,0,1
2010-01-11,60.06,60.84,58.66,58.83,224,0,1
2010-01-12,57.98,58.05,56.96,57.78,328,0,1
2010-01-13,57.88,58.29,56.18,57.81,262,0,1
2010-01-14,54.99,55.57,54.07,54.78,1223,0,1
2010-01-15,54.58,56.01,54.24,55.09,457,0,1
2010-01-18,55.09,55.26,54.65,54.89,199,0,1
2010-01-19,54.41,56.28,53.08,55.94,342,0,1
2010-01-20,55.12,56.31,54.61,54.75,288,0,1
2010-01-21,54.82,55.29,52.44,53.25,369,0,1
2010-01-22,52.10,53.08,50.36,50.98,402,0,1
2010-01-26,50.64,52.74,49.82,51.59,434,0,1
2010-01-27,51.25,52.54,51.04,51.35,420,0,1
2010-01-28,52.03,52.23,49.62,51.52,298,0,1
2010-01-29,51.69,52.13,50.36,51.35,410,0,1
2010-02-01,51.89,54.04,51.01,53.56,391,0,1
2010-02-02,54.04,54.41,53.05,54.41,219,0,1
2010-02-03,54.75,55.94,53.73,55.43,268,0,1
2010-02-04,54.89,55.36,51.15,52.71,282,0,1
2010-02-05,51.69,53.36,51.04,53.22,298,0,1
2010-02-08,53.22,54.24,51.42,51.52,426,0,1
2010-02-09,52.71,53.05,50.67,51.01,487,0,1
2010-02-10,51.52,52.00,50.77,51.21,288,0,1
2010-02-11,51.21,51.96,50.81,51.52,328,0,1
2010-02-12,51.38,53.05,50.94,53.05,179,0,1
2010-02-17,53.73,54.58,52.06,52.54,316,0,1
2010-02-18,52.68,53.22,51.52,52.71,302,0,1
2010-02-19,52.71,53.90,52.30,53.73,208,0,1
2010-02-22,54.10,54.10,53.02,53.63,281,0,1
2010-02-23,53.12,54.95,53.08,54.31,250,0,1
2010-02-24,54.75,55.40,52.64,53.56,226,0,1
2010-02-25,52.44,53.93,51.93,53.36,184,0,1
2010-02-26,53.12,54.82,52.20,54.82,237,0,1
2010-03-01,55.06,55.94,54.14,55.94,194,0,1
