date,open,high,low,close,volume,dividend,split
2010-12-22,6.31,6.31,6.31,6.31,0,0,1
2010-12-23,6.34,6.34,6.15,6.15,3,0,1
2010-12-27,6.03,6.03,6.03,6.03,2,0,1
2010-12-28,6.09,6.09,6.09,6.09,0,0,1
2010-12-29,6.12,6.12,5.91,5.91,3,0,1
2010-12-30,6.12,6.12,5.91,5.91,3,0,1
2011-01-03,5.95,5.95,5.95,5.95,3,0,1
2011-01-04,5.95,5.95,5.91,5.91,5,0,1
2011-01-05,5.91,6.26,5.91,6.25,3,0,1
2011-01-06,5.91,6.26,5.91,6.25,3,0,1
2011-01-07,5.91,6.26,5.91,6.25,3,0,1
2011-01-10,6.25,6.25,6.06,6.24,1,0,1
2011-01-11,6.25,6.25,6.06,6.24,1,0,1
2011-01-12,6.25,6.25,6.06,6.24,1,0,1
2011-01-13,6.28,6.53,6.28,6.40,2,0,1
2011-01-14,6.41,6.41,6.41,6.41,2,0,1
2011-01-17,6.41,6.41,6.41,6.41,2,0,1
2011-01-18,6.41,6.41,6.41,6.41,2,0,1
2011-01-19,6.40,6.40,6.40,6.40,7,0,1
2011-01-20,6.23,6.23,6.00,6.00,2,0,1
2011-01-21,6.22,6.37,6.22,6.34,12,0,1
2011-01-24,6.34,6.35,6.34,6.34,2,0,1
2011-01-26,6.24,6.28,6.22,6.26,4,0,1
2011-01-27,6.24,6.28,6.22,6.26,4,0,1
2011-01-28,6.08,6.08,6.08,6.08,1,0,1
2011-01-31,5.91,5.91,5.75,5.75,5,0,1
2011-02-01,5.92,5.92,5.91,5.91,0,0,1
2011-02-02,5.91,5.91,5.91,5.91,0,0,1
2011-02-03,5.76,5.77,5.76,5.76,6,0,1
2011-02-04,5.90,5.92,5.90,5.92,0,0,1
2011-02-07,5.90,5.92,5.90,5.92,0,0,1
2011-02-08,5.60,5.60,5.60,5.60,1,0,1
2011-02-09,5.60,5.60,5.60,5.60,1,0,1
2011-02-10,5.60,5.60,5.60,5.60,0,0,1
2011-02-11,5.72,5.78,5.72,5.78,1,0,1
2011-02-14,5.68,5.78,5.68,5.78,0,0,1
2011-02-15,5.84,5.84,5.81,5.81,0,0,1
2011-02-16,5.92,5.92,5.92,5.92,1,0,1
2011-02-17,6.09,6.09,6.07,6.07,1,0,1
2011-02-18,6.09,6.09,6.07,6.07,1,0,1
2011-02-21,6.07,6.07,6.07,6.07,0,0,1
2011-02-22,5.81,5.81,5.81,5.81,7,0,1
2011-02-23,5.91,5.91,5.91,5.91,0,0,1
2011-02-24,5.91,5.91,5.91,5.91,1,0,1
2011-02-25,5.90,5.90,5.81,5.90,2,0,1
2011-02-28,5.66,5.66,5.66,5.66,20,0,1
2011-03-01,5.66,5.72,5.66,5.72,0,0,1
2011-03-02,5.78,5.78,5.72,5.73,3,0,1
2011-03-03,5.73,5.73,5.73,5.73,1,0,1
2011-03-04,5.73,5.73,5.73,5.73,1,0,1
2011-03-09,5.73,5.73,5.73,5.73,1,0,1
2011-03-10,5.68,5.68,5.68,5.68,0,0,1
2011-03-11,5.68,5.68,5.68,5.68,0,0,1
2011-03-14,5.68,5.68,5.68,5.68,0,0,1
2011-03-15,5.68,5.68,5.68,5.68,0,0,1
2011-03-16,5.69,5.69,5.41,5.41,4,0,1
2011-03-17,5.60,5.60,5.53,5.53,4,0,1
2011-03-18,5.56,5.56,5.56,5.56,1,0,1
2011-03-21,5.67,5.67,5.67,5.67,0,0,1
2011-03-22,5.67,5.67,5.67,5.67,0,0,1
2011-03-23,5.67,5.67,5.67,5.67,0,0,1
2011-03-24,5.69,6.21,5.69,6.19,5,0,1
2011-03-25,5.69,6.21,5.69,6.19,5,0,1
2011-03-28,6.18,6.18,6.18,6.18,0,0,1
2011-03-29,6.18,6.18,6.18,6.18,0,0,1
2011-03-30,6.18,6.18,6.18,6.18,0,0,1
2011-03-31,6.18,6.18,6.18,6.18,0,0,1
2011-04-01,6.18,6.18,6.18,6.18,0,0,1
2011-04-04,6.18,6.18,6.18,6.18,0,0,1
2011-04-05,5.94,6.10,5.94,6.10,0,0,1
2011-04-06,6.19,6.19,6.19,6.19,0,0,1
2011-04-07,6.18,6.18,6.18,6.18,0,0,1
2011-04-08,6.18,6.18,6.18,6.18,0,0,1
2011-04-11,6.21,6.21,6.21,6.21,0,0,1
2011-04-12,6.09,6.09,5.89,5.89,0,0,1
2011-04-13,6.09,6.09,5.89,5.89,0,0,1
2011-04-14,6.09,6.09,5.89,5.89,0,0,1
2011-04-15,6.09,6.09,5.89,5.89,0,0,1
2011-04-18,5.89,5.89,5.89,5.89,0,0,1
2011-04-19,5.91,6.15,5.91,6.15,0,0,1
2011-04-20,6.16,6.16,6.16,6.16,0,0,1
2011-04-25,6.13,6.15,6.13,6.15,0,0,1
2011-04-26,6.13,6.13,6.13,6.13,1,0,1
2011-04-27,6.13,6.13,6.13,6.13,0,0,1
2011-04-28,5.97,6.13,5.97,6.13,2,0,1
2011-04-29,5.97,6.13,5.97,6.13,2,0,1
2011-05-02,5.97,6.13,5.97,6.13,2,0,1
2011-05-03,5.97,6.13,5.97,6.13,2,0,1
2011-05-04,5.83,6.10,5.83,6.10,0,0,1
2011-05-05,5.83,6.10,5.83,6.10,0,0,1
2011-05-06,5.83,6.10,5.83,6.10,0,0,1
2011-05-09,5.97,5.97,5.94,5.94,1,0,1
2011-05-10,5.94,5.94,5.94,5.94,0,0,1
2011-05-11,6.12,6.12,6.12,6.12,0,0,1
2011-05-12,6.12,6.12,6.12,6.12,0,0,1
2011-05-13,5.93,5.93,5.87,5.87,0,0,1
2011-05-16,5.86,5.88,5.84,5.84,1,0,1
2011-05-17,6.01,6.01,5.86,6.01,1,0,1
2011-05-18,6.01,6.01,5.88,5.88,5,0,1
2011-05-19,5.85,5.85,5.85,5.85,0,0,1
2011-05-20,5.85,5.85,5.85,5.85,0,0,1
2011-05-23,6.01,6.01,6.01,6.01,0,0,1
2011-05-24,6.01,6.01,6.01,6.01,0,0,1
2011-05-25,6.01,6.01,6.01,6.01,0,0,1
2011-05-26,6.01,6.11,6.01,6.11,0,0,1
2011-05-27,5.97,6.11,5.97,6.11,0,0,1
2011-05-30,6.35,6.35,6.35,6.35,0,0,1
2011-05-31,6.10,6.10,6.10,6.10,0,0,1
2011-06-01,6.10,6.10,6.10,6.10,0,0,1
2011-06-02,6.10,6.10,6.10,6.10,0,0,1
2011-06-03,6.10,6.10,6.10,6.10,0,0,1
2011-06-06,6.10,6.10,6.10,6.10,0,0,1
2011-06-07,6.10,6.10,6.10,6.10,0,0,1
2011-06-08,6.10,6.10,6.10,6.10,0,0,1
2011-06-09,6.10,6.10,6.10,6.10,0,0,1
2011-06-10,6.17,6.17,6.17,6.17,0,0,1
2011-06-13,6.17,6.17,6.17,6.17,0,0,1
2011-06-14,6.17,6.17,6.17,6.17,0,0,1
2011-06-15,6.17,6.17,6.17,6.17,0,0,1
2011-06-16,6.37,6.37,6.37,6.37,0,0,1
2011-06-17,6.18,6.37,6.18,6.37,2,0,1
2011-06-20,6.18,6.37,6.18,6.37,2,0,1
2011-06-21,6.21,6.36,6.21,6.36,0,0,1
2011-06-22,6.37,6.37,6.37,6.37,0,0,1
2011-06-24,6.25,6.25,6.25,6.25,0,0,1
2011-06-27,6.25,6.25,6.25,6.25,0,0,1
2011-06-28,6.25,6.25,6.25,6.25,0,0,1
2011-06-29,6.25,6.25,6.25,6.25,0,0,1
