date,open,high,low,close,volume,dividend,split
2010-04-26,9.83,9.91,9.53,9.53,45,0,1
2010-04-27,9.68,9.68,9.21,9.21,28,0,1
2010-04-28,9.46,9.46,9.24,9.24,53,0,1
2010-04-29,9.46,9.46,9.25,9.39,128,0,1
2010-04-30,9.48,9.49,9.23,9.42,66,0,1
2010-05-03,9.52,9.53,9.51,9.52,10,0,1
2010-05-04,9.42,9.42,9.08,9.24,74,0,1
2010-05-05,9.11,9.32,9.11,9.11,27,0,1
2010-05-06,9.11,9.14,8.51,9.14,74,0,1
2010-05-07,9.07,9.11,8.90,8.91,103,0,1
2010-05-10,9.27,9.61,9.26,9.27,62,0,1
2010-05-11,9.15,9.37,9.04,9.18,54,0,1
2010-05-12,9.17,9.23,9.08,9.23,34,0,1
2010-05-13,9.23,9.23,9.22,9.22,5,0,1
2010-05-14,8.97,9.08,8.81,9.05,33,0,1
2010-05-17,8.97,9.14,8.90,8.93,51,0,1
2010-05-18,8.96,9.12,8.74,8.86,78,0,1
2010-05-19,8.59,8.81,8.37,8.59,22,0,1
2010-05-20,8.42,8.78,8.25,8.78,51,0,1
2010-05-21,8.74,8.98,8.74,8.85,15,0,1
2010-05-24,8.96,8.96,8.85,8.85,0,0,1
2010-05-25,8.66,8.66,8.66,8.66,1,0,1
2010-05-26,8.73,8.78,8.51,8.59,36,0,1
2010-05-27,9.00,9.00,8.55,8.85,23,0,1
2010-05-28,8.74,8.96,8.74,8.96,6,0,1
2010-05-31,8.70,8.96,8.70,8.96,25,0,1
2010-06-01,9.11,9.34,8.81,8.89,110,0,1
2010-06-02,9.11,9.34,8.81,8.89,110,0,1
2010-06-04,8.85,8.89,8.85,8.85,16,0,1
2010-06-07,8.63,8.81,8.63,8.81,0,0,1
2010-06-08,8.83,8.83,8.52,8.78,24,0,1
2010-06-09,8.54,8.93,8.54,8.89,14,0,1
2010-06-10,8.90,9.02,8.89,8.89,91,0,1
2010-06-11,9.04,9.04,8.75,8.81,90,0,1
2010-06-14,8.84,9.07,8.84,8.96,34,0,1
