date,open,high,low,close,volume,dividend,split
2010-12-16,6.22,6.40,6.06,6.07,3771,0,1
2010-12-17,6.12,6.20,5.81,5.92,5206,0,1
2010-12-20,5.98,6.03,5.90,5.90,2799,0,1
2010-12-21,5.93,6.26,5.93,6.19,3681,0,1
2010-12-22,6.24,6.31,6.15,6.20,2718,0,1
2010-12-23,6.24,6.38,6.22,6.36,1277,0,1
2010-12-27,6.36,6.40,6.28,6.31,577,0,1
2010-12-28,6.29,6.35,6.22,6.24,3379,0,1
2010-12-29,6.30,6.43,6.17,6.43,971,0,1
2010-12-30,6.42,6.53,6.33,6.53,2052,0,1
2011-01-03,6.55,6.70,6.39,6.70,4040,0,1
2011-01-04,6.70,6.70,6.53,6.65,1743,0,1
2011-01-05,6.65,6.85,6.59,6.82,2690,0,1
2011-01-06,6.83,6.90,6.78,6.87,2215,0,1
2011-01-07,6.86,6.87,6.72,6.75,3597,0,1
2011-01-10,6.73,6.74,6.60,6.68,1932,0,1
2011-01-11,6.62,6.94,6.62,6.91,3347,0,1
2011-01-12,6.90,6.93,6.87,6.91,1596,0,1
2011-01-13,6.91,6.94,6.85,6.88,1934,0,1
2011-01-14,6.88,6.93,6.78,6.89,2002,0,1
2011-01-17,6.87,6.87,6.69,6.75,2088,0,1
2011-01-18,6.75,6.93,6.75,6.92,1617,0,1
2011-01-19,6.92,6.93,6.84,6.89,1243,0,1
2011-01-20,6.86,6.89,6.71,6.82,1864,0,1
2011-01-21,6.82,6.89,6.61,6.68,1701,0,1
2011-01-24,6.68,6.76,6.53,6.68,2304,0,1
2011-01-26,6.68,6.70,6.30,6.33,3561,0,1
2011-01-27,6.35,6.39,5.98,6.04,3704,0,1
2011-01-28,6.00,6.09,5.84,5.90,4448,0,1
2011-01-31,5.94,6.14,5.89,6.11,4908,0,1
2011-02-01,6.15,6.45,6.13,6.38,3315,0,1
2011-02-02,6.37,6.50,6.28,6.28,3299,0,1
2011-02-03,6.30,6.33,5.94,6.02,5521,0,1
2011-02-04,6.00,6.18,5.78,5.89,9876,0,1
2011-02-07,5.94,5.95,5.79,5.90,713,0,1
2011-02-08,5.90,6.02,5.83,5.90,2929,0,1
2011-02-09,5.94,5.98,5.54,5.61,4977,0,1
2011-02-10,5.57,5.74,5.43,5.65,3300,0,1
2011-02-11,5.67,5.71,5.56,5.70,3306,0,1
2011-02-14,5.69,5.85,5.62,5.77,4978,0,1
2011-02-15,5.80,5.94,5.70,5.92,5921,0,1
2011-02-16,5.92,5.99,5.88,5.92,2367,0,1
2011-02-17,6.01,6.07,5.85,5.99,2688,0,1
2011-02-18,5.97,6.21,5.92,6.12,3569,0,1
2011-02-21,6.12,6.12,5.95,5.97,610,0,1
2011-02-22,5.97,5.97,5.74,5.79,3297,0,1
2011-02-23,5.83,5.83,5.48,5.53,5230,0,1
2011-02-24,5.55,5.65,5.47,5.47,4268,0,1
2011-02-25,5.56,5.59,5.45,5.50,4247,0,1
2011-02-28,5.55,5.73,5.50,5.73,2489,0,1
2011-03-01,5.73,5.83,5.65,5.76,2171,0,1
2011-03-02,5.71,5.74,5.56,5.65,3288,0,1
2011-03-03,5.66,5.80,5.62,5.79,1229,0,1
2011-03-04,5.79,5.89,5.61,5.78,3163,0,1
2011-03-09,5.83,5.83,5.62,5.72,2781,0,1
2011-03-10,5.71,5.83,5.65,5.75,4709,0,1
2011-03-11,5.75,5.85,5.64,5.79,2123,0,1
2011-03-14,5.80,5.80,5.63,5.73,1517,0,1
2011-03-15,5.70,5.89,5.61,5.76,2597,0,1
2011-03-16,5.77,5.89,5.77,5.78,3296,0,1
2011-03-17,5.85,5.85,5.78,5.81,2309,0,1
2011-03-18,5.78,5.89,5.78,5.80,2467,0,1
2011-03-21,5.91,5.94,5.85,5.85,1517,0,1
2011-03-22,5.90,6.02,5.83,6.02,4145,0,1
2011-03-23,5.97,6.07,5.90,5.94,1909,0,1
2011-03-24,5.97,6.01,5.94,6.01,1541,0,1
2011-03-25,5.98,6.08,5.92,6.06,2164,0,1
2011-03-28,6.06,6.17,5.94,6.01,2122,0,1
2011-03-29,6.01,6.22,6.01,6.22,3718,0,1
2011-03-30,6.26,6.43,6.17,6.22,3775,0,1
2011-03-31,6.23,6.39,6.19,6.39,2657,0,1
2011-04-01,6.41,6.64,6.41,6.64,3631,0,1
2011-04-04,6.63,6.72,6.52,6.57,2149,0,1
2011-04-05,6.56,6.59,6.43,6.47,4024,0,1
2011-04-06,6.46,6.54,6.39,6.52,1491,0,1
2011-04-07,6.53,6.64,6.41,6.51,2316,0,1
2011-04-08,6.44,6.55,6.41,6.49,2404,0,1
2011-04-11,6.48,6.62,6.45,6.60,2449,0,1
2011-04-12,6.56,6.58,6.44,6.51,1115,0,1
2011-04-13,6.53,6.58,6.24,6.36,2451,0,1
2011-04-14,6.45,6.51,6.23,6.33,2918,0,1
2011-04-15,6.34,6.36,6.26,6.31,1405,0,1
2011-04-18,6.22,6.31,6.08,6.13,2731,0,1
2011-04-19,6.21,6.33,6.13,6.33,2634,0,1
2011-04-20,6.35,6.54,6.33,6.53,2419,0,1
2011-04-25,6.49,6.59,6.41,6.42,1474,0,1
2011-04-26,6.44,6.57,6.34,6.55,2849,0,1
2011-04-27,6.50,6.64,6.44,6.55,1596,0,1
2011-04-28,6.45,6.62,6.42,6.42,2291,0,1
2011-04-29,6.49,6.69,6.42,6.60,2884,0,1
2011-05-02,6.58,6.99,6.58,6.70,2342,0,1
