date,open,high,low,close,volume,dividend,split
2011-01-11,11.84,12.01,11.84,11.94,1044,0,1
2011-01-12,12.03,12.22,12.03,12.17,1480,0,1
2011-01-13,12.24,12.36,11.98,11.99,1128,0,1
2011-01-14,12.05,12.21,11.91,12.18,945,0,1
2011-01-17,12.09,12.09,11.99,12.02,352,0,1
2011-01-18,12.08,12.21,11.99,12.02,1861,0,1
2011-01-19,12.00,12.05,11.54,11.54,3233,0,1
2011-01-20,11.49,11.52,11.12,11.19,3448,0,1
2011-01-21,11.26,11.46,11.21,11.36,2944,0,1
2011-01-24,11.41,11.45,11.24,11.30,1854,0,1
2011-01-26,11.19,11.19,10.95,10.98,3842,0,1
2011-01-27,11.02,11.16,10.91,10.94,2497,0,1
2011-01-28,10.95,10.99,10.45,10.61,3236,0,1
2011-01-31,10.69,10.72,10.41,10.47,1325,0,1
2011-02-01,10.56,10.79,10.51,10.67,2176,0,1
2011-02-02,10.67,10.73,10.33,10.33,2234,0,1
2011-02-03,10.33,10.33,10.02,10.13,3416,0,1
2011-02-04,10.18,10.18,9.77,9.92,6179,0,1
2011-02-07,10.10,10.19,9.77,10.13,2702,0,1
2011-02-08,10.05,10.32,10.05,10.14,2961,0,1
2011-02-09,10.16,10.18,9.88,9.92,2768,0,1
2011-02-10,9.96,10.39,9.96,10.24,3720,0,1
2011-02-11,10.31,10.64,10.15,10.47,1542,0,1
2011-02-14,10.39,10.65,10.25,10.52,1219,0,1
2011-02-15,10.53,10.83,10.31,10.74,1924,0,1
2011-02-16,10.78,11.24,10.77,11.10,4255,0,1
2011-02-17,11.05,11.21,10.91,10.99,2638,0,1
2011-02-18,10.80,11.20,10.72,11.18,2336,0,1
2011-02-21,10.99,11.10,10.84,10.86,598,0,1
2011-02-22,10.79,10.98,10.57,10.64,2518,0,1
2011-02-23,10.66,10.81,10.47,10.72,1950,0,1
2011-02-24,10.78,10.92,10.59,10.67,1200,0,1
2011-02-25,10.67,10.78,10.45,10.68,1756,0,1
2011-02-28,10.82,10.97,10.66,10.88,1311,0,1
2011-03-01,10.88,11.00,10.58,10.58,1755,0,1
2011-03-02,10.58,10.79,10.56,10.65,1128,0,1
2011-03-03,10.64,10.87,10.64,10.78,1249,0,1
2011-03-04,10.72,10.94,10.61,10.69,1792,0,1
2011-03-09,10.64,10.77,10.59,10.62,1684,0,1
2011-03-10,10.56,10.61,10.25,10.25,1813,0,1
2011-03-11,10.28,10.57,10.23,10.42,2692,0,1
2011-03-14,10.40,10.57,10.36,10.50,1195,0,1
2011-03-15,10.23,10.62,10.19,10.61,1617,0,1
2011-03-16,10.66,10.75,10.36,10.43,3539,0,1
2011-03-17,10.57,10.77,10.25,10.37,1629,0,1
2011-03-18,10.45,10.53,10.35,10.35,2589,0,1
2011-03-21,10.50,10.58,10.41,10.51,1325,0,1
2011-03-22,10.47,10.78,10.44,10.67,2127,0,1
2011-03-23,10.60,10.83,10.57,10.75,2236,0,1
2011-03-24,10.78,10.85,10.70,10.72,839,0,1
2011-03-25,10.80,10.81,10.59,10.62,1506,0,1
2011-03-28,10.57,10.69,10.54,10.54,798,0,1
2011-03-29,10.53,10.78,10.43,10.43,1221,0,1
2011-03-30,10.52,10.76,10.50,10.76,1537,0,1
2011-03-31,10.70,10.92,10.70,10.81,2700,0,1
2011-04-01,10.92,11.11,10.77,10.77,3169,0,1
2011-04-04,10.87,10.92,10.57,10.61,3311,0,1
2011-04-05,10.58,10.63,10.48,10.53,2616,0,1
2011-04-06,10.57,10.62,10.52,10.54,2218,0,1
2011-04-07,10.60,10.62,10.51,10.57,1494,0,1
2011-04-08,10.51,10.56,10.18,10.24,2947,0,1
2011-04-11,10.26,10.29,10.01,10.05,2990,0,1
2011-04-12,10.01,10.08,9.84,10.04,2267,0,1
2011-04-13,10.13,10.14,10.00,10.09,2124,0,1
2011-04-14,10.07,10.11,9.86,9.88,2355,0,1
2011-04-15,9.94,10.10,9.80,10.02,2757,0,1
2011-04-18,9.84,10.13,9.68,10.10,2149,0,1
2011-04-19,10.18,10.26,9.94,9.97,2230,0,1
2011-04-20,10.15,10.16,9.89,9.92,2390,0,1
2011-04-25,9.88,9.97,9.85,9.87,1068,0,1
2011-04-26,9.87,9.92,9.75,9.80,3572,0,1
2011-04-27,9.81,10.26,9.81,10.26,5830,0,1
2011-04-28,10.12,10.20,9.80,9.80,3998,0,1
2011-04-29,9.81,9.98,9.78,9.88,3083,0,1
2011-05-02,9.90,10.04,9.80,9.80,1710,0,1
2011-05-03,9.77,9.87,9.57,9.59,2777,0,1
2011-05-04,9.70,9.77,9.57,9.62,4140,0,1
2011-05-05,9.55,9.83,9.53,9.74,3027,0,1
2011-05-06,9.94,10.08,9.83,10.05,3149,0,1
2011-05-09,10.10,10.12,9.90,10.09,2007,0,1
2011-05-10,10.09,10.20,10.02,10.07,3346,0,1
2011-05-11,10.02,10.10,9.96,10.05,1829,0,1
2011-05-12,10.02,10.08,9.94,10.02,1616,0,1
2011-05-13,10.02,10.02,9.87,9.87,1509,0,1
2011-05-16,9.83,10.02,9.73,9.73,1476,0,1
2011-05-17,9.78,9.82,9.66,9.80,1135,0,1
2011-05-18,9.82,9.86,9.50,9.50,1713,0,1
2011-05-19,9.54,9.69,9.43,9.44,1565,0,1
2011-05-20,9.55,9.55,9.41,9.50,1699,0,1
2011-05-23,9.35,9.61,9.34,9.61,3703,0,1
2011-05-24,9.67,9.69,9.54,9.68,1712,0,1
2011-05-25,9.66,9.66,9.53,9.55,1145,0,1
2011-05-26,9.55,9.77,9.49,9.77,1790,0,1
2011-05-27,9.83,9.90,9.70,9.76,1719,0,1
2011-05-30,9.76,9.86,9.65,9.66,443,0,1
2011-05-31,9.83,9.83,9.60,9.75,2021,0,1
2011-06-01,9.81,9.82,9.55,9.58,1783,0,1
2011-06-02,9.60,9.75,9.49,9.75,1954,0,1
2011-06-03,9.66,9.86,9.59,9.73,1207,0,1
2011-06-06,9.69,9.74,9.44,9.51,2576,0,1
2011-06-07,9.53,9.77,9.53,9.66,2370,0,1
2011-06-08,9.62,9.69,9.43,9.50,2630,0,1
2011-06-09,9.51,9.58,9.42,9.50,1603,0,1
2011-06-10,9.57,9.57,9.33,9.36,1357,0,1
2011-06-13,9.39,9.60,9.37,9.53,1558,0,1
2011-06-14,9.57,9.65,9.50,9.63,2406,0,1
2011-06-15,9.53,9.74,9.47,9.61,3626,0,1
2011-06-16,9.58,9.79,9.55,9.73,3097,0,1
2011-06-17,9.86,9.95,9.65,9.94,7290,0,1
2011-06-20,9.80,9.96,9.80,9.91,1338,0,1
2011-06-21,9.93,9.97,9.74,9.75,2197,0,1
2011-06-22,9.78,9.92,9.74,9.77,2662,0,1
2011-06-24,9.68,9.87,9.63,9.63,1526,0,1
2011-06-27,9.66,9.75,9.57,9.62,1625,0,1
2011-06-28,9.62,9.90,9.62,9.90,2018,0,1
2011-06-29,9.93,10.07,9.93,10.05,2958,0,1
2011-06-30,10.07,10.21,9.96,10.21,2384,0,1
2011-07-01,10.19,10.22,10.00,10.11,1885,0,1
2011-07-04,10.13,10.18,10.04,10.15,612,0,1
2011-07-05,10.13,10.15,10.00,10.07,1608,0,1
2011-07-06,9.98,10.04,9.86,9.90,1464,0,1
2011-07-07,10.04,10.04,9.76,9.76,2116,0,1
2011-07-08,9.71,9.75,9.52,9.52,1462,0,1
2011-07-11,9.38,9.54,9.23,9.26,2028,0,1
2011-07-12,9.20,9.46,9.06,9.06,3366,0,1
2011-07-13,9.15,9.27,9.00,9.09,4947,0,1
2011-07-14,9.09,9.09,8.76,8.81,2508,0,1
2011-07-15,8.81,8.95,8.75,8.76,2793,0,1
2011-07-18,8.73,8.73,8.42,8.51,3134,0,1
2011-07-19,8.56,8.67,8.47,8.52,4294,0,1
2011-07-20,8.59,8.73,8.50,8.53,3349,0,1
2011-07-21,8.54,8.85,8.54,8.73,1926,0,1
2011-07-22,8.74,8.90,8.57,8.90,6308,0,1
2011-07-25,8.76,8.85,8.71,8.83,4110,0,1
2011-07-26,8.83,8.86,8.74,8.82,10500,0,1
2011-07-27,8.67,8.71,8.22,8.26,10659,0,1
2011-07-28,8.37,8.39,8.01,8.09,7452,0,1
2011-07-29,8.02,8.16,7.85,8.13,7746,0,1
2011-08-01,8.17,8.26,8.06,8.15,4095,0,1
2011-08-02,8.12,8.20,8.04,8.05,4295,0,1
2011-08-03,8.01,8.14,7.82,7.93,3596,0,1
2011-08-04,7.86,7.88,7.68,7.75,9067,0,1
2011-08-05,7.84,8.00,7.73,7.88,6058,0,1
2011-08-08,7.67,7.73,7.22,7.22,4481,0,1
2011-08-09,7.34,7.74,7.34,7.67,5993,0,1
2011-08-10,7.48,7.56,7.34,7.44,4009,0,1
2011-08-11,7.47,7.81,7.40,7.70,3748,0,1
2011-08-12,7.76,8.04,7.63,7.98,3474,0,1
2011-08-15,8.16,8.23,8.03,8.12,1747,0,1
2011-08-16,8.04,8.26,7.91,8.23,4462,0,1
2011-08-17,8.24,8.54,8.12,8.48,3620,0,1
2011-08-18,8.17,8.26,7.92,8.07,3644,0,1
2011-08-19,8.01,8.12,7.78,7.78,2956,0,1
2011-08-22,8.00,8.14,7.68,7.96,3913,0,1
2011-08-23,7.99,7.99,7.59,7.76,3755,0,1
2011-08-24,7.75,7.85,7.63,7.75,2287,0,1
2011-08-25,8.06,8.23,7.82,7.96,5616,0,1
2011-08-26,7.96,8.00,7.75,7.95,3413,0,1
2011-08-29,8.03,8.20,7.98,8.17,2091,0,1
2011-08-30,8.07,8.51,8.07,8.49,3318,0,1
2011-08-31,8.57,8.64,8.42,8.54,3848,0,1
2011-09-01,8.74,9.19,8.67,8.93,4657,0,1
2011-09-02,8.76,8.90,8.67,8.79,3190,0,1
2011-09-05,8.65,8.65,8.34,8.42,1272,0,1
2011-09-06,8.25,8.51,8.17,8.49,3854,0,1
2011-09-08,8.65,8.90,8.54,8.84,2869,0,1
2011-09-09,8.70,8.83,8.29,8.37,2511,0,1
2011-09-12,8.21,8.34,8.07,8.34,1979,0,1
2011-09-13,8.32,8.38,8.13,8.27,1431,0,1
2011-09-14,8.26,8.58,8.21,8.48,3302,0,1
2011-09-15,8.58,8.65,8.43,8.56,1955,0,1
2011-09-16,8.47,8.76,8.47,8.76,1898,0,1
2011-09-19,8.53,8.58,8.41,8.48,2539,0,1
2011-09-20,8.56,8.59,8.31,8.31,2645,0,1
2011-09-21,8.45,8.61,8.33,8.34,2635,0,1
2011-09-22,8.03,8.16,7.87,8.06,3513,0,1
2011-09-23,8.11,8.13,7.84,7.88,2090,0,1
2011-09-26,7.94,8.11,7.77,7.99,1864,0,1
2011-09-27,8.07,8.43,8.06,8.14,3079,0,1
2011-09-28,8.10,8.37,7.99,8.00,1936,0,1
2011-09-29,8.04,8.16,7.94,8.12,3571,0,1
2011-09-30,8.05,8.06,7.68,7.71,3390,0,1
2011-10-03,7.59,7.79,7.53,7.53,3417,0,1
2011-10-04,7.53,7.53,7.15,7.34,3610,0,1
2011-10-05,7.32,7.49,7.17,7.31,3319,0,1
2011-10-06,7.42,7.48,7.31,7.43,3494,0,1
2011-10-07,7.57,7.62,7.27,7.31,3509,0,1
2011-10-10,7.43,7.59,7.39,7.54,2675,0,1
2011-10-11,7.52,7.70,7.48,7.62,3528,0,1
2011-10-13,7.73,7.99,7.68,7.86,4396,0,1
2011-10-14,7.89,7.98,7.83,7.98,2025,0,1
2011-10-17,7.80,7.89,7.76,7.88,2199,0,1
2011-10-18,7.81,8.15,7.71,8.15,2166,0,1
2011-10-19,8.06,8.21,7.88,8.20,2413,0,1
2011-10-20,8.11,8.24,7.94,8.15,2935,0,1
2011-10-21,8.35,8.48,8.15,8.39,3288,0,1
2011-10-24,8.49,8.80,8.40,8.67,2983,0,1
2011-10-25,8.61,8.74,8.24,8.29,4492,0,1
2011-10-26,8.39,8.49,8.25,8.43,1688,0,1
2011-10-27,8.77,9.08,8.72,8.91,5286,0,1
2011-10-28,8.89,8.99,8.69,8.99,2665,0,1
2011-10-31,8.78,8.80,8.65,8.69,2830,0,1
2011-11-01,8.16,8.51,8.16,8.43,3552,0,1
2011-11-03,8.59,8.63,8.40,8.54,1744,0,1
2011-11-04,8.43,8.55,8.29,8.55,1842,0,1
2011-11-07,8.62,8.66,8.43,8.47,957,0,1
2011-11-08,8.52,8.56,8.33,8.46,1349,0,1
2011-11-09,8.32,8.36,8.14,8.27,2222,0,1
2011-11-10,8.41,8.42,8.18,8.19,1715,0,1
2011-11-11,8.43,8.50,8.29,8.36,1917,0,1
2011-11-14,8.34,8.50,8.26,8.26,2539,0,1
2011-11-16,8.17,8.43,7.95,8.01,4812,0,1
2011-11-17,7.87,7.97,7.50,7.65,5963,0,1
2011-11-18,7.64,7.72,7.36,7.40,5144,0,1
2011-11-21,7.31,7.68,7.27,7.68,3139,0,1
2011-11-22,7.65,7.75,7.09,7.22,12775,0,1
2011-11-23,7.08,7.35,7.03,7.23,4389,0,1
2011-11-24,7.30,7.38,7.14,7.23,1514,0,1
2011-11-25,7.08,7.36,7.08,7.23,3136,0,1
2011-11-28,7.46,7.47,7.35,7.38,2885,0,1
2011-11-29,7.47,7.55,7.35,7.42,2676,0,1
2011-11-30,7.59,7.91,7.54,7.82,5308,0,1
2011-12-01,8.03,8.18,7.93,8.15,3535,0,1
2011-12-02,8.27,8.47,8.08,8.21,4338,0,1
2011-12-05,8.38,8.40,8.12,8.30,2640,0,1
2011-12-06,8.30,8.31,8.17,8.31,2303,0,1
2011-12-07,8.26,8.47,8.16,8.38,2297,0,1
2011-12-08,8.43,8.48,8.20,8.22,1828,0,1
2011-12-09,8.22,8.45,8.20,8.33,2151,0,1
2011-12-12,8.33,8.39,8.23,8.38,1645,0,1
2011-12-13,8.46,8.46,8.22,8.26,2933,0,1
2011-12-14,8.26,8.35,8.21,8.22,3103,0,1
2011-12-15,8.32,8.35,8.07,8.07,2250,0,1
2011-12-16,8.15,8.15,8.04,8.07,1348,0,1
2011-12-19,8.04,8.15,7.93,7.93,2753,0,1
2011-12-20,8.04,8.20,7.93,8.18,2509,0,1
2011-12-21,8.18,8.35,8.12,8.35,2038,0,1
2011-12-22,8.36,8.62,8.27,8.59,2600,0,1
2011-12-23,8.66,8.70,8.54,8.63,1256,0,1
2011-12-26,8.63,8.68,8.55,8.55,308,0,1
2011-12-27,8.55,8.84,8.46,8.76,1419,0,1
2011-12-28,8.80,8.80,8.39,8.44,1466,0,1
2011-12-29,8.50,8.62,8.46,8.53,1664,0,1
2012-01-02,8.70,8.80,8.53,8.79,794,0,1
2012-01-03,8.82,9.04,8.75,9.01,1741,0,1
2012-01-04,8.95,8.97,8.78,8.90,1374,0,1
2012-01-05,8.78,8.89,8.60,8.63,1734,0,1
2012-01-06,8.72,8.80,8.55,8.61,1162,0,1
2012-01-09,8.72,8.92,8.70,8.75,2289,0,1
2012-01-10,8.94,9.03,8.80,8.93,2918,0,1
2012-01-11,8.82,8.97,8.82,8.91,1222,0,1
2012-01-12,9.00,9.04,8.83,9.00,1784,0,1
2012-01-13,8.94,9.01,8.83,8.89,3059,0,1
2012-01-16,8.82,9.10,8.82,9.09,711,0,1
2012-01-17,9.15,9.24,8.99,9.02,1793,0,1
2012-01-18,8.99,9.17,8.99,9.14,3464,0,1
2012-01-19,9.18,9.42,9.09,9.31,3510,0,1
2012-01-20,9.36,9.52,9.28,9.37,3062,0,1
2012-01-23,9.37,9.44,9.23,9.41,2258,0,1
2012-01-24,9.39,9.39,9.22,9.27,2616,0,1
2012-01-26,9.50,9.69,9.36,9.52,2959,0,1
2012-01-27,9.52,9.72,9.48,9.59,3277,0,1
2012-01-30,9.52,9.63,9.31,9.37,2877,0,1
2012-01-31,9.17,9.33,9.06,9.24,3323,0,1
2012-02-01,9.24,9.54,9.19,9.47,2638,0,1
2012-02-02,9.45,9.70,9.35,9.68,2089,0,1
2012-02-03,9.52,10.03,9.52,9.96,3929,0,1
2012-02-06,9.92,10.00,9.74,9.81,4284,0,1
2012-02-07,9.70,9.84,9.64,9.77,2223,0,1
2012-02-08,9.77,10.01,9.77,10.01,2516,0,1
2012-02-09,9.91,10.14,9.91,10.08,2998,0,1
2012-02-10,9.90,10.09,9.78,9.97,2650,0,1
2012-02-13,10.04,10.36,10.04,10.32,2007,0,1
2012-02-14,10.31,10.43,10.16,10.23,2548,0,1
2012-02-15,10.37,10.67,10.33,10.47,4668,0,1
2012-02-16,10.33,10.63,10.33,10.54,3309,0,1
2012-02-17,10.54,10.69,10.28,10.53,1658,0,1
2012-02-22,10.45,10.59,10.39,10.57,2703,0,1
2012-02-23,10.45,10.54,10.25,10.33,3120,0,1
2012-02-24,10.45,10.45,10.16,10.19,1901,0,1
2012-02-27,10.19,10.33,10.09,10.32,1809,0,1
2012-02-28,10.43,10.61,10.35,10.61,3239,0,1
2012-02-29,10.50,10.68,10.41,10.52,14147,0,1
2012-03-01,10.67,10.79,10.52,10.75,3234,0,1
2012-03-02,10.80,11.23,10.78,11.09,8372,0,1
2012-03-05,11.05,11.14,10.64,10.67,2984,0,1
2012-03-06,10.51,10.55,10.29,10.32,2319,0,1
2012-03-07,10.53,10.59,10.39,10.51,2033,0,1
2012-03-08,10.69,10.78,10.65,10.73,2985,0,1
2012-03-09,10.78,10.83,10.67,10.67,2220,0,1
2012-03-12,10.60,10.71,10.36,10.57,2848,0,1
2012-03-13,10.72,10.86,10.64,10.75,2023,0,1
2012-03-14,10.78,10.89,10.66,10.77,1933,0,1
2012-03-15,10.59,10.70,10.58,10.59,1906,0,1
2012-03-16,10.76,10.76,10.57,10.75,2138,0,1
2012-03-19,10.71,10.74,10.49,10.49,1415,0,1
2012-03-20,10.39,10.46,10.33,10.43,1127,0,1
2012-03-21,10.43,10.49,10.15,10.18,2026,0,1
2012-03-22,10.06,10.10,9.92,9.93,2824,0,1
