date,open,high,low,close,volume,dividend,split
2010-04-29,8.41,8.56,8.35,8.35,932,0,1
2010-04-30,8.35,8.48,8.32,8.32,1134,0,1
2010-05-03,8.35,8.87,8.35,8.73,1640,0,1
2010-05-04,8.72,8.75,8.40,8.49,1558,0,1
2010-05-05,8.41,8.59,8.33,8.43,1024,0,1
2010-05-06,8.50,8.50,8.13,8.36,1588,0,1
2010-05-07,8.26,8.30,8.07,8.07,1538,0,1
2010-05-10,8.43,8.51,8.14,8.14,1312,0,1
2010-05-11,8.17,8.51,8.00,8.23,1272,0,1
2010-05-12,8.23,8.50,8.23,8.40,1026,0,1
2010-05-13,8.40,8.55,8.33,8.55,933,0,1
2010-05-14,8.49,8.55,8.39,8.39,1618,0,1
2010-05-17,8.38,8.55,8.35,8.48,1436,0,1
2010-05-18,8.47,8.59,8.21,8.24,3166,0,1
2010-05-19,8.24,8.47,8.14,8.20,1551,0,1
2010-05-20,8.20,8.23,8.00,8.21,1863,0,1
2010-05-21,8.21,8.52,8.02,8.35,2376,0,1
2010-05-24,8.27,8.43,8.10,8.25,1416,0,1
2010-05-25,7.98,8.18,7.98,8.11,1202,0,1
2010-05-26,8.02,8.31,8.00,8.24,2333,0,1
2010-05-27,8.30,8.58,8.21,8.39,976,0,1
2010-05-28,8.33,8.58,8.29,8.50,1126,0,1
2010-05-31,8.35,8.72,8.35,8.72,600,0,1
2010-06-01,8.53,8.56,8.36,8.38,925,0,1
2010-06-02,8.34,8.70,8.28,8.62,993,0,1
2010-06-04,8.57,8.80,8.38,8.65,1051,0,1
2010-06-07,8.59,8.78,8.58,8.70,665,0,1
2010-06-08,8.67,8.71,8.54,8.60,1147,0,1
2010-06-09,8.60,8.72,8.58,8.70,434,0,1
2010-06-10,8.64,8.76,8.56,8.76,992,0,1
2010-06-11,8.67,8.80,8.58,8.66,464,0,1
2010-06-14,8.67,8.80,8.57,8.62,519,0,1
2010-06-15,8.69,8.70,8.51,8.58,617,0,1
2010-06-16,8.52,8.60,8.43,8.58,949,0,1
2010-06-17,8.54,8.62,8.46,8.62,1173,0,1
2010-06-18,8.62,8.64,8.49,8.49,952,0,1
2010-06-21,8.62,8.66,8.46,8.59,1086,0,1
2010-06-22,8.62,8.64,8.52,8.63,859,0,1
2010-06-23,8.60,9.21,8.53,8.99,3816,0,1
2010-06-24,8.90,8.94,8.78,8.92,2447,0,1
2010-06-25,8.98,9.02,8.83,8.98,1018,0,1
2010-06-28,8.82,9.17,8.82,9.14,1436,0,1
2010-06-29,9.04,9.61,8.72,9.25,4978,0,1
2010-06-30,9.25,9.47,9.00,9.35,925,0,1
2010-07-01,9.21,9.39,8.80,9.07,2457,0,1
2010-07-02,8.98,9.07,8.83,8.86,618,0,1
2010-07-05,8.86,9.11,8.62,8.79,218,0,1
2010-07-06,9.03,9.03,8.66,8.77,1674,0,1
2010-07-07,8.85,8.97,8.67,8.76,1223,0,1
2010-07-08,8.76,8.83,8.63,8.70,1880,0,1
2010-07-12,8.80,8.81,8.55,8.55,615,0,1
2010-07-13,8.70,8.70,8.56,8.59,625,0,1
2010-07-14,8.50,8.66,8.46,8.62,1305,0,1
2010-07-15,8.54,8.56,8.40,8.51,1199,0,1
2010-07-16,8.51,8.55,8.36,8.36,743,0,1
2010-07-19,8.46,8.46,8.30,8.35,1460,0,1
2010-07-20,8.38,8.56,8.30,8.55,1313,0,1
2010-07-21,8.56,8.66,8.48,8.51,1089,0,1
2010-07-22,8.64,8.71,8.55,8.56,1193,0,1
2010-07-23,8.53,8.72,8.53,8.65,888,0,1
2010-07-26,8.62,8.78,8.62,8.64,549,0,1
2010-07-27,8.79,8.89,8.67,8.77,789,0,1
2010-07-28,8.77,8.81,8.63,8.81,540,0,1
2010-07-29,8.80,8.87,8.58,8.71,639,0,1
2010-07-30,8.55,8.77,8.55,8.77,1249,0,1
2010-08-02,8.88,8.88,8.78,8.88,467,0,1
2010-08-03,8.88,8.89,8.69,8.79,584,0,1
2010-08-04,8.80,8.89,8.72,8.89,671,0,1
2010-08-05,8.73,8.89,8.73,8.89,380,0,1
2010-08-06,8.88,8.91,8.70,8.91,405,0,1
2010-08-09,8.96,8.96,8.74,8.85,490,0,1
2010-08-10,8.75,8.82,8.59,8.72,609,0,1
2010-08-11,8.50,8.68,8.42,8.45,620,0,1
2010-08-12,8.37,8.70,8.37,8.70,690,0,1
2010-08-13,8.63,8.80,8.51,8.69,518,0,1
2010-08-16,8.78,8.79,8.58,8.79,584,0,1
2010-08-17,8.80,8.86,8.67,8.84,522,0,1
2010-08-18,8.85,8.91,8.72,8.91,656,0,1
2010-08-19,8.85,8.89,8.73,8.86,550,0,1
2010-08-20,8.88,8.88,8.71,8.71,361,0,1
2010-08-23,8.77,8.81,8.68,8.75,2116,0,1
2010-08-24,8.72,8.77,8.50,8.59,648,0,1
2010-08-25,8.53,8.60,8.38,8.53,679,0,1
2010-08-26,8.49,8.58,8.42,8.42,675,0,1
2010-08-27,8.48,8.80,8.44,8.73,778,0,1
2010-08-30,8.53,8.91,8.45,8.45,477,0,1
2010-08-31,8.53,8.57,8.22,8.33,1398,0,1
2010-09-01,8.45,8.64,8.38,8.64,801,0,1
2010-09-02,8.56,8.63,8.48,8.48,549,0,1
2010-09-03,8.55,8.61,8.48,8.56,561,0,1
2010-09-06,8.53,8.71,8.48,8.71,62,0,1
2010-09-08,8.58,8.58,8.37,8.44,611,0,1
2010-09-09,8.47,8.55,8.41,8.45,709,0,1
2010-09-10,8.50,8.85,8.50,8.85,585,0,1
2010-09-13,8.85,8.96,8.81,8.87,482,0,1
2010-09-14,8.90,8.95,8.81,8.93,523,0,1
2010-09-15,8.93,9.05,8.83,9.05,637,0,1
2010-09-16,9.03,9.06,8.82,8.89,458,0,1
2010-09-17,8.87,8.94,8.67,8.78,801,0,1
2010-09-20,8.84,8.94,8.69,8.94,552,0,1
2010-09-21,8.94,8.94,8.63,8.63,631,0,1
2010-09-22,8.67,9.03,8.61,9.03,751,0,1
2010-09-23,8.97,9.05,8.85,8.94,930,0,1
2010-09-24,8.95,9.08,8.87,8.96,893,0,1
2010-09-27,9.01,9.15,8.92,9.15,424,0,1
