date,open,high,low,close,volume,dividend,split
2012-06-01,8.62,8.62,8.27,8.55,3623,0,1
2012-06-04,8.55,8.82,8.55,8.69,4,0,1
2012-06-05,8.91,8.91,8.89,8.89,1,0,1
2012-06-06,8.82,8.82,8.82,8.82,4,0,1
2012-06-08,8.89,9.03,8.89,8.89,1,0,1
2012-06-11,9.09,9.09,8.62,8.95,12,0,1
2012-06-12,9.03,9.03,8.89,8.96,3,0,1
2012-06-13,9.10,9.10,9.03,9.03,0,0,1
2012-06-14,8.95,9.10,8.95,9.10,0,0,1
2012-06-15,9.10,9.10,9.10,9.10,9,0,1
2012-06-18,9.10,9.11,9.10,9.11,0,0,1
2012-06-19,9.10,9.11,9.10,9.11,0,0,1
2012-06-20,9.10,9.10,9.10,9.10,0,0,1
2012-06-21,9.13,9.13,9.12,9.12,16,0,1
2012-06-22,9.12,9.13,8.27,8.27,12,0,1
2012-06-25,9.12,9.13,8.27,8.27,12,0,1
2012-06-26,9.00,9.24,8.87,9.20,14,0,1
2012-06-27,9.19,9.31,9.10,9.31,164,0,1
2012-06-28,9.19,9.31,9.10,9.31,164,0,1
2012-06-29,9.11,9.51,9.10,9.17,36,0,1
2012-07-02,9.17,9.17,9.17,9.17,105,0,1
2012-07-03,8.96,9.21,8.96,9.17,1,0,1
2012-07-04,9.03,9.17,8.98,9.10,128,0,1
2012-07-05,8.96,9.10,8.96,9.10,1,0,1
2012-07-06,8.96,9.10,8.96,9.10,1,0,1
2012-07-10,9.10,9.24,9.10,9.10,2,0,1
2012-07-11,8.96,9.10,8.96,9.10,80,0,1
2012-07-12,8.99,9.06,8.96,8.99,77,0,1
2012-07-13,9.10,9.10,9.10,9.10,36,0,1
2012-07-16,9.24,9.51,8.99,9.43,15,0,1
2012-07-17,9.38,9.38,9.18,9.31,24,0,1
2012-07-18,9.24,9.29,9.18,9.29,33,0,1
2012-07-19,9.24,9.24,9.24,9.24,29,0,1
2012-07-20,9.21,9.72,9.10,9.59,3776,0,1
2012-07-23,9.39,9.75,9.38,9.71,3426,0,1
2012-07-24,9.75,9.84,9.52,9.76,651,0,1
2012-07-25,9.72,9.79,9.62,9.79,349,0,1
2012-07-26,9.79,9.79,9.66,9.78,497,0,1
2012-07-27,9.75,9.81,9.67,9.75,775,0,1
2012-07-30,9.79,9.86,9.72,9.86,426,0,1
2012-07-31,9.86,10.02,9.77,9.79,891,0,1
2012-08-01,9.82,9.85,9.54,9.79,534,0,1
2012-08-02,9.65,9.79,9.63,9.65,606,0,1
2012-08-03,9.71,9.74,9.45,9.45,257,0,1
2012-08-06,9.51,9.72,9.45,9.72,432,0,1
2012-08-07,9.65,9.77,9.61,9.77,129,0,1
2012-08-08,9.75,9.78,9.60,9.60,601,0,1
2012-08-09,9.75,9.75,9.59,9.72,286,0,1
2012-08-10,9.66,9.78,9.64,9.78,529,0,1
2012-08-13,9.86,9.86,9.65,9.69,300,0,1
2012-08-14,9.67,9.79,9.65,9.73,348,0,1
2012-08-15,9.73,9.86,9.65,9.86,241,0,1
2012-08-16,9.85,10.02,9.76,9.89,445,0,1
2012-08-17,9.89,10.04,9.75,10.04,726,0,1
2012-08-20,10.00,10.04,9.79,10.04,802,0,1
2012-08-21,10.01,10.06,9.93,10.00,431,0,1
2012-08-22,10.01,10.07,9.98,10.07,258,0,1
2012-08-23,10.08,10.08,9.89,10.07,516,0,1
2012-08-24,10.07,10.13,9.94,10.13,573,0,1
2012-08-27,9.90,10.13,9.90,10.13,94,0,1
2012-08-28,10.13,10.20,10.11,10.13,972,0,1
2012-08-29,10.20,10.27,10.00,10.13,687,0,1
2012-08-30,10.07,10.27,10.02,10.13,1569,0,1
2012-08-31,10.08,10.27,10.04,10.13,785,0,1
2012-09-03,10.23,10.23,9.86,9.86,769,0,1
2012-09-04,9.86,9.88,9.65,9.79,326,0,1
2012-09-05,9.79,9.81,9.65,9.65,359,0,1
2012-09-06,9.65,9.76,9.65,9.71,433,0,1
2012-09-10,9.85,9.93,9.68,9.93,131,0,1
2012-09-11,9.91,9.91,9.62,9.67,766,0,1
2012-09-12,9.67,9.67,8.98,9.51,6528,0,1
2012-09-13,9.45,9.65,9.42,9.62,804,0,1
2012-09-14,9.68,9.81,9.60,9.68,814,0,1
2012-09-17,9.79,9.89,9.78,9.85,302,0,1
2012-09-18,9.85,9.88,9.73,9.82,156,0,1
2012-09-19,9.85,9.85,9.80,9.83,428,0,1
2012-09-20,9.80,9.86,9.70,9.79,67,0,1
2012-09-21,9.93,9.93,9.51,9.58,192,0,1
2012-09-24,9.62,9.79,9.62,9.79,95,0,1
2012-09-25,9.68,9.75,9.67,9.72,78,0,1
