date,open,high,low,close,volume,dividend,split
2010-01-20,5.68,5.71,5.48,5.62,656,0,1
2010-01-21,5.58,5.66,5.34,5.50,659,0,1
2010-01-22,5.50,5.75,5.36,5.74,500,0,1
2010-01-26,5.68,5.68,5.49,5.56,276,0,1
2010-01-27,5.56,5.70,5.44,5.60,237,0,1
2010-01-28,5.58,5.75,5.47,5.66,661,0,1
2010-01-29,5.71,5.79,5.51,5.58,497,0,1
2010-02-01,5.58,5.69,5.54,5.60,166,0,1
2010-02-02,5.82,5.98,5.74,5.90,1086,0,1
2010-02-03,5.88,5.98,5.74,5.82,472,0,1
2010-02-04,5.81,5.82,5.45,5.52,234,0,1
2010-02-05,5.52,5.66,4.94,5.31,388,0,1
2010-02-08,5.31,5.52,5.23,5.43,398,0,1
2010-02-09,5.52,5.82,5.52,5.68,482,0,1
2010-02-10,5.94,5.94,5.59,5.74,245,0,1
2010-02-11,5.79,6.03,5.65,5.94,1330,0,1
2010-02-12,5.89,6.07,5.82,6.05,763,0,1
2010-02-17,6.09,6.22,6.02,6.15,493,0,1
2010-02-18,6.15,6.15,5.98,6.06,827,0,1
2010-02-19,6.06,6.18,5.93,6.07,407,0,1
2010-02-22,6.13,6.13,5.88,5.98,245,0,1
2010-02-23,5.91,5.98,5.64,5.66,440,0,1
2010-02-24,5.82,5.94,5.74,5.89,629,0,1
2010-02-25,5.75,5.88,5.73,5.82,185,0,1
2010-02-26,5.75,5.88,5.67,5.86,159,0,1
2010-03-01,5.93,5.94,5.76,5.77,116,0,1
2010-03-02,5.83,5.90,5.76,5.78,126,0,1
2010-03-03,5.83,5.87,5.68,5.74,389,0,1
2010-03-04,5.82,5.82,5.66,5.78,104,0,1
2010-03-05,5.85,5.98,5.79,5.94,732,0,1
2010-03-08,5.98,5.98,5.75,5.91,520,0,1
2010-03-09,5.86,6.26,5.82,6.22,1328,0,1
2010-03-10,6.18,6.26,6.03,6.21,506,0,1
2010-03-11,6.08,6.28,6.08,6.21,178,0,1
2010-03-12,6.25,6.25,6.00,6.14,322,0,1
2010-03-15,6.03,6.15,5.92,6.01,206,0,1
2010-03-16,5.96,6.14,5.96,6.11,181,0,1
2010-03-17,6.15,6.17,5.98,6.03,156,0,1
2010-03-18,6.08,6.08,5.83,5.86,192,0,1
2010-03-19,5.86,5.87,5.57,5.59,967,0,1
2010-03-22,5.60,5.65,5.47,5.58,465,0,1
2010-03-23,5.60,5.63,5.50,5.62,670,0,1
2010-03-24,5.62,5.68,5.51,5.53,873,0,1
2010-03-25,5.62,5.69,5.44,5.48,234,0,1
2010-03-26,5.53,5.56,5.42,5.51,222,0,1
2010-03-29,5.55,5.61,5.47,5.50,397,0,1
2010-03-30,5.56,5.60,5.50,5.58,186,0,1
2010-03-31,5.60,5.60,5.52,5.58,205,0,1
2010-04-01,5.59,5.89,5.56,5.62,427,0,1
