date,open,high,low,close,volume,dividend,split
2010-12-21,5.39,5.45,5.33,5.36,285,0,1
2010-12-22,5.42,5.48,5.37,5.46,690,0,1
2010-12-23,5.39,5.47,5.39,5.46,605,0,1
2010-12-27,5.44,5.45,5.40,5.41,465,0,1
2010-12-28,5.43,5.43,5.36,5.42,463,0,1
2010-12-29,5.42,5.43,5.32,5.36,620,0,1
2010-12-30,5.36,5.40,5.28,5.28,1727,0,1
2011-01-03,5.36,5.40,5.27,5.32,803,0,1
2011-01-04,5.33,5.37,5.25,5.30,792,0,1
2011-01-05,5.29,5.38,5.25,5.36,886,0,1
2011-01-06,5.33,5.38,5.30,5.36,554,0,1
2011-01-07,5.37,5.39,5.32,5.33,177,0,1
2011-01-10,5.29,5.46,5.29,5.46,653,0,1
2011-01-11,5.47,5.70,5.39,5.70,906,0,1
2011-01-12,5.70,5.71,5.57,5.70,335,0,1
2011-01-13,5.70,5.73,5.58,5.62,409,0,1
2011-01-14,5.61,5.91,5.58,5.84,393,0,1
2011-01-17,5.75,5.83,5.61,5.69,161,0,1
2011-01-18,5.62,5.97,5.56,5.80,360,0,1
2011-01-19,5.80,5.83,5.62,5.68,153,0,1
2011-01-20,5.69,5.84,5.64,5.82,306,0,1
2011-01-21,5.81,5.88,5.69,5.76,186,0,1
2011-01-24,5.77,5.99,5.72,5.99,580,0,1
2011-01-26,5.98,5.99,5.73,5.93,1069,0,1
2011-01-27,5.98,6.00,5.79,5.96,350,0,1
2011-01-28,5.91,5.94,5.77,5.81,606,0,1
2011-01-31,5.81,5.91,5.78,5.80,272,0,1
2011-02-01,5.81,5.84,5.72,5.79,165,0,1
2011-02-02,5.70,5.83,5.63,5.77,763,0,1
2011-02-03,5.72,5.80,5.67,5.76,654,0,1
2011-02-04,5.75,5.75,5.54,5.58,399,0,1
2011-02-07,5.58,5.73,5.56,5.73,521,0,1
2011-02-08,5.73,5.77,5.69,5.71,554,0,1
2011-02-09,5.68,5.73,5.54,5.54,482,0,1
2011-02-10,5.54,5.65,5.46,5.58,746,0,1
2011-02-11,5.58,5.66,5.52,5.66,345,0,1
2011-02-14,5.65,5.65,5.53,5.60,268,0,1
2011-02-15,5.55,5.65,5.55,5.63,506,0,1
2011-02-16,5.67,5.96,5.58,5.89,955,0,1
2011-02-17,5.84,5.85,5.67,5.70,812,0,1
2011-02-18,5.75,5.77,5.66,5.72,379,0,1
2011-02-21,5.64,5.73,5.63,5.70,304,0,1
