date,open,high,low,close,volume,dividend,split
2010-12-22,9.38,9.38,8.99,9.07,3367,0,1
2010-12-23,9.07,9.40,9.02,9.40,574,0,1
2010-12-27,9.30,9.30,9.23,9.26,118,0,1
2010-12-28,9.33,9.33,9.07,9.21,325,0,1
2010-12-29,9.33,9.42,9.19,9.20,186,0,1
2010-12-30,9.35,9.51,9.25,9.29,909,0,1
2011-01-03,9.07,9.62,9.07,9.57,571,0,1
2011-01-04,9.62,9.62,9.44,9.46,664,0,1
2011-01-05,9.51,9.53,9.33,9.35,474,0,1
2011-01-06,9.40,9.41,9.27,9.32,702,0,1
2011-01-07,9.35,9.41,9.20,9.27,1407,0,1
2011-01-10,9.37,9.61,9.33,9.56,1245,0,1
2011-01-11,9.56,9.62,9.46,9.50,886,0,1
2011-01-12,9.55,9.70,9.51,9.64,2491,0,1
2011-01-13,9.57,9.68,9.57,9.62,834,0,1
2011-01-14,9.57,9.68,9.49,9.49,625,0,1
2011-01-17,9.53,9.62,9.49,9.51,274,0,1
2011-01-18,9.51,9.87,9.51,9.87,858,0,1
2011-01-19,9.88,9.90,9.72,9.82,595,0,1
2011-01-20,9.87,9.89,9.40,9.40,1453,0,1
2011-01-21,9.50,9.57,9.24,9.24,547,0,1
2011-01-24,9.24,9.43,9.24,9.40,759,0,1
2011-01-26,9.46,9.57,9.42,9.50,1809,0,1
2011-01-27,9.50,9.51,9.24,9.24,577,0,1
2011-01-28,9.21,9.24,8.54,8.67,1980,0,1
2011-01-31,8.77,8.92,8.67,8.91,2092,0,1
2011-02-01,8.84,9.36,8.76,9.18,700,0,1
2011-02-02,9.26,9.47,9.00,9.00,1038,0,1
2011-02-03,8.93,9.17,8.84,8.88,1176,0,1
2011-02-04,8.87,8.99,8.69,8.69,1456,0,1
2011-02-07,8.64,8.72,8.57,8.57,280,0,1
2011-02-08,8.78,8.78,8.50,8.55,1909,0,1
2011-02-09,8.63,8.91,8.26,8.47,1228,0,1
2011-02-10,8.54,8.54,8.03,8.03,1899,0,1
2011-02-11,8.08,8.41,7.82,8.39,3183,0,1
