date,open,high,low,close,volume,dividend,split
2010-03-01,7.88,7.88,7.74,7.82,1952,0,1
2010-03-02,7.81,8.05,7.81,7.99,3225,0,1
2010-03-03,8.03,8.15,7.99,8.08,1472,0,1
2010-03-04,8.14,8.20,8.02,8.08,1399,0,1
2010-03-05,8.10,8.18,8.06,8.18,1490,0,1
2010-03-08,8.19,8.31,8.11,8.29,2537,0,1
2010-03-09,8.25,8.58,8.21,8.54,4056,0,1
2010-03-10,8.58,8.59,8.50,8.59,2125,0,1
2010-03-11,8.58,8.58,8.35,8.49,1840,0,1
2010-03-12,8.49,8.49,8.14,8.29,2329,0,1
2010-03-15,8.18,8.23,8.06,8.23,2157,0,1
2010-03-16,8.23,8.34,8.11,8.34,2087,0,1
2010-03-17,8.35,8.48,8.30,8.40,2116,0,1
2010-03-18,8.40,8.47,8.32,8.47,2771,0,1
2010-03-19,8.47,8.50,8.17,8.26,2284,0,1
2010-03-22,8.19,8.39,8.11,8.35,1195,0,1
2010-03-23,8.38,8.45,8.23,8.39,1896,0,1
2010-03-24,8.28,8.30,8.16,8.23,1887,0,1
2010-03-25,8.28,8.31,8.17,8.30,2565,0,1
2010-03-26,8.30,8.53,8.20,8.32,1512,0,1
2010-03-29,8.39,8.43,8.29,8.43,1632,0,1
2010-03-30,8.40,8.44,8.31,8.44,1014,0,1
2010-03-31,8.44,8.44,8.32,8.40,2282,0,1
2010-04-01,8.45,8.53,8.39,8.40,4164,0,1
2010-04-05,8.40,8.49,8.15,8.29,2584,0,1
2010-04-06,8.22,8.43,8.16,8.43,3433,0,1
2010-04-07,8.37,8.49,8.34,8.35,3032,0,1
2010-04-08,8.41,8.52,8.36,8.50,3828,0,1
2010-04-09,8.46,8.54,8.34,8.38,2610,0,1
2010-04-12,8.36,8.36,8.22,8.22,1599,0,1
2010-04-13,8.22,8.25,8.00,8.08,3055,0,1
2010-04-14,8.10,8.11,7.94,7.99,3653,0,1
2010-04-15,7.99,8.01,7.86,7.98,2178,0,1
2010-04-16,7.91,7.96,7.84,7.96,2299,0,1
2010-04-19,7.96,7.99,7.83,7.95,1491,0,1
2010-04-20,7.95,8.06,7.95,8.06,1954,0,1
2010-04-22,8.02,8.29,7.92,8.29,3151,0,1
2010-04-23,8.29,8.33,8.18,8.27,3918,0,1
2010-04-26,8.21,8.29,8.19,8.28,1407,0,1
2010-04-27,8.27,8.27,7.96,7.99,2768,0,1
2010-04-28,8.12,8.12,7.88,8.05,2584,0,1
2010-04-29,8.02,8.10,7.94,8.05,2900,0,1
2010-04-30,8.01,8.11,7.95,8.05,5376,0,1
2010-05-03,8.05,8.09,7.97,8.03,3965,0,1
2010-05-04,7.95,8.05,7.80,7.95,5408,0,1
2010-05-05,7.89,8.09,7.87,8.02,2792,0,1
2010-05-06,8.01,8.01,7.67,7.98,5613,0,1
2010-05-07,7.91,8.00,7.75,7.89,3528,0,1
2010-05-10,8.01,8.19,7.96,8.11,4544,0,1
2010-05-11,8.06,8.21,7.99,8.14,2837,0,1
2010-05-12,8.10,8.26,8.01,8.23,2400,0,1
2010-05-13,8.17,8.17,8.02,8.10,2999,0,1
2010-05-14,8.02,8.21,7.92,8.21,3234,0,1
2010-05-17,8.11,8.21,7.94,8.21,2817,0,1
2010-05-18,8.14,8.21,8.06,8.17,5286,0,1
2010-05-19,8.17,8.23,7.99,8.06,4461,0,1
2010-05-20,7.98,7.99,7.66,7.66,6578,0,1
2010-05-21,7.66,7.94,7.66,7.90,3353,0,1
2010-05-24,7.84,8.01,7.84,7.99,1744,0,1
2010-05-25,7.76,8.19,7.71,7.98,3789,0,1
2010-05-26,7.94,8.07,7.82,7.93,3770,0,1
2010-05-27,7.93,8.06,7.93,8.04,2164,0,1
2010-05-28,8.05,8.05,7.91,8.02,2779,0,1
2010-05-31,8.05,8.11,7.83,8.03,1997,0,1
2010-06-01,7.85,8.12,7.85,8.01,2562,0,1
2010-06-02,8.05,8.19,8.00,8.18,2325,0,1
2010-06-04,7.96,8.15,7.96,8.15,2933,0,1
2010-06-07,8.15,8.16,8.04,8.09,1507,0,1
2010-06-08,8.09,8.13,8.00,8.06,1681,0,1
2010-06-09,8.10,8.20,8.10,8.14,2933,0,1
2010-06-10,8.14,8.23,8.11,8.23,2735,0,1
2010-06-11,8.13,8.30,8.10,8.25,1180,0,1
2010-06-14,8.25,8.35,8.16,8.34,1997,0,1
2010-06-15,8.29,8.35,8.21,8.35,1637,0,1
2010-06-16,8.25,8.34,8.19,8.27,2816,0,1
2010-06-17,8.25,8.30,8.15,8.17,2991,0,1
2010-06-18,8.17,8.29,8.11,8.21,1761,0,1
2010-06-21,8.25,8.33,8.21,8.31,1698,0,1
2010-06-22,8.29,8.41,8.19,8.36,1724,0,1
2010-06-23,8.39,8.44,8.33,8.44,1928,0,1
2010-06-24,8.28,8.56,8.26,8.50,3754,0,1
2010-06-25,8.43,8.63,8.42,8.60,2033,0,1
2010-06-28,8.53,8.71,8.53,8.68,1356,0,1
2010-06-29,8.53,8.59,8.44,8.52,5416,0,1
2010-06-30,8.45,8.58,8.35,8.48,4577,0,1
2010-07-01,8.42,8.55,8.30,8.45,3988,0,1
2010-07-02,8.42,8.61,8.38,8.54,1880,0,1
2010-07-05,8.67,8.68,8.45,8.60,1156,0,1
2010-07-06,8.63,8.79,8.48,8.57,2112,0,1
2010-07-07,8.62,8.64,8.45,8.59,2028,0,1
2010-07-08,8.59,8.59,8.49,8.59,1638,0,1
2010-07-12,8.54,8.74,8.35,8.64,1576,0,1
2010-07-13,8.64,8.72,8.56,8.70,3036,0,1
2010-07-14,8.63,8.63,8.55,8.62,2262,0,1
2010-07-15,8.60,8.67,8.54,8.63,1733,0,1
2010-07-16,8.58,8.64,8.53,8.58,2908,0,1
2010-07-19,8.58,8.62,8.54,8.57,1912,0,1
2010-07-20,8.48,8.64,8.48,8.64,3500,0,1
2010-07-21,8.61,8.72,8.54,8.54,1261,0,1
2010-07-22,8.58,8.74,8.52,8.52,2252,0,1
2010-07-23,8.52,8.57,8.39,8.44,2773,0,1
2010-07-26,8.44,8.65,8.40,8.65,1124,0,1
2010-07-27,8.66,8.73,8.57,8.73,2688,0,1
2010-07-28,8.68,8.69,8.57,8.69,4724,0,1
2010-07-29,8.73,8.75,8.62,8.71,1020,0,1
2010-07-30,8.64,8.87,8.63,8.85,2200,0,1
2010-08-02,8.94,9.13,8.92,9.04,1733,0,1
