date,open,high,low,close,volume,dividend,split
2010-04-29,26.21,26.54,25.99,26.45,5199,0,1
2010-04-30,26.30,26.37,25.52,25.58,7462,0,1
2010-05-03,25.48,25.85,25.05,25.13,3602,0,1
2010-05-04,24.71,25.01,24.23,24.43,7265,0,1
2010-05-05,24.09,24.77,23.89,24.17,5156,0,1
2010-05-06,24.16,24.77,22.56,23.45,8627,0,1
2010-05-07,23.57,23.79,22.57,22.93,8334,0,1
2010-05-10,24.16,24.33,23.84,24.25,4506,0,1
2010-05-11,24.09,24.80,23.81,24.02,4840,0,1
2010-05-12,24.30,24.34,23.98,24.17,3905,0,1
2010-05-13,24.30,24.30,23.30,23.38,4445,0,1
2010-05-14,23.16,23.24,22.70,22.86,3486,0,1
2010-05-17,22.86,22.86,21.67,21.95,6675,0,1
2010-05-18,22.19,22.34,20.98,21.03,7657,0,1
2010-05-19,20.90,21.10,20.40,20.51,6363,0,1
2010-05-20,20.15,20.15,19.42,19.67,7107,0,1
2010-05-21,19.60,20.80,19.45,20.69,6043,0,1
2010-05-24,20.69,21.15,20.48,20.61,5243,0,1
2010-05-25,20.00,20.00,19.74,19.91,7226,0,1
2010-05-26,20.26,20.28,19.66,20.06,11681,0,1
2010-05-27,20.47,20.98,20.33,20.87,7357,0,1
2010-05-28,20.70,20.92,20.37,20.65,6837,0,1
2010-05-31,20.81,20.95,20.38,20.92,3233,0,1
2010-06-01,20.47,21.24,20.38,20.56,4619,0,1
2010-06-02,20.63,20.97,20.52,20.85,4548,0,1
2010-06-04,20.47,20.47,19.81,20.01,6919,0,1
2010-06-07,20.03,20.08,19.08,19.10,7011,0,1
2010-06-08,19.28,19.57,18.92,19.47,5787,0,1
2010-06-09,19.72,20.07,19.55,19.55,5794,0,1
2010-06-10,19.87,20.81,19.78,20.69,8513,0,1
2010-06-11,20.43,21.15,20.43,20.97,5494,0,1
2010-06-14,21.25,21.58,21.11,21.20,7358,0,1
2010-06-15,21.30,21.70,21.29,21.54,4652,0,1
2010-06-16,21.40,21.64,21.35,21.47,6625,0,1
2010-06-17,21.56,21.83,20.99,21.30,7653,0,1
2010-06-18,21.25,21.76,21.18,21.26,4931,0,1
2010-06-21,21.70,21.83,21.46,21.46,3390,0,1
2010-06-22,21.56,22.20,21.52,21.65,5461,0,1
2010-06-23,21.84,22.54,21.65,22.48,9080,0,1
2010-06-24,22.34,23.13,22.23,22.91,10159,0,1
2010-06-25,22.83,23.50,22.57,23.27,5884,0,1
2010-06-28,23.34,23.73,23.34,23.50,4626,0,1
2010-06-29,22.93,23.01,22.43,22.65,15680,0,1
2010-06-30,23.22,23.54,21.93,21.93,17698,0,1
2010-07-01,22.06,22.49,21.47,22.49,11606,0,1
2010-07-02,22.49,22.93,22.36,22.71,5302,0,1
2010-07-05,22.71,22.95,22.55,22.68,4069,0,1
2010-07-06,23.14,23.43,22.88,23.29,7864,0,1
2010-07-07,23.38,23.83,23.00,23.79,7549,0,1
2010-07-08,23.93,24.25,23.83,24.12,6960,0,1
2010-07-12,24.11,24.35,23.53,23.71,6225,0,1
2010-07-13,23.96,24.02,22.89,22.97,10442,0,1
2010-07-14,22.75,22.75,22.13,22.27,10724,0,1
2010-07-15,22.24,22.24,21.80,22.02,6255,0,1
2010-07-16,22.06,22.07,21.47,21.56,5041,0,1
2010-07-19,21.56,22.27,21.56,22.20,4052,0,1
2010-07-20,22.06,23.15,21.95,23.01,7723,0,1
2010-07-21,23.41,23.84,23.41,23.62,8642,0,1
2010-07-22,23.87,24.24,23.87,23.93,5598,0,1
2010-07-23,23.93,24.54,23.63,24.27,4072,0,1
2010-07-26,24.28,24.50,24.11,24.28,2995,0,1
2010-07-27,24.44,24.61,24.25,24.52,6519,0,1
2010-07-28,24.38,24.52,24.00,24.15,3553,0,1
2010-07-29,24.37,24.82,23.43,23.66,9318,0,1
2010-07-30,23.02,23.17,22.49,22.55,16690,0,1
2010-08-02,22.91,23.01,22.67,22.75,7314,0,1
2010-08-03,22.65,23.32,22.57,22.89,6880,0,1
2010-08-04,23.02,23.73,22.94,23.63,6961,0,1
2010-08-05,23.61,23.79,22.96,23.39,5282,0,1
2010-08-06,23.08,23.29,22.72,23.02,4666,0,1
2010-08-09,23.26,23.32,22.80,22.85,2771,0,1
2010-08-10,22.56,22.75,22.39,22.56,5039,0,1
2010-08-11,22.22,22.27,21.74,21.95,5897,0,1
2010-08-12,21.66,22.34,21.66,22.34,5671,0,1
2010-08-13,22.42,22.50,21.86,21.86,7243,0,1
2010-08-16,21.97,22.02,21.71,21.79,5514,0,1
2010-08-17,22.02,22.32,21.91,22.01,5285,0,1
2010-08-18,22.11,22.19,21.54,21.82,8564,0,1
2010-08-19,21.74,22.03,21.41,21.45,6456,0,1
2010-08-20,21.38,21.38,21.01,21.06,6077,0,1
2010-08-23,21.26,21.42,21.06,21.15,3868,0,1
2010-08-24,20.89,21.31,20.62,21.15,7051,0,1
2010-08-25,20.99,21.36,20.69,20.69,8337,0,1
2010-08-26,20.78,20.80,19.98,20.02,10027,0,1
2010-08-27,20.21,20.53,19.88,20.53,6151,0,1
2010-08-30,20.49,20.49,20.02,20.06,3670,0,1
2010-08-31,20.05,20.35,19.84,20.07,4676,0,1
2010-09-01,20.27,20.85,20.26,20.67,6156,0,1
2010-09-02,20.65,20.76,20.22,20.44,5920,0,1
2010-09-03,20.83,20.87,20.08,20.28,6503,0,1
2010-09-06,20.40,20.45,20.19,20.33,1327,0,1
2010-09-08,20.20,20.77,20.20,20.58,7971,0,1
2010-09-09,20.79,20.82,20.51,20.63,3714,0,1
2010-09-10,20.65,20.69,20.30,20.34,3565,0,1
2010-09-13,20.60,20.69,20.52,20.52,5712,0,1
2010-09-14,20.42,20.48,20.07,20.15,9671,0,1
2010-09-15,19.99,20.13,19.91,19.99,6882,0,1
2010-09-16,20.01,20.33,19.89,20.22,10039,0,1
2010-09-17,20.27,20.39,19.92,19.92,5394,0,1
2010-09-20,19.99,20.36,19.97,20.33,5252,0,1
2010-09-21,20.28,20.73,20.17,20.67,7184,0,1
2010-09-22,20.60,20.90,20.51,20.69,7323,0,1
2010-09-23,20.56,20.92,20.43,20.58,7726,0,1
2010-09-24,20.74,20.88,20.20,20.22,9250,0,1
2010-09-27,20.42,20.59,20.02,20.51,3756,0,1
2010-09-28,20.83,21.20,20.71,21.06,5577,0,1
2010-09-29,21.09,21.36,20.56,20.56,5958,0,1
2010-09-30,20.84,20.92,20.52,20.69,4983,0,1
2010-10-01,20.97,21.05,20.27,20.59,6724,0,1
2010-10-04,20.65,20.65,20.32,20.42,4896,0,1
2010-10-05,20.68,20.82,20.48,20.60,4508,0,1
2010-10-06,20.58,20.67,19.97,20.15,4968,0,1
2010-10-07,20.24,20.29,19.44,19.63,6861,0,1
2010-10-08,19.72,19.92,19.39,19.66,6069,0,1
2010-10-11,19.71,19.76,19.41,19.50,3461,0,1
2010-10-13,19.64,19.71,19.20,19.30,7694,0,1
