date,open,high,low,close,volume,dividend,split
2012-05-02,5.00,5.00,5.00,5.00,8,0,1
2012-05-03,4.78,4.78,4.78,4.78,10,0,1
2012-05-04,4.78,4.78,4.78,4.78,10,0,1
2012-05-07,4.78,4.78,4.78,4.78,10,0,1
2012-05-08,4.55,4.55,4.55,4.55,106,0,1
2012-05-09,4.55,4.55,4.55,4.55,106,0,1
2012-05-10,4.55,4.55,4.55,4.55,12,0,1
2012-05-11,4.55,4.55,4.55,4.55,12,0,1
2012-05-14,4.55,4.55,4.55,4.55,12,0,1
2012-05-15,4.55,4.55,4.55,4.55,6,0,1
2012-05-16,4.55,4.55,4.55,4.55,0,0,1
2012-05-17,4.55,4.55,4.55,4.55,149,0,1
2012-05-18,4.55,4.55,4.55,4.55,3,0,1
2012-05-21,4.62,4.62,4.37,4.37,220,0,1
2012-05-22,4.62,4.62,4.37,4.37,220,0,1
2012-05-23,4.62,4.62,4.37,4.37,220,0,1
2012-05-24,4.33,4.33,4.32,4.32,3,0,1
2012-05-25,4.33,4.33,4.32,4.32,3,0,1
2012-05-28,4.33,4.33,4.32,4.32,3,0,1
2012-05-29,4.33,4.33,4.32,4.32,3,0,1
2012-05-30,4.32,4.32,4.32,4.32,57,0,1
2012-05-31,4.32,4.32,4.32,4.32,57,0,1
2012-06-01,4.32,4.32,4.32,4.32,57,0,1
2012-06-04,4.32,4.32,4.32,4.32,158,0,1
2012-06-05,4.32,4.32,4.32,4.32,158,0,1
2012-06-06,4.32,4.32,4.32,4.32,158,0,1
2012-06-08,4.32,4.32,4.32,4.32,1,0,1
2012-06-11,4.11,4.11,4.11,4.11,0,0,1
2012-06-12,4.11,4.11,4.11,4.11,0,0,1
2012-06-13,4.11,4.11,4.11,4.11,0,0,1
2012-06-14,4.11,4.11,4.11,4.11,0,0,1
2012-06-15,4.11,4.11,4.11,4.11,0,0,1
2012-06-18,4.09,4.09,4.09,4.09,0,0,1
2012-06-19,4.13,4.13,4.13,4.13,2,0,1
2012-06-20,4.13,4.13,4.13,4.13,2,0,1
2012-06-21,4.13,4.13,4.13,4.13,2,0,1
2012-06-22,4.13,4.13,4.13,4.13,2,0,1
2012-06-25,4.13,4.13,4.13,4.13,2,0,1
