date,open,high,low,close,volume,dividend,split
2010-12-21,5.43,5.54,5.38,5.38,2582,0,1
2010-12-22,5.41,5.44,5.24,5.24,1532,0,1
2010-12-23,5.25,5.26,5.17,5.21,352,0,1
2010-12-27,5.19,5.35,5.13,5.13,447,0,1
2010-12-28,5.14,5.23,5.12,5.13,286,0,1
2010-12-29,5.17,5.28,5.15,5.16,312,0,1
2010-12-30,5.19,5.32,5.14,5.16,620,0,1
2011-01-03,5.20,5.31,5.17,5.20,881,0,1
2011-01-04,5.25,5.26,5.09,5.11,1007,0,1
2011-01-05,5.11,5.17,5.04,5.04,1191,0,1
2011-01-06,5.08,5.09,4.96,4.99,1105,0,1
2011-01-07,5.06,5.06,4.98,4.99,1154,0,1
2011-01-10,5.01,5.05,4.98,4.99,371,0,1
2011-01-11,4.98,5.09,4.98,5.07,853,0,1
2011-01-12,5.06,5.15,5.04,5.13,811,0,1
2011-01-13,5.13,5.15,5.05,5.07,1132,0,1
2011-01-14,5.03,5.07,5.02,5.06,1038,0,1
2011-01-17,5.04,5.07,5.03,5.05,304,0,1
2011-01-18,5.07,5.08,4.97,5.02,1019,0,1
2011-01-19,5.03,5.06,4.98,5.03,849,0,1
2011-01-20,5.04,5.09,5.00,5.00,673,0,1
2011-01-21,5.06,5.06,4.93,4.94,2476,0,1
2011-01-24,4.95,4.98,4.87,4.87,1549,0,1
2011-01-26,4.90,4.97,4.81,4.81,1194,0,1
2011-01-27,4.83,4.92,4.74,4.79,2570,0,1
2011-01-28,4.83,4.83,4.62,4.67,1181,0,1
2011-01-31,4.69,4.73,4.63,4.70,800,0,1
2011-02-01,4.71,4.73,4.67,4.68,906,0,1
2011-02-02,4.74,4.75,4.61,4.66,360,0,1
2011-02-03,4.66,4.72,4.53,4.55,830,0,1
2011-02-04,4.55,4.56,4.45,4.51,1199,0,1
2011-02-07,4.59,4.59,4.36,4.38,683,0,1
2011-02-08,4.37,4.44,4.33,4.35,2317,0,1
2011-02-09,4.34,4.51,4.34,4.49,3977,0,1
2011-02-10,4.40,4.83,4.40,4.73,2699,0,1
2011-02-11,4.66,4.73,4.65,4.68,5320,0,1
2011-02-14,4.66,4.73,4.61,4.67,1519,0,1
2011-02-15,4.67,4.69,4.63,4.68,400,0,1
2011-02-16,4.68,4.82,4.68,4.73,777,0,1
2011-02-17,4.70,5.03,4.70,4.94,3752,0,1
2011-02-18,4.92,5.06,4.86,4.99,550,0,1
2011-02-21,4.99,4.99,4.83,4.87,411,0,1
2011-02-22,4.85,4.93,4.76,4.93,929,0,1
2011-02-23,4.97,4.98,4.85,4.90,795,0,1
2011-02-24,4.90,4.95,4.73,4.76,1153,0,1
2011-02-25,4.80,4.80,4.69,4.74,1417,0,1
