date,open,high,low,close,volume,dividend,split
2015-12-16,62117.00,63278.00,61100.00,63237.00,404,0,1
2015-12-17,63237.00,64289.00,62083.00,62192.00,387,0,1
2015-12-18,61366.00,61742.00,60526.00,60710.00,379,0,1
2015-12-21,60874.00,61332.00,59522.00,59713.00,348,0,1
2015-12-22,60075.00,60464.00,59747.00,60362.00,253,0,1
2015-12-23,60574.00,61325.00,60471.00,60977.00,276,0,1
2015-12-28,60710.00,60936.00,60471.00,60505.00,169,0,1
2015-12-29,60813.00,60977.00,60089.00,60383.00,162,0,1
2015-12-30,60369.00,60437.00,59720.00,59986.00,184,0,1
2016-01-04,58225.00,59126.00,58047.00,58047.00,273,0,1
2016-01-05,58170.00,58716.00,58102.00,58641.00,268,0,1
2016-01-06,57863.00,58211.00,57378.00,57521.00,318,0,1
2016-01-07,56408.00,56879.00,56073.00,56196.00,332,0,1
2016-01-08,56749.00,56852.00,55725.00,55725.00,334,0,1
2016-01-11,55821.00,56531.00,54981.00,54981.00,346,0,1
2016-01-12,55438.00,55630.00,54346.00,54557.00,387,0,1
2016-01-13,55042.00,55261.00,53458.00,53560.00,352,0,1
2016-01-14,53642.00,54632.00,52939.00,54380.00,458,0,1
2016-01-15,53314.00,53506.00,52270.00,53212.00,430,0,1
2016-01-18,53376.00,53499.00,52365.00,52365.00,226,0,1
2016-01-19,53178.00,53608.00,52126.00,52393.00,448,0,1
2016-01-20,51614.00,51894.00,50897.00,51894.00,513,0,1
2016-01-21,51559.00,52338.00,51300.00,51955.00,506,0,1
2016-01-22,52454.00,52823.00,52126.00,52229.00,383,0,1
2016-01-26,51423.00,51662.00,50911.00,51368.00,376,0,1
2016-01-27,51204.00,53260.00,51109.00,52679.00,523,0,1
2016-01-28,52857.00,53738.00,52017.00,52980.00,565,0,1
2016-01-29,53267.00,55452.00,53157.00,55404.00,513,0,1
2016-02-01,54974.00,55698.00,54434.00,55636.00,441,0,1
2016-02-02,54974.00,55015.00,52604.00,52638.00,541,0,1
2016-02-03,52884.00,54482.00,52693.00,54168.00,610,0,1
2016-02-04,54496.00,56797.00,54421.00,55985.00,747,0,1
2016-02-05,56319.00,56524.00,55425.00,55425.00,510,0,1
2016-02-10,54714.00,55363.00,54632.00,55179.00,274,0,1
2016-02-11,54032.00,54489.00,53219.00,53724.00,495,0,1
2016-02-12,54189.00,54605.00,53868.00,54605.00,448,0,1
2016-02-15,55452.00,55677.00,54660.00,54851.00,211,0,1
2016-02-16,55111.00,56394.00,54626.00,56026.00,489,0,1
2016-02-17,56066.00,57936.00,56066.00,56638.00,515,0,1
2016-02-18,56369.00,56961.00,56207.00,56557.00,443,0,1
2016-02-19,56436.00,57216.00,55952.00,56597.00,438,0,1
2016-02-22,57996.00,59261.00,57586.00,59133.00,454,0,1
2016-02-23,59059.00,59550.00,57808.00,57929.00,459,0,1
2016-02-24,57041.00,57579.00,56200.00,57445.00,453,0,1
2016-02-25,57310.00,57775.00,56503.00,57162.00,458,0,1
2016-02-26,57788.00,58111.00,56389.00,56544.00,441,0,1
2016-02-29,56779.00,58710.00,56698.00,58198.00,527,0,1
2016-03-01,58898.00,60243.00,58710.00,60243.00,569,0,1
2016-03-02,60203.00,61245.00,59638.00,61010.00,653,0,1
2016-03-03,61420.00,64562.00,61360.00,64266.00,807,0,1
2016-03-04,68194.00,68194.00,65719.00,66862.00,806,0,1
2016-03-07,66459.00,67891.00,66210.00,66983.00,700,0,1
2016-03-08,66324.00,67932.00,66095.00,66943.00,610,0,1
2016-03-09,67104.00,68033.00,66021.00,66290.00,565,0,1
2016-03-10,67340.00,68019.00,65073.00,67400.00,714,0,1
2016-03-11,67763.00,68113.00,66714.00,67400.00,592,0,1
2016-03-14,67582.00,68571.00,65537.00,65651.00,610,0,1
2016-03-15,64400.00,65180.00,63297.00,64050.00,627,0,1
2016-03-16,63990.00,65423.00,62967.00,65328.00,620,0,1
2016-03-17,67938.00,69687.00,67017.00,69687.00,683,0,1
2016-03-18,69418.00,69849.00,68012.00,68651.00,457,0,1
2016-03-21,68880.00,69633.00,68719.00,69284.00,387,0,1
2016-03-22,68503.00,69418.00,68402.00,69418.00,374,0,1
2016-03-23,68981.00,68981.00,66701.00,66701.00,438,0,1
2016-03-24,66021.00,67373.00,65900.00,67333.00,351,0,1
2016-03-28,67844.00,69203.00,67804.00,69001.00,366,0,1
2016-03-29,69028.00,70037.00,68053.00,69190.00,484,0,1
2016-03-30,69896.00,70649.00,68719.00,69028.00,556,0,1
2016-03-31,68746.00,68799.00,66950.00,67683.00,479,0,1
2016-04-01,67192.00,68557.00,66492.00,68207.00,483,0,1
2016-04-04,67858.00,67911.00,65295.00,65295.00,439,0,1
2016-04-05,64918.00,66976.00,64750.00,65793.00,577,0,1
2016-04-06,65786.00,66055.00,64481.00,65053.00,479,0,1
2016-04-07,64622.00,65974.00,64615.00,65382.00,492,0,1
2016-04-08,66956.00,68046.00,66768.00,67952.00,375,0,1
2016-04-11,68073.00,68806.00,67340.00,67367.00,422,0,1
2016-04-12,68409.00,70528.00,68033.00,70326.00,529,0,1
2016-04-13,71283.00,72504.00,70643.00,70643.00,492,0,1
2016-04-14,70967.00,72313.00,70234.00,70887.00,585,0,1
2016-04-15,71613.00,71871.00,70775.00,71528.00,483,0,1
2016-04-18,72412.00,72570.00,70247.00,70887.00,442,0,1
2016-04-19,71792.00,72676.00,71250.00,72161.00,399,0,1
2016-04-20,71679.00,72333.00,71330.00,71963.00,351,0,1
2016-04-22,71151.00,71600.00,70313.00,71217.00,352,0,1
2016-04-25,70986.00,71059.00,69369.00,69528.00,344,0,1
2016-04-26,69963.00,71547.00,69534.00,71547.00,419,0,1
2016-04-27,71198.00,73488.00,71165.00,73488.00,424,0,1
2016-04-28,72669.00,73725.00,72359.00,73197.00,423,0,1
2016-04-29,73046.00,73336.00,71759.00,72009.00,475,0,1
2016-05-02,72339.00,72590.00,71316.00,71613.00,397,0,1
2016-05-03,70848.00,70901.00,69844.00,70056.00,376,0,1
2016-05-04,69462.00,70538.00,69145.00,70491.00,437,0,1
2016-05-05,70683.00,71006.00,68610.00,69376.00,517,0,1
2016-05-06,69171.00,69792.00,68333.00,69151.00,454,0,1
2016-05-09,69283.00,69402.00,66161.00,68181.00,564,0,1
2016-05-10,68749.00,71488.00,68736.00,71488.00,457,0,1
2016-05-11,71283.00,72260.00,70174.00,70174.00,593,0,1
2016-05-12,71046.00,71930.00,69917.00,70927.00,663,0,1
2016-05-13,70412.00,71092.00,68366.00,68485.00,594,0,1
2016-05-16,69033.00,69772.00,68293.00,69039.00,444,0,1
2016-05-17,69389.00,69726.00,67488.00,67851.00,504,0,1
2016-05-18,67455.00,68452.00,66815.00,67218.00,567,0,1
2016-05-19,66927.00,67020.00,65944.00,66716.00,528,0,1
2016-05-20,67059.00,67653.00,66003.00,66188.00,464,0,1
2016-05-23,65105.00,65970.00,64624.00,65198.00,489,0,1
2016-05-24,65633.00,66472.00,65290.00,65732.00,431,0,1
2016-05-25,66135.00,66954.00,65508.00,65818.00,483,0,1
2016-05-27,66003.00,66188.00,64861.00,65330.00,386,0,1
2016-05-30,65455.00,65508.00,64769.00,64881.00,236,0,1
2016-05-31,64993.00,65402.00,64043.00,64168.00,517,0,1
2016-06-01,64023.00,65112.00,63660.00,64815.00,480,0,1
2016-06-02,64742.00,66280.00,64597.00,66194.00,478,0,1
2016-06-03,66003.00,67185.00,66003.00,66954.00,488,0,1
2016-06-06,67356.00,67574.00,66280.00,66544.00,527,0,1
2016-06-07,66703.00,67039.00,65917.00,67020.00,553,0,1
2016-06-08,67132.00,68590.00,66993.00,68241.00,575,0,1
2016-06-09,67792.00,68168.00,67171.00,67521.00,521,0,1
2016-06-10,66742.00,66881.00,65033.00,65033.00,512,0,1
2016-06-13,64683.00,65779.00,64366.00,65581.00,575,0,1
2016-06-14,64947.00,65904.00,63620.00,64003.00,656,0,1
2016-06-15,64346.00,65185.00,63493.00,64281.00,588,0,1
2016-06-16,63829.00,65295.00,63338.00,65295.00,592,0,1
2016-06-17,65250.00,66187.00,65076.00,65321.00,527,0,1
2016-06-20,66581.00,66930.00,66167.00,66387.00,514,0,1
2016-06-21,66381.00,67040.00,65379.00,66994.00,557,0,1
2016-06-22,67292.00,67485.00,65793.00,65799.00,642,0,1
2016-06-23,66865.00,68564.00,66322.00,68564.00,607,0,1
2016-06-24,64733.00,66284.00,64494.00,65437.00,652,0,1
