date,open,high,low,close,volume,dividend,split
2010-04-27,4.94,5.19,4.94,5.19,26,0,1
2010-04-28,5.14,5.15,5.01,5.01,5,0,1
2010-04-29,5.16,5.16,4.86,5.01,118,0,1
2010-04-30,4.94,4.94,4.94,4.94,18,0,1
2010-05-03,4.94,4.99,4.69,4.69,47,0,1
2010-05-04,4.69,4.69,4.44,4.57,102,0,1
2010-05-05,4.57,4.69,4.54,4.69,323,0,1
2010-05-06,4.66,4.69,4.61,4.61,51,0,1
2010-05-07,4.61,4.68,4.57,4.57,39,0,1
2010-05-10,4.59,4.67,4.57,4.57,4,0,1
2010-05-11,4.58,4.59,4.57,4.57,177,0,1
2010-05-12,4.57,4.59,4.57,4.57,147,0,1
2010-05-13,4.57,4.57,4.57,4.57,25,0,1
2010-05-14,4.57,4.69,4.32,4.69,47,0,1
2010-05-17,4.44,4.69,4.44,4.69,81,0,1
2010-05-18,4.62,4.81,4.56,4.69,56,0,1
2010-05-19,4.60,4.69,4.60,4.69,10,0,1
2010-05-20,4.44,4.57,4.44,4.57,31,0,1
2010-05-21,4.69,4.79,4.64,4.64,463,0,1
2010-05-24,4.57,4.70,4.57,4.69,598,0,1
2010-05-25,4.57,4.91,4.57,4.91,369,0,1
2010-05-26,4.73,4.88,4.64,4.79,696,0,1
2010-05-27,4.80,4.81,4.77,4.79,14,0,1
2010-05-28,4.79,4.80,4.69,4.73,349,0,1
2010-05-31,4.77,4.81,4.77,4.79,18,0,1
2010-06-01,4.72,4.85,4.71,4.74,5,0,1
2010-06-02,4.79,4.84,4.79,4.84,762,0,1
2010-06-04,4.84,5.01,4.78,5.01,752,0,1
2010-06-07,5.01,5.16,5.01,5.09,22,0,1
2010-06-08,5.01,5.01,4.94,5.01,4,0,1
2010-06-09,5.01,5.08,4.89,4.89,14,0,1
2010-06-10,5.24,5.24,4.96,5.01,94,0,1
2010-06-11,5.01,5.06,5.01,5.06,34,0,1
2010-06-14,5.05,5.19,5.05,5.06,99,0,1
2010-06-15,5.06,5.12,5.06,5.06,631,0,1
2010-06-16,5.06,5.06,5.06,5.06,6,0,1
2010-06-17,5.06,5.06,4.93,5.01,62,0,1
2010-06-18,5.04,5.06,4.94,4.94,559,0,1
2010-06-21,4.94,4.94,4.90,4.94,222,0,1
2010-06-22,5.06,5.06,4.94,4.94,8,0,1
2010-06-23,5.04,5.04,4.79,4.79,393,0,1
2010-06-24,4.94,4.94,4.69,4.69,64,0,1
2010-06-25,4.81,4.89,4.72,4.83,3,0,1
2010-06-28,4.98,4.98,4.69,4.69,191,0,1
2010-06-29,4.69,4.86,4.69,4.69,459,0,1
2010-06-30,4.96,4.96,4.74,4.96,43,0,1
2010-07-01,4.88,5.12,4.88,5.12,81,0,1
2010-07-02,5.06,5.09,5.06,5.09,16,0,1
2010-07-05,5.06,5.09,5.06,5.09,16,0,1
2010-07-06,5.08,5.09,5.08,5.09,25,0,1
2010-07-07,5.09,5.09,5.04,5.09,22,0,1
2010-07-08,5.10,5.12,5.10,5.12,13,0,1
2010-07-12,5.06,5.06,5.06,5.06,45,0,1
2010-07-13,4.94,5.12,4.94,5.12,88,0,1
2010-07-14,5.04,5.05,4.96,5.05,50,0,1
2010-07-15,5.04,5.05,4.96,5.05,50,0,1
2010-07-16,5.00,5.00,4.96,4.96,622,0,1
2010-07-19,5.00,5.12,5.00,5.12,787,0,1
2010-07-20,5.06,5.12,5.06,5.12,77,0,1
2010-07-21,5.12,5.12,5.12,5.12,11,0,1
2010-07-22,5.12,5.31,5.12,5.19,1069,0,1
2010-07-23,5.12,5.19,5.06,5.06,66,0,1
2010-07-26,5.06,5.19,4.94,4.99,107,0,1
2010-07-27,5.00,5.00,4.99,4.99,15,0,1
