date,open,high,low,close,volume,dividend,split
2011-01-05,9.71,9.95,9.67,9.94,8407,0,1
2011-01-06,9.87,9.92,9.64,9.67,11149,0,1
2011-01-07,9.65,9.72,9.43,9.51,7246,0,1
2011-01-10,9.49,9.53,9.35,9.53,8627,0,1
2011-01-11,9.60,9.65,9.54,9.58,7318,0,1
2011-01-12,9.65,9.77,9.63,9.77,8741,0,1
2011-01-13,9.80,9.82,9.65,9.65,6902,0,1
2011-01-14,9.65,9.76,9.57,9.74,6227,0,1
2011-01-17,9.71,9.71,9.59,9.60,5699,0,1
2011-01-18,9.65,9.66,9.55,9.61,10285,0,1
2011-01-19,9.60,9.66,9.45,9.50,8728,0,1
2011-01-20,9.43,9.45,9.22,9.33,12722,0,1
2011-01-21,9.36,9.61,9.24,9.25,8293,0,1
2011-01-24,9.27,9.42,9.26,9.39,4845,0,1
2011-01-26,9.39,9.48,9.34,9.34,8083,0,1
2011-01-27,9.33,9.44,9.14,9.38,9330,0,1
2011-01-28,9.39,9.39,8.95,9.15,12845,0,1
2011-01-31,9.22,9.22,8.99,9.02,9010,0,1
2011-02-01,9.10,9.15,9.03,9.03,9298,0,1
2011-02-02,9.02,9.15,8.91,8.92,11720,0,1
2011-02-03,8.97,8.99,8.81,8.85,6357,0,1
2011-02-04,8.81,8.84,8.55,8.55,15738,0,1
2011-02-07,8.64,8.70,8.52,8.64,9339,0,1
2011-02-08,8.61,8.98,8.60,8.88,13741,0,1
2011-02-09,8.83,8.90,8.69,8.71,10684,0,1
2011-02-10,8.72,8.86,8.72,8.73,9275,0,1
2011-02-11,8.80,9.09,8.71,9.05,8794,0,1
2011-02-14,9.02,9.18,8.98,9.10,6066,0,1
2011-02-15,9.04,9.25,9.00,9.22,9382,0,1
2011-02-16,9.22,9.52,9.22,9.47,12603,0,1
2011-02-17,9.54,9.55,9.40,9.48,6883,0,1
2011-02-18,9.42,9.56,9.41,9.43,5713,0,1
2011-02-21,9.41,9.43,9.30,9.31,4165,0,1
2011-02-22,9.25,9.32,8.98,9.07,10890,0,1
2011-02-23,9.11,9.19,8.94,9.11,9490,0,1
2011-02-24,9.14,9.31,9.03,9.16,10854,0,1
2011-02-25,9.21,9.30,8.98,9.19,11638,0,1
2011-02-28,9.25,9.45,9.21,9.40,12606,0,1
2011-03-01,9.40,9.46,9.22,9.25,7641,0,1
2011-03-02,9.26,9.33,9.17,9.25,6186,0,1
2011-03-03,9.29,9.45,9.28,9.42,5052,0,1
2011-03-04,9.35,9.55,9.33,9.44,4233,0,1
2011-03-09,9.30,9.34,9.20,9.23,4248,0,1
2011-03-10,9.05,9.08,8.88,8.88,9049,0,1
2011-03-11,8.88,8.98,8.81,8.97,9657,0,1
2011-03-14,8.94,9.09,8.89,9.02,5789,0,1
2011-03-15,8.83,9.15,8.80,9.11,9788,0,1
2011-03-16,9.13,9.18,8.83,8.94,10764,0,1
2011-03-17,9.03,9.06,8.85,8.94,6820,0,1
2011-03-18,8.98,9.13,8.98,9.06,8162,0,1
2011-03-21,9.14,9.19,9.09,9.13,6519,0,1
