date,open,high,low,close,volume,dividend,split
2013-05-02,10.07,10.36,10.06,10.36,16057,0,1
2013-05-03,10.32,10.57,10.29,10.51,14315,0,1
2013-05-06,10.51,10.65,10.45,10.62,19911,0,1
2013-05-07,10.59,10.63,10.25,10.59,7255,0,1
2013-05-08,10.54,10.59,10.26,10.36,10770,0,1
2013-05-09,10.35,10.51,10.28,10.51,8355,0,1
2013-05-10,10.48,10.63,10.39,10.61,8707,0,1
2013-05-13,10.54,10.59,10.31,10.56,56364,0,1
2013-05-14,10.48,10.69,10.48,10.66,21295,0,1
2013-05-15,10.65,10.99,10.63,10.90,15626,0,1
2013-05-16,10.81,11.13,10.78,11.13,6325,0,1
2013-05-17,11.06,11.19,11.02,11.16,7096,0,1
2013-05-20,11.10,11.11,10.84,10.99,2878,0,1
2013-05-21,10.96,10.96,10.75,10.96,3956,0,1
2013-05-22,10.87,10.99,10.62,10.81,4746,0,1
2013-05-23,10.66,10.71,10.49,10.57,9282,0,1
2013-05-24,10.52,10.68,10.42,10.68,4375,0,1
2013-05-27,10.61,10.78,10.59,10.68,2299,0,1
2013-05-28,10.68,10.87,10.65,10.87,4404,0,1
2013-05-29,10.72,10.77,10.49,10.71,4862,0,1
2013-05-31,10.66,10.94,10.54,10.94,14635,0,1
2013-06-03,10.87,10.92,10.62,10.78,7616,0,1
2013-06-04,10.78,10.78,10.51,10.54,6102,0,1
2013-06-05,10.54,10.73,10.42,10.51,8793,0,1
2013-06-06,10.52,10.62,10.42,10.54,3943,0,1
2013-06-07,10.45,10.65,10.38,10.60,5872,0,1
2013-06-10,10.49,10.66,10.48,10.63,6791,0,1
2013-06-11,10.57,10.62,9.77,10.34,9769,0,1
2013-06-12,10.38,10.48,10.16,10.22,7616,0,1
2013-06-13,10.17,10.60,10.07,10.60,7212,0,1
2013-06-14,10.59,10.84,10.55,10.74,24261,0,1
2013-06-17,10.72,10.78,10.64,10.72,4869,0,1
2013-06-18,10.66,10.75,10.53,10.65,4817,0,1
2013-06-19,10.63,10.66,10.25,10.32,7752,0,1
