date,open,high,low,close,volume,dividend,split
2009-01-02,38.28,40.32,37.94,40.32,119,0,1
2009-01-05,40.20,42.00,39.70,42.00,341,0,1
2009-01-06,42.06,42.32,41.55,42.32,178,0,1
2009-01-07,41.75,41.77,40.45,40.64,73,0,1
2009-01-08,40.15,42.20,40.15,42.20,195,0,1
2009-01-09,41.98,42.47,41.16,42.00,271,0,1
2009-01-12,40.71,40.75,39.38,39.70,37,0,1
2009-01-13,38.76,40.26,38.54,40.00,177,0,1
2009-01-14,39.40,39.47,37.70,38.03,205,0,1
2009-01-15,37.89,39.36,36.93,39.36,120,0,1
2009-01-16,39.68,39.84,38.66,39.49,177,0,1
2009-01-19,39.71,39.83,38.62,38.95,324,0,1
2009-01-20,38.51,39.06,37.35,38.99,19,0,1
2009-01-21,37.95,38.85,37.37,38.85,32,0,1
2009-01-22,38.80,38.80,37.40,38.24,417,0,1
2009-01-23,37.01,38.43,36.80,38.08,118,0,1
2009-01-26,38.06,39.50,37.91,39.00,77,0,1
2009-01-27,38.51,38.99,38.32,38.99,49,0,1
2009-01-28,39.37,40.90,39.37,40.90,37,0,1
2009-01-29,39.74,40.81,39.37,39.60,363,0,1
2009-01-30,39.27,40.20,39.27,39.60,126,0,1
2009-02-02,38.68,39.30,38.50,39.00,7,0,1
2009-02-03,38.69,40.00,38.69,40.00,162,0,1
2009-02-04,40.08,41.35,39.94,40.40,114,0,1
2009-02-05,40.36,41.50,39.72,41.50,9,0,1
2009-02-06,41.63,43.20,41.60,43.20,294,0,1
2009-02-09,42.71,43.29,41.92,42.00,138,0,1
2009-02-10,42.35,42.72,40.96,41.34,118,0,1
2009-02-11,41.37,41.86,40.32,41.00,48,0,1
2009-02-12,40.30,40.95,39.93,40.79,76,0,1
2009-02-13,41.87,41.87,41.04,41.85,4,0,1
2009-02-16,41.16,41.99,40.90,41.99,33,0,1
2009-02-17,40.32,40.75,39.74,40.00,93,0,1
2009-02-18,40.20,40.35,39.11,39.99,74,0,1
2009-02-19,40.00,40.26,39.66,40.00,20,0,1
2009-02-20,39.51,39.51,37.99,39.20,70,0,1
2009-02-25,39.30,39.30,37.95,38.65,51,0,1
2009-02-26,38.86,39.07,38.26,38.75,87,0,1
2009-02-27,37.30,38.75,37.30,38.75,124,0,1
2009-03-02,38.40,38.40,36.10,36.60,120,0,1
2009-03-03,36.48,37.03,35.73,36.77,211,0,1
2009-03-04,37.85,38.95,37.35,38.80,144,0,1
2009-03-05,37.84,38.00,36.91,37.30,88,0,1
2009-03-06,37.72,38.25,36.51,37.50,73,0,1
2009-03-09,36.40,37.41,36.40,37.00,38,0,1
2009-03-10,38.00,38.90,37.00,38.90,314,0,1
2009-03-11,39.01,39.23,38.27,38.85,108,0,1
2009-03-12,38.42,39.50,38.31,39.50,138,0,1
2009-03-13,39.60,39.63,38.50,39.20,139,0,1
2009-03-16,39.20,39.68,38.45,38.75,321,0,1
2009-03-17,38.29,39.79,37.97,39.79,100,0,1
2009-03-18,39.70,40.56,38.82,40.30,232,0,1
2009-03-19,40.99,41.09,40.41,40.60,245,0,1
2009-03-20,40.52,40.65,40.00,40.20,51,0,1
2009-03-23,41.35,42.60,41.00,42.60,430,0,1
2009-03-24,41.73,41.98,41.50,41.60,167,0,1
2009-03-25,41.87,42.50,41.03,41.80,488,0,1
2009-03-26,42.24,42.70,41.92,42.70,501,0,1
2009-03-27,41.85,41.98,41.51,41.74,494,0,1
2009-03-30,40.99,41.01,40.38,40.90,176,0,1
2009-03-31,41.94,41.95,40.57,40.57,287,0,1
2009-04-01,40.33,42.10,40.11,42.10,300,0,1
2009-04-02,43.32,44.12,43.18,43.70,429,0,1
2009-04-03,43.81,44.55,43.46,44.55,538,0,1
2009-04-06,44.58,44.58,43.33,44.35,599,0,1
2009-04-07,43.80,44.22,43.53,44.05,422,0,1
2009-04-08,44.00,44.55,43.60,44.30,462,0,1
2009-04-09,45.50,45.55,45.05,45.50,346,0,1
2009-04-13,45.05,46.04,45.05,46.00,671,0,1
2009-04-14,45.75,46.34,45.12,45.50,148,0,1
2009-04-15,45.50,45.50,44.74,45.50,314,0,1
2009-04-16,45.70,46.10,45.20,46.00,272,0,1
2009-04-17,45.70,45.98,45.60,45.85,274,0,1
2009-04-20,44.79,44.90,44.07,44.42,265,0,1
2009-04-22,44.61,45.24,44.51,44.99,234,0,1
2009-04-23,45.19,45.90,44.86,45.90,305,0,1
2009-04-24,46.17,46.85,46.10,46.69,325,0,1
2009-04-27,45.90,46.40,45.50,45.90,334,0,1
2009-04-28,45.00,46.03,44.90,45.85,1964,0,1
2009-04-29,46.21,47.25,46.12,46.80,359,0,1
2009-04-30,47.30,48.10,47.23,48.10,276,0,1
2009-05-04,48.50,50.01,48.35,50.01,1215,0,1
2009-05-05,49.95,50.68,49.73,50.66,98,0,1
2009-05-06,50.61,52.81,50.61,51.37,452,0,1
2009-05-07,52.01,52.01,49.41,50.06,263,0,1
2009-05-08,50.27,51.37,50.03,51.37,315,0,1
2009-05-11,50.18,51.01,49.79,51.01,386,0,1
2009-05-12,51.31,51.31,49.66,50.31,206,0,1
2009-05-13,48.90,49.10,48.10,48.10,271,0,1
2009-05-14,48.16,49.42,48.16,49.42,409,0,1
2009-05-15,49.01,49.30,48.58,49.00,413,0,1
2009-05-18,49.27,51.46,49.27,51.46,543,0,1
2009-05-19,51.35,51.89,50.82,51.43,538,0,1
2009-05-20,51.85,52.25,50.87,51.21,115,0,1
2009-05-21,50.16,50.34,49.40,50.00,284,0,1
2009-05-22,50.81,50.81,49.81,50.70,862,0,1
2009-05-25,50.58,50.91,50.41,50.91,429,0,1
2009-05-26,49.96,51.81,49.96,51.81,452,0,1
2009-05-27,52.12,52.86,51.29,51.71,109,0,1
2009-05-28,52.36,53.01,51.87,53.01,215,0,1
2009-05-29,54.01,54.01,52.18,53.11,121,0,1
2009-06-01,53.53,54.56,53.53,54.15,109,0,1
2009-06-02,53.60,54.68,53.59,53.71,216,0,1
2009-06-03,53.13,53.14,51.46,52.01,725,0,1
2009-06-04,52.41,53.31,51.50,53.31,741,0,1
2009-06-05,54.41,54.86,52.77,52.77,661,0,1
2009-06-08,52.78,53.61,52.23,53.61,103,0,1
2009-06-09,54.17,54.17,52.72,53.21,335,0,1
2009-06-10,53.51,53.58,52.56,53.21,416,0,1
2009-06-12,53.51,53.56,52.80,53.21,285,0,1
2009-06-15,53.01,53.01,51.01,51.99,212,0,1
2009-06-16,51.97,52.19,50.87,51.20,570,0,1
2009-06-17,50.51,51.01,50.11,51.01,841,0,1
2009-06-18,50.75,51.21,50.22,50.86,647,0,1
2009-06-19,51.35,51.51,51.04,51.41,130,0,1
2009-06-22,51.21,51.21,49.20,49.40,377,0,1
2009-06-23,49.71,49.76,48.79,49.76,488,0,1
2009-06-24,50.56,50.56,49.22,49.71,160,0,1
2009-06-25,49.20,51.40,49.20,51.40,348,0,1
2009-06-26,51.39,51.69,51.25,51.57,434,0,1
2009-06-29,51.70,52.03,51.41,52.03,330,0,1
2009-06-30,52.11,52.21,51.01,51.41,453,0,1
2009-07-01,51.58,52.14,51.21,51.53,508,0,1
2009-07-02,50.62,51.08,50.36,50.90,555,0,1
2009-07-03,51.20,51.20,50.61,50.81,326,0,1
2009-07-06,50.01,50.51,49.44,50.51,291,0,1
2009-07-07,50.06,50.18,49.23,49.25,349,0,1
2009-07-08,49.17,49.59,48.18,49.05,689,0,1
2009-07-10,48.74,49.91,48.44,49.00,383,0,1
2009-07-13,49.37,49.37,48.03,49.30,514,0,1
2009-07-14,49.34,49.96,48.32,48.70,163,0,1
2009-07-15,49.51,51.29,49.44,51.29,268,0,1
2009-07-16,50.48,52.08,50.48,51.91,263,0,1
2009-07-17,51.85,52.10,51.50,51.91,615,0,1
2009-07-20,52.47,53.06,46.26,53.06,368,0,1
2009-07-21,53.02,53.91,52.18,53.11,654,0,1
2009-07-22,52.25,53.30,52.25,53.06,105,0,1
2009-07-23,53.04,54.24,52.82,54.00,318,0,1
2009-07-24,54.00,54.41,53.71,54.41,207,0,1
2009-07-27,54.41,54.51,53.71,54.51,256,0,1
2009-07-28,53.83,54.51,53.48,54.51,231,0,1
2009-07-29,54.16,54.16,52.91,53.71,330,0,1
2009-07-30,54.31,54.79,54.03,54.03,241,0,1
2009-07-31,54.01,54.59,53.94,54.51,172,0,1
2009-08-03,54.86,55.96,54.86,55.96,91,0,1
2009-08-04,55.51,56.31,55.32,56.01,101,0,1
2009-08-05,56.03,56.16,55.01,56.16,102,0,1
2009-08-06,56.31,56.38,55.01,55.61,160,0,1
2009-08-07,56.41,56.51,55.63,56.12,114,0,1
2009-08-10,55.96,56.46,55.00,56.46,151,0,1
2009-08-11,56.55,56.55,55.26,55.59,109,0,1
2009-08-12,55.32,56.61,55.29,56.61,216,0,1
2009-08-13,56.85,56.99,56.12,56.42,538,0,1
2009-08-14,56.60,56.82,55.65,56.51,327,0,1
2009-08-17,55.53,55.53,54.55,55.01,885,0,1
2009-08-18,55.01,55.71,55.01,55.71,409,0,1
2009-08-19,54.81,56.00,54.67,55.62,293,0,1
2009-08-20,55.52,56.61,55.52,56.61,160,0,1
2009-08-21,57.15,57.55,56.98,57.21,290,0,1
2009-08-24,57.81,58.26,57.23,57.46,765,0,1
2009-08-25,57.91,57.94,56.99,57.31,625,0,1
2009-08-26,57.01,57.51,56.71,57.51,359,0,1
2009-08-27,57.34,57.51,56.40,57.51,434,0,1
2009-08-28,57.82,57.82,56.86,57.51,378,0,1
2009-08-31,57.13,57.13,55.76,56.26,442,0,1
2009-09-01,56.40,56.80,55.38,55.51,277,0,1
2009-09-02,55.36,55.58,55.00,55.00,187,0,1
2009-09-03,55.57,55.71,54.93,55.71,173,0,1
2009-09-04,55.99,56.66,55.31,56.66,639,0,1
2009-09-08,57.51,57.64,56.90,57.64,291,0,1
2009-09-09,57.71,57.71,57.12,57.61,279,0,1
2009-09-10,57.22,58.21,57.12,58.21,415,0,1
2009-09-11,58.31,58.76,57.74,58.11,245,0,1
2009-09-14,57.51,58.65,57.32,58.65,104,0,1
2009-09-15,58.72,58.91,58.27,58.81,325,0,1
2009-09-16,59.40,60.09,59.00,60.04,777,0,1
2009-09-17,59.71,60.55,59.71,59.91,611,0,1
2009-09-18,60.02,60.36,59.83,60.01,221,0,1
2009-09-21,59.61,60.68,59.46,60.68,446,0,1
2009-09-22,60.81,61.64,60.65,61.11,478,0,1
2009-09-23,61.11,61.70,60.11,60.21,369,0,1
2009-09-24,61.00,61.00,59.29,59.70,1217,0,1
2009-09-25,59.43,60.11,59.40,60.00,293,0,1
2009-09-28,60.30,61.00,60.00,61.00,261,0,1
2009-09-29,61.00,61.00,60.03,60.76,439,0,1
2009-09-30,61.21,61.54,60.50,61.52,296,0,1
2009-10-01,60.98,60.98,59.91,60.40,573,0,1
2009-10-02,59.68,61.00,59.24,61.00,486,0,1
2009-10-05,61.36,62.01,60.91,62.01,156,0,1
2009-10-06,62.33,62.86,61.52,62.51,277,0,1
2009-10-07,62.80,62.80,61.54,62.41,448,0,1
2009-10-08,62.86,63.56,62.61,63.56,227,0,1
2009-10-09,63.61,63.75,63.16,63.56,255,0,1
2009-10-13,63.81,64.21,63.58,64.21,237,0,1
2009-10-14,64.46,66.00,64.46,66.00,392,0,1
2009-10-15,66.01,66.50,65.51,66.50,286,0,1
2009-10-16,65.81,65.91,65.01,65.78,231,0,1
2009-10-19,65.99,67.01,65.82,66.91,160,0,1
2009-10-20,66.91,66.91,63.48,65.01,547,0,1
2009-10-21,64.91,66.51,64.91,65.71,243,0,1
2009-10-22,65.94,65.96,65.04,65.96,388,0,1
2009-10-23,67.01,67.01,64.47,64.71,146,0,1
2009-10-26,64.94,65.11,63.94,65.01,321,0,1
2009-10-27,65.05,65.05,62.57,62.75,478,0,1
2009-10-28,62.62,62.73,59.71,59.71,493,0,1
2009-10-29,60.95,63.51,60.94,63.51,251,0,1
2009-10-30,63.61,63.80,60.52,61.21,263,0,1
2009-11-03,60.46,62.61,60.28,62.26,311,0,1
2009-11-04,62.26,63.56,62.26,63.56,84,0,1
2009-11-05,63.36,64.51,63.36,64.51,218,0,1
2009-11-06,64.51,64.55,63.00,63.96,400,0,1
2009-11-09,65.01,65.91,64.91,65.91,191,0,1
2009-11-10,65.39,66.24,65.31,66.01,127,0,1
2009-11-11,66.31,66.66,65.63,65.91,161,0,1
2009-11-12,65.26,66.41,64.01,64.11,261,0,1
2009-11-13,64.22,65.25,63.67,64.81,532,0,1
2009-11-16,65.22,66.66,65.22,66.13,158,0,1
2009-11-17,66.01,66.90,65.47,66.81,338,0,1
2009-11-18,67.01,67.59,66.01,66.01,154,0,1
2009-11-19,64.54,66.01,64.54,65.86,214,0,1
2009-11-23,66.51,66.86,65.93,66.36,184,0,1
2009-11-24,66.66,66.81,65.62,66.81,75,0,1
2009-11-25,67.01,67.53,66.81,67.51,135,0,1
2009-11-26,66.11,66.73,65.51,65.51,92,0,1
2009-11-27,64.06,66.61,64.06,66.61,501,0,1
2009-11-30,66.51,66.98,66.36,66.91,193,0,1
2009-12-01,67.71,68.19,67.42,67.91,354,0,1
2009-12-02,68.26,68.58,67.89,68.01,160,0,1
2009-12-03,68.51,69.00,67.96,68.11,394,0,1
2009-12-04,67.61,69.17,66.70,67.51,327,0,1
2009-12-07,68.01,68.21,67.21,68.17,415,0,1
2009-12-08,67.16,67.49,66.83,67.21,133,0,1
2009-12-09,69.22,69.22,66.93,67.31,209,0,1
2009-12-10,68.01,68.38,67.86,68.26,48,0,1
2009-12-11,68.29,68.95,68.29,68.74,242,0,1
2009-12-14,70.00,70.00,67.61,69.01,160,0,1
2009-12-15,68.39,68.96,68.31,68.96,86,0,1
2009-12-16,69.01,69.15,68.01,68.21,169,0,1
2009-12-17,68.01,68.01,66.19,66.61,337,0,1
2009-12-18,66.41,66.68,65.78,66.51,154,0,1
2009-12-21,66.41,67.71,65.72,66.51,95,0,1
2009-12-22,65.62,67.01,65.62,67.01,220,0,1
2009-12-23,67.16,67.26,66.51,67.26,279,0,1
2009-12-28,67.45,67.91,67.19,67.91,140,0,1
2009-12-29,68.01,68.01,67.50,67.95,98,0,1
2009-12-30,67.26,68.51,67.21,68.51,111,0,1
2010-01-04,68.56,69.46,68.31,69.38,168,0,1
2010-01-05,69.91,70.04,69.33,69.91,178,0,1
2010-01-06,69.75,70.33,69.71,70.31,187,0,1
