date,open,high,low,close,volume,dividend,split
2010-11-12,26.63,26.72,26.13,26.57,581,0,1
2010-11-16,26.19,26.40,25.42,25.88,781,0,1
2010-11-17,25.77,26.31,25.66,26.01,638,0,1
2010-11-18,26.25,26.78,26.04,26.78,778,0,1
2010-11-19,26.27,26.98,26.04,26.87,499,0,1
2010-11-22,26.63,26.82,26.31,26.54,607,0,1
2010-11-23,26.01,26.37,25.53,25.53,682,0,1
2010-11-24,25.89,26.34,25.77,26.21,627,0,1
2010-11-25,26.37,26.42,25.84,25.97,418,0,1
2010-11-26,25.91,25.91,25.42,25.56,786,0,1
2010-11-29,25.36,25.71,25.01,25.56,498,0,1
2010-11-30,25.31,25.93,25.11,25.18,1055,0,1
2010-12-01,25.59,26.16,25.47,26.07,691,0,1
2010-12-02,25.90,26.61,25.81,26.47,528,0,1
2010-12-03,26.47,26.90,26.17,26.90,484,0,1
2010-12-06,26.72,26.98,26.64,26.83,360,0,1
2010-12-07,27.18,27.26,26.72,26.72,1053,0,1
2010-12-08,26.63,26.70,25.90,26.08,960,0,1
2010-12-09,26.02,26.42,25.90,26.27,665,0,1
2010-12-10,26.42,26.43,26.07,26.41,688,0,1
2010-12-13,26.63,26.86,26.48,26.84,1060,0,1
2010-12-14,26.72,26.95,26.54,26.79,442,0,1
2010-12-15,26.54,26.72,26.31,26.66,600,0,1
2010-12-16,26.60,26.76,26.12,26.31,824,0,1
2010-12-17,26.22,26.42,26.01,26.42,747,0,1
2010-12-20,26.42,26.70,26.18,26.38,605,0,1
2010-12-21,26.48,26.65,26.34,26.57,476,0,1
2010-12-22,26.51,26.53,26.15,26.51,399,0,1
2010-12-23,26.48,26.50,26.29,26.50,219,0,1
2010-12-27,26.12,26.31,25.75,25.75,512,0,1
2010-12-28,25.75,25.83,25.29,25.36,474,0,1
2010-12-29,25.41,25.71,25.33,25.67,742,0,1
2010-12-30,25.77,25.93,25.37,25.72,1913,0,1
2011-01-03,26.48,26.67,25.36,26.55,883,0,1
2011-01-04,26.60,27.07,26.60,27.02,784,0,1
2011-01-05,26.88,27.98,26.80,27.98,1698,0,1
2011-01-06,27.88,28.09,27.54,27.67,832,0,1
2011-01-07,27.58,27.75,27.15,27.50,495,0,1
2011-01-10,27.18,27.72,27.18,27.71,935,0,1
2011-01-11,27.71,28.16,27.69,28.03,1373,0,1
2011-01-12,28.03,28.71,28.03,28.66,1303,0,1
2011-01-13,28.80,28.88,28.40,28.46,1060,0,1
2011-01-14,28.16,28.59,28.15,28.41,444,0,1
2011-01-17,28.15,28.71,28.00,28.50,572,0,1
2011-01-18,28.56,28.98,28.51,28.90,874,0,1
2011-01-19,28.92,29.01,28.26,28.39,765,0,1
2011-01-20,28.21,28.28,27.72,28.23,682,0,1
2011-01-21,28.44,28.59,28.05,28.50,375,0,1
2011-01-24,28.62,28.97,28.25,28.96,558,0,1
2011-01-26,28.72,28.97,28.38,28.51,608,0,1
2011-01-27,28.60,28.63,27.85,27.91,649,0,1
2011-01-28,27.86,28.03,26.72,27.31,849,0,1
2011-01-31,27.43,27.87,27.11,27.15,468,0,1
2011-02-01,27.45,27.83,27.34,27.70,570,0,1
2011-02-02,27.61,27.91,26.85,27.05,1254,0,1
2011-02-03,26.84,27.20,26.63,26.99,571,0,1
2011-02-04,26.72,27.10,26.23,26.54,564,0,1
2011-02-07,26.74,26.92,26.44,26.81,1290,0,1
2011-02-08,26.78,26.80,26.44,26.57,1221,0,1
2011-02-09,26.44,26.69,25.64,25.64,1282,0,1
2011-02-10,25.58,25.97,25.42,25.53,1182,0,1
2011-02-11,25.63,26.04,25.38,25.96,1130,0,1
2011-02-14,25.96,26.48,25.74,26.37,479,0,1
2011-02-15,26.37,26.51,26.11,26.11,417,0,1
2011-02-16,26.21,26.85,26.15,26.60,815,0,1
2011-02-17,26.72,26.72,26.35,26.48,595,0,1
2011-02-18,26.42,26.50,26.23,26.34,480,0,1
2011-02-21,26.33,26.33,25.72,25.72,486,0,1
2011-02-22,25.60,26.07,25.22,25.22,917,0,1
2011-02-23,25.40,25.68,24.87,25.34,1132,0,1
2011-02-24,25.14,25.74,25.14,25.30,602,0,1
2011-02-25,25.83,26.05,25.33,25.64,841,0,1
2011-02-28,25.75,25.75,25.51,25.64,574,0,1
2011-03-01,25.71,25.89,25.02,25.21,759,0,1
2011-03-02,25.18,25.65,25.05,25.61,616,0,1
2011-03-03,25.71,25.93,25.58,25.82,1625,0,1
2011-03-04,25.71,25.71,25.30,25.71,723,0,1
2011-03-09,25.12,25.24,24.71,24.76,786,0,1
2011-03-10,24.47,24.47,23.88,24.05,2870,0,1
2011-03-11,24.05,24.35,23.76,24.32,1721,0,1
2011-03-14,24.16,24.48,23.75,24.48,932,0,1
2011-03-15,23.75,24.09,23.25,24.03,1480,0,1
2011-03-16,24.08,24.27,23.18,23.60,997,0,1
2011-03-17,23.84,24.06,23.67,24.06,993,0,1
2011-03-18,24.23,24.64,24.19,24.59,809,0,1
2011-03-21,24.88,24.93,24.43,24.58,836,0,1
2011-03-22,24.45,24.64,24.17,24.64,1146,0,1
2011-03-23,24.52,25.06,24.52,25.06,1095,0,1
2011-03-24,25.05,25.05,24.58,24.98,919,0,1
2011-03-25,24.93,25.36,24.59,25.18,1092,0,1
2011-03-28,25.11,25.18,24.74,24.74,895,0,1
2011-03-29,24.81,25.20,24.81,25.11,499,0,1
2011-03-30,25.06,25.23,24.85,24.93,650,0,1
2011-03-31,24.98,25.43,24.73,25.42,1723,0,1
2011-04-01,25.45,25.56,25.17,25.53,725,0,1
2011-04-04,25.56,26.13,25.33,26.13,1093,0,1
2011-04-05,25.92,26.50,25.88,26.28,2360,0,1
2011-04-06,26.40,26.76,25.92,26.01,2541,0,1
2011-04-07,26.13,26.13,25.47,25.71,1630,0,1
2011-04-08,25.91,26.01,25.33,25.50,2923,0,1
2011-04-11,25.46,25.85,25.31,25.62,909,0,1
2011-04-12,25.33,25.40,24.55,24.95,1189,0,1
2011-04-13,25.35,25.37,24.32,24.61,1290,0,1
2011-04-14,24.48,24.67,24.28,24.45,1985,0,1
2011-04-15,24.55,24.73,24.16,24.47,888,0,1
2011-04-18,24.29,24.46,23.87,24.33,803,0,1
2011-04-19,24.35,25.03,24.17,24.35,1146,0,1
2011-04-20,24.64,25.11,24.53,24.82,1129,0,1
2011-04-25,24.82,24.96,24.52,24.94,534,0,1
2011-04-26,24.87,24.99,24.74,24.93,593,0,1
2011-04-27,24.83,24.92,24.38,24.49,492,0,1
2011-04-28,24.23,24.47,24.18,24.35,909,0,1
2011-04-29,24.38,24.92,24.28,24.74,811,0,1
2011-05-02,24.72,24.92,24.08,24.28,1084,0,1
2011-05-03,24.24,24.38,23.80,23.86,390,0,1
2011-05-04,24.25,24.25,23.34,23.34,836,0,1
2011-05-05,23.17,23.74,23.15,23.58,1302,0,1
2011-05-06,24.01,24.01,23.19,23.55,808,0,1
2011-05-09,23.58,23.89,23.34,23.86,654,0,1
2011-05-10,23.99,24.10,23.60,23.83,622,0,1
2011-05-11,23.59,23.73,22.86,22.91,1009,0,1
2011-05-12,22.84,23.03,22.45,22.95,636,0,1
2011-05-13,23.01,23.01,22.33,22.43,816,0,1
2011-05-16,22.34,22.69,22.14,22.45,737,0,1
2011-05-17,22.45,22.75,22.19,22.75,661,0,1
2011-05-18,22.92,23.21,22.62,23.09,1984,0,1
2011-05-19,23.21,23.54,23.10,23.13,875,0,1
2011-05-20,23.20,23.63,23.06,23.51,462,0,1
2011-05-23,22.98,23.43,22.95,23.43,584,0,1
2011-05-24,23.65,23.65,23.39,23.61,659,0,1
2011-05-25,23.60,23.74,23.43,23.70,526,0,1
2011-05-26,23.80,24.19,23.52,24.19,821,0,1
2011-05-27,24.17,24.49,24.05,24.49,749,0,1
2011-05-30,24.49,24.62,24.25,24.42,137,0,1
2011-05-31,24.71,24.71,24.20,24.62,961,0,1
2011-06-01,24.31,24.50,23.97,24.20,936,0,1
2011-06-02,24.25,24.30,23.92,24.19,800,0,1
2011-06-03,23.90,24.31,23.89,24.19,1039,0,1
2011-06-06,24.07,24.19,23.79,23.91,540,0,1
2011-06-07,23.92,24.16,23.81,23.95,745,0,1
2011-06-08,23.82,24.01,23.65,24.01,581,0,1
2011-06-09,23.95,24.14,23.78,23.89,578,0,1
2011-06-10,23.83,24.00,23.60,23.77,551,0,1
2011-06-13,23.65,23.97,23.26,23.35,453,0,1
2011-06-14,23.46,23.58,23.23,23.52,1098,0,1
2011-06-15,23.19,23.40,23.09,23.40,673,0,1
2011-06-16,23.19,23.46,22.87,23.17,963,0,1
2011-06-17,23.40,23.49,22.87,23.16,898,0,1
2011-06-20,22.92,23.49,22.92,23.49,611,0,1
2011-06-21,23.41,23.80,23.41,23.55,737,0,1
2011-06-22,23.52,23.93,23.51,23.68,434,0,1
2011-06-24,23.68,24.00,23.65,23.71,846,0,1
2011-06-27,23.68,23.95,23.29,23.29,1484,0,1
2011-06-28,23.33,23.65,23.31,23.65,790,0,1
2011-06-29,23.74,23.86,23.60,23.72,1082,0,1
2011-06-30,23.88,24.31,23.65,24.07,600,0,1
2011-07-01,24.23,24.98,24.03,24.92,2152,0,1
2011-07-04,24.74,25.28,24.73,25.23,529,0,1
2011-07-05,25.15,25.16,24.76,24.86,917,0,1
2011-07-06,24.79,24.91,24.50,24.80,415,0,1
2011-07-07,25.20,25.20,24.94,24.95,352,0,1
2011-07-08,24.72,24.91,24.59,24.64,607,0,1
2011-07-11,24.26,24.49,24.05,24.31,532,0,1
2011-07-12,24.19,24.57,24.08,24.17,537,0,1
2011-07-13,24.31,24.79,24.31,24.44,525,0,1
2011-07-14,24.38,24.53,24.05,24.26,726,0,1
2011-07-15,24.42,24.50,24.08,24.19,972,0,1
2011-07-18,23.89,24.40,23.89,24.19,517,0,1
2011-07-19,24.31,24.34,23.94,24.24,962,0,1
2011-07-20,24.38,24.38,24.02,24.16,420,0,1
2011-07-21,24.22,24.37,24.00,24.26,826,0,1
2011-07-22,24.16,24.51,24.13,24.47,685,0,1
2011-07-25,24.44,24.80,24.16,24.74,919,0,1
2011-07-26,24.74,24.87,24.48,24.73,825,0,1
2011-07-27,24.47,24.73,24.38,24.51,691,0,1
2011-07-28,24.62,24.84,24.53,24.80,601,0,1
2011-07-29,24.46,24.57,24.17,24.27,1346,0,1
2011-08-01,24.38,24.59,23.93,24.04,1576,0,1
2011-08-02,23.98,24.16,23.44,23.44,764,0,1
2011-08-03,23.27,23.51,22.19,22.72,1542,0,1
2011-08-04,22.08,22.25,20.89,21.09,1737,0,1
2011-08-05,20.97,21.76,20.30,20.70,3352,0,1
2011-08-08,19.82,19.96,18.51,18.97,2039,0,1
2011-08-09,19.09,19.79,18.86,19.69,1705,0,1
