date,open,high,low,close,volume,dividend,split
2009-10-09,21.45,21.45,21.04,21.17,1683,0,1
2009-10-13,21.28,21.66,21.02,21.44,3088,0,1
2009-10-14,21.53,21.66,21.28,21.60,3908,0,1
2009-10-15,21.42,21.60,21.23,21.40,1963,0,1
2009-10-16,21.18,21.26,20.83,20.84,2673,0,1
2009-10-19,20.91,21.17,20.75,20.75,3365,0,1
2009-10-20,20.51,20.55,20.02,20.50,3455,0,1
2009-10-21,20.42,21.04,20.29,20.73,2131,0,1
2009-10-22,20.98,20.98,20.32,20.38,2171,0,1
2009-10-23,20.66,20.76,19.93,19.93,2930,0,1
2009-10-26,20.06,20.16,19.71,20.13,2208,0,1
2009-10-27,20.32,20.37,19.57,19.74,2521,0,1
2009-10-28,19.70,20.13,19.17,19.18,3362,0,1
2009-10-29,19.44,19.98,19.15,19.55,3287,0,1
2009-10-30,19.61,19.80,18.76,18.93,2927,0,1
2009-11-03,18.82,19.28,18.70,19.20,2456,0,1
2009-11-04,19.44,19.44,18.95,19.16,2330,0,1
2009-11-05,19.10,19.87,19.01,19.83,2317,0,1
2009-11-06,19.92,20.21,19.32,20.10,2059,0,1
2009-11-09,20.36,20.64,20.29,20.47,1832,0,1
2009-11-10,20.54,20.86,20.08,20.86,3140,0,1
2009-11-11,20.90,20.95,20.13,20.29,2335,0,1
2009-11-12,20.24,20.49,19.46,19.61,3125,0,1
2009-11-13,19.12,19.12,18.75,18.79,7044,0,1
2009-11-16,18.97,19.12,18.77,18.79,3499,0,1
2009-11-17,18.90,19.20,18.81,18.95,2810,0,1
2009-11-18,19.07,19.12,18.28,18.28,5819,0,1
2009-11-19,18.27,18.39,17.91,18.00,6007,0,1
2009-11-23,18.33,18.69,18.09,18.14,2335,0,1
2009-11-24,18.23,18.23,17.88,18.13,4088,0,1
2009-11-25,18.28,18.38,17.99,18.34,3825,0,1
2009-11-26,18.06,18.46,18.06,18.14,2149,0,1
2009-11-27,18.01,18.21,17.91,18.21,2501,0,1
2009-11-30,18.23,18.49,18.21,18.28,3897,0,1
2009-12-01,18.59,18.62,18.30,18.46,3176,0,1
2009-12-02,18.52,18.59,17.92,17.94,6482,0,1
2009-12-03,18.10,18.22,17.88,17.93,5320,0,1
2009-12-04,17.81,18.17,17.66,17.75,3664,0,1
2009-12-07,17.83,17.96,17.79,17.83,2635,0,1
2009-12-08,17.71,17.84,17.70,17.79,4659,0,1
2009-12-09,17.83,17.92,17.65,17.74,4326,0,1
2009-12-10,17.92,17.96,17.79,17.80,2208,0,1
2009-12-11,17.96,18.70,17.88,18.50,6685,0,1
2009-12-14,18.79,18.81,18.55,18.55,2172,0,1
2009-12-15,18.41,18.72,18.30,18.63,2615,0,1
2009-12-16,18.81,19.12,18.79,18.87,4903,0,1
2009-12-17,18.76,18.89,18.53,18.75,3046,0,1
2009-12-18,18.72,19.10,18.63,18.97,3075,0,1
2009-12-21,19.04,19.57,19.03,19.17,5518,0,1
2009-12-22,19.40,19.63,19.15,19.50,3162,0,1
2009-12-23,19.63,19.65,19.32,19.47,2099,0,1
2009-12-28,19.61,20.00,19.59,19.93,2122,0,1
2009-12-29,19.94,20.07,19.69,19.85,1814,0,1
2009-12-30,19.72,20.33,19.36,20.33,2846,0,1
2010-01-04,20.25,20.88,19.99,20.52,3030,0,1
2010-01-05,20.49,20.82,20.40,20.73,2878,0,1
2010-01-06,20.68,21.15,20.68,21.02,2956,0,1
2010-01-07,20.83,21.11,20.55,20.89,2312,0,1
2010-01-08,20.99,21.06,20.56,20.97,1592,0,1
2010-01-11,21.04,21.20,20.68,20.90,1689,0,1
2010-01-12,20.67,20.84,20.49,20.84,2167,0,1
2010-01-13,20.79,21.05,20.55,21.02,1907,0,1
2010-01-14,21.06,21.08,20.63,20.64,3275,0,1
2010-01-15,20.61,20.95,20.32,20.79,2975,0,1
2010-01-18,20.99,21.00,20.72,20.86,1407,0,1
2010-01-19,20.58,21.09,20.58,21.06,3032,0,1
2010-01-20,21.06,21.60,20.64,21.60,4870,0,1
2010-01-21,21.50,21.55,20.64,21.19,3942,0,1
2010-01-22,20.84,21.26,20.84,20.97,2498,0,1
2010-01-26,20.64,20.70,20.08,20.25,3557,0,1
2010-01-27,20.17,20.94,20.17,20.79,2562,0,1
2010-01-28,21.00,21.06,20.22,20.43,2362,0,1
2010-01-29,20.70,20.84,20.09,20.23,2786,0,1
2010-02-01,20.12,20.38,20.02,20.12,2442,0,1
2010-02-02,20.13,20.43,19.99,20.12,2504,0,1
2010-02-03,20.08,20.88,20.08,20.73,2422,0,1
2010-02-04,20.57,20.61,19.95,20.16,2383,0,1
2010-02-05,20.01,20.39,19.49,19.72,3191,0,1
2010-02-08,19.72,20.16,19.49,19.76,1946,0,1
2010-02-09,20.06,20.50,19.99,20.25,3397,0,1
2010-02-10,20.17,20.29,19.72,20.16,2029,0,1
2010-02-11,20.16,20.20,19.72,20.12,2614,0,1
2010-02-12,19.90,20.02,19.69,19.72,1279,0,1
2010-02-17,20.16,20.70,20.08,20.66,2274,0,1
2010-02-18,20.48,20.92,20.24,20.92,1573,0,1
2010-02-19,20.68,20.93,20.51,20.72,1335,0,1
2010-02-22,20.85,20.90,20.24,20.24,1757,0,1
2010-02-23,20.17,20.39,19.79,20.08,990,0,1
2010-02-24,20.13,20.39,19.95,20.20,1210,0,1
2010-02-25,19.85,20.29,19.72,20.08,1622,0,1
2010-02-26,20.12,20.25,19.67,19.76,2128,0,1
2010-03-01,19.63,20.03,19.49,19.98,3326,0,1
2010-03-02,19.99,20.16,19.87,19.90,3668,0,1
2010-03-03,20.02,20.59,19.85,20.08,4876,0,1
2010-03-04,20.24,20.35,19.93,20.07,1826,0,1
2010-03-05,20.38,20.43,19.95,20.07,1799,0,1
2010-03-08,20.08,20.09,19.81,19.81,2303,0,1
2010-03-09,19.83,20.23,19.77,19.98,2675,0,1
2010-03-10,20.08,20.25,19.88,19.90,2537,0,1
2010-03-11,19.88,20.05,19.78,19.79,1897,0,1
2010-03-12,19.94,19.98,19.69,19.72,2374,0,1
2010-03-15,19.69,19.78,19.54,19.57,2274,0,1
2010-03-16,19.59,19.70,19.36,19.65,2874,0,1
2010-03-17,19.84,19.96,19.77,19.90,2486,0,1
2010-03-18,19.90,19.97,19.68,19.87,2188,0,1
2010-03-19,19.78,19.99,19.77,19.83,1945,0,1
2010-03-22,19.63,19.93,19.56,19.93,2004,0,1
2010-03-23,19.99,20.13,19.81,20.03,1666,0,1
2010-03-24,19.85,20.07,19.81,19.86,2233,0,1
2010-03-25,20.07,20.09,19.76,19.77,1644,0,1
2010-03-26,19.72,20.07,19.72,19.91,1166,0,1
2010-03-29,19.94,20.64,19.92,20.60,3037,0,1
2010-03-30,20.61,21.37,20.61,21.33,4798,0,1
2010-03-31,21.15,21.72,21.15,21.46,4164,0,1
2010-04-01,21.50,21.96,21.16,21.20,2219,0,1
2010-04-05,21.51,21.51,20.84,20.97,2289,0,1
2010-04-06,20.97,21.20,20.94,21.15,2360,0,1
2010-04-07,21.02,21.66,20.94,21.42,3036,0,1
2010-04-08,21.24,21.82,21.09,21.63,2103,0,1
2010-04-09,21.51,21.87,21.18,21.50,1718,0,1
2010-04-12,21.43,21.57,21.11,21.42,2424,0,1
2010-04-13,21.51,21.57,21.12,21.28,1808,0,1
2010-04-14,21.15,21.51,21.04,21.17,1890,0,1
2010-04-15,21.24,21.52,21.11,21.16,1812,0,1
2010-04-16,21.11,21.37,20.90,21.15,2264,0,1
2010-04-19,21.13,21.48,20.97,21.39,2039,0,1
2010-04-20,21.37,21.50,21.14,21.14,2116,0,1
2010-04-22,21.00,21.17,20.84,21.06,2238,0,1
2010-04-23,21.04,21.29,20.92,21.06,1545,0,1
2010-04-26,21.11,21.30,20.88,20.93,1143,0,1
2010-04-27,20.93,21.02,20.08,20.30,3678,0,1
2010-04-28,20.39,20.43,19.81,19.83,2864,0,1
2010-04-29,20.04,20.42,20.01,20.09,2253,0,1
2010-04-30,19.99,20.61,19.99,20.34,1970,0,1
2010-05-03,20.49,20.54,20.09,20.30,1623,0,1
2010-05-04,20.16,20.48,19.49,19.74,2687,0,1
2010-05-05,19.58,19.90,19.09,19.33,3874,0,1
2010-05-06,19.32,19.58,18.68,19.05,3468,0,1
2010-05-07,19.34,19.63,18.65,19.13,2957,0,1
2010-05-10,19.73,20.39,19.46,19.96,2405,0,1
2010-05-11,19.56,20.38,19.56,19.76,2504,0,1
2010-05-12,19.96,20.08,19.47,19.67,2272,0,1
2010-05-13,20.63,20.83,20.48,20.57,4290,0,1
2010-05-14,20.56,20.58,19.86,20.43,1852,0,1
2010-05-17,20.23,20.48,19.96,20.48,2777,0,1
2010-05-18,20.60,21.24,20.43,20.75,4165,0,1
2010-05-19,20.66,21.06,20.12,20.39,3898,0,1
2010-05-20,19.82,20.35,19.12,19.82,3259,0,1
2010-05-21,19.72,20.59,19.72,20.30,2116,0,1
2010-05-24,20.08,20.89,19.99,20.44,1361,0,1
2010-05-25,19.72,20.34,19.49,20.13,2781,0,1
2010-05-26,20.16,20.85,20.16,20.45,3776,0,1
2010-05-27,20.90,21.05,20.46,20.85,3193,0,1
2010-05-28,20.61,20.96,20.48,20.94,3057,0,1
2010-05-31,20.83,21.07,20.51,20.88,1655,0,1
2010-06-01,20.87,21.02,20.44,20.75,1952,0,1
2010-06-02,20.66,21.06,20.57,20.88,1608,0,1
2010-06-04,20.79,20.84,20.36,20.75,1702,0,1
2010-06-07,20.75,21.46,20.75,21.24,2226,0,1
2010-06-08,21.14,22.18,20.97,21.78,2418,0,1
2010-06-09,21.78,22.11,21.28,21.58,1859,0,1
2010-06-10,21.51,22.12,21.51,21.87,1786,0,1
2010-06-11,21.47,22.07,21.37,21.86,1399,0,1
2010-06-14,21.83,22.29,21.78,22.03,2212,0,1
2010-06-15,22.18,22.76,22.07,22.58,2243,0,1
2010-06-16,22.22,22.87,22.09,22.58,3494,0,1
2010-06-17,22.55,22.80,22.21,22.49,2507,0,1
2010-06-18,22.67,22.93,22.41,22.68,1997,0,1
2010-06-21,23.03,23.08,22.65,22.81,1517,0,1
2010-06-22,22.85,23.28,22.49,22.76,2205,0,1
2010-06-23,22.57,23.01,22.49,22.99,1385,0,1
2010-06-24,22.58,22.85,22.27,22.75,2790,0,1
2010-06-25,22.41,23.10,22.30,22.90,1988,0,1
2010-06-28,22.85,23.48,22.85,23.13,2417,0,1
2010-06-29,22.83,23.28,22.48,22.74,6872,0,1
2010-06-30,21.61,21.92,21.20,21.30,8412,0,1
2010-07-01,21.57,21.57,20.87,21.16,3335,0,1
2010-07-02,21.16,21.48,21.00,21.08,1683,0,1
2010-07-05,21.20,21.20,20.38,20.54,1545,0,1
2010-07-06,20.77,21.36,20.75,21.30,2534,0,1
2010-07-07,21.34,21.43,20.84,20.94,2294,0,1
2010-07-08,21.16,21.21,20.67,21.08,2953,0,1
2010-07-12,21.34,21.34,20.85,21.18,1870,0,1
2010-07-13,21.23,21.53,21.05,21.34,2440,0,1
2010-07-14,21.23,21.75,20.90,21.69,2524,0,1
2010-07-15,21.84,22.33,21.50,22.12,3445,0,1
2010-07-16,22.13,22.24,21.80,22.07,2156,0,1
2010-07-19,21.95,22.41,21.94,22.41,1468,0,1
2010-07-20,22.36,22.53,22.10,22.47,1921,0,1
2010-07-21,22.83,22.83,22.29,22.42,1273,0,1
2010-07-22,22.71,22.92,22.04,22.04,2430,0,1
2010-07-23,22.07,22.14,21.41,21.69,2918,0,1
2010-07-26,21.70,21.79,21.39,21.59,2438,0,1
2010-07-27,21.76,21.84,21.44,21.57,3042,0,1
2010-07-28,21.47,21.72,21.25,21.35,1692,0,1
2010-07-29,21.48,21.53,20.87,21.12,1924,0,1
2010-07-30,21.12,22.21,20.95,22.21,3309,0,1
2010-08-02,22.37,22.62,22.11,22.38,2207,0,1
2010-08-03,22.37,22.56,21.79,21.80,2679,0,1
2010-08-04,22.06,22.13,21.17,21.72,3198,0,1
2010-08-05,21.74,21.83,21.30,21.43,2020,0,1
2010-08-06,21.53,21.55,21.01,21.08,2225,0,1
2010-08-09,21.34,21.34,20.92,21.07,1535,0,1
2010-08-10,20.90,21.46,20.78,21.34,2314,0,1
2010-08-11,21.13,21.55,20.72,20.72,1556,0,1
2010-08-12,20.77,20.83,20.54,20.58,1674,0,1
2010-08-13,20.67,21.09,20.58,21.01,1306,0,1
2010-08-16,20.99,21.51,20.68,20.98,2709,0,1
