date,open,high,low,close,volume,dividend,split
2010-11-26,12.60,12.75,12.46,12.56,981,0,1
2010-11-29,12.46,12.68,12.26,12.39,1182,0,1
2010-11-30,12.49,12.56,12.29,12.48,1038,0,1
2010-12-01,12.70,12.78,12.62,12.66,990,0,1
2010-12-02,12.68,12.77,12.51,12.68,1225,0,1
2010-12-03,12.70,12.72,12.46,12.66,807,0,1
2010-12-06,12.68,12.74,12.46,12.70,585,0,1
2010-12-07,12.73,12.87,12.48,12.48,1421,0,1
2010-12-08,12.49,12.61,12.21,12.58,769,0,1
2010-12-09,12.52,12.67,12.41,12.42,718,0,1
2010-12-10,12.55,12.63,12.35,12.63,568,0,1
2010-12-13,12.70,12.70,12.59,12.66,764,0,1
2010-12-14,12.67,12.71,12.48,12.66,555,0,1
2010-12-15,12.63,12.86,12.57,12.80,3130,0,1
2010-12-16,12.90,13.31,12.90,13.24,3389,0,1
2010-12-17,13.18,13.75,13.12,13.62,2630,0,1
2010-12-20,13.61,13.86,13.21,13.67,2106,0,1
2010-12-21,13.73,13.86,13.54,13.84,1218,0,1
2010-12-22,13.73,13.91,13.52,13.63,1001,0,1
2010-12-23,13.69,13.82,13.52,13.82,330,0,1
2010-12-27,13.67,14.21,13.66,14.14,1007,0,1
2010-12-28,14.00,14.20,13.92,14.00,753,0,1
2010-12-29,14.00,14.25,13.80,14.14,605,0,1
2010-12-30,14.14,14.17,13.90,13.98,1057,0,1
2011-01-03,14.10,14.14,13.85,13.90,819,0,1
2011-01-04,13.84,14.19,13.84,14.17,1366,0,1
2011-01-05,14.07,14.51,14.06,14.37,1389,0,1
2011-01-06,14.39,14.50,13.99,14.19,1620,0,1
2011-01-07,14.19,14.31,13.80,13.80,694,0,1
2011-01-10,13.90,13.95,13.74,13.86,549,0,1
2011-01-11,13.86,13.93,13.58,13.61,917,0,1
2011-01-12,13.70,13.70,13.40,13.56,1141,0,1
2011-01-13,13.57,13.69,13.15,13.27,1488,0,1
2011-01-14,13.24,13.39,12.87,13.25,1505,0,1
2011-01-17,13.25,13.80,13.17,13.73,1639,0,1
2011-01-18,13.73,13.93,13.71,13.92,2292,0,1
2011-01-19,13.92,14.20,13.92,13.97,2019,0,1
2011-01-20,14.00,14.34,13.83,14.14,1773,0,1
2011-01-21,14.14,14.26,13.86,13.93,1396,0,1
2011-01-24,13.93,14.28,13.63,14.21,943,0,1
2011-01-26,14.21,14.80,14.08,14.55,3243,0,1
2011-01-27,14.52,14.86,14.28,14.31,2304,0,1
2011-01-28,14.23,14.51,13.93,13.97,1292,0,1
2011-01-31,13.93,14.54,13.88,14.39,1752,0,1
2011-02-01,14.48,14.52,14.11,14.38,590,0,1
2011-02-02,14.19,14.74,14.14,14.23,1624,0,1
2011-02-03,14.28,14.41,13.96,14.34,1169,0,1
2011-02-04,14.21,14.32,13.80,13.82,896,0,1
2011-02-07,13.83,14.31,13.83,14.28,1074,0,1
2011-02-08,14.22,14.54,14.04,14.21,742,0,1
2011-02-09,14.10,14.23,13.77,13.80,704,0,1
2011-02-10,13.72,13.93,13.53,13.86,725,0,1
2011-02-11,13.80,14.07,13.58,13.93,1431,0,1
2011-02-14,13.89,13.98,13.65,13.93,1092,0,1
2011-02-15,13.80,13.91,13.64,13.73,857,0,1
2011-02-16,13.80,14.07,13.62,14.07,940,0,1
2011-02-17,13.97,14.07,13.66,13.77,648,0,1
2011-02-18,13.73,13.79,13.33,13.69,2157,0,1
2011-02-21,13.65,13.68,13.42,13.58,675,0,1
2011-02-22,13.38,13.40,12.87,13.30,2754,0,1
2011-02-23,13.36,13.55,12.98,13.25,2368,0,1
2011-02-24,13.14,13.64,13.12,13.52,1333,0,1
2011-02-25,13.70,13.73,13.45,13.73,1167,0,1
2011-02-28,13.58,13.92,13.58,13.92,1026,0,1
2011-03-01,13.90,13.97,13.66,13.80,841,0,1
2011-03-02,13.77,14.15,13.62,14.15,1133,0,1
2011-03-03,14.30,14.39,14.10,14.34,1551,0,1
2011-03-04,14.34,14.39,14.20,14.37,532,0,1
2011-03-09,14.31,14.58,14.16,14.58,719,0,1
2011-03-10,14.55,14.63,14.39,14.56,1544,0,1
2011-03-11,14.55,14.55,14.19,14.41,3074,0,1
2011-03-14,14.28,14.54,14.14,14.45,1271,0,1
2011-03-15,14.08,14.40,13.82,14.34,1050,0,1
2011-03-16,14.41,14.61,13.78,13.99,2081,0,1
2011-03-17,14.21,14.36,13.83,14.03,1278,0,1
2011-03-18,14.18,14.44,14.14,14.14,1950,0,1
2011-03-21,14.40,14.48,14.07,14.23,1141,0,1
2011-03-22,14.23,14.37,14.07,14.08,882,0,1
2011-03-23,14.02,14.28,13.86,14.06,1169,0,1
2011-03-24,14.05,14.14,13.83,14.02,442,0,1
2011-03-25,14.06,14.28,13.94,14.12,912,0,1
2011-03-28,14.13,14.28,13.95,14.07,501,0,1
2011-03-29,13.97,14.45,13.96,14.31,862,0,1
2011-03-30,14.24,14.52,14.14,14.46,973,0,1
2011-03-31,14.52,14.85,14.28,14.85,1556,0,1
2011-04-01,14.96,15.57,14.93,15.27,1818,0,1
2011-04-04,15.31,15.65,15.28,15.63,1170,0,1
2011-04-05,15.63,15.85,15.31,15.54,1197,0,1
2011-04-06,15.44,15.65,15.10,15.24,835,0,1
2011-04-07,15.28,15.28,14.93,15.09,657,0,1
2011-04-08,15.14,15.54,14.86,15.31,1555,0,1
2011-04-11,15.38,15.65,15.21,15.51,709,0,1
2011-04-12,15.34,15.57,15.13,15.20,1111,0,1
2011-04-13,15.37,15.44,15.08,15.26,554,0,1
2011-04-14,15.26,15.43,15.08,15.22,479,0,1
2011-04-15,15.09,15.37,14.89,15.21,603,0,1
2011-04-18,15.15,15.33,14.71,14.96,1078,0,1
2011-04-19,15.07,15.07,14.83,15.00,689,0,1
2011-04-20,15.07,15.26,14.98,15.21,1010,0,1
2011-04-25,15.36,15.68,15.20,15.60,1738,0,1
2011-04-26,15.65,15.85,15.53,15.85,1089,0,1
2011-04-27,15.88,16.19,15.73,15.92,1634,0,1
2011-04-28,15.92,15.97,15.59,15.65,1381,0,1
2011-04-29,15.79,15.92,15.61,15.72,2261,0,1
2011-05-02,16.10,16.10,15.08,15.18,1598,0,1
2011-05-03,15.18,15.18,14.75,14.78,1474,0,1
2011-05-04,14.86,15.09,14.51,14.82,2295,0,1
2011-05-05,14.66,15.13,14.41,14.53,1045,0,1
2011-05-06,14.86,15.59,14.68,15.50,1647,0,1
2011-05-09,15.52,15.83,15.04,15.73,1166,0,1
2011-05-10,15.83,16.09,15.62,15.90,1025,0,1
2011-05-11,15.86,16.00,15.52,15.58,1440,0,1
2011-05-12,15.43,16.39,15.43,16.21,3008,0,1
2011-05-13,16.32,16.52,15.94,16.00,1671,0,1
2011-05-16,15.90,16.39,15.65,15.89,772,0,1
2011-05-17,15.82,16.32,15.71,16.32,787,0,1
2011-05-18,16.20,16.64,16.17,16.57,1736,0,1
2011-05-19,16.67,17.03,16.33,16.85,1649,0,1
2011-05-20,16.71,17.03,16.60,16.91,1557,0,1
2011-05-23,16.54,16.87,16.54,16.60,869,0,1
2011-05-24,16.74,16.89,16.43,16.47,1056,0,1
2011-05-25,16.44,16.62,16.30,16.60,766,0,1
2011-05-26,16.50,16.89,16.37,16.67,862,0,1
2011-05-27,16.74,16.96,16.71,16.81,744,0,1
2011-05-30,16.89,16.89,16.76,16.89,289,0,1
2011-05-31,16.96,17.65,16.79,17.60,1638,0,1
2011-06-01,17.60,17.73,17.07,17.14,1217,0,1
2011-06-02,17.19,17.62,17.06,17.40,1064,0,1
