date,open,high,low,close,volume,dividend,split
2011-01-04,10.39,10.56,10.15,10.22,430,0,1
2011-01-05,10.18,10.52,10.18,10.38,337,0,1
2011-01-06,10.41,10.47,10.04,10.22,572,0,1
2011-01-07,10.30,10.30,10.02,10.04,635,0,1
2011-01-10,10.03,10.27,9.96,10.24,378,0,1
2011-01-11,10.27,10.47,10.17,10.24,563,0,1
2011-01-12,10.34,10.70,10.34,10.59,444,0,1
2011-01-13,10.55,10.91,10.45,10.45,1388,0,1
2011-01-14,10.48,10.99,10.37,10.67,602,0,1
2011-01-17,10.67,10.84,10.59,10.59,239,0,1
2011-01-18,10.70,10.84,10.36,10.54,680,0,1
2011-01-19,10.51,10.66,10.46,10.46,227,0,1
2011-01-20,10.45,10.61,10.12,10.30,1650,0,1
2011-01-21,10.37,10.37,10.12,10.12,260,0,1
2011-01-24,10.13,10.41,10.06,10.12,746,0,1
2011-01-26,10.12,10.34,9.88,9.98,442,0,1
2011-01-27,10.12,10.12,9.84,9.89,307,0,1
2011-01-28,9.84,10.22,9.65,9.66,821,0,1
2011-01-31,9.70,9.81,9.46,9.49,610,0,1
2011-02-01,9.61,9.66,9.46,9.55,412,0,1
2011-02-02,9.64,9.74,9.55,9.55,307,0,1
2011-02-03,9.55,9.55,9.32,9.41,791,0,1
2011-02-04,9.32,9.37,9.05,9.05,626,0,1
2011-02-07,9.20,9.20,8.83,8.88,312,0,1
2011-02-08,8.87,9.19,8.87,9.05,615,0,1
2011-02-09,9.08,9.23,9.00,9.03,685,0,1
2011-02-10,9.03,9.37,8.86,9.31,703,0,1
2011-02-11,9.26,9.73,9.26,9.46,589,0,1
2011-02-14,9.38,9.67,9.38,9.67,436,0,1
2011-02-15,9.66,10.17,9.53,10.01,889,0,1
2011-02-16,10.03,10.25,10.01,10.01,532,0,1
2011-02-17,10.14,10.23,10.10,10.12,610,0,1
2011-02-18,10.12,10.34,10.07,10.15,299,0,1
2011-02-21,10.15,10.29,10.12,10.12,270,0,1
2011-02-22,10.11,10.18,9.86,9.90,439,0,1
2011-02-23,9.87,10.00,9.63,9.63,1308,0,1
2011-02-24,9.77,10.06,9.71,9.92,413,0,1
2011-02-25,9.99,10.10,9.92,9.98,1084,0,1
2011-02-28,9.95,10.87,9.95,10.53,1394,0,1
2011-03-01,10.47,10.85,10.22,10.25,1336,0,1
2011-03-02,10.33,10.47,10.14,10.25,684,0,1
2011-03-03,10.37,10.42,10.19,10.30,630,0,1
2011-03-04,10.32,10.70,10.32,10.41,537,0,1
2011-03-09,10.46,10.93,10.38,10.67,1487,0,1
2011-03-10,10.49,10.64,10.40,10.49,1216,0,1
2011-03-11,10.41,10.55,10.38,10.47,1050,0,1
2011-03-14,10.54,10.63,10.41,10.45,452,0,1
2011-03-15,10.41,10.69,10.19,10.51,696,0,1
2011-03-16,10.55,10.68,10.38,10.38,2257,0,1
2011-03-17,10.49,10.55,10.33,10.38,337,0,1
2011-03-18,10.55,10.67,10.44,10.47,454,0,1
2011-03-21,10.49,10.68,10.41,10.41,296,0,1
2011-03-22,10.44,10.90,10.41,10.65,546,0,1
2011-03-23,10.66,11.10,10.66,10.86,959,0,1
2011-03-24,10.96,11.28,10.82,11.14,658,0,1
2011-03-25,11.15,11.51,11.01,11.23,1110,0,1
2011-03-28,11.30,11.50,11.12,11.28,367,0,1
2011-03-29,11.31,11.37,11.19,11.19,278,0,1
2011-03-30,11.30,11.47,11.24,11.37,358,0,1
2011-03-31,11.42,11.95,11.42,11.72,774,0,1
2011-04-01,11.75,12.22,11.75,12.03,878,0,1
2011-04-04,12.07,12.23,11.57,11.57,617,0,1
2011-04-05,11.61,11.88,11.30,11.30,984,0,1
2011-04-06,11.35,11.58,11.30,11.54,1082,0,1
2011-04-07,11.54,11.78,11.40,11.66,660,0,1
2011-04-08,11.77,11.77,11.38,11.38,572,0,1
2011-04-11,11.35,11.53,11.26,11.44,265,0,1
2011-04-12,11.47,11.49,11.33,11.33,538,0,1
2011-04-13,11.43,11.50,11.22,11.32,796,0,1
2011-04-14,11.22,11.31,11.09,11.19,616,0,1
2011-04-15,11.22,11.25,10.91,10.91,536,0,1
2011-04-18,10.94,11.21,10.79,10.82,512,0,1
2011-04-19,11.06,11.28,10.86,11.23,454,0,1
2011-04-20,11.42,11.79,11.35,11.75,1003,0,1
2011-04-25,11.69,12.24,11.50,12.13,585,0,1
2011-04-26,12.22,12.24,11.60,11.60,838,0,1
2011-04-27,11.61,11.61,10.68,10.84,2045,0,1
2011-04-28,10.84,10.84,10.42,10.61,1336,0,1
2011-04-29,10.64,11.02,10.58,11.02,854,0,1
2011-05-02,11.11,11.22,10.82,10.82,826,0,1
2011-05-03,10.65,10.96,10.65,10.88,356,0,1
2011-05-04,10.86,11.02,10.42,10.42,962,0,1
2011-05-05,10.44,10.56,10.26,10.41,1056,0,1
