date,open,high,low,close,volume,dividend,split
2010-12-07,4.68,4.68,4.61,4.65,32,0,1
2010-12-08,4.60,4.67,4.57,4.61,36,0,1
2010-12-09,4.58,4.64,4.57,4.61,21,0,1
2010-12-10,4.61,4.63,4.48,4.62,72,0,1
2010-12-13,4.59,4.63,4.57,4.63,21,0,1
2010-12-14,4.61,4.63,4.58,4.63,13,0,1
2010-12-15,4.64,4.64,4.59,4.63,25,0,1
2010-12-16,4.63,4.63,4.61,4.61,8,0,1
2010-12-17,4.49,4.63,4.48,4.63,22,0,1
2010-12-20,4.63,4.65,4.56,4.64,115,0,1
2010-12-21,4.63,4.63,4.56,4.61,25,0,1
2010-12-22,4.68,4.68,4.57,4.63,11,0,1
2010-12-23,4.63,4.63,4.58,4.61,44,0,1
2010-12-27,4.66,4.72,4.56,4.59,63,0,1
2010-12-28,4.59,4.63,4.52,4.52,26,0,1
2010-12-29,4.46,4.63,4.46,4.59,40,0,1
2010-12-30,4.62,4.64,4.57,4.64,46,0,1
2011-01-03,4.64,4.64,4.54,4.55,25,0,1
2011-01-04,4.55,4.59,4.49,4.59,35,0,1
2011-01-05,4.56,4.59,4.53,4.59,23,0,1
2011-01-06,4.53,4.57,4.53,4.56,3,0,1
2011-01-07,4.58,4.59,4.40,4.57,46,0,1
2011-01-10,4.46,4.48,4.33,4.35,149,0,1
2011-01-11,4.35,4.35,4.13,4.18,212,0,1
2011-01-12,4.24,4.24,4.05,4.06,131,0,1
2011-01-13,4.07,4.18,4.02,4.18,42,0,1
2011-01-14,4.22,4.22,4.05,4.17,64,0,1
2011-01-17,4.13,4.18,4.06,4.09,32,0,1
2011-01-18,4.16,4.16,4.09,4.11,34,0,1
2011-01-19,4.22,4.22,3.92,4.05,304,0,1
2011-01-20,4.07,4.25,4.06,4.18,29,0,1
2011-01-21,4.18,4.18,4.11,4.18,16,0,1
2011-01-24,4.08,4.22,4.07,4.20,34,0,1
2011-01-26,4.20,4.20,4.11,4.15,45,0,1
2011-01-27,4.18,4.24,4.07,4.11,86,0,1
2011-01-28,4.18,4.22,4.05,4.14,26,0,1
2011-01-31,4.13,4.18,4.02,4.11,53,0,1
2011-02-01,4.16,4.16,4.06,4.11,9,0,1
2011-02-02,4.08,4.11,4.08,4.08,16,0,1
2011-02-03,4.08,4.08,3.93,4.01,44,0,1
2011-02-04,4.07,4.08,3.92,4.07,47,0,1
2011-02-07,4.05,4.07,3.92,4.07,26,0,1
2011-02-08,3.98,4.06,3.98,4.05,18,0,1
2011-02-09,4.03,4.04,3.98,3.98,10,0,1
2011-02-10,3.96,4.01,3.92,3.99,24,0,1
2011-02-11,4.02,4.05,3.96,4.05,63,0,1
2011-02-14,4.03,4.05,3.98,4.02,13,0,1
2011-02-15,3.98,3.98,3.96,3.97,14,0,1
2011-02-16,3.94,3.94,3.87,3.87,79,0,1
2011-02-17,3.92,4.03,3.74,3.74,127,0,1
2011-02-18,3.76,3.76,3.67,3.67,91,0,1
2011-02-21,3.70,3.76,3.54,3.60,56,0,1
2011-02-22,3.63,3.67,3.48,3.52,92,0,1
2011-02-23,3.63,3.63,3.36,3.43,464,0,1
2011-02-24,3.45,3.45,3.29,3.35,2214,0,1
2011-02-25,3.28,3.46,3.28,3.43,76,0,1
2011-02-28,3.42,3.43,3.30,3.43,34,0,1
2011-03-01,3.37,3.41,3.32,3.36,157,0,1
2011-03-02,3.41,3.41,3.30,3.33,182,0,1
2011-03-03,3.40,3.41,3.33,3.37,56,0,1
2011-03-04,3.41,3.54,3.39,3.53,136,0,1
2011-03-09,3.50,3.61,3.46,3.59,70,0,1
2011-03-10,3.57,3.62,3.46,3.53,112,0,1
2011-03-11,3.46,3.55,3.44,3.46,53,0,1
2011-03-14,3.53,3.53,3.46,3.51,19,0,1
2011-03-15,3.53,3.53,3.43,3.50,19,0,1
2011-03-16,3.50,3.57,3.42,3.47,47,0,1
2011-03-17,3.52,3.52,3.45,3.50,36,0,1
2011-03-18,3.45,3.57,3.44,3.52,62,0,1
2011-03-21,3.56,3.56,3.51,3.52,125,0,1
2011-03-22,3.53,3.57,3.50,3.52,22,0,1
2011-03-23,3.56,3.56,3.36,3.36,303,0,1
2011-03-24,3.40,3.41,3.33,3.33,67,0,1
2011-03-25,3.42,3.48,3.35,3.35,490,0,1
2011-03-28,3.37,3.38,3.35,3.35,48,0,1
2011-03-29,3.37,3.48,3.33,3.37,120,0,1
2011-03-30,3.39,3.39,3.35,3.37,45,0,1
2011-03-31,3.37,3.39,3.31,3.35,19,0,1
2011-04-01,3.38,3.56,3.38,3.52,96,0,1
2011-04-04,3.59,3.75,3.53,3.63,208,0,1
2011-04-05,3.70,3.75,3.68,3.70,122,0,1
2011-04-06,3.74,3.75,3.67,3.70,37,0,1
2011-04-07,3.70,3.70,3.60,3.70,87,0,1
2011-04-08,3.70,3.83,3.63,3.70,74,0,1
2011-04-11,3.74,3.79,3.74,3.74,10,0,1
2011-04-12,3.70,3.72,3.67,3.72,8,0,1
2011-04-13,3.68,3.72,3.63,3.70,45,0,1
2011-04-14,3.74,3.80,3.61,3.67,49,0,1
2011-04-15,3.63,3.65,3.52,3.60,118,0,1
2011-04-18,3.59,3.70,3.44,3.50,244,0,1
2011-04-19,3.56,3.63,3.38,3.38,115,0,1
2011-04-20,3.48,3.50,3.39,3.41,76,0,1
2011-04-25,3.44,3.47,3.41,3.41,202,0,1
2011-04-26,3.42,3.43,3.39,3.39,162,0,1
2011-04-27,3.43,3.44,3.35,3.36,146,0,1
2011-04-28,3.38,3.38,3.34,3.37,41,0,1
