date,open,high,low,close,volume,dividend,split
2010-10-04,7.51,7.70,7.47,7.59,2071,0,1
2010-10-05,7.65,7.86,7.58,7.82,3578,0,1
2010-10-06,7.82,7.82,7.52,7.55,3552,0,1
2010-10-07,7.58,7.62,7.40,7.44,2808,0,1
2010-10-08,7.39,7.71,7.37,7.66,3051,0,1
2010-10-11,7.66,7.84,7.45,7.80,985,0,1
2010-10-13,7.86,8.29,7.79,8.15,5479,0,1
2010-10-14,7.97,7.97,7.47,7.47,76640,0,1
2010-10-15,7.48,7.60,7.45,7.60,6432,0,1
2010-10-18,7.60,7.67,7.58,7.59,1797,0,1
2010-10-19,7.55,7.55,7.30,7.55,4745,0,1
2010-10-20,7.56,7.60,7.37,7.44,3797,0,1
2010-10-21,7.54,7.54,7.28,7.31,2873,0,1
2010-10-22,7.33,7.39,7.13,7.19,3130,0,1
2010-10-25,7.25,7.56,7.20,7.52,3344,0,1
2010-10-26,7.49,7.57,7.44,7.53,2288,0,1
2010-10-27,7.49,7.59,7.41,7.49,1216,0,1
2010-10-28,7.55,7.57,7.45,7.53,606,0,1
2010-10-29,7.54,7.63,7.47,7.55,3064,0,1
2010-11-01,7.52,7.62,7.40,7.45,2323,0,1
2010-11-03,7.53,7.63,7.49,7.63,3334,0,1
2010-11-04,7.63,7.67,7.51,7.59,3001,0,1
2010-11-05,7.56,7.66,7.44,7.46,2241,0,1
2010-11-08,7.44,7.51,7.35,7.35,1620,0,1
2010-11-09,7.39,7.43,7.20,7.43,3197,0,1
2010-11-10,7.39,7.59,7.32,7.54,3925,0,1
2010-11-11,7.52,7.60,7.44,7.49,2026,0,1
2010-11-12,7.49,7.58,7.41,7.46,1843,0,1
2010-11-16,7.55,7.58,7.25,7.37,2908,0,1
2010-11-17,7.32,7.39,7.27,7.27,1142,0,1
2010-11-18,7.42,7.53,7.35,7.53,3014,0,1
2010-11-19,7.43,7.61,7.43,7.57,2308,0,1
2010-11-22,7.50,7.62,7.47,7.51,2470,0,1
2010-11-23,7.43,7.48,7.30,7.41,1355,0,1
2010-11-24,7.48,7.55,7.42,7.49,3896,0,1
2010-11-25,7.53,7.55,7.44,7.49,748,0,1
2010-11-26,7.39,7.50,7.38,7.38,2312,0,1
2010-11-29,7.34,7.37,7.19,7.33,2794,0,1
2010-11-30,7.33,7.73,7.33,7.68,13362,0,1
2010-12-01,7.70,7.75,7.56,7.63,4154,0,1
2010-12-02,7.62,7.69,7.41,7.49,4584,0,1
2010-12-03,7.50,7.64,7.42,7.51,1723,0,1
2010-12-06,7.51,7.63,7.44,7.63,1687,0,1
2010-12-07,7.65,7.70,7.59,7.61,2176,0,1
2010-12-08,7.59,7.61,7.23,7.36,5090,0,1
2010-12-09,7.35,7.41,7.01,7.16,4817,0,1
2010-12-10,7.23,7.28,7.14,7.22,3386,0,1
2010-12-13,7.29,7.39,7.24,7.24,3254,0,1
2010-12-14,7.26,7.35,7.16,7.19,2048,0,1
2010-12-15,7.06,7.19,7.05,7.11,130508,0,1
2010-12-16,7.17,7.38,7.13,7.31,8153,0,1
2010-12-17,7.27,7.55,7.27,7.55,6408,0,1
2010-12-20,7.54,7.59,7.43,7.47,3996,0,1
2010-12-21,7.50,7.51,7.34,7.47,3024,0,1
2010-12-22,7.46,7.54,7.39,7.50,3121,0,1
2010-12-23,7.43,7.52,7.43,7.49,2066,0,1
2010-12-27,7.39,7.52,7.39,7.50,1078,0,1
2010-12-28,7.47,7.57,7.37,7.57,1784,0,1
2010-12-29,7.57,7.65,7.50,7.65,1727,0,1
2010-12-30,7.65,7.70,7.54,7.70,2689,0,1
2011-01-03,7.75,7.75,7.56,7.63,3251,0,1
2011-01-04,7.62,7.68,7.57,7.65,4426,0,1
2011-01-05,7.63,7.70,7.60,7.65,3257,0,1
2011-01-06,7.63,7.69,7.48,7.55,5169,0,1
2011-01-07,7.54,7.58,7.43,7.54,3677,0,1
2011-01-10,7.52,7.60,7.47,7.60,1673,0,1
2011-01-11,7.59,7.80,7.54,7.80,5560,0,1
2011-01-12,7.80,7.85,7.75,7.80,4786,0,1
2011-01-13,7.80,7.83,7.66,7.69,3987,0,1
2011-01-14,7.74,7.74,7.58,7.72,1386,0,1
2011-01-17,7.66,7.70,7.57,7.61,1453,0,1
2011-01-18,7.59,7.64,7.44,7.55,3175,0,1
2011-01-19,7.55,7.72,7.51,7.70,1794,0,1
2011-01-20,7.66,7.86,7.66,7.83,2906,0,1
2011-01-21,7.81,7.85,7.76,7.82,3076,0,1
2011-01-24,7.84,7.90,7.78,7.88,1750,0,1
2011-01-26,7.84,7.98,7.78,7.92,3829,0,1
2011-01-27,7.96,7.96,7.58,7.62,2543,0,1
2011-01-28,7.73,7.73,7.46,7.49,3258,0,1
2011-01-31,7.54,7.69,7.46,7.56,2406,0,1
2011-02-01,7.56,7.78,7.56,7.70,2730,0,1
2011-02-02,7.70,7.78,7.56,7.65,1666,0,1
2011-02-03,7.61,7.77,7.55,7.66,4042,0,1
2011-02-04,7.65,7.69,7.38,7.40,4142,0,1
2011-02-07,7.40,7.60,7.35,7.59,1725,0,1
2011-02-08,7.55,7.60,7.49,7.53,2639,0,1
2011-02-09,7.51,7.55,7.36,7.36,3782,0,1
2011-02-10,7.39,7.46,7.28,7.36,4937,0,1
2011-02-11,7.39,7.54,7.33,7.49,4426,0,1
2011-02-14,7.49,7.60,7.39,7.60,2509,0,1
2011-02-15,7.60,7.67,7.44,7.48,3128,0,1
2011-02-16,7.49,7.55,7.42,7.51,3476,0,1
2011-02-17,7.51,7.65,7.49,7.65,1913,0,1
2011-02-18,7.62,7.64,7.52,7.64,1976,0,1
2011-02-21,7.63,7.64,7.56,7.56,4936,0,1
2011-02-22,7.55,7.63,7.54,7.56,4462,0,1
2011-02-23,7.59,7.69,7.50,7.50,3793,0,1
2011-02-24,7.51,7.57,7.43,7.43,1828,0,1
2011-02-25,7.54,7.56,7.41,7.52,2272,0,1
2011-02-28,7.60,7.72,7.57,7.62,9326,0,1
2011-03-01,7.64,7.77,7.62,7.62,3080,0,1
2011-03-02,7.67,7.73,7.62,7.73,4938,0,1
2011-03-03,7.77,7.82,7.70,7.80,2503,0,1
2011-03-04,7.80,7.88,7.76,7.84,3888,0,1
2011-03-09,7.83,7.93,7.81,7.82,2654,0,1
2011-03-10,7.82,7.97,7.77,7.94,3370,0,1
2011-03-11,7.96,7.96,7.75,7.82,3406,0,1
2011-03-14,7.80,7.87,7.77,7.87,2669,0,1
2011-03-15,7.80,7.94,7.73,7.83,3757,0,1
2011-03-16,7.85,7.85,7.55,7.55,3802,0,1
2011-03-17,7.65,7.67,7.52,7.58,3642,0,1
2011-03-18,7.60,7.64,7.45,7.45,5384,0,1
2011-03-21,7.50,7.59,7.44,7.51,1870,0,1
2011-03-22,7.51,7.84,7.51,7.72,3848,0,1
2011-03-23,7.68,7.74,7.66,7.73,1327,0,1
2011-03-24,7.74,7.77,7.66,7.73,2343,0,1
2011-03-25,7.71,7.77,7.60,7.60,3615,0,1
2011-03-28,7.67,7.72,7.53,7.64,1757,0,1
2011-03-29,7.66,7.72,7.56,7.71,4104,0,1
2011-03-30,7.72,7.96,7.67,7.94,3876,0,1
2011-03-31,7.90,7.95,7.78,7.78,3446,0,1
2011-04-01,7.80,8.01,7.80,7.97,3058,0,1
2011-04-04,8.00,8.09,7.89,7.90,3632,0,1
2011-04-05,7.93,8.03,7.86,8.01,2960,0,1
2011-04-06,7.96,8.13,7.96,8.05,5574,0,1
2011-04-07,8.10,8.12,7.97,8.05,2952,0,1
2011-04-08,8.03,8.07,7.84,7.96,3398,0,1
2011-04-11,7.92,7.96,7.86,7.93,3345,0,1
2011-04-12,7.85,7.92,7.66,7.73,3302,0,1
2011-04-13,7.74,7.81,7.66,7.72,2381,0,1
2011-04-14,7.70,7.78,7.57,7.57,4001,0,1
2011-04-15,7.60,7.63,7.55,7.60,3424,0,1
2011-04-18,7.60,7.77,7.54,7.69,3271,0,1
2011-04-19,7.79,7.84,7.72,7.84,2240,0,1
2011-04-20,7.95,8.03,7.89,8.02,3956,0,1
2011-04-25,8.05,8.06,7.94,8.00,1564,0,1
2011-04-26,8.07,8.13,7.95,8.02,2147,0,1
2011-04-27,8.00,8.11,7.89,8.07,2628,0,1
2011-04-28,7.95,8.15,7.94,8.10,3006,0,1
2011-04-29,8.09,8.13,8.01,8.09,2366,0,1
2011-05-02,8.08,8.37,8.01,8.14,2810,0,1
2011-05-03,8.09,8.23,8.09,8.19,2748,0,1
